country_name	sex	year	deaths
Albania	Female	1987	643
Albania	Female	1988	720
Albania	Female	1989	690
Albania	Female	1992	610
Albania	Female	1993	553
Albania	Female	1994	508
Albania	Female	1995	643
Albania	Female	1996	778
Albania	Female	1997	741
Albania	Female	1998	781
Albania	Female	1999	870
Albania	Female	2000	789
Albania	Female	2001	774
Albania	Female	2002	887
Albania	Female	2003	998
Albania	Female	2004	1011
Albania	Female	2005	914
Albania	Female	2006	973
Albania	Female	2007	800
Albania	Female	2008	899
Albania	Female	2009	886
Albania	Male	1987	1251
Albania	Male	1988	1456
Albania	Male	1989	1367
Albania	Male	1992	1189
Albania	Male	1993	1084
Albania	Male	1994	1005
Albania	Male	1995	1411
Albania	Male	1996	1546
Albania	Male	1997	1436
Albania	Male	1998	1532
Albania	Male	1999	1584
Albania	Male	2000	1555
Albania	Male	2001	1372
Albania	Male	2002	1554
Albania	Male	2003	1748
Albania	Male	2004	1707
Albania	Male	2005	1646
Albania	Male	2006	1610
Albania	Male	2007	1468
Albania	Male	2008	1656
Albania	Male	2009	1598
Argentina	Female	1966	11702
Argentina	Female	1967	13680
Argentina	Female	1968	14555
Argentina	Female	1969	15050
Argentina	Female	1970	14733
Argentina	Female	1977	16250
Argentina	Female	1978	16762
Argentina	Female	1979	16924
Argentina	Female	1982	17420
Argentina	Female	1983	17647
Argentina	Female	1984	18322
Argentina	Female	1985	18331
Argentina	Female	1986	18526
Argentina	Female	1987	18887
Argentina	Female	1988	19701
Argentina	Female	1989	20078
Argentina	Female	1990	20245
Argentina	Female	1991	20694
Argentina	Female	1992	21093
Argentina	Female	1993	21276
Argentina	Female	1994	22084
Argentina	Female	1995	21893
Argentina	Female	1996	23093
Argentina	Female	1997	23191
Argentina	Female	1998	23889
Argentina	Female	1999	23925
Argentina	Female	2000	24219
Argentina	Female	2001	24584
Argentina	Female	2002	24467
Argentina	Female	2003	25378
Argentina	Female	2004	25399
Argentina	Female	2005	25999
Argentina	Female	2006	26200
Argentina	Female	2007	26479
Argentina	Female	2008	26249
Argentina	Female	2009	26877
Argentina	Female	2010	27242
Argentina	Male	1950	38
Argentina	Male	1951	41
Argentina	Male	1966	17190
Argentina	Male	1967	20076
Argentina	Male	1968	21335
Argentina	Male	1969	21607
Argentina	Male	1970	21052
Argentina	Male	1977	22243
Argentina	Male	1978	22642
Argentina	Male	1979	23237
Argentina	Male	1982	22500
Argentina	Male	1983	23150
Argentina	Male	1984	23753
Argentina	Male	1985	23472
Argentina	Male	1986	23782
Argentina	Male	1987	24662
Argentina	Male	1988	24806
Argentina	Male	1989	25537
Argentina	Male	1990	25628
Argentina	Male	1991	26270
Argentina	Male	1992	26080
Argentina	Male	1993	26189
Argentina	Male	1994	26957
Argentina	Male	1995	26769
Argentina	Male	1996	27982
Argentina	Male	1997	28232
Argentina	Male	1998	28921
Argentina	Male	1999	29266
Argentina	Male	2000	29171
Argentina	Male	2001	29444
Argentina	Male	2002	28848
Argentina	Male	2003	29559
Argentina	Male	2004	29526
Argentina	Male	2005	30245
Argentina	Male	2006	30697
Argentina	Male	2007	30851
Argentina	Male	2008	30418
Argentina	Male	2009	30280
Argentina	Male	2010	30686
Armenia	Female	1981	1026
Armenia	Female	1982	1069
Armenia	Female	1985	1220
Armenia	Female	1986	1196
Armenia	Female	1987	1293
Armenia	Female	1988	1273
Armenia	Female	1989	1351
Armenia	Female	1990	1517
Armenia	Female	1991	1499
Armenia	Female	1992	1559
Armenia	Female	1993	1465
Armenia	Female	1994	1321
Armenia	Female	1995	1451
Armenia	Female	1996	1556
Armenia	Female	1997	1573
Armenia	Female	1998	1787
Armenia	Female	1999	1736
Armenia	Female	2000	1800
Armenia	Female	2001	1855
Armenia	Female	2002	1868
Armenia	Female	2003	1960
Armenia	Female	2006	1976
