cancer	id.cancer	sex	year	deaths
Bladder	C67	Female	1955	442
Bladder	C67	Female	1956	465
Bladder	C67	Female	1957	867
Bladder	C67	Female	1958	2496
Bladder	C67	Female	1959	1660
Bladder	C67	Female	1960	1668
Bladder	C67	Female	1961	1685
Bladder	C67	Female	1962	4241
Bladder	C67	Female	1963	4281
Bladder	C67	Female	1964	4253
Bladder	C67	Female	1965	4534
Bladder	C67	Female	1966	4566
Bladder	C67	Female	1967	4845
Bladder	C67	Female	1968	6759
Bladder	C67	Female	1969	7511
Bladder	C67	Female	1970	8193
Bladder	C67	Female	1971	8307
Bladder	C67	Female	1972	8330
Bladder	C67	Female	1973	8543
Bladder	C67	Female	1974	8881
Bladder	C67	Female	1975	8844
Bladder	C67	Female	1976	10878
Bladder	C67	Female	1977	9405
Bladder	C67	Female	1978	6463
Bladder	C67	Female	1979	10169
Bladder	C67	Female	1980	12603
Bladder	C67	Female	1981	12886
Bladder	C67	Female	1982	13171
Bladder	C67	Female	1983	13479
Bladder	C67	Female	1984	13678
Bladder	C67	Female	1985	14163
Bladder	C67	Female	1986	14558
Bladder	C67	Female	1987	15110
Bladder	C67	Female	1988	15439
Bladder	C67	Female	1989	15865
Bladder	C67	Female	1990	16432
Bladder	C67	Female	1991	16548
Bladder	C67	Female	1992	16980
Bladder	C67	Female	1993	17601
Bladder	C67	Female	1994	17826
Bladder	C67	Female	1995	17790
Bladder	C67	Female	1996	18247
Bladder	C67	Female	1997	18407
Bladder	C67	Female	1998	17977
Bladder	C67	Female	1999	20290
Bladder	C67	Female	2000	20998
Bladder	C67	Female	2001	20708
Bladder	C67	Female	2002	21118
Bladder	C67	Female	2003	21258
Bladder	C67	Female	2004	20066
Bladder	C67	Female	2005	20540
Bladder	C67	Female	2006	22000
Bladder	C67	Female	2007	22583
Bladder	C67	Female	2008	23074
Bladder	C67	Female	2009	22867
Bladder	C67	Female	2010	23032
Bladder	C67	Male	1955	878
Bladder	C67	Male	1956	990
Bladder	C67	Male	1957	2201
Bladder	C67	Male	1958	5875
Bladder	C67	Male	1959	3901
Bladder	C67	Male	1960	4141
Bladder	C67	Male	1961	4236
Bladder	C67	Male	1962	10078
Bladder	C67	Male	1963	10195
Bladder	C67	Male	1964	10170
Bladder	C67	Male	1965	10634
Bladder	C67	Male	1966	11523
Bladder	C67	Male	1967	11821
Bladder	C67	Male	1968	17381
Bladder	C67	Male	1969	19739
Bladder	C67	Male	1970	21633
Bladder	C67	Male	1971	22207
Bladder	C67	Male	1972	22285
Bladder	C67	Male	1973	22824
Bladder	C67	Male	1974	23222
Bladder	C67	Male	1975	23676
Bladder	C67	Male	1976	28828
Bladder	C67	Male	1977	25240
Bladder	C67	Male	1978	19049
Bladder	C67	Male	1979	28135
Bladder	C67	Male	1980	33778
Bladder	C67	Male	1981	34519
Bladder	C67	Male	1982	35999
Bladder	C67	Male	1983	36489
Bladder	C67	Male	1984	36708
Bladder	C67	Male	1985	38409
Bladder	C67	Male	1986	38682
Bladder	C67	Male	1987	40350
Bladder	C67	Male	1988	40984
Bladder	C67	Male	1989	41650
Bladder	C67	Male	1990	42313
Bladder	C67	Male	1991	43508
Bladder	C67	Male	1992	43895
Bladder	C67	Male	1993	45474
Bladder	C67	Male	1994	46153
Bladder	C67	Male	1995	45757
Bladder	C67	Male	1996	46212
Bladder	C67	Male	1997	44716
Bladder	C67	Male	1998	45397
Bladder	C67	Male	1999	54072
Bladder	C67	Male	2000	55764
Bladder	C67	Male	2001	55120
Bladder	C67	Male	2002	56381
Bladder	C67	Male	2003	57935
Bladder	C67	Male	2004	52933
Bladder	C67	Male	2005	54941
Bladder	C67	Male	2006	60296
Bladder	C67	Male	2007	61992
Bladder	C67	Male	2008	62721
