cancer	id.cancer	sex	age	country_name	year	deaths	crude.rate	ASR..W.	Cumulative.risk
		Female		Albania	1987	643			
		Female		Albania	1988	720			
		Female		Albania	1989	690			
		Female		Albania	1992	610			
		Female		Albania	1993	553			
		Female		Albania	1994	508			
		Female		Albania	1995	643			
		Female		Albania	1996	778			
		Female		Albania	1997	741			
		Female		Albania	1998	781			
		Female		Albania	1999	870			
		Female		Albania	2000	789			
		Female		Albania	2001	774			
		Female		Albania	2002	887			
		Female		Albania	2003	998			
		Female		Albania	2004	1011			
		Female		Albania	2005	914			
		Female		Albania	2006	973			
		Female		Albania	2007	800			
		Female		Albania	2008	899			
		Female		Albania	2009	886			
		Male		Albania	1987	1251			
		Male		Albania	1988	1456			
		Male		Albania	1989	1367			
		Male		Albania	1992	1189			
		Male		Albania	1993	1084			
		Male		Albania	1994	1005			
		Male		Albania	1995	1411			
		Male		Albania	1996	1546			
		Male		Albania	1997	1436			
		Male		Albania	1998	1532			
		Male		Albania	1999	1584			
		Male		Albania	2000	1555			
		Male		Albania	2001	1372			
		Male		Albania	2002	1554			
		Male		Albania	2003	1748			
		Male		Albania	2004	1707			
		Male		Albania	2005	1646			
		Male		Albania	2006	1610			
		Male		Albania	2007	1468			
		Male		Albania	2008	1656			
		Male		Albania	2009	1598			
		Female		Argentina	1966	11702			
		Female		Argentina	1967	13680			
		Female		Argentina	1968	14555			
		Female		Argentina	1969	15050			
		Female		Argentina	1970	14733			
		Female		Argentina	1977	16250			
		Female		Argentina	1978	16762			
		Female		Argentina	1979	16924			
		Female		Argentina	1982	17420			
		Female		Argentina	1983	17647			
		Female		Argentina	1984	18322			
		Female		Argentina	1985	18331			
		Female		Argentina	1986	18526			
		Female		Argentina	1987	18887			
		Female		Argentina	1988	19701			
		Female		Argentina	1989	20078			
		Female		Argentina	1990	20245			
		Female		Argentina	1991	20694			
		Female		Argentina	1992	21093			
		Female		Argentina	1993	21276			
		Female		Argentina	1994	22084			
		Female		Argentina	1995	21893			
		Female		Argentina	1996	23093			
		Female		Argentina	1997	23191			
		Female		Argentina	1998	23889			
		Female		Argentina	1999	23925			
		Female		Argentina	2000	24219			
		Female		Argentina	2001	24584			
		Female		Argentina	2002	24467			
		Female		Argentina	2003	25378			
		Female		Argentina	2004	25399			
		Female		Argentina	2005	25999			
		Female		Argentina	2006	26200			
		Female		Argentina	2007	26479			
		Female		Argentina	2008	26249			
		Female		Argentina	2009	26877			
		Female		Argentina	2010	27242			
		Male		Argentina	1950	38			
		Male		Argentina	1951	41			
		Male		Argentina	1966	17190			
		Male		Argentina	1967	20076			
		Male		Argentina	1968	21335			
		Male		Argentina	1969	21607			
		Male		Argentina	1970	21052			
		Male		Argentina	1977	22243			
		Male		Argentina	1978	22642			
		Male		Argentina	1979	23237			
		Male		Argentina	1982	22500			
		Male		Argentina	1983	23150			
		Male		Argentina	1984	23753			
		Male		Argentina	1985	23472			
		Male		Argentina	1986	23782			
		Male		Argentina	1987	24662			
		Male		Argentina	1988	24806			
		Male		Argentina	1989	25537			
		Male		Argentina	1990	25628			
		Male		Argentina	1991	26270			
		Male		Argentina	1992	26080			
		Male		Argentina	1993	26189			
		Male		Argentina	1994	26957			
		Male		Argentina	1995	26769			
		Male		Argentina	1996	27982			
		Male		Argentina	1997	28232			
		Male		Argentina	1998	28921			
		Male		Argentina	1999	29266			
		Male		Argentina	2000	29171			
		Male		Argentina	2001	29444			
		Male		Argentina	2002	28848			
		Male		Argentina	2003	29559			
		Male		Argentina	2004	29526			
		Male		Argentina	2005	30245			
		Male		Argentina	2006	30697			
		Male		Argentina	2007	30851			
		Male		Argentina	2008	30418			
		Male		Argentina	2009	30280			
		Male		Argentina	2010	30686			
		Female		Armenia	1981	1026			
		Female		Armenia	1982	1069			
		Female		Armenia	1985	1220			
		Female		Armenia	1986	1196			
		Female		Armenia	1987	1293			
		Female		Armenia	1988	1273			
		Female		Armenia	1989	1351			
		Female		Armenia	1990	1517			
		Female		Armenia	1991	1499			
		Female		Armenia	1992	1559			
		Female		Armenia	1993	1465			
		Female		Armenia	1994	1321			
		Female		Armenia	1995	1451			
		Female		Armenia	1996	1556			
		Female		Armenia	1997	1573			
		Female		Armenia	1998	1787			
		Female		Armenia	1999	1736			
		Female		Armenia	2000	1800			
		Female		Armenia	2001	1855			
		Female		Armenia	2002	1868			
		Female		Armenia	2003	1960			
		Female		Armenia	2006	1976			
		Female		Armenia	2008	2040			
		Female		Armenia	2009	2014			
		Female		Armenia	2010	1992			
		Male		Armenia	1981	1333			
		Male		Armenia	1982	1373			
		Male		Armenia	1985	1523			
		Male		Armenia	1986	1503			
		Male		Armenia	1987	1656			
		Male		Armenia	1988	1739			
		Male		Armenia	1989	1787			
		Male		Armenia	1990	1967			
		Male		Armenia	1991	2069			
		Male		Armenia	1992	2000			
		Male		Armenia	1993	2036			
		Male		Armenia	1994	1787			
		Male		Armenia	1995	1933			
		Male		Armenia	1996	2107			
		Male		Armenia	1997	2081			
		Male		Armenia	1998	2042			
		Male		Armenia	1999	2228			
		Male		Armenia	2000	2158			
		Male		Armenia	2001	2273			
		Male		Armenia	2002	2365			
		Male		Armenia	2003	2396			
		Male		Armenia	2006	2494			
		Male		Armenia	2008	2630			
		Male		Armenia	2009	2578			
		Male		Armenia	2010	2647			
		Female		Australia	1950	5075			
		Female		Australia	1951	5104			
		Female		Australia	1952	5321			
		Female		Australia	1953	5537			
		Female		Australia	1954	5568			
		Female		Australia	1955	5615			
		Female		Australia	1956	5850			
		Female		Australia	1957	5877			
		Female		Australia	1958	5814			
		Female		Australia	1959	6114			
		Female		Australia	1960	6092			
		Female		Australia	1961	6308			
		Female		Australia	1962	6402			
		Female		Australia	1963	6808			
		Female		Australia	1964	6858			
		Female		Australia	1965	6793			
		Female		Australia	1966	7098			
		Female		Australia	1967	7246			
		Female		Australia	1968	7556			
		Female		Australia	1969	7687			
		Female		Australia	1970	8062			
		Female		Australia	1971	8143			
		Female		Australia	1972	8277			
		Female		Australia	1973	8620			
		Female		Australia	1974	8635			
		Female		Australia	1975	8846			
		Female		Australia	1976	9220			
		Female		Australia	1977	9349			
		Female		Australia	1978	9381			
		Female		Australia	1979	9482			
		Female		Australia	1980	9955			
		Female		Australia	1981	10065			
		Female		Australia	1982	10669			
		Female		Australia	1983	11164			
		Female		Australia	1984	11580			
		Female		Australia	1985	11863			
		Female		Australia	1986	12050			
		Female		Australia	1987	12399			
		Female		Australia	1988	12651			
		Female		Australia	1989	13028			
		Female		Australia	1990	13089			
		Female		Australia	1991	13700			
		Female		Australia	1992	13677			
		Female		Australia	1993	14152			
		Female		Australia	1994	14409			
		Female		Australia	1995	14521			
		Female		Australia	1996	15010			
		Female		Australia	1997	15005			
		Female		Australia	1998	15151			
		Female		Australia	1999	15201			
		Female		Australia	2000	15547			
		Female		Australia	2001	16026			
		Female		Australia	2002	16434			
		Female		Australia	2003	16469			
		Female		Australia	2004	16618			
		Female		Australia	2006	16877			
		Female		Australia	2007	17095			
		Female		Australia	2008	18004			
		Female		Australia	2009	17804			
		Female		Australia	2010	18309			
		Male		Australia	1950	5354			
		Male		Australia	1951	5515			
		Male		Australia	1952	5813			
		Male		Australia	1953	5970			
		Male		Australia	1954	6042			
		Male		Australia	1955	6271			
		Male		Australia	1956	6430			
		Male		Australia	1957	6801			
		Male		Australia	1958	6832			
		Male		Australia	1959	7128			
		Male		Australia	1960	7204			
		Male		Australia	1961	7380			
		Male		Australia	1962	7661			
		Male		Australia	1963	7967			
		Male		Australia	1964	8304			
		Male		Australia	1965	8338			
		Male		Australia	1966	8689			
		Male		Australia	1967	8923			
		Male		Australia	1968	9562			
		Male		Australia	1969	9661			
		Male		Australia	1970	10057			
		Male		Australia	1971	10195			
		Male		Australia	1972	10507			
		Male		Australia	1973	10775			
		Male		Australia	1974	11334			
		Male		Australia	1975	11508			
		Male		Australia	1976	11790			
		Male		Australia	1977	12013			
		Male		Australia	1978	12506			
		Male		Australia	1979	12656			
		Male		Australia	1980	13375			
		Male		Australia	1981	13742			
		Male		Australia	1982	14160			
		Male		Australia	1983	14525			
		Male		Australia	1984	14975			
		Male		Australia	1985	15488			
		Male		Australia	1986	15647			
		Male		Australia	1987	16279			
		Male		Australia	1988	16746			
		Male		Australia	1989	17390			
		Male		Australia	1990	17218			
		Male		Australia	1991	17488			
		Male		Australia	1992	18209			
		Male		Australia	1993	18369			
		Male		Australia	1994	19393			
		Male		Australia	1995	18860			
		Male		Australia	1996	19441			
		Male		Australia	1997	19285			
		Male		Australia	1998	19881			
		Male		Australia	1999	19910			
		Male		Australia	2000	20293			
		Male		Australia	2001	20692			
		Male		Australia	2002	21027			
		Male		Australia	2003	21001			
		Male		Australia	2004	21421			
		Male		Australia	2006	21876			
		Male		Australia	2007	22287			
		Male		Australia	2008	23356			
		Male		Australia	2009	23206			
		Male		Australia	2010	24051			
		Female		Austria	1955	8031			
		Female		Austria	1956	8378			
		Female		Austria	1957	8567			
		Female		Austria	1958	8601			
		Female		Austria	1959	8695			
		Female		Austria	1960	8580			
		Female		Austria	1961	8823			
		Female		Austria	1962	8713			
		Female		Austria	1963	9087			
		Female		Austria	1964	9260			
		Female		Austria	1965	9243			
		Female		Austria	1966	9444			
		Female		Austria	1967	9447			
		Female		Austria	1968	9522			
		Female		Austria	1969	9439			
		Female		Austria	1970	9595			
		Female		Austria	1971	9472			
		Female		Austria	1972	9481			
		Female		Austria	1973	9414			
		Female		Austria	1974	9729			
		Female		Austria	1975	9402			
		Female		Austria	1976	9443			
		Female		Austria	1977	9550			
		Female		Austria	1978	9235			
		Female		Austria	1979	9225			
		Female		Austria	1980	9530			
		Female		Austria	1981	9541			
		Female		Austria	1982	9592			
		Female		Austria	1983	9459			
		Female		Austria	1984	9663			
		Female		Austria	1985	9526			
