cancer	id.cancer	sex	age	country_name	year	deaths	crude.rate	ASR..W.	Cumulative.risk
		Female		Albania	1987.0	643			
		Female		Albania	1988.0	720			
		Female		Albania	1989.0	690			
		Female		Albania	1992.0	610			
		Female		Albania	1993.0	553			
		Female		Albania	1994.0	508			
		Female		Albania	1995.0	643			
		Female		Albania	1996.0	778			
		Female		Albania	1997.0	741			
		Female		Albania	1998.0	781			
		Female		Albania	1999.0	870			
		Female		Albania	2000.0	789			
		Female		Albania	2001.0	774			
		Female		Albania	2002.0	887			
		Female		Albania	2003.0	998			
		Female		Albania	2004.0	1011			
		Female		Albania	2005.0	914			
		Female		Albania	2006.0	973			
		Female		Albania	2007.0	800			
		Female		Albania	2008.0	899			
		Female		Albania	2009.0	886			
		Male		Albania	1987.0	1251			
		Male		Albania	1988.0	1456			
		Male		Albania	1989.0	1367			
		Male		Albania	1992.0	1189			
		Male		Albania	1993.0	1084			
		Male		Albania	1994.0	1005			
		Male		Albania	1995.0	1411			
		Male		Albania	1996.0	1546			
		Male		Albania	1997.0	1436			
		Male		Albania	1998.0	1532			
		Male		Albania	1999.0	1584			
		Male		Albania	2000.0	1555			
		Male		Albania	2001.0	1372			
		Male		Albania	2002.0	1554			
		Male		Albania	2003.0	1748			
		Male		Albania	2004.0	1707			
		Male		Albania	2005.0	1646			
		Male		Albania	2006.0	1610			
		Male		Albania	2007.0	1468			
		Male		Albania	2008.0	1656			
		Male		Albania	2009.0	1598			
		Female		Argentina	1966.0	11702			
		Female		Argentina	1967.0	13680			
		Female		Argentina	1968.0	14555			
		Female		Argentina	1969.0	15050			
		Female		Argentina	1970.0	14733			
		Female		Argentina	1977.0	16250			
		Female		Argentina	1978.0	16762			
		Female		Argentina	1979.0	16924			
		Female		Argentina	1982.0	17420			
		Female		Argentina	1983.0	17647			
		Female		Argentina	1984.0	18322			
		Female		Argentina	1985.0	18331			
		Female		Argentina	1986.0	18526			
		Female		Argentina	1987.0	18887			
		Female		Argentina	1988.0	19701			
		Female		Argentina	1989.0	20078			
		Female		Argentina	1990.0	20245			
		Female		Argentina	1991.0	20694			
		Female		Argentina	1992.0	21093			
		Female		Argentina	1993.0	21276			
		Female		Argentina	1994.0	22084			
		Female		Argentina	1995.0	21893			
		Female		Argentina	1996.0	23093			
		Female		Argentina	1997.0	23191			
		Female		Argentina	1998.0	23889			
		Female		Argentina	1999.0	23925			
		Female		Argentina	2000.0	24219			
		Female		Argentina	2001.0	24584			
		Female		Argentina	2002.0	24467			
		Female		Argentina	2003.0	25378			
		Female		Argentina	2004.0	25399			
		Female		Argentina	2005.0	25999			
		Female		Argentina	2006.0	26200			
		Female		Argentina	2007.0	26479			
