country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Albania	ALB	Europe	Southern Europe	1987	Female	0-4	14
Albania	ALB	Europe	Southern Europe	1987	Female	10-14	3
Albania	ALB	Europe	Southern Europe	1987	Female	15-19	9
Albania	ALB	Europe	Southern Europe	1987	Female	20-24	11
Albania	ALB	Europe	Southern Europe	1987	Female	25-29	16
Albania	ALB	Europe	Southern Europe	1987	Female	30-34	22
Albania	ALB	Europe	Southern Europe	1987	Female	35-39	27
Albania	ALB	Europe	Southern Europe	1987	Female	40-44	17
Albania	ALB	Europe	Southern Europe	1987	Female	45-49	32
Albania	ALB	Europe	Southern Europe	1987	Female	5-9	5
Albania	ALB	Europe	Southern Europe	1987	Female	50-54	39
Albania	ALB	Europe	Southern Europe	1987	Female	55-59	70
Albania	ALB	Europe	Southern Europe	1987	Female	60-64	72
Albania	ALB	Europe	Southern Europe	1987	Female	65-69	62
Albania	ALB	Europe	Southern Europe	1987	Female	70-74	79
Albania	ALB	Europe	Southern Europe	1987	Female	75-79	68
Albania	ALB	Europe	Southern Europe	1987	Female	80-84	43
Albania	ALB	Europe	Southern Europe	1987	Female	85+	54
Albania	ALB	Europe	Southern Europe	1987	Male	0-4	21
Albania	ALB	Europe	Southern Europe	1987	Male	10-14	7
Albania	ALB	Europe	Southern Europe	1987	Male	15-19	10
Albania	ALB	Europe	Southern Europe	1987	Male	20-24	14
Albania	ALB	Europe	Southern Europe	1987	Male	25-29	14
Albania	ALB	Europe	Southern Europe	1987	Male	30-34	23
Albania	ALB	Europe	Southern Europe	1987	Male	35-39	19
Albania	ALB	Europe	Southern Europe	1987	Male	40-44	32
Albania	ALB	Europe	Southern Europe	1987	Male	45-49	71
Albania	ALB	Europe	Southern Europe	1987	Male	5-9	13
Albania	ALB	Europe	Southern Europe	1987	Male	50-54	85
Albania	ALB	Europe	Southern Europe	1987	Male	55-59	163
Albania	ALB	Europe	Southern Europe	1987	Male	60-64	176
Albania	ALB	Europe	Southern Europe	1987	Male	65-69	192
Albania	ALB	Europe	Southern Europe	1987	Male	70-74	186
Albania	ALB	Europe	Southern Europe	1987	Male	75-79	117
Albania	ALB	Europe	Southern Europe	1987	Male	80-84	51
Albania	ALB	Europe	Southern Europe	1987	Male	85+	57
Albania	ALB	Europe	Southern Europe	1988	Female	0-4	17
Albania	ALB	Europe	Southern Europe	1988	Female	10-14	7
Albania	ALB	Europe	Southern Europe	1988	Female	15-19	11
Albania	ALB	Europe	Southern Europe	1988	Female	20-24	9
Albania	ALB	Europe	Southern Europe	1988	Female	25-29	12
Albania	ALB	Europe	Southern Europe	1988	Female	30-34	16
Albania	ALB	Europe	Southern Europe	1988	Female	35-39	26
Albania	ALB	Europe	Southern Europe	1988	Female	40-44	40
Albania	ALB	Europe	Southern Europe	1988	Female	45-49	49
Albania	ALB	Europe	Southern Europe	1988	Female	5-9	10
Albania	ALB	Europe	Southern Europe	1988	Female	50-54	56
Albania	ALB	Europe	Southern Europe	1988	Female	55-59	73
Albania	ALB	Europe	Southern Europe	1988	Female	60-64	60
Albania	ALB	Europe	Southern Europe	1988	Female	65-69	85
Albania	ALB	Europe	Southern Europe	1988	Female	70-74	71
Albania	ALB	Europe	Southern Europe	1988	Female	75-79	80
Albania	ALB	Europe	Southern Europe	1988	Female	80-84	47
Albania	ALB	Europe	Southern Europe	1988	Female	85+	51
Albania	ALB	Europe	Southern Europe	1988	Male	0-4	20
Albania	ALB	Europe	Southern Europe	1988	Male	10-14	16
Albania	ALB	Europe	Southern Europe	1988	Male	15-19	14
Albania	ALB	Europe	Southern Europe	1988	Male	20-24	16
Albania	ALB	Europe	Southern Europe	1988	Male	25-29	21
Albania	ALB	Europe	Southern Europe	1988	Male	30-34	31
Albania	ALB	Europe	Southern Europe	1988	Male	35-39	25
Albania	ALB	Europe	Southern Europe	1988	Male	40-44	35
Albania	ALB	Europe	Southern Europe	1988	Male	45-49	61
Albania	ALB	Europe	Southern Europe	1988	Male	5-9	16
Albania	ALB	Europe	Southern Europe	1988	Male	50-54	111
Albania	ALB	Europe	Southern Europe	1988	Male	55-59	172
Albania	ALB	Europe	Southern Europe	1988	Male	60-64	193
Albania	ALB	Europe	Southern Europe	1988	Male	65-69	237
