country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Argentina	ARG	South America	South America	1950	Male	0-4	0
Argentina	ARG	South America	South America	1950	Male	10-14	0
Argentina	ARG	South America	South America	1950	Male	15-19	2
Argentina	ARG	South America	South America	1950	Male	20-24	0
Argentina	ARG	South America	South America	1950	Male	25-29	1
Argentina	ARG	South America	South America	1950	Male	30-34	3
Argentina	ARG	South America	South America	1950	Male	35-39	6
Argentina	ARG	South America	South America	1950	Male	40-44	2
Argentina	ARG	South America	South America	1950	Male	45-49	5
Argentina	ARG	South America	South America	1950	Male	5-9	0
Argentina	ARG	South America	South America	1950	Male	50-54	5
Argentina	ARG	South America	South America	1950	Male	55-59	5
Argentina	ARG	South America	South America	1950	Male	60-64	2
Argentina	ARG	South America	South America	1950	Male	65-69	3
Argentina	ARG	South America	South America	1950	Male	70-74	3
Argentina	ARG	South America	South America	1950	Male	75-79	0
Argentina	ARG	South America	South America	1950	Male	80-84	1
Argentina	ARG	South America	South America	1950	Male	85+	0
Argentina	ARG	South America	South America	1951	Male	0-4	2
Argentina	ARG	South America	South America	1951	Male	10-14	1
Argentina	ARG	South America	South America	1951	Male	15-19	2
Argentina	ARG	South America	South America	1951	Male	20-24	0
Argentina	ARG	South America	South America	1951	Male	25-29	1
Argentina	ARG	South America	South America	1951	Male	30-34	3
Argentina	ARG	South America	South America	1951	Male	35-39	1
Argentina	ARG	South America	South America	1951	Male	40-44	3
Argentina	ARG	South America	South America	1951	Male	45-49	5
Argentina	ARG	South America	South America	1951	Male	5-9	1
Argentina	ARG	South America	South America	1951	Male	50-54	2
Argentina	ARG	South America	South America	1951	Male	55-59	6
Argentina	ARG	South America	South America	1951	Male	60-64	4
Argentina	ARG	South America	South America	1951	Male	65-69	3
Argentina	ARG	South America	South America	1951	Male	70-74	3
Argentina	ARG	South America	South America	1951	Male	75-79	2
Argentina	ARG	South America	South America	1951	Male	80-84	2
Argentina	ARG	South America	South America	1951	Male	85+	0
Argentina	ARG	South America	South America	1966	Female	0-4	73
Argentina	ARG	South America	South America	1966	Female	10-14	36
Argentina	ARG	South America	South America	1966	Female	15-19	47
Argentina	ARG	South America	South America	1966	Female	20-24	64
Argentina	ARG	South America	South America	1966	Female	25-29	88
Argentina	ARG	South America	South America	1966	Female	30-34	156
Argentina	ARG	South America	South America	1966	Female	35-39	335
Argentina	ARG	South America	South America	1966	Female	40-44	525
Argentina	ARG	South America	South America	1966	Female	45-49	761
Argentina	ARG	South America	South America	1966	Female	5-9	57
Argentina	ARG	South America	South America	1966	Female	50-54	1060
Argentina	ARG	South America	South America	1966	Female	55-59	1314
Argentina	ARG	South America	South America	1966	Female	60-64	1426
Argentina	ARG	South America	South America	1966	Female	65-69	1614
Argentina	ARG	South America	South America	1966	Female	70-74	1436
Argentina	ARG	South America	South America	1966	Female	75-79	1350
Argentina	ARG	South America	South America	1966	Female	80-84	837
Argentina	ARG	South America	South America	1966	Female	85+	523
Argentina	ARG	South America	South America	1966	Male	0-4	94
Argentina	ARG	South America	South America	1966	Male	10-14	49
Argentina	ARG	South America	South America	1966	Male	15-19	75
Argentina	ARG	South America	South America	1966	Male	20-24	80
Argentina	ARG	South America	South America	1966	Male	25-29	91
Argentina	ARG	South America	South America	1966	Male	30-34	137
Argentina	ARG	South America	South America	1966	Male	35-39	258
Argentina	ARG	South America	South America	1966	Male	40-44	549
Argentina	ARG	South America	South America	1966	Male	45-49	846
