country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Australia	AUS	Oceania	Australia and New Zealand	1950	Female	0-4	24
Australia	AUS	Oceania	Australia and New Zealand	1950	Female	10-14	12
Australia	AUS	Oceania	Australia and New Zealand	1950	Female	15-19	17
Australia	AUS	Oceania	Australia and New Zealand	1950	Female	20-24	22
Australia	AUS	Oceania	Australia and New Zealand	1950	Female	25-29	36
Australia	AUS	Oceania	Australia and New Zealand	1950	Female	30-34	61
Australia	AUS	Oceania	Australia and New Zealand	1950	Female	35-39	121
Australia	AUS	Oceania	Australia and New Zealand	1950	Female	40-44	231
Australia	AUS	Oceania	Australia and New Zealand	1950	Female	45-49	268
Australia	AUS	Oceania	Australia and New Zealand	1950	Female	5-9	17
Australia	AUS	Oceania	Australia and New Zealand	1950	Female	50-54	401
Australia	AUS	Oceania	Australia and New Zealand	1950	Female	55-59	538
Australia	AUS	Oceania	Australia and New Zealand	1950	Female	60-64	633
Australia	AUS	Oceania	Australia and New Zealand	1950	Female	65-69	749
Australia	AUS	Oceania	Australia and New Zealand	1950	Female	70-74	666
Australia	AUS	Oceania	Australia and New Zealand	1950	Female	75-79	565
Australia	AUS	Oceania	Australia and New Zealand	1950	Female	80-84	423
Australia	AUS	Oceania	Australia and New Zealand	1950	Female	85+	291
Australia	AUS	Oceania	Australia and New Zealand	1950	Male	0-4	43
Australia	AUS	Oceania	Australia and New Zealand	1950	Male	10-14	17
Australia	AUS	Oceania	Australia and New Zealand	1950	Male	15-19	22
Australia	AUS	Oceania	Australia and New Zealand	1950	Male	20-24	34
Australia	AUS	Oceania	Australia and New Zealand	1950	Male	25-29	39
Australia	AUS	Oceania	Australia and New Zealand	1950	Male	30-34	58
Australia	AUS	Oceania	Australia and New Zealand	1950	Male	35-39	69
Australia	AUS	Oceania	Australia and New Zealand	1950	Male	40-44	122
Australia	AUS	Oceania	Australia and New Zealand	1950	Male	45-49	198
Australia	AUS	Oceania	Australia and New Zealand	1950	Male	5-9	32
Australia	AUS	Oceania	Australia and New Zealand	1950	Male	50-54	354
Australia	AUS	Oceania	Australia and New Zealand	1950	Male	55-59	548
Australia	AUS	Oceania	Australia and New Zealand	1950	Male	60-64	746
Australia	AUS	Oceania	Australia and New Zealand	1950	Male	65-69	863
Australia	AUS	Oceania	Australia and New Zealand	1950	Male	70-74	814
Australia	AUS	Oceania	Australia and New Zealand	1950	Male	75-79	701
Australia	AUS	Oceania	Australia and New Zealand	1950	Male	80-84	455
Australia	AUS	Oceania	Australia and New Zealand	1950	Male	85+	239
Australia	AUS	Oceania	Australia and New Zealand	1951	Female	0-4	35
Australia	AUS	Oceania	Australia and New Zealand	1951	Female	10-14	14
Australia	AUS	Oceania	Australia and New Zealand	1951	Female	15-19	14
Australia	AUS	Oceania	Australia and New Zealand	1951	Female	20-24	17
Australia	AUS	Oceania	Australia and New Zealand	1951	Female	25-29	45
Australia	AUS	Oceania	Australia and New Zealand	1951	Female	30-34	74
Australia	AUS	Oceania	Australia and New Zealand	1951	Female	35-39	122
