country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Austria	AUT	Europe	Western Europe	1955	Female	0-4	16
Austria	AUT	Europe	Western Europe	1955	Female	10-14	13
Austria	AUT	Europe	Western Europe	1955	Female	15-19	19
Austria	AUT	Europe	Western Europe	1955	Female	20-24	27
Austria	AUT	Europe	Western Europe	1955	Female	25-29	37
Austria	AUT	Europe	Western Europe	1955	Female	30-34	82
Austria	AUT	Europe	Western Europe	1955	Female	35-39	119
Austria	AUT	Europe	Western Europe	1955	Female	40-44	288
Austria	AUT	Europe	Western Europe	1955	Female	45-49	416
Austria	AUT	Europe	Western Europe	1955	Female	5-9	15
Austria	AUT	Europe	Western Europe	1955	Female	50-54	684
Austria	AUT	Europe	Western Europe	1955	Female	55-59	768
Austria	AUT	Europe	Western Europe	1955	Female	60-64	954
Austria	AUT	Europe	Western Europe	1955	Female	65-69	1198
Austria	AUT	Europe	Western Europe	1955	Female	70-74	1249
Austria	AUT	Europe	Western Europe	1955	Female	75-79	1169
Austria	AUT	Europe	Western Europe	1955	Female	80-84	682
Austria	AUT	Europe	Western Europe	1955	Female	85+	295
Austria	AUT	Europe	Western Europe	1955	Male	0-4	34
Austria	AUT	Europe	Western Europe	1955	Male	10-14	24
Austria	AUT	Europe	Western Europe	1955	Male	15-19	20
Austria	AUT	Europe	Western Europe	1955	Male	20-24	15
Austria	AUT	Europe	Western Europe	1955	Male	25-29	37
Austria	AUT	Europe	Western Europe	1955	Male	30-34	34
Austria	AUT	Europe	Western Europe	1955	Male	35-39	44
Austria	AUT	Europe	Western Europe	1955	Male	40-44	125
Austria	AUT	Europe	Western Europe	1955	Male	45-49	311
Austria	AUT	Europe	Western Europe	1955	Male	5-9	17
Austria	AUT	Europe	Western Europe	1955	Male	50-54	637
Austria	AUT	Europe	Western Europe	1955	Male	55-59	1044
Austria	AUT	Europe	Western Europe	1955	Male	60-64	1189
Austria	AUT	Europe	Western Europe	1955	Male	65-69	1404
Austria	AUT	Europe	Western Europe	1955	Male	70-74	1399
Austria	AUT	Europe	Western Europe	1955	Male	75-79	1108
Austria	AUT	Europe	Western Europe	1955	Male	80-84	619
Austria	AUT	Europe	Western Europe	1955	Male	85+	223
Austria	AUT	Europe	Western Europe	1956	Female	0-4	25
Austria	AUT	Europe	Western Europe	1956	Female	10-14	9
Austria	AUT	Europe	Western Europe	1956	Female	15-19	24
Austria	AUT	Europe	Western Europe	1956	Female	20-24	15
Austria	AUT	Europe	Western Europe	1956	Female	25-29	36
Austria	AUT	Europe	Western Europe	1956	Female	30-34	109
Austria	AUT	Europe	Western Europe	1956	Female	35-39	100
Austria	AUT	Europe	Western Europe	1956	Female	40-44	273
Austria	AUT	Europe	Western Europe	1956	Female	45-49	466
Austria	AUT	Europe	Western Europe	1956	Female	5-9	16
Austria	AUT	Europe	Western Europe	1956	Female	50-54	658
Austria	AUT	Europe	Western Europe	1956	Female	55-59	833
Austria	AUT	Europe	Western Europe	1956	Female	60-64	971
Austria	AUT	Europe	Western Europe	1956	Female	65-69	1221
Austria	AUT	Europe	Western Europe	1956	Female	70-74	1344
Austria	AUT	Europe	Western Europe	1956	Female	75-79	1224
Austria	AUT	Europe	Western Europe	1956	Female	80-84	731
Austria	AUT	Europe	Western Europe	1956	Female	85+	323
Austria	AUT	Europe	Western Europe	1956	Male	0-4	34
Austria	AUT	Europe	Western Europe	1956	Male	10-14	13
Austria	AUT	Europe	Western Europe	1956	Male	15-19	29
Austria	AUT	Europe	Western Europe	1956	Male	20-24	23
Austria	AUT	Europe	Western Europe	1956	Male	25-29	37
Austria	AUT	Europe	Western Europe	1956	Male	30-34	46
Austria	AUT	Europe	Western Europe	1956	Male	35-39	52
Austria	AUT	Europe	Western Europe	1956	Male	40-44	115
Austria	AUT	Europe	Western Europe	1956	Male	45-49	307
Austria	AUT	Europe	Western Europe	1956	Male	5-9	15
Austria	AUT	Europe	Western Europe	1956	Male	50-54	676
Austria	AUT	Europe	Western Europe	1956	Male	55-59	1100
Austria	AUT	Europe	Western Europe	1956	Male	60-64	1190
Austria	AUT	Europe	Western Europe	1956	Male	65-69	1373
Austria	AUT	Europe	Western Europe	1956	Male	70-74	1444
Austria	AUT	Europe	Western Europe	1956	Male	75-79	1157
Austria	AUT	Europe	Western Europe	1956	Male	80-84	651
Austria	AUT	Europe	Western Europe	1956	Male	85+	209
Austria	AUT	Europe	Western Europe	1957	Female	0-4	32
Austria	AUT	Europe	Western Europe	1957	Female	10-14	15
Austria	AUT	Europe	Western Europe	1957	Female	15-19	20
Austria	AUT	Europe	Western Europe	1957	Female	20-24	16
Austria	AUT	Europe	Western Europe	1957	Female	25-29	35
Austria	AUT	Europe	Western Europe	1957	Female	30-34	80
Austria	AUT	Europe	Western Europe	1957	Female	35-39	135
Austria	AUT	Europe	Western Europe	1957	Female	40-44	223
Austria	AUT	Europe	Western Europe	1957	Female	45-49	464
