country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Azerbaijan	AZE	Asia	Western Asia	1981	Female	0-4	31
Azerbaijan	AZE	Asia	Western Asia	1981	Female	10-14	14
Azerbaijan	AZE	Asia	Western Asia	1981	Female	15-19	35
Azerbaijan	AZE	Asia	Western Asia	1981	Female	20-24	17
Azerbaijan	AZE	Asia	Western Asia	1981	Female	25-29	30
Azerbaijan	AZE	Asia	Western Asia	1981	Female	30-34	43
Azerbaijan	AZE	Asia	Western Asia	1981	Female	35-39	44
Azerbaijan	AZE	Asia	Western Asia	1981	Female	40-44	129
Azerbaijan	AZE	Asia	Western Asia	1981	Female	45-49	170
Azerbaijan	AZE	Asia	Western Asia	1981	Female	5-9	20
Azerbaijan	AZE	Asia	Western Asia	1981	Female	50-54	225
Azerbaijan	AZE	Asia	Western Asia	1981	Female	55-59	173
Azerbaijan	AZE	Asia	Western Asia	1981	Female	60-64	179
Azerbaijan	AZE	Asia	Western Asia	1981	Female	65-69	259
Azerbaijan	AZE	Asia	Western Asia	1981	Female	70-74	272
Azerbaijan	AZE	Asia	Western Asia	1981	Female	75-79	186
Azerbaijan	AZE	Asia	Western Asia	1981	Female	80-84	126
Azerbaijan	AZE	Asia	Western Asia	1981	Female	85+	109
Azerbaijan	AZE	Asia	Western Asia	1981	Male	0-4	37
Azerbaijan	AZE	Asia	Western Asia	1981	Male	10-14	23
Azerbaijan	AZE	Asia	Western Asia	1981	Male	15-19	34
Azerbaijan	AZE	Asia	Western Asia	1981	Male	20-24	29
Azerbaijan	AZE	Asia	Western Asia	1981	Male	25-29	26
Azerbaijan	AZE	Asia	Western Asia	1981	Male	30-34	39
Azerbaijan	AZE	Asia	Western Asia	1981	Male	35-39	43
Azerbaijan	AZE	Asia	Western Asia	1981	Male	40-44	139
Azerbaijan	AZE	Asia	Western Asia	1981	Male	45-49	239
Azerbaijan	AZE	Asia	Western Asia	1981	Male	5-9	29
Azerbaijan	AZE	Asia	Western Asia	1981	Male	50-54	395
Azerbaijan	AZE	Asia	Western Asia	1981	Male	55-59	314
Azerbaijan	AZE	Asia	Western Asia	1981	Male	60-64	259
Azerbaijan	AZE	Asia	Western Asia	1981	Male	65-69	356
Azerbaijan	AZE	Asia	Western Asia	1981	Male	70-74	330
Azerbaijan	AZE	Asia	Western Asia	1981	Male	75-79	192
Azerbaijan	AZE	Asia	Western Asia	1981	Male	80-84	149
Azerbaijan	AZE	Asia	Western Asia	1981	Male	85+	102
Azerbaijan	AZE	Asia	Western Asia	1982	Female	0-4	45
Azerbaijan	AZE	Asia	Western Asia	1982	Female	10-14	14
Azerbaijan	AZE	Asia	Western Asia	1982	Female	15-19	20
