country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Belarus	BLR	Europe	Eastern Europe	1981	Female	0-4	32
Belarus	BLR	Europe	Eastern Europe	1981	Female	10-14	18
Belarus	BLR	Europe	Eastern Europe	1981	Female	15-19	29
Belarus	BLR	Europe	Eastern Europe	1981	Female	20-24	34
Belarus	BLR	Europe	Eastern Europe	1981	Female	25-29	40
Belarus	BLR	Europe	Eastern Europe	1981	Female	30-34	75
Belarus	BLR	Europe	Eastern Europe	1981	Female	35-39	101
Belarus	BLR	Europe	Eastern Europe	1981	Female	40-44	233
Belarus	BLR	Europe	Eastern Europe	1981	Female	45-49	383
Belarus	BLR	Europe	Eastern Europe	1981	Female	5-9	20
Belarus	BLR	Europe	Eastern Europe	1981	Female	50-54	643
Belarus	BLR	Europe	Eastern Europe	1981	Female	55-59	831
Belarus	BLR	Europe	Eastern Europe	1981	Female	60-64	573
Belarus	BLR	Europe	Eastern Europe	1981	Female	65-69	836
Belarus	BLR	Europe	Eastern Europe	1981	Female	70-74	822
Belarus	BLR	Europe	Eastern Europe	1981	Female	75-79	639
Belarus	BLR	Europe	Eastern Europe	1981	Female	80-84	286
Belarus	BLR	Europe	Eastern Europe	1981	Female	85+	187
Belarus	BLR	Europe	Eastern Europe	1981	Male	0-4	47
Belarus	BLR	Europe	Eastern Europe	1981	Male	10-14	23
Belarus	BLR	Europe	Eastern Europe	1981	Male	15-19	33
Belarus	BLR	Europe	Eastern Europe	1981	Male	20-24	42
Belarus	BLR	Europe	Eastern Europe	1981	Male	25-29	60
Belarus	BLR	Europe	Eastern Europe	1981	Male	30-34	79
Belarus	BLR	Europe	Eastern Europe	1981	Male	35-39	112
Belarus	BLR	Europe	Eastern Europe	1981	Male	40-44	289
Belarus	BLR	Europe	Eastern Europe	1981	Male	45-49	553
Belarus	BLR	Europe	Eastern Europe	1981	Male	5-9	38
Belarus	BLR	Europe	Eastern Europe	1981	Male	50-54	1023
Belarus	BLR	Europe	Eastern Europe	1981	Male	55-59	897
Belarus	BLR	Europe	Eastern Europe	1981	Male	60-64	703
Belarus	BLR	Europe	Eastern Europe	1981	Male	65-69	905
Belarus	BLR	Europe	Eastern Europe	1981	Male	70-74	974
Belarus	BLR	Europe	Eastern Europe	1981	Male	75-79	578
Belarus	BLR	Europe	Eastern Europe	1981	Male	80-84	222
Belarus	BLR	Europe	Eastern Europe	1981	Male	85+	121
Belarus	BLR	Europe	Eastern Europe	1982	Female	0-4	25
Belarus	BLR	Europe	Eastern Europe	1982	Female	10-14	17
Belarus	BLR	Europe	Eastern Europe	1982	Female	15-19	31
Belarus	BLR	Europe	Eastern Europe	1982	Female	20-24	45
Belarus	BLR	Europe	Eastern Europe	1982	Female	25-29	62
Belarus	BLR	Europe	Eastern Europe	1982	Female	30-34	81
Belarus	BLR	Europe	Eastern Europe	1982	Female	35-39	100
Belarus	BLR	Europe	Eastern Europe	1982	Female	40-44	234
Belarus	BLR	Europe	Eastern Europe	1982	Female	45-49	357
Belarus	BLR	Europe	Eastern Europe	1982	Female	5-9	26
Belarus	BLR	Europe	Eastern Europe	1982	Female	50-54	665
Belarus	BLR	Europe	Eastern Europe	1982	Female	55-59	788
Belarus	BLR	Europe	Eastern Europe	1982	Female	60-64	683
Belarus	BLR	Europe	Eastern Europe	1982	Female	65-69	745
Belarus	BLR	Europe	Eastern Europe	1982	Female	70-74	854
Belarus	BLR	Europe	Eastern Europe	1982	Female	75-79	620
Belarus	BLR	Europe	Eastern Europe	1982	Female	80-84	319
Belarus	BLR	Europe	Eastern Europe	1982	Female	85+	167
Belarus	BLR	Europe	Eastern Europe	1982	Male	0-4	42
Belarus	BLR	Europe	Eastern Europe	1982	Male	10-14	36
Belarus	BLR	Europe	Eastern Europe	1982	Male	15-19	65
Belarus	BLR	Europe	Eastern Europe	1982	Male	20-24	49
Belarus	BLR	Europe	Eastern Europe	1982	Male	25-29	53
Belarus	BLR	Europe	Eastern Europe	1982	Male	30-34	78
Belarus	BLR	Europe	Eastern Europe	1982	Male	35-39	108
Belarus	BLR	Europe	Eastern Europe	1982	Male	40-44	303
Belarus	BLR	Europe	Eastern Europe	1982	Male	45-49	559
Belarus	BLR	Europe	Eastern Europe	1982	Male	5-9	26
Belarus	BLR	Europe	Eastern Europe	1982	Male	50-54	1054
Belarus	BLR	Europe	Eastern Europe	1982	Male	55-59	1051
Belarus	BLR	Europe	Eastern Europe	1982	Male	60-64	818
Belarus	BLR	Europe	Eastern Europe	1982	Male	65-69	853
Belarus	BLR	Europe	Eastern Europe	1982	Male	70-74	980
Belarus	BLR	Europe	Eastern Europe	1982	Male	75-79	593
Belarus	BLR	Europe	Eastern Europe	1982	Male	80-84	250
Belarus	BLR	Europe	Eastern Europe	1982	Male	85+	119
Belarus	BLR	Europe	Eastern Europe	1985	Female	0-4	38
Belarus	BLR	Europe	Eastern Europe	1985	Female	10-14	16
Belarus	BLR	Europe	Eastern Europe	1985	Female	15-19	26
Belarus	BLR	Europe	Eastern Europe	1985	Female	20-24	50
Belarus	BLR	Europe	Eastern Europe	1985	Female	25-29	58
Belarus	BLR	Europe	Eastern Europe	1985	Female	30-34	96
Belarus	BLR	Europe	Eastern Europe	1985	Female	35-39	135
Belarus	BLR	Europe	Eastern Europe	1985	Female	40-44	160
Belarus	BLR	Europe	Eastern Europe	1985	Female	45-49	442
Belarus	BLR	Europe	Eastern Europe	1985	Female	5-9	27
Belarus	BLR	Europe	Eastern Europe	1985	Female	50-54	553
Belarus	BLR	Europe	Eastern Europe	1985	Female	55-59	825
Belarus	BLR	Europe	Eastern Europe	1985	Female	60-64	933
Belarus	BLR	Europe	Eastern Europe	1985	Female	65-69	708
Belarus	BLR	Europe	Eastern Europe	1985	Female	70-74	994
Belarus	BLR	Europe	Eastern Europe	1985	Female	75-79	766
Belarus	BLR	Europe	Eastern Europe	1985	Female	80-84	383
Belarus	BLR	Europe	Eastern Europe	1985	Female	85+	192
Belarus	BLR	Europe	Eastern Europe	1985	Male	0-4	35
Belarus	BLR	Europe	Eastern Europe	1985	Male	10-14	23
Belarus	BLR	Europe	Eastern Europe	1985	Male	15-19	31
Belarus	BLR	Europe	Eastern Europe	1985	Male	20-24	56
Belarus	BLR	Europe	Eastern Europe	1985	Male	25-29	58
Belarus	BLR	Europe	Eastern Europe	1985	Male	30-34	87
Belarus	BLR	Europe	Eastern Europe	1985	Male	35-39	127
Belarus	BLR	Europe	Eastern Europe	1985	Male	40-44	261
Belarus	BLR	Europe	Eastern Europe	1985	Male	45-49	610
Belarus	BLR	Europe	Eastern Europe	1985	Male	5-9	38
Belarus	BLR	Europe	Eastern Europe	1985	Male	50-54	1019
Belarus	BLR	Europe	Eastern Europe	1985	Male	55-59	1484
Belarus	BLR	Europe	Eastern Europe	1985	Male	60-64	1189
Belarus	BLR	Europe	Eastern Europe	1985	Male	65-69	847
Belarus	BLR	Europe	Eastern Europe	1985	Male	70-74	1025
Belarus	BLR	Europe	Eastern Europe	1985	Male	75-79	700
Belarus	BLR	Europe	Eastern Europe	1985	Male	80-84	343
Belarus	BLR	Europe	Eastern Europe	1985	Male	85+	131
Belarus	BLR	Europe	Eastern Europe	1986	Female	0-4	36
Belarus	BLR	Europe	Eastern Europe	1986	Female	10-14	19
Belarus	BLR	Europe	Eastern Europe	1986	Female	15-19	16
Belarus	BLR	Europe	Eastern Europe	1986	Female	20-24	41
Belarus	BLR	Europe	Eastern Europe	1986	Female	25-29	48
Belarus	BLR	Europe	Eastern Europe	1986	Female	30-34	98
Belarus	BLR	Europe	Eastern Europe	1986	Female	35-39	132
Belarus	BLR	Europe	Eastern Europe	1986	Female	40-44	161
Belarus	BLR	Europe	Eastern Europe	1986	Female	45-49	398
Belarus	BLR	Europe	Eastern Europe	1986	Female	5-9	25
Belarus	BLR	Europe	Eastern Europe	1986	Female	50-54	569
Belarus	BLR	Europe	Eastern Europe	1986	Female	55-59	868
Belarus	BLR	Europe	Eastern Europe	1986	Female	60-64	1045
Belarus	BLR	Europe	Eastern Europe	1986	Female	65-69	734
Belarus	BLR	Europe	Eastern Europe	1986	Female	70-74	973
Belarus	BLR	Europe	Eastern Europe	1986	Female	75-79	835
Belarus	BLR	Europe	Eastern Europe	1986	Female	80-84	415
Belarus	BLR	Europe	Eastern Europe	1986	Female	85+	225
Belarus	BLR	Europe	Eastern Europe	1986	Male	0-4	36
Belarus	BLR	Europe	Eastern Europe	1986	Male	10-14	30
Belarus	BLR	Europe	Eastern Europe	1986	Male	15-19	27
Belarus	BLR	Europe	Eastern Europe	1986	Male	20-24	46
Belarus	BLR	Europe	Eastern Europe	1986	Male	25-29	45
Belarus	BLR	Europe	Eastern Europe	1986	Male	30-34	97
Belarus	BLR	Europe	Eastern Europe	1986	Male	35-39	151
Belarus	BLR	Europe	Eastern Europe	1986	Male	40-44	201
Belarus	BLR	Europe	Eastern Europe	1986	Male	45-49	657
Belarus	BLR	Europe	Eastern Europe	1986	Male	5-9	33
Belarus	BLR	Europe	Eastern Europe	1986	Male	50-54	1029
Belarus	BLR	Europe	Eastern Europe	1986	Male	55-59	1576
Belarus	BLR	Europe	Eastern Europe	1986	Male	60-64	1338
Belarus	BLR	Europe	Eastern Europe	1986	Male	65-69	910
Belarus	BLR	Europe	Eastern Europe	1986	Male	70-74	937
Belarus	BLR	Europe	Eastern Europe	1986	Male	75-79	768
Belarus	BLR	Europe	Eastern Europe	1986	Male	80-84	410
Belarus	BLR	Europe	Eastern Europe	1986	Male	85+	142
Belarus	BLR	Europe	Eastern Europe	1987	Female	0-4	38
Belarus	BLR	Europe	Eastern Europe	1987	Female	10-14	11
Belarus	BLR	Europe	Eastern Europe	1987	Female	15-19	23
Belarus	BLR	Europe	Eastern Europe	1987	Female	20-24	34
Belarus	BLR	Europe	Eastern Europe	1987	Female	25-29	56
Belarus	BLR	Europe	Eastern Europe	1987	Female	30-34	89
Belarus	BLR	Europe	Eastern Europe	1987	Female	35-39	140
Belarus	BLR	Europe	Eastern Europe	1987	Female	40-44	156
Belarus	BLR	Europe	Eastern Europe	1987	Female	45-49	378
Belarus	BLR	Europe	Eastern Europe	1987	Female	5-9	27
Belarus	BLR	Europe	Eastern Europe	1987	Female	50-54	571
Belarus	BLR	Europe	Eastern Europe	1987	Female	55-59	870
Belarus	BLR	Europe	Eastern Europe	1987	Female	60-64	1157
Belarus	BLR	Europe	Eastern Europe	1987	Female	65-69	853
Belarus	BLR	Europe	Eastern Europe	1987	Female	70-74	890
Belarus	BLR	Europe	Eastern Europe	1987	Female	75-79	855
Belarus	BLR	Europe	Eastern Europe	1987	Female	80-84	460
Belarus	BLR	Europe	Eastern Europe	1987	Female	85+	231
Belarus	BLR	Europe	Eastern Europe	1987	Male	0-4	54
Belarus	BLR	Europe	Eastern Europe	1987	Male	10-14	32
Belarus	BLR	Europe	Eastern Europe	1987	Male	15-19	26
Belarus	BLR	Europe	Eastern Europe	1987	Male	20-24	35
Belarus	BLR	Europe	Eastern Europe	1987	Male	25-29	54
Belarus	BLR	Europe	Eastern Europe	1987	Male	30-34	83
Belarus	BLR	Europe	Eastern Europe	1987	Male	35-39	155
Belarus	BLR	Europe	Eastern Europe	1987	Male	40-44	220
Belarus	BLR	Europe	Eastern Europe	1987	Male	45-49	666
Belarus	BLR	Europe	Eastern Europe	1987	Male	5-9	33
Belarus	BLR	Europe	Eastern Europe	1987	Male	50-54	1054
Belarus	BLR	Europe	Eastern Europe	1987	Male	55-59	1662
Belarus	BLR	Europe	Eastern Europe	1987	Male	60-64	1544
Belarus	BLR	Europe	Eastern Europe	1987	Male	65-69	1015
Belarus	BLR	Europe	Eastern Europe	1987	Male	70-74	793
Belarus	BLR	Europe	Eastern Europe	1987	Male	75-79	791
Belarus	BLR	Europe	Eastern Europe	1987	Male	80-84	365
Belarus	BLR	Europe	Eastern Europe	1987	Male	85+	156
Belarus	BLR	Europe	Eastern Europe	1988	Female	0-4	44
Belarus	BLR	Europe	Eastern Europe	1988	Female	10-14	16
