country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Belgium	BEL	Europe	Western Europe	1954	Female	0-4	31
Belgium	BEL	Europe	Western Europe	1954	Female	10-14	9
Belgium	BEL	Europe	Western Europe	1954	Female	15-19	7
Belgium	BEL	Europe	Western Europe	1954	Female	20-24	21
Belgium	BEL	Europe	Western Europe	1954	Female	25-29	42
Belgium	BEL	Europe	Western Europe	1954	Female	30-34	93
Belgium	BEL	Europe	Western Europe	1954	Female	35-39	105
Belgium	BEL	Europe	Western Europe	1954	Female	40-44	298
Belgium	BEL	Europe	Western Europe	1954	Female	45-49	465
Belgium	BEL	Europe	Western Europe	1954	Female	5-9	27
Belgium	BEL	Europe	Western Europe	1954	Female	50-54	669
Belgium	BEL	Europe	Western Europe	1954	Female	55-59	870
Belgium	BEL	Europe	Western Europe	1954	Female	60-64	1054
Belgium	BEL	Europe	Western Europe	1954	Female	65-69	1193
Belgium	BEL	Europe	Western Europe	1954	Female	70-74	1364
Belgium	BEL	Europe	Western Europe	1954	Female	75-79	1385
Belgium	BEL	Europe	Western Europe	1954	Female	80-84	882
Belgium	BEL	Europe	Western Europe	1954	Female	85+	417
Belgium	BEL	Europe	Western Europe	1954	Male	0-4	49
Belgium	BEL	Europe	Western Europe	1954	Male	10-14	10
Belgium	BEL	Europe	Western Europe	1954	Male	15-19	20
Belgium	BEL	Europe	Western Europe	1954	Male	20-24	33
Belgium	BEL	Europe	Western Europe	1954	Male	25-29	50
Belgium	BEL	Europe	Western Europe	1954	Male	30-34	75
Belgium	BEL	Europe	Western Europe	1954	Male	35-39	63
Belgium	BEL	Europe	Western Europe	1954	Male	40-44	196
Belgium	BEL	Europe	Western Europe	1954	Male	45-49	397
Belgium	BEL	Europe	Western Europe	1954	Male	5-9	29
Belgium	BEL	Europe	Western Europe	1954	Male	50-54	714
Belgium	BEL	Europe	Western Europe	1954	Male	55-59	998
Belgium	BEL	Europe	Western Europe	1954	Male	60-64	1171
Belgium	BEL	Europe	Western Europe	1954	Male	65-69	1335
Belgium	BEL	Europe	Western Europe	1954	Male	70-74	1468
Belgium	BEL	Europe	Western Europe	1954	Male	75-79	1308
Belgium	BEL	Europe	Western Europe	1954	Male	80-84	808
Belgium	BEL	Europe	Western Europe	1954	Male	85+	308
Belgium	BEL	Europe	Western Europe	1955	Female	0-4	22
Belgium	BEL	Europe	Western Europe	1955	Female	10-14	18
Belgium	BEL	Europe	Western Europe	1955	Female	15-19	20
Belgium	BEL	Europe	Western Europe	1955	Female	20-24	21
Belgium	BEL	Europe	Western Europe	1955	Female	25-29	30
Belgium	BEL	Europe	Western Europe	1955	Female	30-34	91
Belgium	BEL	Europe	Western Europe	1955	Female	35-39	113
Belgium	BEL	Europe	Western Europe	1955	Female	40-44	289
Belgium	BEL	Europe	Western Europe	1955	Female	45-49	476
Belgium	BEL	Europe	Western Europe	1955	Female	5-9	28
Belgium	BEL	Europe	Western Europe	1955	Female	50-54	652
Belgium	BEL	Europe	Western Europe	1955	Female	55-59	901
Belgium	BEL	Europe	Western Europe	1955	Female	60-64	1032
Belgium	BEL	Europe	Western Europe	1955	Female	65-69	1195
Belgium	BEL	Europe	Western Europe	1955	Female	70-74	1369
Belgium	BEL	Europe	Western Europe	1955	Female	75-79	1380
Belgium	BEL	Europe	Western Europe	1955	Female	80-84	940
Belgium	BEL	Europe	Western Europe	1955	Female	85+	496
Belgium	BEL	Europe	Western Europe	1955	Male	0-4	38
Belgium	BEL	Europe	Western Europe	1955	Male	10-14	13
Belgium	BEL	Europe	Western Europe	1955	Male	15-19	20
Belgium	BEL	Europe	Western Europe	1955	Male	20-24	31
Belgium	BEL	Europe	Western Europe	1955	Male	25-29	38
Belgium	BEL	Europe	Western Europe	1955	Male	30-34	57
Belgium	BEL	Europe	Western Europe	1955	Male	35-39	73
Belgium	BEL	Europe	Western Europe	1955	Male	40-44	209
Belgium	BEL	Europe	Western Europe	1955	Male	45-49	432
Belgium	BEL	Europe	Western Europe	1955	Male	5-9	25
Belgium	BEL	Europe	Western Europe	1955	Male	50-54	739
Belgium	BEL	Europe	Western Europe	1955	Male	55-59	1051
Belgium	BEL	Europe	Western Europe	1955	Male	60-64	1157
Belgium	BEL	Europe	Western Europe	1955	Male	65-69	1378
Belgium	BEL	Europe	Western Europe	1955	Male	70-74	1506
Belgium	BEL	Europe	Western Europe	1955	Male	75-79	1365
Belgium	BEL	Europe	Western Europe	1955	Male	80-84	836
Belgium	BEL	Europe	Western Europe	1955	Male	85+	361
Belgium	BEL	Europe	Western Europe	1956	Female	0-4	36
Belgium	BEL	Europe	Western Europe	1956	Female	10-14	16
Belgium	BEL	Europe	Western Europe	1956	Female	15-19	27
Belgium	BEL	Europe	Western Europe	1956	Female	20-24	21
Belgium	BEL	Europe	Western Europe	1956	Female	25-29	43
Belgium	BEL	Europe	Western Europe	1956	Female	30-34	79
Belgium	BEL	Europe	Western Europe	1956	Female	35-39	134
Belgium	BEL	Europe	Western Europe	1956	Female	40-44	259
Belgium	BEL	Europe	Western Europe	1956	Female	45-49	429
Belgium	BEL	Europe	Western Europe	1956	Female	5-9	25
Belgium	BEL	Europe	Western Europe	1956	Female	50-54	668
Belgium	BEL	Europe	Western Europe	1956	Female	55-59	937
Belgium	BEL	Europe	Western Europe	1956	Female	60-64	1094
Belgium	BEL	Europe	Western Europe	1956	Female	65-69	1194
Belgium	BEL	Europe	Western Europe	1956	Female	70-74	1416
Belgium	BEL	Europe	Western Europe	1956	Female	75-79	1321
Belgium	BEL	Europe	Western Europe	1956	Female	80-84	941
Belgium	BEL	Europe	Western Europe	1956	Female	85+	518
Belgium	BEL	Europe	Western Europe	1956	Male	0-4	33
Belgium	BEL	Europe	Western Europe	1956	Male	10-14	19
Belgium	BEL	Europe	Western Europe	1956	Male	15-19	19
Belgium	BEL	Europe	Western Europe	1956	Male	20-24	31
Belgium	BEL	Europe	Western Europe	1956	Male	25-29	46
Belgium	BEL	Europe	Western Europe	1956	Male	30-34	52
Belgium	BEL	Europe	Western Europe	1956	Male	35-39	68
Belgium	BEL	Europe	Western Europe	1956	Male	40-44	183
Belgium	BEL	Europe	Western Europe	1956	Male	45-49	376
Belgium	BEL	Europe	Western Europe	1956	Male	5-9	35
Belgium	BEL	Europe	Western Europe	1956	Male	50-54	744
Belgium	BEL	Europe	Western Europe	1956	Male	55-59	1087
Belgium	BEL	Europe	Western Europe	1956	Male	60-64	1264
Belgium	BEL	Europe	Western Europe	1956	Male	65-69	1437
Belgium	BEL	Europe	Western Europe	1956	Male	70-74	1521
Belgium	BEL	Europe	Western Europe	1956	Male	75-79	1348
Belgium	BEL	Europe	Western Europe	1956	Male	80-84	844
Belgium	BEL	Europe	Western Europe	1956	Male	85+	349
Belgium	BEL	Europe	Western Europe	1957	Female	0-4	27
Belgium	BEL	Europe	Western Europe	1957	Female	10-14	11
Belgium	BEL	Europe	Western Europe	1957	Female	15-19	15
Belgium	BEL	Europe	Western Europe	1957	Female	20-24	29
Belgium	BEL	Europe	Western Europe	1957	Female	25-29	49
Belgium	BEL	Europe	Western Europe	1957	Female	30-34	83
Belgium	BEL	Europe	Western Europe	1957	Female	35-39	120
Belgium	BEL	Europe	Western Europe	1957	Female	40-44	250
Belgium	BEL	Europe	Western Europe	1957	Female	45-49	466
Belgium	BEL	Europe	Western Europe	1957	Female	5-9	14
Belgium	BEL	Europe	Western Europe	1957	Female	50-54	718
Belgium	BEL	Europe	Western Europe	1957	Female	55-59	934
Belgium	BEL	Europe	Western Europe	1957	Female	60-64	1077
Belgium	BEL	Europe	Western Europe	1957	Female	65-69	1237
Belgium	BEL	Europe	Western Europe	1957	Female	70-74	1419
Belgium	BEL	Europe	Western Europe	1957	Female	75-79	1341
Belgium	BEL	Europe	Western Europe	1957	Female	80-84	1002
Belgium	BEL	Europe	Western Europe	1957	Female	85+	522
Belgium	BEL	Europe	Western Europe	1957	Male	0-4	46
Belgium	BEL	Europe	Western Europe	1957	Male	10-14	17
Belgium	BEL	Europe	Western Europe	1957	Male	15-19	25
Belgium	BEL	Europe	Western Europe	1957	Male	20-24	30
Belgium	BEL	Europe	Western Europe	1957	Male	25-29	46
Belgium	BEL	Europe	Western Europe	1957	Male	30-34	79
Belgium	BEL	Europe	Western Europe	1957	Male	35-39	78
Belgium	BEL	Europe	Western Europe	1957	Male	40-44	205
Belgium	BEL	Europe	Western Europe	1957	Male	45-49	398
Belgium	BEL	Europe	Western Europe	1957	Male	5-9	31
Belgium	BEL	Europe	Western Europe	1957	Male	50-54	725
Belgium	BEL	Europe	Western Europe	1957	Male	55-59	1130
Belgium	BEL	Europe	Western Europe	1957	Male	60-64	1344
Belgium	BEL	Europe	Western Europe	1957	Male	65-69	1369
Belgium	BEL	Europe	Western Europe	1957	Male	70-74	1536
Belgium	BEL	Europe	Western Europe	1957	Male	75-79	1384
Belgium	BEL	Europe	Western Europe	1957	Male	80-84	929
Belgium	BEL	Europe	Western Europe	1957	Male	85+	362
Belgium	BEL	Europe	Western Europe	1958	Female	0-4	21
Belgium	BEL	Europe	Western Europe	1958	Female	10-14	20
Belgium	BEL	Europe	Western Europe	1958	Female	15-19	21
Belgium	BEL	Europe	Western Europe	1958	Female	20-24	25
Belgium	BEL	Europe	Western Europe	1958	Female	25-29	48
Belgium	BEL	Europe	Western Europe	1958	Female	30-34	94
Belgium	BEL	Europe	Western Europe	1958	Female	35-39	159
Belgium	BEL	Europe	Western Europe	1958	Female	40-44	230
Belgium	BEL	Europe	Western Europe	1958	Female	45-49	485
Belgium	BEL	Europe	Western Europe	1958	Female	5-9	19
Belgium	BEL	Europe	Western Europe	1958	Female	50-54	703
Belgium	BEL	Europe	Western Europe	1958	Female	55-59	908
Belgium	BEL	Europe	Western Europe	1958	Female	60-64	1131
Belgium	BEL	Europe	Western Europe	1958	Female	65-69	1190
Belgium	BEL	Europe	Western Europe	1958	Female	70-74	1437
Belgium	BEL	Europe	Western Europe	1958	Female	75-79	1459
Belgium	BEL	Europe	Western Europe	1958	Female	80-84	1035
Belgium	BEL	Europe	Western Europe	1958	Female	85+	550
Belgium	BEL	Europe	Western Europe	1958	Male	0-4	39
Belgium	BEL	Europe	Western Europe	1958	Male	10-14	23
Belgium	BEL	Europe	Western Europe	1958	Male	15-19	28
Belgium	BEL	Europe	Western Europe	1958	Male	20-24	34
Belgium	BEL	Europe	Western Europe	1958	Male	25-29	55
Belgium	BEL	Europe	Western Europe	1958	Male	30-34	66
Belgium	BEL	Europe	Western Europe	1958	Male	35-39	90
Belgium	BEL	Europe	Western Europe	1958	Male	40-44	138
Belgium	BEL	Europe	Western Europe	1958	Male	45-49	399
Belgium	BEL	Europe	Western Europe	1958	Male	5-9	24
Belgium	BEL	Europe	Western Europe	1958	Male	50-54	724
Belgium	BEL	Europe	Western Europe	1958	Male	55-59	1167
Belgium	BEL	Europe	Western Europe	1958	Male	60-64	1383
Belgium	BEL	Europe	Western Europe	1958	Male	65-69	1451
Belgium	BEL	Europe	Western Europe	1958	Male	70-74	1554
Belgium	BEL	Europe	Western Europe	1958	Male	75-79	1440
Belgium	BEL	Europe	Western Europe	1958	Male	80-84	889
Belgium	BEL	Europe	Western Europe	1958	Male	85+	399
Belgium	BEL	Europe	Western Europe	1959	Female	0-4	43
Belgium	BEL	Europe	Western Europe	1959	Female	10-14	14
Belgium	BEL	Europe	Western Europe	1959	Female	15-19	19
Belgium	BEL	Europe	Western Europe	1959	Female	20-24	22
Belgium	BEL	Europe	Western Europe	1959	Female	25-29	54
Belgium	BEL	Europe	Western Europe	1959	Female	30-34	93
Belgium	BEL	Europe	Western Europe	1959	Female	35-39	175
