country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Bulgaria	BGR	Europe	Eastern Europe	1964	Female	0-4	30
Bulgaria	BGR	Europe	Eastern Europe	1964	Female	10-14	21
Bulgaria	BGR	Europe	Eastern Europe	1964	Female	15-19	18
Bulgaria	BGR	Europe	Eastern Europe	1964	Female	20-24	26
Bulgaria	BGR	Europe	Eastern Europe	1964	Female	25-29	33
Bulgaria	BGR	Europe	Eastern Europe	1964	Female	30-34	57
Bulgaria	BGR	Europe	Eastern Europe	1964	Female	35-39	108
Bulgaria	BGR	Europe	Eastern Europe	1964	Female	40-44	209
Bulgaria	BGR	Europe	Eastern Europe	1964	Female	45-49	196
Bulgaria	BGR	Europe	Eastern Europe	1964	Female	5-9	20
Bulgaria	BGR	Europe	Eastern Europe	1964	Female	50-54	351
Bulgaria	BGR	Europe	Eastern Europe	1964	Female	55-59	519
Bulgaria	BGR	Europe	Eastern Europe	1964	Female	60-64	588
Bulgaria	BGR	Europe	Eastern Europe	1964	Female	65-69	698
Bulgaria	BGR	Europe	Eastern Europe	1964	Female	70-74	638
Bulgaria	BGR	Europe	Eastern Europe	1964	Female	75-79	567
Bulgaria	BGR	Europe	Eastern Europe	1964	Female	80-84	305
Bulgaria	BGR	Europe	Eastern Europe	1964	Female	85+	128
Bulgaria	BGR	Europe	Eastern Europe	1964	Male	0-4	41
Bulgaria	BGR	Europe	Eastern Europe	1964	Male	10-14	29
Bulgaria	BGR	Europe	Eastern Europe	1964	Male	15-19	20
Bulgaria	BGR	Europe	Eastern Europe	1964	Male	20-24	43
Bulgaria	BGR	Europe	Eastern Europe	1964	Male	25-29	35
Bulgaria	BGR	Europe	Eastern Europe	1964	Male	30-34	53
Bulgaria	BGR	Europe	Eastern Europe	1964	Male	35-39	104
Bulgaria	BGR	Europe	Eastern Europe	1964	Male	40-44	193
Bulgaria	BGR	Europe	Eastern Europe	1964	Male	45-49	256
Bulgaria	BGR	Europe	Eastern Europe	1964	Male	5-9	27
Bulgaria	BGR	Europe	Eastern Europe	1964	Male	50-54	485
Bulgaria	BGR	Europe	Eastern Europe	1964	Male	55-59	782
Bulgaria	BGR	Europe	Eastern Europe	1964	Male	60-64	1103
Bulgaria	BGR	Europe	Eastern Europe	1964	Male	65-69	1004
Bulgaria	BGR	Europe	Eastern Europe	1964	Male	70-74	893
Bulgaria	BGR	Europe	Eastern Europe	1964	Male	75-79	723
Bulgaria	BGR	Europe	Eastern Europe	1964	Male	80-84	346
Bulgaria	BGR	Europe	Eastern Europe	1964	Male	85+	164
Bulgaria	BGR	Europe	Eastern Europe	1965	Female	0-4	31
Bulgaria	BGR	Europe	Eastern Europe	1965	Female	10-14	12
Bulgaria	BGR	Europe	Eastern Europe	1965	Female	15-19	28
Bulgaria	BGR	Europe	Eastern Europe	1965	Female	20-24	13
Bulgaria	BGR	Europe	Eastern Europe	1965	Female	25-29	34
Bulgaria	BGR	Europe	Eastern Europe	1965	Female	30-34	59
Bulgaria	BGR	Europe	Eastern Europe	1965	Female	35-39	112
Bulgaria	BGR	Europe	Eastern Europe	1965	Female	40-44	169
Bulgaria	BGR	Europe	Eastern Europe	1965	Female	45-49	175
Bulgaria	BGR	Europe	Eastern Europe	1965	Female	5-9	25
Bulgaria	BGR	Europe	Eastern Europe	1965	Female	50-54	367
Bulgaria	BGR	Europe	Eastern Europe	1965	Female	55-59	485
Bulgaria	BGR	Europe	Eastern Europe	1965	Female	60-64	582
Bulgaria	BGR	Europe	Eastern Europe	1965	Female	65-69	695
Bulgaria	BGR	Europe	Eastern Europe	1965	Female	70-74	628
Bulgaria	BGR	Europe	Eastern Europe	1965	Female	75-79	561
Bulgaria	BGR	Europe	Eastern Europe	1965	Female	80-84	307
Bulgaria	BGR	Europe	Eastern Europe	1965	Female	85+	169
Bulgaria	BGR	Europe	Eastern Europe	1965	Male	0-4	32
Bulgaria	BGR	Europe	Eastern Europe	1965	Male	10-14	20
Bulgaria	BGR	Europe	Eastern Europe	1965	Male	15-19	31
Bulgaria	BGR	Europe	Eastern Europe	1965	Male	20-24	37
Bulgaria	BGR	Europe	Eastern Europe	1965	Male	25-29	39
Bulgaria	BGR	Europe	Eastern Europe	1965	Male	30-34	63
Bulgaria	BGR	Europe	Eastern Europe	1965	Male	35-39	89
Bulgaria	BGR	Europe	Eastern Europe	1965	Male	40-44	184
Bulgaria	BGR	Europe	Eastern Europe	1965	Male	45-49	189
Bulgaria	BGR	Europe	Eastern Europe	1965	Male	5-9	31
Bulgaria	BGR	Europe	Eastern Europe	1965	Male	50-54	483
Bulgaria	BGR	Europe	Eastern Europe	1965	Male	55-59	792
Bulgaria	BGR	Europe	Eastern Europe	1965	Male	60-64	1029
Bulgaria	BGR	Europe	Eastern Europe	1965	Male	65-69	1166
Bulgaria	BGR	Europe	Eastern Europe	1965	Male	70-74	886
Bulgaria	BGR	Europe	Eastern Europe	1965	Male	75-79	703
Bulgaria	BGR	Europe	Eastern Europe	1965	Male	80-84	389
Bulgaria	BGR	Europe	Eastern Europe	1965	Male	85+	181
Bulgaria	BGR	Europe	Eastern Europe	1966	Female	0-4	39
Bulgaria	BGR	Europe	Eastern Europe	1966	Female	10-14	22
Bulgaria	BGR	Europe	Eastern Europe	1966	Female	15-19	19
Bulgaria	BGR	Europe	Eastern Europe	1966	Female	20-24	21
Bulgaria	BGR	Europe	Eastern Europe	1966	Female	25-29	36
Bulgaria	BGR	Europe	Eastern Europe	1966	Female	30-34	60
Bulgaria	BGR	Europe	Eastern Europe	1966	Female	35-39	112
Bulgaria	BGR	Europe	Eastern Europe	1966	Female	40-44	215
Bulgaria	BGR	Europe	Eastern Europe	1966	Female	45-49	204
Bulgaria	BGR	Europe	Eastern Europe	1966	Female	5-9	20
Bulgaria	BGR	Europe	Eastern Europe	1966	Female	50-54	376
Bulgaria	BGR	Europe	Eastern Europe	1966	Female	55-59	494
Bulgaria	BGR	Europe	Eastern Europe	1966	Female	60-64	606
Bulgaria	BGR	Europe	Eastern Europe	1966	Female	65-69	716
Bulgaria	BGR	Europe	Eastern Europe	1966	Female	70-74	625
Bulgaria	BGR	Europe	Eastern Europe	1966	Female	75-79	527
Bulgaria	BGR	Europe	Eastern Europe	1966	Female	80-84	317
Bulgaria	BGR	Europe	Eastern Europe	1966	Female	85+	155
Bulgaria	BGR	Europe	Eastern Europe	1966	Male	0-4	33
Bulgaria	BGR	Europe	Eastern Europe	1966	Male	10-14	30
Bulgaria	BGR	Europe	Eastern Europe	1966	Male	15-19	34
Bulgaria	BGR	Europe	Eastern Europe	1966	Male	20-24	30
Bulgaria	BGR	Europe	Eastern Europe	1966	Male	25-29	40
Bulgaria	BGR	Europe	Eastern Europe	1966	Male	30-34	64
Bulgaria	BGR	Europe	Eastern Europe	1966	Male	35-39	112
Bulgaria	BGR	Europe	Eastern Europe	1966	Male	40-44	175
Bulgaria	BGR	Europe	Eastern Europe	1966	Male	45-49	249
Bulgaria	BGR	Europe	Eastern Europe	1966	Male	5-9	33
Bulgaria	BGR	Europe	Eastern Europe	1966	Male	50-54	496
Bulgaria	BGR	Europe	Eastern Europe	1966	Male	55-59	845
Bulgaria	BGR	Europe	Eastern Europe	1966	Male	60-64	1261
Bulgaria	BGR	Europe	Eastern Europe	1966	Male	65-69	1130
Bulgaria	BGR	Europe	Eastern Europe	1966	Male	70-74	901
Bulgaria	BGR	Europe	Eastern Europe	1966	Male	75-79	639
Bulgaria	BGR	Europe	Eastern Europe	1966	Male	80-84	370
Bulgaria	BGR	Europe	Eastern Europe	1966	Male	85+	151
Bulgaria	BGR	Europe	Eastern Europe	1967	Female	0-4	29
Bulgaria	BGR	Europe	Eastern Europe	1967	Female	10-14	20
Bulgaria	BGR	Europe	Eastern Europe	1967	Female	15-19	31
Bulgaria	BGR	Europe	Eastern Europe	1967	Female	20-24	24
Bulgaria	BGR	Europe	Eastern Europe	1967	Female	25-29	28
Bulgaria	BGR	Europe	Eastern Europe	1967	Female	30-34	60
Bulgaria	BGR	Europe	Eastern Europe	1967	Female	35-39	103
Bulgaria	BGR	Europe	Eastern Europe	1967	Female	40-44	212
Bulgaria	BGR	Europe	Eastern Europe	1967	Female	45-49	245
