country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Canada	CAN	North America	Northern America	1950	Female	0-4	89
Canada	CAN	North America	Northern America	1950	Female	10-14	36
Canada	CAN	North America	Northern America	1950	Female	15-19	35
Canada	CAN	North America	Northern America	1950	Female	20-24	47
Canada	CAN	North America	Northern America	1950	Female	25-29	64
Canada	CAN	North America	Northern America	1950	Female	30-34	140
Canada	CAN	North America	Northern America	1950	Female	35-39	260
Canada	CAN	North America	Northern America	1950	Female	40-44	405
Canada	CAN	North America	Northern America	1950	Female	45-49	577
Canada	CAN	North America	Northern America	1950	Female	5-9	45
Canada	CAN	North America	Northern America	1950	Female	50-54	696
Canada	CAN	North America	Northern America	1950	Female	55-59	852
Canada	CAN	North America	Northern America	1950	Female	60-64	995
Canada	CAN	North America	Northern America	1950	Female	65-69	1119
Canada	CAN	North America	Northern America	1950	Female	70-74	1143
Canada	CAN	North America	Northern America	1950	Female	75-79	881
Canada	CAN	North America	Northern America	1950	Female	80-84	591
Canada	CAN	North America	Northern America	1950	Female	85+	384
Canada	CAN	North America	Northern America	1950	Male	0-4	94
Canada	CAN	North America	Northern America	1950	Male	10-14	28
Canada	CAN	North America	Northern America	1950	Male	15-19	42
Canada	CAN	North America	Northern America	1950	Male	20-24	42
Canada	CAN	North America	Northern America	1950	Male	25-29	69
Canada	CAN	North America	Northern America	1950	Male	30-34	89
Canada	CAN	North America	Northern America	1950	Male	35-39	128
Canada	CAN	North America	Northern America	1950	Male	40-44	231
Canada	CAN	North America	Northern America	1950	Male	45-49	388
Canada	CAN	North America	Northern America	1950	Male	5-9	51
Canada	CAN	North America	Northern America	1950	Male	50-54	557
Canada	CAN	North America	Northern America	1950	Male	55-59	856
Canada	CAN	North America	Northern America	1950	Male	60-64	1294
Canada	CAN	North America	Northern America	1950	Male	65-69	1567
Canada	CAN	North America	Northern America	1950	Male	70-74	1462
Canada	CAN	North America	Northern America	1950	Male	75-79	1171
Canada	CAN	North America	Northern America	1950	Male	80-84	666
Canada	CAN	North America	Northern America	1950	Male	85+	390
Canada	CAN	North America	Northern America	1951	Female	0-4	78
Canada	CAN	North America	Northern America	1951	Female	10-14	29
Canada	CAN	North America	Northern America	1951	Female	15-19	29
Canada	CAN	North America	Northern America	1951	Female	20-24	31
Canada	CAN	North America	Northern America	1951	Female	25-29	75
Canada	CAN	North America	Northern America	1951	Female	30-34	152
Canada	CAN	North America	Northern America	1951	Female	35-39	281
Canada	CAN	North America	Northern America	1951	Female	40-44	406
Canada	CAN	North America	Northern America	1951	Female	45-49	559
Canada	CAN	North America	Northern America	1951	Female	5-9	41
Canada	CAN	North America	Northern America	1951	Female	50-54	729
Canada	CAN	North America	Northern America	1951	Female	55-59	869
Canada	CAN	North America	Northern America	1951	Female	60-64	1028
Canada	CAN	North America	Northern America	1951	Female	65-69	1112
Canada	CAN	North America	Northern America	1951	Female	70-74	1113
Canada	CAN	North America	Northern America	1951	Female	75-79	961
Canada	CAN	North America	Northern America	1951	Female	80-84	604
Canada	CAN	North America	Northern America	1951	Female	85+	423
Canada	CAN	North America	Northern America	1951	Male	0-4	90
Canada	CAN	North America	Northern America	1951	Male	10-14	39
Canada	CAN	North America	Northern America	1951	Male	15-19	46
Canada	CAN	North America	Northern America	1951	Male	20-24	63
Canada	CAN	North America	Northern America	1951	Male	25-29	61
Canada	CAN	North America	Northern America	1951	Male	30-34	101
Canada	CAN	North America	Northern America	1951	Male	35-39	141
Canada	CAN	North America	Northern America	1951	Male	40-44	202
Canada	CAN	North America	Northern America	1951	Male	45-49	381
Canada	CAN	North America	Northern America	1951	Male	5-9	48
Canada	CAN	North America	Northern America	1951	Male	50-54	603
Canada	CAN	North America	Northern America	1951	Male	55-59	892
Canada	CAN	North America	Northern America	1951	Male	60-64	1236
Canada	CAN	North America	Northern America	1951	Male	65-69	1547
Canada	CAN	North America	Northern America	1951	Male	70-74	1493
Canada	CAN	North America	Northern America	1951	Male	75-79	1221
Canada	CAN	North America	Northern America	1951	Male	80-84	729
Canada	CAN	North America	Northern America	1951	Male	85+	402
Canada	CAN	North America	Northern America	1952	Female	0-4	86
Canada	CAN	North America	Northern America	1952	Female	10-14	32
Canada	CAN	North America	Northern America	1952	Female	15-19	23
Canada	CAN	North America	Northern America	1952	Female	20-24	44
Canada	CAN	North America	Northern America	1952	Female	25-29	82
Canada	CAN	North America	Northern America	1952	Female	30-34	156
Canada	CAN	North America	Northern America	1952	Female	35-39	278
Canada	CAN	North America	Northern America	1952	Female	40-44	419
Canada	CAN	North America	Northern America	1952	Female	45-49	584
Canada	CAN	North America	Northern America	1952	Female	5-9	45
Canada	CAN	North America	Northern America	1952	Female	50-54	695
Canada	CAN	North America	Northern America	1952	Female	55-59	871
Canada	CAN	North America	Northern America	1952	Female	60-64	1026
Canada	CAN	North America	Northern America	1952	Female	65-69	1119
Canada	CAN	North America	Northern America	1952	Female	70-74	1158
Canada	CAN	North America	Northern America	1952	Female	75-79	985
Canada	CAN	North America	Northern America	1952	Female	80-84	628
Canada	CAN	North America	Northern America	1952	Female	85+	396
Canada	CAN	North America	Northern America	1952	Male	0-4	104
Canada	CAN	North America	Northern America	1952	Male	10-14	36
Canada	CAN	North America	Northern America	1952	Male	15-19	47
Canada	CAN	North America	Northern America	1952	Male	20-24	54
Canada	CAN	North America	Northern America	1952	Male	25-29	89
Canada	CAN	North America	Northern America	1952	Male	30-34	97
Canada	CAN	North America	Northern America	1952	Male	35-39	150
Canada	CAN	North America	Northern America	1952	Male	40-44	240
Canada	CAN	North America	Northern America	1952	Male	45-49	406
Canada	CAN	North America	Northern America	1952	Male	5-9	66
Canada	CAN	North America	Northern America	1952	Male	50-54	706
Canada	CAN	North America	Northern America	1952	Male	55-59	927
Canada	CAN	North America	Northern America	1952	Male	60-64	1293
Canada	CAN	North America	Northern America	1952	Male	65-69	1601
Canada	CAN	North America	Northern America	1952	Male	70-74	1582
Canada	CAN	North America	Northern America	1952	Male	75-79	1357
Canada	CAN	North America	Northern America	1952	Male	80-84	771
Canada	CAN	North America	Northern America	1952	Male	85+	432
Canada	CAN	North America	Northern America	1953	Female	0-4	83
Canada	CAN	North America	Northern America	1953	Female	10-14	25
Canada	CAN	North America	Northern America	1953	Female	15-19	40
Canada	CAN	North America	Northern America	1953	Female	20-24	33
Canada	CAN	North America	Northern America	1953	Female	25-29	85
Canada	CAN	North America	Northern America	1953	Female	30-34	139
Canada	CAN	North America	Northern America	1953	Female	35-39	272
Canada	CAN	North America	Northern America	1953	Female	40-44	425
Canada	CAN	North America	Northern America	1953	Female	45-49	584
Canada	CAN	North America	Northern America	1953	Female	5-9	49
Canada	CAN	North America	Northern America	1953	Female	50-54	705
Canada	CAN	North America	Northern America	1953	Female	55-59	880
Canada	CAN	North America	Northern America	1953	Female	60-64	1057
Canada	CAN	North America	Northern America	1953	Female	65-69	1161
Canada	CAN	North America	Northern America	1953	Female	70-74	1225
Canada	CAN	North America	Northern America	1953	Female	75-79	1042
Canada	CAN	North America	Northern America	1953	Female	80-84	651
Canada	CAN	North America	Northern America	1953	Female	85+	487
Canada	CAN	North America	Northern America	1953	Male	0-4	124
Canada	CAN	North America	Northern America	1953	Male	10-14	42
Canada	CAN	North America	Northern America	1953	Male	15-19	40
Canada	CAN	North America	Northern America	1953	Male	20-24	61
Canada	CAN	North America	Northern America	1953	Male	25-29	66
Canada	CAN	North America	Northern America	1953	Male	30-34	111
Canada	CAN	North America	Northern America	1953	Male	35-39	146
Canada	CAN	North America	Northern America	1953	Male	40-44	256
Canada	CAN	North America	Northern America	1953	Male	45-49	440
Canada	CAN	North America	Northern America	1953	Male	5-9	75
Canada	CAN	North America	Northern America	1953	Male	50-54	662
Canada	CAN	North America	Northern America	1953	Male	55-59	946
Canada	CAN	North America	Northern America	1953	Male	60-64	1165
Canada	CAN	North America	Northern America	1953	Male	65-69	1603
Canada	CAN	North America	Northern America	1953	Male	70-74	1667
Canada	CAN	North America	Northern America	1953	Male	75-79	1461
Canada	CAN	North America	Northern America	1953	Male	80-84	832
Canada	CAN	North America	Northern America	1953	Male	85+	478
Canada	CAN	North America	Northern America	1954	Female	0-4	70
Canada	CAN	North America	Northern America	1954	Female	10-14	38
Canada	CAN	North America	Northern America	1954	Female	15-19	32
Canada	CAN	North America	Northern America	1954	Female	20-24	40
Canada	CAN	North America	Northern America	1954	Female	25-29	85
Canada	CAN	North America	Northern America	1954	Female	30-34	150
Canada	CAN	North America	Northern America	1954	Female	35-39	287
Canada	CAN	North America	Northern America	1954	Female	40-44	465
Canada	CAN	North America	Northern America	1954	Female	45-49	608
Canada	CAN	North America	Northern America	1954	Female	5-9	52
Canada	CAN	North America	Northern America	1954	Female	50-54	755
Canada	CAN	North America	Northern America	1954	Female	55-59	882
Canada	CAN	North America	Northern America	1954	Female	60-64	1030
Canada	CAN	North America	Northern America	1954	Female	65-69	1152
Canada	CAN	North America	Northern America	1954	Female	70-74	1244
Canada	CAN	North America	Northern America	1954	Female	75-79	1039
Canada	CAN	North America	Northern America	1954	Female	80-84	678
Canada	CAN	North America	Northern America	1954	Female	85+	524
Canada	CAN	North America	Northern America	1954	Male	0-4	111
Canada	CAN	North America	Northern America	1954	Male	10-14	29
Canada	CAN	North America	Northern America	1954	Male	15-19	60
Canada	CAN	North America	Northern America	1954	Male	20-24	52
Canada	CAN	North America	Northern America	1954	Male	25-29	87
Canada	CAN	North America	Northern America	1954	Male	30-34	111
Canada	CAN	North America	Northern America	1954	Male	35-39	144
Canada	CAN	North America	Northern America	1954	Male	40-44	287
Canada	CAN	North America	Northern America	1954	Male	45-49	414
Canada	CAN	North America	Northern America	1954	Male	5-9	81
Canada	CAN	North America	Northern America	1954	Male	50-54	760
Canada	CAN	North America	Northern America	1954	Male	55-59	919
Canada	CAN	North America	Northern America	1954	Male	60-64	1285
Canada	CAN	North America	Northern America	1954	Male	65-69	1718
Canada	CAN	North America	Northern America	1954	Male	70-74	1715
Canada	CAN	North America	Northern America	1954	Male	75-79	1461
Canada	CAN	North America	Northern America	1954	Male	80-84	850
Canada	CAN	North America	Northern America	1954	Male	85+	476
Canada	CAN	North America	Northern America	1955	Female	0-4	94
Canada	CAN	North America	Northern America	1955	Female	10-14	41
Canada	CAN	North America	Northern America	1955	Female	15-19	35
Canada	CAN	North America	Northern America	1955	Female	20-24	38
Canada	CAN	North America	Northern America	1955	Female	25-29	70
Canada	CAN	North America	Northern America	1955	Female	30-34	164
Canada	CAN	North America	Northern America	1955	Female	35-39	256
Canada	CAN	North America	Northern America	1955	Female	40-44	451
Canada	CAN	North America	Northern America	1955	Female	45-49	588
Canada	CAN	North America	Northern America	1955	Female	5-9	52
Canada	CAN	North America	Northern America	1955	Female	50-54	731
Canada	CAN	North America	Northern America	1955	Female	55-59	924
Canada	CAN	North America	Northern America	1955	Female	60-64	1035
Canada	CAN	North America	Northern America	1955	Female	65-69	1187
Canada	CAN	North America	Northern America	1955	Female	70-74	1272
Canada	CAN	North America	Northern America	1955	Female	75-79	1074
