country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Chile	CHL	South America	South America	1955	Female	0-4	25
Chile	CHL	South America	South America	1955	Female	10-14	13
Chile	CHL	South America	South America	1955	Female	15-19	15
Chile	CHL	South America	South America	1955	Female	20-24	25
Chile	CHL	South America	South America	1955	Female	25-29	51
Chile	CHL	South America	South America	1955	Female	30-34	85
Chile	CHL	South America	South America	1955	Female	35-39	142
Chile	CHL	South America	South America	1955	Female	40-44	210
Chile	CHL	South America	South America	1955	Female	45-49	270
Chile	CHL	South America	South America	1955	Female	5-9	15
Chile	CHL	South America	South America	1955	Female	50-54	326
Chile	CHL	South America	South America	1955	Female	55-59	362
Chile	CHL	South America	South America	1955	Female	60-64	405
Chile	CHL	South America	South America	1955	Female	65-69	411
Chile	CHL	South America	South America	1955	Female	70-74	369
Chile	CHL	South America	South America	1955	Female	75-79	294
Chile	CHL	South America	South America	1955	Female	80-84	181
Chile	CHL	South America	South America	1955	Female	85+	115
Chile	CHL	South America	South America	1955	Male	0-4	25
Chile	CHL	South America	South America	1955	Male	10-14	18
Chile	CHL	South America	South America	1955	Male	15-19	28
Chile	CHL	South America	South America	1955	Male	20-24	33
Chile	CHL	South America	South America	1955	Male	25-29	35
Chile	CHL	South America	South America	1955	Male	30-34	50
Chile	CHL	South America	South America	1955	Male	35-39	59
Chile	CHL	South America	South America	1955	Male	40-44	147
Chile	CHL	South America	South America	1955	Male	45-49	206
Chile	CHL	South America	South America	1955	Male	5-9	22
Chile	CHL	South America	South America	1955	Male	50-54	287
Chile	CHL	South America	South America	1955	Male	55-59	409
Chile	CHL	South America	South America	1955	Male	60-64	423
Chile	CHL	South America	South America	1955	Male	65-69	446
Chile	CHL	South America	South America	1955	Male	70-74	417
Chile	CHL	South America	South America	1955	Male	75-79	239
Chile	CHL	South America	South America	1955	Male	80-84	110
Chile	CHL	South America	South America	1955	Male	85+	50
Chile	CHL	South America	South America	1956	Female	0-4	29
Chile	CHL	South America	South America	1956	Female	10-14	18
Chile	CHL	South America	South America	1956	Female	15-19	15
Chile	CHL	South America	South America	1956	Female	20-24	20
Chile	CHL	South America	South America	1956	Female	25-29	50
Chile	CHL	South America	South America	1956	Female	30-34	70
Chile	CHL	South America	South America	1956	Female	35-39	131
Chile	CHL	South America	South America	1956	Female	40-44	215
Chile	CHL	South America	South America	1956	Female	45-49	254
Chile	CHL	South America	South America	1956	Female	5-9	17
Chile	CHL	South America	South America	1956	Female	50-54	313
Chile	CHL	South America	South America	1956	Female	55-59	388
Chile	CHL	South America	South America	1956	Female	60-64	450
Chile	CHL	South America	South America	1956	Female	65-69	427
Chile	CHL	South America	South America	1956	Female	70-74	395
Chile	CHL	South America	South America	1956	Female	75-79	288
Chile	CHL	South America	South America	1956	Female	80-84	183
Chile	CHL	South America	South America	1956	Female	85+	141
Chile	CHL	South America	South America	1956	Male	0-4	24
Chile	CHL	South America	South America	1956	Male	10-14	20
Chile	CHL	South America	South America	1956	Male	15-19	26
Chile	CHL	South America	South America	1956	Male	20-24	27
Chile	CHL	South America	South America	1956	Male	25-29	37
Chile	CHL	South America	South America	1956	Male	30-34	44
Chile	CHL	South America	South America	1956	Male	35-39	90
Chile	CHL	South America	South America	1956	Male	40-44	135
Chile	CHL	South America	South America	1956	Male	45-49	210
Chile	CHL	South America	South America	1956	Male	5-9	28
Chile	CHL	South America	South America	1956	Male	50-54	303
Chile	CHL	South America	South America	1956	Male	55-59	415
Chile	CHL	South America	South America	1956	Male	60-64	434
Chile	CHL	South America	South America	1956	Male	65-69	518
Chile	CHL	South America	South America	1956	Male	70-74	396
Chile	CHL	South America	South America	1956	Male	75-79	299
Chile	CHL	South America	South America	1956	Male	80-84	108
Chile	CHL	South America	South America	1956	Male	85+	75
Chile	CHL	South America	South America	1957	Female	0-4	30
Chile	CHL	South America	South America	1957	Female	10-14	15
Chile	CHL	South America	South America	1957	Female	15-19	27
Chile	CHL	South America	South America	1957	Female	20-24	24
Chile	CHL	South America	South America	1957	Female	25-29	58
Chile	CHL	South America	South America	1957	Female	30-34	75
Chile	CHL	South America	South America	1957	Female	35-39	157
Chile	CHL	South America	South America	1957	Female	40-44	217
Chile	CHL	South America	South America	1957	Female	45-49	300
