country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
China	CHN	Asia	Eastern Asia	1955	Female	0-4	5
China	CHN	Asia	Eastern Asia	1955	Female	10-14	3
China	CHN	Asia	Eastern Asia	1955	Female	15-19	2
China	CHN	Asia	Eastern Asia	1955	Female	20-24	5
China	CHN	Asia	Eastern Asia	1955	Female	25-29	19
China	CHN	Asia	Eastern Asia	1955	Female	30-34	25
China	CHN	Asia	Eastern Asia	1955	Female	35-39	49
China	CHN	Asia	Eastern Asia	1955	Female	40-44	66
China	CHN	Asia	Eastern Asia	1955	Female	45-49	73
China	CHN	Asia	Eastern Asia	1955	Female	5-9	2
China	CHN	Asia	Eastern Asia	1955	Female	50-54	97
China	CHN	Asia	Eastern Asia	1955	Female	55-59	65
China	CHN	Asia	Eastern Asia	1955	Female	60-64	76
China	CHN	Asia	Eastern Asia	1955	Female	65-69	55
China	CHN	Asia	Eastern Asia	1955	Female	70-74	44
China	CHN	Asia	Eastern Asia	1955	Female	75-79	18
China	CHN	Asia	Eastern Asia	1955	Female	80-84	9
China	CHN	Asia	Eastern Asia	1955	Female	85+	1
China	CHN	Asia	Eastern Asia	1955	Male	0-4	12
China	CHN	Asia	Eastern Asia	1955	Male	10-14	4
China	CHN	Asia	Eastern Asia	1955	Male	15-19	8
China	CHN	Asia	Eastern Asia	1955	Male	20-24	13
China	CHN	Asia	Eastern Asia	1955	Male	25-29	15
China	CHN	Asia	Eastern Asia	1955	Male	30-34	35
China	CHN	Asia	Eastern Asia	1955	Male	35-39	51
China	CHN	Asia	Eastern Asia	1955	Male	40-44	69
China	CHN	Asia	Eastern Asia	1955	Male	45-49	98
China	CHN	Asia	Eastern Asia	1955	Male	5-9	5
China	CHN	Asia	Eastern Asia	1955	Male	50-54	79
China	CHN	Asia	Eastern Asia	1955	Male	55-59	76
China	CHN	Asia	Eastern Asia	1955	Male	60-64	65
China	CHN	Asia	Eastern Asia	1955	Male	65-69	41
China	CHN	Asia	Eastern Asia	1955	Male	70-74	25
China	CHN	Asia	Eastern Asia	1955	Male	75-79	19
China	CHN	Asia	Eastern Asia	1955	Male	80-84	4
China	CHN	Asia	Eastern Asia	1955	Male	85+	2
China	CHN	Asia	Eastern Asia	1956	Female	0-4	6
China	CHN	Asia	Eastern Asia	1956	Female	10-14	4
China	CHN	Asia	Eastern Asia	1956	Female	15-19	4
China	CHN	Asia	Eastern Asia	1956	Female	20-24	0
China	CHN	Asia	Eastern Asia	1956	Female	25-29	12
China	CHN	Asia	Eastern Asia	1956	Female	30-34	28
China	CHN	Asia	Eastern Asia	1956	Female	35-39	50
China	CHN	Asia	Eastern Asia	1956	Female	40-44	61
China	CHN	Asia	Eastern Asia	1956	Female	45-49	87
China	CHN	Asia	Eastern Asia	1956	Female	5-9	3
China	CHN	Asia	Eastern Asia	1956	Female	50-54	94
China	CHN	Asia	Eastern Asia	1956	Female	55-59	91
China	CHN	Asia	Eastern Asia	1956	Female	60-64	75
China	CHN	Asia	Eastern Asia	1956	Female	65-69	74
China	CHN	Asia	Eastern Asia	1956	Female	70-74	44
China	CHN	Asia	Eastern Asia	1956	Female	75-79	24
China	CHN	Asia	Eastern Asia	1956	Female	80-84	7
China	CHN	Asia	Eastern Asia	1956	Female	85+	2
China	CHN	Asia	Eastern Asia	1956	Male	0-4	13
China	CHN	Asia	Eastern Asia	1956	Male	10-14	6
China	CHN	Asia	Eastern Asia	1956	Male	15-19	5
China	CHN	Asia	Eastern Asia	1956	Male	20-24	13
China	CHN	Asia	Eastern Asia	1956	Male	25-29	21
China	CHN	Asia	Eastern Asia	1956	Male	30-34	34
China	CHN	Asia	Eastern Asia	1956	Male	35-39	48
China	CHN	Asia	Eastern Asia	1956	Male	40-44	84
