country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Colombia	COL	South America	South America	1953	Female	0-4	6
Colombia	COL	South America	South America	1953	Female	10-14	7
Colombia	COL	South America	South America	1953	Female	15-19	30
Colombia	COL	South America	South America	1953	Female	20-24	35
Colombia	COL	South America	South America	1953	Female	25-29	72
Colombia	COL	South America	South America	1953	Female	30-34	89
Colombia	COL	South America	South America	1953	Female	35-39	203
Colombia	COL	South America	South America	1953	Female	40-44	202
Colombia	COL	South America	South America	1953	Female	45-49	283
Colombia	COL	South America	South America	1953	Female	5-9	11
Colombia	COL	South America	South America	1953	Female	50-54	311
Colombia	COL	South America	South America	1953	Female	55-59	283
Colombia	COL	South America	South America	1953	Female	60-64	331
Colombia	COL	South America	South America	1953	Female	65-69	264
Colombia	COL	South America	South America	1953	Female	70-74	261
Colombia	COL	South America	South America	1953	Female	75-79	194
Colombia	COL	South America	South America	1953	Female	80-84	260
Colombia	COL	South America	South America	1953	Female	85+	171
Colombia	COL	South America	South America	1953	Male	0-4	18
Colombia	COL	South America	South America	1953	Male	10-14	16
Colombia	COL	South America	South America	1953	Male	15-19	27
Colombia	COL	South America	South America	1953	Male	20-24	39
Colombia	COL	South America	South America	1953	Male	25-29	51
Colombia	COL	South America	South America	1953	Male	30-34	57
Colombia	COL	South America	South America	1953	Male	35-39	69
Colombia	COL	South America	South America	1953	Male	40-44	98
Colombia	COL	South America	South America	1953	Male	45-49	148
Colombia	COL	South America	South America	1953	Male	5-9	11
Colombia	COL	South America	South America	1953	Male	50-54	236
Colombia	COL	South America	South America	1953	Male	55-59	191
Colombia	COL	South America	South America	1953	Male	60-64	258
Colombia	COL	South America	South America	1953	Male	65-69	248
Colombia	COL	South America	South America	1953	Male	70-74	229
Colombia	COL	South America	South America	1953	Male	75-79	162
Colombia	COL	South America	South America	1953	Male	80-84	120
Colombia	COL	South America	South America	1953	Male	85+	80
Colombia	COL	South America	South America	1954	Female	0-4	20
Colombia	COL	South America	South America	1954	Female	10-14	15
Colombia	COL	South America	South America	1954	Female	15-19	21
Colombia	COL	South America	South America	1954	Female	20-24	41
Colombia	COL	South America	South America	1954	Female	25-29	60
Colombia	COL	South America	South America	1954	Female	30-34	79
Colombia	COL	South America	South America	1954	Female	35-39	163
Colombia	COL	South America	South America	1954	Female	40-44	209
Colombia	COL	South America	South America	1954	Female	45-49	248
Colombia	COL	South America	South America	1954	Female	5-9	11
Colombia	COL	South America	South America	1954	Female	50-54	323
Colombia	COL	South America	South America	1954	Female	55-59	271
Colombia	COL	South America	South America	1954	Female	60-64	322
Colombia	COL	South America	South America	1954	Female	65-69	270
Colombia	COL	South America	South America	1954	Female	70-74	281
Colombia	COL	South America	South America	1954	Female	75-79	208
Colombia	COL	South America	South America	1954	Female	80-84	146
Colombia	COL	South America	South America	1954	Female	85+	163
Colombia	COL	South America	South America	1954	Male	0-4	16
Colombia	COL	South America	South America	1954	Male	10-14	13
Colombia	COL	South America	South America	1954	Male	15-19	25
Colombia	COL	South America	South America	1954	Male	20-24	28
Colombia	COL	South America	South America	1954	Male	25-29	37
Colombia	COL	South America	South America	1954	Male	30-34	52
Colombia	COL	South America	South America	1954	Male	35-39	57
Colombia	COL	South America	South America	1954	Male	40-44	88
Colombia	COL	South America	South America	1954	Male	45-49	126
Colombia	COL	South America	South America	1954	Male	5-9	22
Colombia	COL	South America	South America	1954	Male	50-54	217
Colombia	COL	South America	South America	1954	Male	55-59	217
Colombia	COL	South America	South America	1954	Male	60-64	246
Colombia	COL	South America	South America	1954	Male	65-69	206
Colombia	COL	South America	South America	1954	Male	70-74	220
Colombia	COL	South America	South America	1954	Male	75-79	148
Colombia	COL	South America	South America	1954	Male	80-84	124
Colombia	COL	South America	South America	1954	Male	85+	91
Colombia	COL	South America	South America	1955	Female	0-4	47
Colombia	COL	South America	South America	1955	Female	10-14	13
Colombia	COL	South America	South America	1955	Female	15-19	21
Colombia	COL	South America	South America	1955	Female	20-24	37
Colombia	COL	South America	South America	1955	Female	25-29	65
Colombia	COL	South America	South America	1955	Female	30-34	106
Colombia	COL	South America	South America	1955	Female	35-39	195
Colombia	COL	South America	South America	1955	Female	40-44	223
Colombia	COL	South America	South America	1955	Female	45-49	286
Colombia	COL	South America	South America	1955	Female	5-9	20
Colombia	COL	South America	South America	1955	Female	50-54	313
Colombia	COL	South America	South America	1955	Female	55-59	279
Colombia	COL	South America	South America	1955	Female	60-64	354
Colombia	COL	South America	South America	1955	Female	65-69	311
Colombia	COL	South America	South America	1955	Female	70-74	265
Colombia	COL	South America	South America	1955	Female	75-79	209
Colombia	COL	South America	South America	1955	Female	80-84	141
Colombia	COL	South America	South America	1955	Female	85+	142
Colombia	COL	South America	South America	1955	Male	0-4	58
Colombia	COL	South America	South America	1955	Male	10-14	24
Colombia	COL	South America	South America	1955	Male	15-19	27
Colombia	COL	South America	South America	1955	Male	20-24	29
Colombia	COL	South America	South America	1955	Male	25-29	35
Colombia	COL	South America	South America	1955	Male	30-34	50
Colombia	COL	South America	South America	1955	Male	35-39	92
Colombia	COL	South America	South America	1955	Male	40-44	84
Colombia	COL	South America	South America	1955	Male	45-49	126
Colombia	COL	South America	South America	1955	Male	5-9	33
Colombia	COL	South America	South America	1955	Male	50-54	199
Colombia	COL	South America	South America	1955	Male	55-59	238
Colombia	COL	South America	South America	1955	Male	60-64	246
Colombia	COL	South America	South America	1955	Male	65-69	238
Colombia	COL	South America	South America	1955	Male	70-74	228
Colombia	COL	South America	South America	1955	Male	75-79	199
Colombia	COL	South America	South America	1955	Male	80-84	103
Colombia	COL	South America	South America	1955	Male	85+	89
Colombia	COL	South America	South America	1956	Female	0-4	57
Colombia	COL	South America	South America	1956	Female	10-14	9
Colombia	COL	South America	South America	1956	Female	15-19	37
Colombia	COL	South America	South America	1956	Female	20-24	40
Colombia	COL	South America	South America	1956	Female	25-29	61
Colombia	COL	South America	South America	1956	Female	30-34	89
Colombia	COL	South America	South America	1956	Female	35-39	198
Colombia	COL	South America	South America	1956	Female	40-44	212
Colombia	COL	South America	South America	1956	Female	45-49	306
Colombia	COL	South America	South America	1956	Female	5-9	24
Colombia	COL	South America	South America	1956	Female	50-54	303
Colombia	COL	South America	South America	1956	Female	55-59	300
Colombia	COL	South America	South America	1956	Female	60-64	368
Colombia	COL	South America	South America	1956	Female	65-69	297
Colombia	COL	South America	South America	1956	Female	70-74	319
Colombia	COL	South America	South America	1956	Female	75-79	221
Colombia	COL	South America	South America	1956	Female	80-84	177
Colombia	COL	South America	South America	1956	Female	85+	159
Colombia	COL	South America	South America	1956	Male	0-4	52
Colombia	COL	South America	South America	1956	Male	10-14	25
Colombia	COL	South America	South America	1956	Male	15-19	41
Colombia	COL	South America	South America	1956	Male	20-24	28
Colombia	COL	South America	South America	1956	Male	25-29	38
Colombia	COL	South America	South America	1956	Male	30-34	47
Colombia	COL	South America	South America	1956	Male	35-39	73
Colombia	COL	South America	South America	1956	Male	40-44	110
Colombia	COL	South America	South America	1956	Male	45-49	149
Colombia	COL	South America	South America	1956	Male	5-9	34
Colombia	COL	South America	South America	1956	Male	50-54	176
Colombia	COL	South America	South America	1956	Male	55-59	260
Colombia	COL	South America	South America	1956	Male	60-64	300
Colombia	COL	South America	South America	1956	Male	65-69	269
Colombia	COL	South America	South America	1956	Male	70-74	245
Colombia	COL	South America	South America	1956	Male	75-79	198
Colombia	COL	South America	South America	1956	Male	80-84	94
Colombia	COL	South America	South America	1956	Male	85+	105
Colombia	COL	South America	South America	1957	Female	0-4	19
Colombia	COL	South America	South America	1957	Female	10-14	14
Colombia	COL	South America	South America	1957	Female	15-19	27
Colombia	COL	South America	South America	1957	Female	20-24	31
Colombia	COL	South America	South America	1957	Female	25-29	56
Colombia	COL	South America	South America	1957	Female	30-34	110
Colombia	COL	South America	South America	1957	Female	35-39	186
Colombia	COL	South America	South America	1957	Female	40-44	206
Colombia	COL	South America	South America	1957	Female	45-49	325
Colombia	COL	South America	South America	1957	Female	5-9	16
Colombia	COL	South America	South America	1957	Female	50-54	365
Colombia	COL	South America	South America	1957	Female	55-59	328
Colombia	COL	South America	South America	1957	Female	60-64	373
Colombia	COL	South America	South America	1957	Female	65-69	336
Colombia	COL	South America	South America	1957	Female	70-74	313
Colombia	COL	South America	South America	1957	Female	75-79	248
Colombia	COL	South America	South America	1957	Female	80-84	131
Colombia	COL	South America	South America	1957	Female	85+	184
Colombia	COL	South America	South America	1957	Male	0-4	35
Colombia	COL	South America	South America	1957	Male	10-14	11
Colombia	COL	South America	South America	1957	Male	15-19	27
Colombia	COL	South America	South America	1957	Male	20-24	46
Colombia	COL	South America	South America	1957	Male	25-29	49
Colombia	COL	South America	South America	1957	Male	30-34	53
Colombia	COL	South America	South America	1957	Male	35-39	76
Colombia	COL	South America	South America	1957	Male	40-44	118
Colombia	COL	South America	South America	1957	Male	45-49	180
Colombia	COL	South America	South America	1957	Male	5-9	12
Colombia	COL	South America	South America	1957	Male	50-54	239
Colombia	COL	South America	South America	1957	Male	55-59	277
Colombia	COL	South America	South America	1957	Male	60-64	316
Colombia	COL	South America	South America	1957	Male	65-69	280
Colombia	COL	South America	South America	1957	Male	70-74	258
Colombia	COL	South America	South America	1957	Male	75-79	211
Colombia	COL	South America	South America	1957	Male	80-84	128
Colombia	COL	South America	South America	1957	Male	85+	158
Colombia	COL	South America	South America	1958	Female	0-4	41
Colombia	COL	South America	South America	1958	Female	10-14	19
Colombia	COL	South America	South America	1958	Female	15-19	26
Colombia	COL	South America	South America	1958	Female	20-24	43
Colombia	COL	South America	South America	1958	Female	25-29	69
Colombia	COL	South America	South America	1958	Female	30-34	92
Colombia	COL	South America	South America	1958	Female	35-39	201
Colombia	COL	South America	South America	1958	Female	40-44	246
Colombia	COL	South America	South America	1958	Female	45-49	325
Colombia	COL	South America	South America	1958	Female	5-9	21
Colombia	COL	South America	South America	1958	Female	50-54	360
Colombia	COL	South America	South America	1958	Female	55-59	352
Colombia	COL	South America	South America	1958	Female	60-64	420
Colombia	COL	South America	South America	1958	Female	65-69	352
Colombia	COL	South America	South America	1958	Female	70-74	332
Colombia	COL	South America	South America	1958	Female	75-79	244
Colombia	COL	South America	South America	1958	Female	80-84	163
Colombia	COL	South America	South America	1958	Female	85+	176
Colombia	COL	South America	South America	1958	Male	0-4	52
Colombia	COL	South America	South America	1958	Male	10-14	28
Colombia	COL	South America	South America	1958	Male	15-19	29
Colombia	COL	South America	South America	1958	Male	20-24	32
Colombia	COL	South America	South America	1958	Male	25-29	36
Colombia	COL	South America	South America	1958	Male	30-34	53
Colombia	COL	South America	South America	1958	Male	35-39	74
Colombia	COL	South America	South America	1958	Male	40-44	122
