country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Croatia	HRV	Europe	Southern Europe	1985	Female	0-4	11
Croatia	HRV	Europe	Southern Europe	1985	Female	10-14	4
Croatia	HRV	Europe	Southern Europe	1985	Female	15-19	4
Croatia	HRV	Europe	Southern Europe	1985	Female	20-24	11
Croatia	HRV	Europe	Southern Europe	1985	Female	25-29	15
Croatia	HRV	Europe	Southern Europe	1985	Female	30-34	30
Croatia	HRV	Europe	Southern Europe	1985	Female	35-39	66
Croatia	HRV	Europe	Southern Europe	1985	Female	40-44	96
Croatia	HRV	Europe	Southern Europe	1985	Female	45-49	184
Croatia	HRV	Europe	Southern Europe	1985	Female	5-9	9
Croatia	HRV	Europe	Southern Europe	1985	Female	50-54	281
Croatia	HRV	Europe	Southern Europe	1985	Female	55-59	370
Croatia	HRV	Europe	Southern Europe	1985	Female	60-64	484
Croatia	HRV	Europe	Southern Europe	1985	Female	65-69	402
Croatia	HRV	Europe	Southern Europe	1985	Female	70-74	608
Croatia	HRV	Europe	Southern Europe	1985	Female	75-79	643
Croatia	HRV	Europe	Southern Europe	1985	Female	80-84	352
Croatia	HRV	Europe	Southern Europe	1985	Female	85+	215
Croatia	HRV	Europe	Southern Europe	1985	Male	0-4	10
Croatia	HRV	Europe	Southern Europe	1985	Male	10-14	11
Croatia	HRV	Europe	Southern Europe	1985	Male	15-19	17
Croatia	HRV	Europe	Southern Europe	1985	Male	20-24	17
Croatia	HRV	Europe	Southern Europe	1985	Male	25-29	25
Croatia	HRV	Europe	Southern Europe	1985	Male	30-34	37
Croatia	HRV	Europe	Southern Europe	1985	Male	35-39	64
Croatia	HRV	Europe	Southern Europe	1985	Male	40-44	114
Croatia	HRV	Europe	Southern Europe	1985	Male	45-49	311
Croatia	HRV	Europe	Southern Europe	1985	Male	5-9	8
Croatia	HRV	Europe	Southern Europe	1985	Male	50-54	650
Croatia	HRV	Europe	Southern Europe	1985	Male	55-59	754
Croatia	HRV	Europe	Southern Europe	1985	Male	60-64	767
Croatia	HRV	Europe	Southern Europe	1985	Male	65-69	541
Croatia	HRV	Europe	Southern Europe	1985	Male	70-74	886
Croatia	HRV	Europe	Southern Europe	1985	Male	75-79	800
Croatia	HRV	Europe	Southern Europe	1985	Male	80-84	391
Croatia	HRV	Europe	Southern Europe	1985	Male	85+	132
Croatia	HRV	Europe	Southern Europe	1986	Female	0-4	9
Croatia	HRV	Europe	Southern Europe	1986	Female	10-14	3
Croatia	HRV	Europe	Southern Europe	1986	Female	15-19	4
Croatia	HRV	Europe	Southern Europe	1986	Female	20-24	9
Croatia	HRV	Europe	Southern Europe	1986	Female	25-29	20
Croatia	HRV	Europe	Southern Europe	1986	Female	30-34	35
Croatia	HRV	Europe	Southern Europe	1986	Female	35-39	60
Croatia	HRV	Europe	Southern Europe	1986	Female	40-44	101
Croatia	HRV	Europe	Southern Europe	1986	Female	45-49	155
Croatia	HRV	Europe	Southern Europe	1986	Female	5-9	8
Croatia	HRV	Europe	Southern Europe	1986	Female	50-54	289
Croatia	HRV	Europe	Southern Europe	1986	Female	55-59	362
Croatia	HRV	Europe	Southern Europe	1986	Female	60-64	552
Croatia	HRV	Europe	Southern Europe	1986	Female	65-69	441
Croatia	HRV	Europe	Southern Europe	1986	Female	70-74	536
Croatia	HRV	Europe	Southern Europe	1986	Female	75-79	665
Croatia	HRV	Europe	Southern Europe	1986	Female	80-84	422
Croatia	HRV	Europe	Southern Europe	1986	Female	85+	201
Croatia	HRV	Europe	Southern Europe	1986	Male	0-4	13
Croatia	HRV	Europe	Southern Europe	1986	Male	10-14	5
Croatia	HRV	Europe	Southern Europe	1986	Male	15-19	12
Croatia	HRV	Europe	Southern Europe	1986	Male	20-24	18
Croatia	HRV	Europe	Southern Europe	1986	Male	25-29	13
Croatia	HRV	Europe	Southern Europe	1986	Male	30-34	27
Croatia	HRV	Europe	Southern Europe	1986	Male	35-39	70
Croatia	HRV	Europe	Southern Europe	1986	Male	40-44	122
Croatia	HRV	Europe	Southern Europe	1986	Male	45-49	289
Croatia	HRV	Europe	Southern Europe	1986	Male	5-9	15
Croatia	HRV	Europe	Southern Europe	1986	Male	50-54	584
Croatia	HRV	Europe	Southern Europe	1986	Male	55-59	785
Croatia	HRV	Europe	Southern Europe	1986	Male	60-64	751
Croatia	HRV	Europe	Southern Europe	1986	Male	65-69	623
Croatia	HRV	Europe	Southern Europe	1986	Male	70-74	762
Croatia	HRV	Europe	Southern Europe	1986	Male	75-79	788
Croatia	HRV	Europe	Southern Europe	1986	Male	80-84	387
Croatia	HRV	Europe	Southern Europe	1986	Male	85+	145
Croatia	HRV	Europe	Southern Europe	1987	Female	0-4	11
Croatia	HRV	Europe	Southern Europe	1987	Female	10-14	1
Croatia	HRV	Europe	Southern Europe	1987	Female	15-19	4
Croatia	HRV	Europe	Southern Europe	1987	Female	20-24	13
Croatia	HRV	Europe	Southern Europe	1987	Female	25-29	19
Croatia	HRV	Europe	Southern Europe	1987	Female	30-34	36
Croatia	HRV	Europe	Southern Europe	1987	Female	35-39	74
Croatia	HRV	Europe	Southern Europe	1987	Female	40-44	98
Croatia	HRV	Europe	Southern Europe	1987	Female	45-49	179
Croatia	HRV	Europe	Southern Europe	1987	Female	5-9	3
Croatia	HRV	Europe	Southern Europe	1987	Female	50-54	281
Croatia	HRV	Europe	Southern Europe	1987	Female	55-59	423
Croatia	HRV	Europe	Southern Europe	1987	Female	60-64	536
Croatia	HRV	Europe	Southern Europe	1987	Female	65-69	534
Croatia	HRV	Europe	Southern Europe	1987	Female	70-74	485
Croatia	HRV	Europe	Southern Europe	1987	Female	75-79	674
Croatia	HRV	Europe	Southern Europe	1987	Female	80-84	443
Croatia	HRV	Europe	Southern Europe	1987	Female	85+	198
Croatia	HRV	Europe	Southern Europe	1987	Male	0-4	15
Croatia	HRV	Europe	Southern Europe	1987	Male	10-14	1
Croatia	HRV	Europe	Southern Europe	1987	Male	15-19	18
Croatia	HRV	Europe	Southern Europe	1987	Male	20-24	15
Croatia	HRV	Europe	Southern Europe	1987	Male	25-29	21
Croatia	HRV	Europe	Southern Europe	1987	Male	30-34	29
Croatia	HRV	Europe	Southern Europe	1987	Male	35-39	83
Croatia	HRV	Europe	Southern Europe	1987	Male	40-44	110
Croatia	HRV	Europe	Southern Europe	1987	Male	45-49	272
Croatia	HRV	Europe	Southern Europe	1987	Male	5-9	8
Croatia	HRV	Europe	Southern Europe	1987	Male	50-54	601
Croatia	HRV	Europe	Southern Europe	1987	Male	55-59	878
Croatia	HRV	Europe	Southern Europe	1987	Male	60-64	919
Croatia	HRV	Europe	Southern Europe	1987	Male	65-69	716
