country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Cuba	CUB	North America	Caribbean	1964	Female	0-4	48
Cuba	CUB	North America	Caribbean	1964	Female	10-14	19
Cuba	CUB	North America	Caribbean	1964	Female	15-19	19
Cuba	CUB	North America	Caribbean	1964	Female	20-24	19
Cuba	CUB	North America	Caribbean	1964	Female	25-29	30
Cuba	CUB	North America	Caribbean	1964	Female	30-34	55
Cuba	CUB	North America	Caribbean	1964	Female	35-39	92
Cuba	CUB	North America	Caribbean	1964	Female	40-44	150
Cuba	CUB	North America	Caribbean	1964	Female	45-49	193
Cuba	CUB	North America	Caribbean	1964	Female	5-9	20
Cuba	CUB	North America	Caribbean	1964	Female	50-54	320
Cuba	CUB	North America	Caribbean	1964	Female	55-59	329
Cuba	CUB	North America	Caribbean	1964	Female	60-64	362
Cuba	CUB	North America	Caribbean	1964	Female	65-69	260
Cuba	CUB	North America	Caribbean	1964	Female	70-74	342
Cuba	CUB	North America	Caribbean	1964	Female	75-79	342
Cuba	CUB	North America	Caribbean	1964	Female	80-84	226
Cuba	CUB	North America	Caribbean	1964	Female	85+	190
Cuba	CUB	North America	Caribbean	1964	Male	0-4	42
Cuba	CUB	North America	Caribbean	1964	Male	10-14	24
Cuba	CUB	North America	Caribbean	1964	Male	15-19	23
Cuba	CUB	North America	Caribbean	1964	Male	20-24	27
Cuba	CUB	North America	Caribbean	1964	Male	25-29	26
Cuba	CUB	North America	Caribbean	1964	Male	30-34	43
Cuba	CUB	North America	Caribbean	1964	Male	35-39	50
Cuba	CUB	North America	Caribbean	1964	Male	40-44	97
Cuba	CUB	North America	Caribbean	1964	Male	45-49	158
Cuba	CUB	North America	Caribbean	1964	Male	5-9	28
Cuba	CUB	North America	Caribbean	1964	Male	50-54	333
Cuba	CUB	North America	Caribbean	1964	Male	55-59	415
Cuba	CUB	North America	Caribbean	1964	Male	60-64	724
Cuba	CUB	North America	Caribbean	1964	Male	65-69	511
Cuba	CUB	North America	Caribbean	1964	Male	70-74	627
Cuba	CUB	North America	Caribbean	1964	Male	75-79	586
Cuba	CUB	North America	Caribbean	1964	Male	80-84	391
Cuba	CUB	North America	Caribbean	1964	Male	85+	264
Cuba	CUB	North America	Caribbean	1968	Female	0-4	54
Cuba	CUB	North America	Caribbean	1968	Female	10-14	26
Cuba	CUB	North America	Caribbean	1968	Female	15-19	24
Cuba	CUB	North America	Caribbean	1968	Female	20-24	27
Cuba	CUB	North America	Caribbean	1968	Female	25-29	42
Cuba	CUB	North America	Caribbean	1968	Female	30-34	51
Cuba	CUB	North America	Caribbean	1968	Female	35-39	120
Cuba	CUB	North America	Caribbean	1968	Female	40-44	140
Cuba	CUB	North America	Caribbean	1968	Female	45-49	214
Cuba	CUB	North America	Caribbean	1968	Female	5-9	29
Cuba	CUB	North America	Caribbean	1968	Female	50-54	272
Cuba	CUB	North America	Caribbean	1968	Female	55-59	324
Cuba	CUB	North America	Caribbean	1968	Female	60-64	400
Cuba	CUB	North America	Caribbean	1968	Female	65-69	409
Cuba	CUB	North America	Caribbean	1968	Female	70-74	296
Cuba	CUB	North America	Caribbean	1968	Female	75-79	321
Cuba	CUB	North America	Caribbean	1968	Female	80-84	260
Cuba	CUB	North America	Caribbean	1968	Female	85+	272
Cuba	CUB	North America	Caribbean	1968	Male	0-4	60
Cuba	CUB	North America	Caribbean	1968	Male	10-14	33
Cuba	CUB	North America	Caribbean	1968	Male	15-19	28
Cuba	CUB	North America	Caribbean	1968	Male	20-24	18
Cuba	CUB	North America	Caribbean	1968	Male	25-29	41
Cuba	CUB	North America	Caribbean	1968	Male	30-34	42
Cuba	CUB	North America	Caribbean	1968	Male	35-39	56
Cuba	CUB	North America	Caribbean	1968	Male	40-44	93
Cuba	CUB	North America	Caribbean	1968	Male	45-49	137
