country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Czech Rep.	CZE	Europe	Eastern Europe	1953	Female	0-4	52
Czech Rep.	CZE	Europe	Eastern Europe	1953	Female	10-14	32
Czech Rep.	CZE	Europe	Eastern Europe	1953	Female	15-19	32
Czech Rep.	CZE	Europe	Eastern Europe	1953	Female	20-24	46
Czech Rep.	CZE	Europe	Eastern Europe	1953	Female	25-29	79
Czech Rep.	CZE	Europe	Eastern Europe	1953	Female	30-34	134
Czech Rep.	CZE	Europe	Eastern Europe	1953	Female	35-39	181
Czech Rep.	CZE	Europe	Eastern Europe	1953	Female	40-44	436
Czech Rep.	CZE	Europe	Eastern Europe	1953	Female	45-49	694
Czech Rep.	CZE	Europe	Eastern Europe	1953	Female	5-9	30
Czech Rep.	CZE	Europe	Eastern Europe	1953	Female	50-54	965
Czech Rep.	CZE	Europe	Eastern Europe	1953	Female	55-59	1163
Czech Rep.	CZE	Europe	Eastern Europe	1953	Female	60-64	1267
Czech Rep.	CZE	Europe	Eastern Europe	1953	Female	65-69	1427
Czech Rep.	CZE	Europe	Eastern Europe	1953	Female	70-74	1376
Czech Rep.	CZE	Europe	Eastern Europe	1953	Female	75-79	1031
Czech Rep.	CZE	Europe	Eastern Europe	1953	Female	80-84	519
Czech Rep.	CZE	Europe	Eastern Europe	1953	Female	85+	202
Czech Rep.	CZE	Europe	Eastern Europe	1953	Male	0-4	76
Czech Rep.	CZE	Europe	Eastern Europe	1953	Male	10-14	35
Czech Rep.	CZE	Europe	Eastern Europe	1953	Male	15-19	43
Czech Rep.	CZE	Europe	Eastern Europe	1953	Male	20-24	54
Czech Rep.	CZE	Europe	Eastern Europe	1953	Male	25-29	67
Czech Rep.	CZE	Europe	Eastern Europe	1953	Male	30-34	97
Czech Rep.	CZE	Europe	Eastern Europe	1953	Male	35-39	120
Czech Rep.	CZE	Europe	Eastern Europe	1953	Male	40-44	327
Czech Rep.	CZE	Europe	Eastern Europe	1953	Male	45-49	553
Czech Rep.	CZE	Europe	Eastern Europe	1953	Male	5-9	50
Czech Rep.	CZE	Europe	Eastern Europe	1953	Male	50-54	1091
Czech Rep.	CZE	Europe	Eastern Europe	1953	Male	55-59	1286
Czech Rep.	CZE	Europe	Eastern Europe	1953	Male	60-64	1524
Czech Rep.	CZE	Europe	Eastern Europe	1953	Male	65-69	1660
Czech Rep.	CZE	Europe	Eastern Europe	1953	Male	70-74	1464
Czech Rep.	CZE	Europe	Eastern Europe	1953	Male	75-79	1084
Czech Rep.	CZE	Europe	Eastern Europe	1953	Male	80-84	465
Czech Rep.	CZE	Europe	Eastern Europe	1953	Male	85+	141
Czech Rep.	CZE	Europe	Eastern Europe	1954	Female	0-4	60
Czech Rep.	CZE	Europe	Eastern Europe	1954	Female	10-14	30
Czech Rep.	CZE	Europe	Eastern Europe	1954	Female	15-19	28
Czech Rep.	CZE	Europe	Eastern Europe	1954	Female	20-24	42
Czech Rep.	CZE	Europe	Eastern Europe	1954	Female	25-29	76
Czech Rep.	CZE	Europe	Eastern Europe	1954	Female	30-34	142
Czech Rep.	CZE	Europe	Eastern Europe	1954	Female	35-39	174
Czech Rep.	CZE	Europe	Eastern Europe	1954	Female	40-44	455
Czech Rep.	CZE	Europe	Eastern Europe	1954	Female	45-49	670
Czech Rep.	CZE	Europe	Eastern Europe	1954	Female	5-9	29
