country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Denmark	DNK	Europe	Northern Europe	1952	Female	0-4	24
Denmark	DNK	Europe	Northern Europe	1952	Female	10-14	10
Denmark	DNK	Europe	Northern Europe	1952	Female	15-19	5
Denmark	DNK	Europe	Northern Europe	1952	Female	20-24	17
Denmark	DNK	Europe	Northern Europe	1952	Female	25-29	24
Denmark	DNK	Europe	Northern Europe	1952	Female	30-34	41
Denmark	DNK	Europe	Northern Europe	1952	Female	35-39	92
Denmark	DNK	Europe	Northern Europe	1952	Female	40-44	166
Denmark	DNK	Europe	Northern Europe	1952	Female	45-49	243
Denmark	DNK	Europe	Northern Europe	1952	Female	5-9	7
Denmark	DNK	Europe	Northern Europe	1952	Female	50-54	319
Denmark	DNK	Europe	Northern Europe	1952	Female	55-59	363
Denmark	DNK	Europe	Northern Europe	1952	Female	60-64	458
Denmark	DNK	Europe	Northern Europe	1952	Female	65-69	536
Denmark	DNK	Europe	Northern Europe	1952	Female	70-74	555
Denmark	DNK	Europe	Northern Europe	1952	Female	75-79	536
Denmark	DNK	Europe	Northern Europe	1952	Female	80-84	354
Denmark	DNK	Europe	Northern Europe	1952	Female	85+	230
Denmark	DNK	Europe	Northern Europe	1952	Male	0-4	22
Denmark	DNK	Europe	Northern Europe	1952	Male	10-14	12
Denmark	DNK	Europe	Northern Europe	1952	Male	15-19	22
Denmark	DNK	Europe	Northern Europe	1952	Male	20-24	19
Denmark	DNK	Europe	Northern Europe	1952	Male	25-29	22
Denmark	DNK	Europe	Northern Europe	1952	Male	30-34	31
Denmark	DNK	Europe	Northern Europe	1952	Male	35-39	49
Denmark	DNK	Europe	Northern Europe	1952	Male	40-44	67
Denmark	DNK	Europe	Northern Europe	1952	Male	45-49	165
Denmark	DNK	Europe	Northern Europe	1952	Male	5-9	16
Denmark	DNK	Europe	Northern Europe	1952	Male	50-54	226
Denmark	DNK	Europe	Northern Europe	1952	Male	55-59	362
Denmark	DNK	Europe	Northern Europe	1952	Male	60-64	470
Denmark	DNK	Europe	Northern Europe	1952	Male	65-69	559
Denmark	DNK	Europe	Northern Europe	1952	Male	70-74	656
Denmark	DNK	Europe	Northern Europe	1952	Male	75-79	584
Denmark	DNK	Europe	Northern Europe	1952	Male	80-84	361
Denmark	DNK	Europe	Northern Europe	1952	Male	85+	151
Denmark	DNK	Europe	Northern Europe	1953	Female	0-4	21
Denmark	DNK	Europe	Northern Europe	1953	Female	10-14	8
Denmark	DNK	Europe	Northern Europe	1953	Female	15-19	11
