country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Dominican Rep.	DOM	North America	Caribbean	1965	Female	0-4	8
Dominican Rep.	DOM	North America	Caribbean	1965	Female	10-14	4
Dominican Rep.	DOM	North America	Caribbean	1965	Female	15-19	2
Dominican Rep.	DOM	North America	Caribbean	1965	Female	20-24	6
Dominican Rep.	DOM	North America	Caribbean	1965	Female	25-29	2
Dominican Rep.	DOM	North America	Caribbean	1965	Female	30-34	18
Dominican Rep.	DOM	North America	Caribbean	1965	Female	35-39	20
Dominican Rep.	DOM	North America	Caribbean	1965	Female	40-44	35
Dominican Rep.	DOM	North America	Caribbean	1965	Female	45-49	20
Dominican Rep.	DOM	North America	Caribbean	1965	Female	5-9	1
Dominican Rep.	DOM	North America	Caribbean	1965	Female	50-54	28
Dominican Rep.	DOM	North America	Caribbean	1965	Female	55-59	28
Dominican Rep.	DOM	North America	Caribbean	1965	Female	60-64	32
Dominican Rep.	DOM	North America	Caribbean	1965	Female	65-69	16
Dominican Rep.	DOM	North America	Caribbean	1965	Female	70-74	29
Dominican Rep.	DOM	North America	Caribbean	1965	Female	75-79	17
Dominican Rep.	DOM	North America	Caribbean	1965	Female	80-84	7
Dominican Rep.	DOM	North America	Caribbean	1965	Female	85+	16
Dominican Rep.	DOM	North America	Caribbean	1965	Male	0-4	10
Dominican Rep.	DOM	North America	Caribbean	1965	Male	10-14	1
Dominican Rep.	DOM	North America	Caribbean	1965	Male	15-19	4
Dominican Rep.	DOM	North America	Caribbean	1965	Male	20-24	8
Dominican Rep.	DOM	North America	Caribbean	1965	Male	25-29	4
Dominican Rep.	DOM	North America	Caribbean	1965	Male	30-34	4
Dominican Rep.	DOM	North America	Caribbean	1965	Male	35-39	12
Dominican Rep.	DOM	North America	Caribbean	1965	Male	40-44	11
Dominican Rep.	DOM	North America	Caribbean	1965	Male	45-49	13
Dominican Rep.	DOM	North America	Caribbean	1965	Male	5-9	6
Dominican Rep.	DOM	North America	Caribbean	1965	Male	50-54	17
Dominican Rep.	DOM	North America	Caribbean	1965	Male	55-59	26
Dominican Rep.	DOM	North America	Caribbean	1965	Male	60-64	36
Dominican Rep.	DOM	North America	Caribbean	1965	Male	65-69	31
Dominican Rep.	DOM	North America	Caribbean	1965	Male	70-74	22
Dominican Rep.	DOM	North America	Caribbean	1965	Male	75-79	21
Dominican Rep.	DOM	North America	Caribbean	1965	Male	80-84	13
Dominican Rep.	DOM	North America	Caribbean	1965	Male	85+	18
Dominican Rep.	DOM	North America	Caribbean	1966	Female	0-4	6
Dominican Rep.	DOM	North America	Caribbean	1966	Female	10-14	2
Dominican Rep.	DOM	North America	Caribbean	1966	Female	15-19	0
Dominican Rep.	DOM	North America	Caribbean	1966	Female	20-24	5
Dominican Rep.	DOM	North America	Caribbean	1966	Female	25-29	11
Dominican Rep.	DOM	North America	Caribbean	1966	Female	30-34	13
Dominican Rep.	DOM	North America	Caribbean	1966	Female	35-39	15
Dominican Rep.	DOM	North America	Caribbean	1966	Female	40-44	24
Dominican Rep.	DOM	North America	Caribbean	1966	Female	45-49	27
Dominican Rep.	DOM	North America	Caribbean	1966	Female	5-9	3
Dominican Rep.	DOM	North America	Caribbean	1966	Female	50-54	35
Dominican Rep.	DOM	North America	Caribbean	1966	Female	55-59	27
Dominican Rep.	DOM	North America	Caribbean	1966	Female	60-64	29
Dominican Rep.	DOM	North America	Caribbean	1966	Female	65-69	26
Dominican Rep.	DOM	North America	Caribbean	1966	Female	70-74	22
Dominican Rep.	DOM	North America	Caribbean	1966	Female	75-79	21
Dominican Rep.	DOM	North America	Caribbean	1966	Female	80-84	19
Dominican Rep.	DOM	North America	Caribbean	1966	Female	85+	25
Dominican Rep.	DOM	North America	Caribbean	1966	Male	0-4	4
Dominican Rep.	DOM	North America	Caribbean	1966	Male	10-14	2
Dominican Rep.	DOM	North America	Caribbean	1966	Male	15-19	7
Dominican Rep.	DOM	North America	Caribbean	1966	Male	20-24	3
Dominican Rep.	DOM	North America	Caribbean	1966	Male	25-29	7
Dominican Rep.	DOM	North America	Caribbean	1966	Male	30-34	6
Dominican Rep.	DOM	North America	Caribbean	1966	Male	35-39	9
Dominican Rep.	DOM	North America	Caribbean	1966	Male	40-44	11
Dominican Rep.	DOM	North America	Caribbean	1966	Male	45-49	22
Dominican Rep.	DOM	North America	Caribbean	1966	Male	5-9	5
Dominican Rep.	DOM	North America	Caribbean	1966	Male	50-54	22
Dominican Rep.	DOM	North America	Caribbean	1966	Male	55-59	16
Dominican Rep.	DOM	North America	Caribbean	1966	Male	60-64	35
Dominican Rep.	DOM	North America	Caribbean	1966	Male	65-69	34
Dominican Rep.	DOM	North America	Caribbean	1966	Male	70-74	35
Dominican Rep.	DOM	North America	Caribbean	1966	Male	75-79	20
Dominican Rep.	DOM	North America	Caribbean	1966	Male	80-84	16
Dominican Rep.	DOM	North America	Caribbean	1966	Male	85+	36
Dominican Rep.	DOM	North America	Caribbean	1967	Female	0-4	11
Dominican Rep.	DOM	North America	Caribbean	1967	Female	10-14	3
Dominican Rep.	DOM	North America	Caribbean	1967	Female	15-19	3
Dominican Rep.	DOM	North America	Caribbean	1967	Female	20-24	7
Dominican Rep.	DOM	North America	Caribbean	1967	Female	25-29	12
Dominican Rep.	DOM	North America	Caribbean	1967	Female	30-34	13
Dominican Rep.	DOM	North America	Caribbean	1967	Female	35-39	28
Dominican Rep.	DOM	North America	Caribbean	1967	Female	40-44	36
Dominican Rep.	DOM	North America	Caribbean	1967	Female	45-49	53
Dominican Rep.	DOM	North America	Caribbean	1967	Female	5-9	6
Dominican Rep.	DOM	North America	Caribbean	1967	Female	50-54	29
Dominican Rep.	DOM	North America	Caribbean	1967	Female	55-59	29
Dominican Rep.	DOM	North America	Caribbean	1967	Female	60-64	39
Dominican Rep.	DOM	North America	Caribbean	1967	Female	65-69	37
Dominican Rep.	DOM	North America	Caribbean	1967	Female	70-74	32
Dominican Rep.	DOM	North America	Caribbean	1967	Female	75-79	28
Dominican Rep.	DOM	North America	Caribbean	1967	Female	80-84	28
Dominican Rep.	DOM	North America	Caribbean	1967	Female	85+	14
Dominican Rep.	DOM	North America	Caribbean	1967	Male	0-4	4
Dominican Rep.	DOM	North America	Caribbean	1967	Male	10-14	4
Dominican Rep.	DOM	North America	Caribbean	1967	Male	15-19	6
Dominican Rep.	DOM	North America	Caribbean	1967	Male	20-24	2
Dominican Rep.	DOM	North America	Caribbean	1967	Male	25-29	8
Dominican Rep.	DOM	North America	Caribbean	1967	Male	30-34	10
Dominican Rep.	DOM	North America	Caribbean	1967	Male	35-39	10
Dominican Rep.	DOM	North America	Caribbean	1967	Male	40-44	15
Dominican Rep.	DOM	North America	Caribbean	1967	Male	45-49	17
Dominican Rep.	DOM	North America	Caribbean	1967	Male	5-9	4
Dominican Rep.	DOM	North America	Caribbean	1967	Male	50-54	32
Dominican Rep.	DOM	North America	Caribbean	1967	Male	55-59	31
Dominican Rep.	DOM	North America	Caribbean	1967	Male	60-64	48
Dominican Rep.	DOM	North America	Caribbean	1967	Male	65-69	44
Dominican Rep.	DOM	North America	Caribbean	1967	Male	70-74	42
Dominican Rep.	DOM	North America	Caribbean	1967	Male	75-79	33
Dominican Rep.	DOM	North America	Caribbean	1967	Male	80-84	24
Dominican Rep.	DOM	North America	Caribbean	1967	Male	85+	22
Dominican Rep.	DOM	North America	Caribbean	1968	Female	0-4	4
Dominican Rep.	DOM	North America	Caribbean	1968	Female	10-14	4
Dominican Rep.	DOM	North America	Caribbean	1968	Female	15-19	2
Dominican Rep.	DOM	North America	Caribbean	1968	Female	20-24	8
Dominican Rep.	DOM	North America	Caribbean	1968	Female	25-29	15
Dominican Rep.	DOM	North America	Caribbean	1968	Female	30-34	12
Dominican Rep.	DOM	North America	Caribbean	1968	Female	35-39	21
Dominican Rep.	DOM	North America	Caribbean	1968	Female	40-44	32
Dominican Rep.	DOM	North America	Caribbean	1968	Female	45-49	26
Dominican Rep.	DOM	North America	Caribbean	1968	Female	5-9	3
Dominican Rep.	DOM	North America	Caribbean	1968	Female	50-54	52
Dominican Rep.	DOM	North America	Caribbean	1968	Female	55-59	35
Dominican Rep.	DOM	North America	Caribbean	1968	Female	60-64	48
Dominican Rep.	DOM	North America	Caribbean	1968	Female	65-69	45
Dominican Rep.	DOM	North America	Caribbean	1968	Female	70-74	31
Dominican Rep.	DOM	North America	Caribbean	1968	Female	75-79	23
