country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Egypt	EGY	Africa	Northern Africa	1955	Female	0-4	28
Egypt	EGY	Africa	Northern Africa	1955	Female	10-14	7
Egypt	EGY	Africa	Northern Africa	1955	Female	15-19	10
Egypt	EGY	Africa	Northern Africa	1955	Female	20-24	14
Egypt	EGY	Africa	Northern Africa	1955	Female	25-29	38
Egypt	EGY	Africa	Northern Africa	1955	Female	30-34	49
Egypt	EGY	Africa	Northern Africa	1955	Female	35-39	74
Egypt	EGY	Africa	Northern Africa	1955	Female	40-44	94
Egypt	EGY	Africa	Northern Africa	1955	Female	45-49	106
Egypt	EGY	Africa	Northern Africa	1955	Female	5-9	15
Egypt	EGY	Africa	Northern Africa	1955	Female	50-54	102
Egypt	EGY	Africa	Northern Africa	1955	Female	55-59	94
Egypt	EGY	Africa	Northern Africa	1955	Female	60-64	115
Egypt	EGY	Africa	Northern Africa	1955	Female	65-69	85
Egypt	EGY	Africa	Northern Africa	1955	Female	70-74	94
Egypt	EGY	Africa	Northern Africa	1955	Female	75-79	32
Egypt	EGY	Africa	Northern Africa	1955	Female	80-84	49
Egypt	EGY	Africa	Northern Africa	1955	Female	85+	37
Egypt	EGY	Africa	Northern Africa	1955	Male	0-4	27
Egypt	EGY	Africa	Northern Africa	1955	Male	10-14	16
Egypt	EGY	Africa	Northern Africa	1955	Male	15-19	19
Egypt	EGY	Africa	Northern Africa	1955	Male	20-24	34
Egypt	EGY	Africa	Northern Africa	1955	Male	25-29	69
Egypt	EGY	Africa	Northern Africa	1955	Male	30-34	59
Egypt	EGY	Africa	Northern Africa	1955	Male	35-39	118
Egypt	EGY	Africa	Northern Africa	1955	Male	40-44	132
Egypt	EGY	Africa	Northern Africa	1955	Male	45-49	157
Egypt	EGY	Africa	Northern Africa	1955	Male	5-9	17
Egypt	EGY	Africa	Northern Africa	1955	Male	50-54	205
Egypt	EGY	Africa	Northern Africa	1955	Male	55-59	145
Egypt	EGY	Africa	Northern Africa	1955	Male	60-64	188
Egypt	EGY	Africa	Northern Africa	1955	Male	65-69	148
Egypt	EGY	Africa	Northern Africa	1955	Male	70-74	112
Egypt	EGY	Africa	Northern Africa	1955	Male	75-79	57
Egypt	EGY	Africa	Northern Africa	1955	Male	80-84	45
Egypt	EGY	Africa	Northern Africa	1955	Male	85+	48
Egypt	EGY	Africa	Northern Africa	1956	Female	0-4	21
Egypt	EGY	Africa	Northern Africa	1956	Female	10-14	12
Egypt	EGY	Africa	Northern Africa	1956	Female	15-19	17
Egypt	EGY	Africa	Northern Africa	1956	Female	20-24	15
Egypt	EGY	Africa	Northern Africa	1956	Female	25-29	26
Egypt	EGY	Africa	Northern Africa	1956	Female	30-34	44
Egypt	EGY	Africa	Northern Africa	1956	Female	35-39	81
Egypt	EGY	Africa	Northern Africa	1956	Female	40-44	96
Egypt	EGY	Africa	Northern Africa	1956	Female	45-49	117
Egypt	EGY	Africa	Northern Africa	1956	Female	5-9	19
Egypt	EGY	Africa	Northern Africa	1956	Female	50-54	156
Egypt	EGY	Africa	Northern Africa	1956	Female	55-59	111
Egypt	EGY	Africa	Northern Africa	1956	Female	60-64	114
Egypt	EGY	Africa	Northern Africa	1956	Female	65-69	67
Egypt	EGY	Africa	Northern Africa	1956	Female	70-74	98
Egypt	EGY	Africa	Northern Africa	1956	Female	75-79	48
Egypt	EGY	Africa	Northern Africa	1956	Female	80-84	46
Egypt	EGY	Africa	Northern Africa	1956	Female	85+	37
Egypt	EGY	Africa	Northern Africa	1956	Male	0-4	27
Egypt	EGY	Africa	Northern Africa	1956	Male	10-14	19
