country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
El Salvador	SLV	North America	Central America	1950	Female	0-4	2
El Salvador	SLV	North America	Central America	1950	Female	10-14	1
El Salvador	SLV	North America	Central America	1950	Female	15-19	2
El Salvador	SLV	North America	Central America	1950	Female	20-24	7
El Salvador	SLV	North America	Central America	1950	Female	25-29	18
El Salvador	SLV	North America	Central America	1950	Female	30-34	14
El Salvador	SLV	North America	Central America	1950	Female	35-39	21
El Salvador	SLV	North America	Central America	1950	Female	40-44	36
El Salvador	SLV	North America	Central America	1950	Female	45-49	22
El Salvador	SLV	North America	Central America	1950	Female	5-9	2
El Salvador	SLV	North America	Central America	1950	Female	50-54	13
El Salvador	SLV	North America	Central America	1950	Female	55-59	18
El Salvador	SLV	North America	Central America	1950	Female	60-64	33
El Salvador	SLV	North America	Central America	1950	Female	65-69	17
El Salvador	SLV	North America	Central America	1950	Female	70-74	30
El Salvador	SLV	North America	Central America	1950	Female	75-79	11
El Salvador	SLV	North America	Central America	1950	Female	80-84	6
El Salvador	SLV	North America	Central America	1950	Female	85+	9
El Salvador	SLV	North America	Central America	1950	Male	0-4	2
El Salvador	SLV	North America	Central America	1950	Male	10-14	0
El Salvador	SLV	North America	Central America	1950	Male	15-19	0
El Salvador	SLV	North America	Central America	1950	Male	20-24	4
El Salvador	SLV	North America	Central America	1950	Male	25-29	3
El Salvador	SLV	North America	Central America	1950	Male	30-34	3
El Salvador	SLV	North America	Central America	1950	Male	35-39	12
El Salvador	SLV	North America	Central America	1950	Male	40-44	13
El Salvador	SLV	North America	Central America	1950	Male	45-49	10
El Salvador	SLV	North America	Central America	1950	Male	5-9	0
El Salvador	SLV	North America	Central America	1950	Male	50-54	14
El Salvador	SLV	North America	Central America	1950	Male	55-59	11
El Salvador	SLV	North America	Central America	1950	Male	60-64	15
El Salvador	SLV	North America	Central America	1950	Male	65-69	21
El Salvador	SLV	North America	Central America	1950	Male	70-74	12
El Salvador	SLV	North America	Central America	1950	Male	75-79	7
El Salvador	SLV	North America	Central America	1950	Male	80-84	6
El Salvador	SLV	North America	Central America	1950	Male	85+	2
El Salvador	SLV	North America	Central America	1951	Female	0-4	5
El Salvador	SLV	North America	Central America	1951	Female	10-14	0
El Salvador	SLV	North America	Central America	1951	Female	15-19	3
El Salvador	SLV	North America	Central America	1951	Female	20-24	7
El Salvador	SLV	North America	Central America	1951	Female	25-29	7
El Salvador	SLV	North America	Central America	1951	Female	30-34	12
El Salvador	SLV	North America	Central America	1951	Female	35-39	21
El Salvador	SLV	North America	Central America	1951	Female	40-44	39
El Salvador	SLV	North America	Central America	1951	Female	45-49	25
El Salvador	SLV	North America	Central America	1951	Female	5-9	2
El Salvador	SLV	North America	Central America	1951	Female	50-54	44
El Salvador	SLV	North America	Central America	1951	Female	55-59	26
El Salvador	SLV	North America	Central America	1951	Female	60-64	23
El Salvador	SLV	North America	Central America	1951	Female	65-69	24
El Salvador	SLV	North America	Central America	1951	Female	70-74	27
El Salvador	SLV	North America	Central America	1951	Female	75-79	21
El Salvador	SLV	North America	Central America	1951	Female	80-84	13
El Salvador	SLV	North America	Central America	1951	Female	85+	9
El Salvador	SLV	North America	Central America	1951	Male	0-4	5
El Salvador	SLV	North America	Central America	1951	Male	10-14	2
El Salvador	SLV	North America	Central America	1951	Male	15-19	2
El Salvador	SLV	North America	Central America	1951	Male	20-24	1
El Salvador	SLV	North America	Central America	1951	Male	25-29	2
