country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Finland	FIN	Europe	Northern Europe	1952	Female	0-4	22
Finland	FIN	Europe	Northern Europe	1952	Female	10-14	10
Finland	FIN	Europe	Northern Europe	1952	Female	15-19	3
Finland	FIN	Europe	Northern Europe	1952	Female	20-24	12
Finland	FIN	Europe	Northern Europe	1952	Female	25-29	24
Finland	FIN	Europe	Northern Europe	1952	Female	30-34	37
Finland	FIN	Europe	Northern Europe	1952	Female	35-39	70
Finland	FIN	Europe	Northern Europe	1952	Female	40-44	90
Finland	FIN	Europe	Northern Europe	1952	Female	45-49	175
Finland	FIN	Europe	Northern Europe	1952	Female	5-9	14
Finland	FIN	Europe	Northern Europe	1952	Female	50-54	261
Finland	FIN	Europe	Northern Europe	1952	Female	55-59	310
Finland	FIN	Europe	Northern Europe	1952	Female	60-64	364
Finland	FIN	Europe	Northern Europe	1952	Female	65-69	435
Finland	FIN	Europe	Northern Europe	1952	Female	70-74	460
Finland	FIN	Europe	Northern Europe	1952	Female	75-79	390
Finland	FIN	Europe	Northern Europe	1952	Female	80-84	197
Finland	FIN	Europe	Northern Europe	1952	Female	85+	82
Finland	FIN	Europe	Northern Europe	1952	Male	0-4	27
Finland	FIN	Europe	Northern Europe	1952	Male	10-14	14
Finland	FIN	Europe	Northern Europe	1952	Male	15-19	11
Finland	FIN	Europe	Northern Europe	1952	Male	20-24	15
Finland	FIN	Europe	Northern Europe	1952	Male	25-29	14
Finland	FIN	Europe	Northern Europe	1952	Male	30-34	26
Finland	FIN	Europe	Northern Europe	1952	Male	35-39	61
Finland	FIN	Europe	Northern Europe	1952	Male	40-44	100
Finland	FIN	Europe	Northern Europe	1952	Male	45-49	189
Finland	FIN	Europe	Northern Europe	1952	Male	5-9	11
Finland	FIN	Europe	Northern Europe	1952	Male	50-54	304
Finland	FIN	Europe	Northern Europe	1952	Male	55-59	406
Finland	FIN	Europe	Northern Europe	1952	Male	60-64	454
Finland	FIN	Europe	Northern Europe	1952	Male	65-69	504
Finland	FIN	Europe	Northern Europe	1952	Male	70-74	426
Finland	FIN	Europe	Northern Europe	1952	Male	75-79	277
Finland	FIN	Europe	Northern Europe	1952	Male	80-84	134
Finland	FIN	Europe	Northern Europe	1952	Male	85+	45
Finland	FIN	Europe	Northern Europe	1953	Female	0-4	15
Finland	FIN	Europe	Northern Europe	1953	Female	10-14	3
Finland	FIN	Europe	Northern Europe	1953	Female	15-19	9
Finland	FIN	Europe	Northern Europe	1953	Female	20-24	17
Finland	FIN	Europe	Northern Europe	1953	Female	25-29	31
Finland	FIN	Europe	Northern Europe	1953	Female	30-34	42
Finland	FIN	Europe	Northern Europe	1953	Female	35-39	65
Finland	FIN	Europe	Northern Europe	1953	Female	40-44	119
Finland	FIN	Europe	Northern Europe	1953	Female	45-49	164
Finland	FIN	Europe	Northern Europe	1953	Female	5-9	15
Finland	FIN	Europe	Northern Europe	1953	Female	50-54	241
Finland	FIN	Europe	Northern Europe	1953	Female	55-59	324
Finland	FIN	Europe	Northern Europe	1953	Female	60-64	383
Finland	FIN	Europe	Northern Europe	1953	Female	65-69	436
Finland	FIN	Europe	Northern Europe	1953	Female	70-74	431
Finland	FIN	Europe	Northern Europe	1953	Female	75-79	401
Finland	FIN	Europe	Northern Europe	1953	Female	80-84	198
Finland	FIN	Europe	Northern Europe	1953	Female	85+	84
Finland	FIN	Europe	Northern Europe	1953	Male	0-4	24
Finland	FIN	Europe	Northern Europe	1953	Male	10-14	5
Finland	FIN	Europe	Northern Europe	1953	Male	15-19	8
Finland	FIN	Europe	Northern Europe	1953	Male	20-24	22
Finland	FIN	Europe	Northern Europe	1953	Male	25-29	18
Finland	FIN	Europe	Northern Europe	1953	Male	30-34	28
Finland	FIN	Europe	Northern Europe	1953	Male	35-39	59
Finland	FIN	Europe	Northern Europe	1953	Male	40-44	105
Finland	FIN	Europe	Northern Europe	1953	Male	45-49	190
Finland	FIN	Europe	Northern Europe	1953	Male	5-9	14
Finland	FIN	Europe	Northern Europe	1953	Male	50-54	315
Finland	FIN	Europe	Northern Europe	1953	Male	55-59	441
Finland	FIN	Europe	Northern Europe	1953	Male	60-64	478
Finland	FIN	Europe	Northern Europe	1953	Male	65-69	555
Finland	FIN	Europe	Northern Europe	1953	Male	70-74	440
Finland	FIN	Europe	Northern Europe	1953	Male	75-79	317
Finland	FIN	Europe	Northern Europe	1953	Male	80-84	129
Finland	FIN	Europe	Northern Europe	1953	Male	85+	31
Finland	FIN	Europe	Northern Europe	1954	Female	0-4	15
Finland	FIN	Europe	Northern Europe	1954	Female	10-14	8
Finland	FIN	Europe	Northern Europe	1954	Female	15-19	13
Finland	FIN	Europe	Northern Europe	1954	Female	20-24	10
Finland	FIN	Europe	Northern Europe	1954	Female	25-29	19
Finland	FIN	Europe	Northern Europe	1954	Female	30-34	46
Finland	FIN	Europe	Northern Europe	1954	Female	35-39	68
Finland	FIN	Europe	Northern Europe	1954	Female	40-44	110
Finland	FIN	Europe	Northern Europe	1954	Female	45-49	200
Finland	FIN	Europe	Northern Europe	1954	Female	5-9	15
Finland	FIN	Europe	Northern Europe	1954	Female	50-54	238
Finland	FIN	Europe	Northern Europe	1954	Female	55-59	306
Finland	FIN	Europe	Northern Europe	1954	Female	60-64	354
Finland	FIN	Europe	Northern Europe	1954	Female	65-69	399
Finland	FIN	Europe	Northern Europe	1954	Female	70-74	446
