country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
France	FRA	Europe	Western Europe	1950	Female	0-4	146
France	FRA	Europe	Western Europe	1950	Female	10-14	41
France	FRA	Europe	Western Europe	1950	Female	15-19	76
France	FRA	Europe	Western Europe	1950	Female	20-24	92
France	FRA	Europe	Western Europe	1950	Female	25-29	156
France	FRA	Europe	Western Europe	1950	Female	30-34	202
France	FRA	Europe	Western Europe	1950	Female	35-39	587
France	FRA	Europe	Western Europe	1950	Female	40-44	1116
France	FRA	Europe	Western Europe	1950	Female	45-49	1864
France	FRA	Europe	Western Europe	1950	Female	5-9	52
France	FRA	Europe	Western Europe	1950	Female	50-54	2648
France	FRA	Europe	Western Europe	1950	Female	55-59	3451
France	FRA	Europe	Western Europe	1950	Female	60-64	4363
France	FRA	Europe	Western Europe	1950	Female	65-69	5459
France	FRA	Europe	Western Europe	1950	Female	70-74	5972
France	FRA	Europe	Western Europe	1950	Female	75-79	5478
France	FRA	Europe	Western Europe	1950	Female	80-84	3383
France	FRA	Europe	Western Europe	1950	Female	85+	1908
France	FRA	Europe	Western Europe	1950	Male	0-4	189
France	FRA	Europe	Western Europe	1950	Male	10-14	72
France	FRA	Europe	Western Europe	1950	Male	15-19	109
France	FRA	Europe	Western Europe	1950	Male	20-24	144
France	FRA	Europe	Western Europe	1950	Male	25-29	173
France	FRA	Europe	Western Europe	1950	Male	30-34	150
France	FRA	Europe	Western Europe	1950	Male	35-39	370
France	FRA	Europe	Western Europe	1950	Male	40-44	875
France	FRA	Europe	Western Europe	1950	Male	45-49	1949
France	FRA	Europe	Western Europe	1950	Male	5-9	90
France	FRA	Europe	Western Europe	1950	Male	50-54	3161
France	FRA	Europe	Western Europe	1950	Male	55-59	3575
France	FRA	Europe	Western Europe	1950	Male	60-64	4562
France	FRA	Europe	Western Europe	1950	Male	65-69	5722
France	FRA	Europe	Western Europe	1950	Male	70-74	6254
France	FRA	Europe	Western Europe	1950	Male	75-79	4872
France	FRA	Europe	Western Europe	1950	Male	80-84	2454
France	FRA	Europe	Western Europe	1950	Male	85+	898
France	FRA	Europe	Western Europe	1952	Female	0-4	171
France	FRA	Europe	Western Europe	1952	Female	10-14	62
France	FRA	Europe	Western Europe	1952	Female	15-19	100
France	FRA	Europe	Western Europe	1952	Female	20-24	86
France	FRA	Europe	Western Europe	1952	Female	25-29	170
France	FRA	Europe	Western Europe	1952	Female	30-34	299
France	FRA	Europe	Western Europe	1952	Female	35-39	497
France	FRA	Europe	Western Europe	1952	Female	40-44	1154
