country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Germany	DEU	Europe	Western Europe	1973	Female	0-4	163
Germany	DEU	Europe	Western Europe	1973	Female	10-14	128
Germany	DEU	Europe	Western Europe	1973	Female	15-19	131
Germany	DEU	Europe	Western Europe	1973	Female	20-24	179
Germany	DEU	Europe	Western Europe	1973	Female	25-29	293
Germany	DEU	Europe	Western Europe	1973	Female	30-34	632
Germany	DEU	Europe	Western Europe	1973	Female	35-39	1206
Germany	DEU	Europe	Western Europe	1973	Female	40-44	1861
Germany	DEU	Europe	Western Europe	1973	Female	45-49	3524
Germany	DEU	Europe	Western Europe	1973	Female	5-9	216
Germany	DEU	Europe	Western Europe	1973	Female	50-54	5442
Germany	DEU	Europe	Western Europe	1973	Female	55-59	6088
Germany	DEU	Europe	Western Europe	1973	Female	60-64	11417
Germany	DEU	Europe	Western Europe	1973	Female	65-69	14243
Germany	DEU	Europe	Western Europe	1973	Female	70-74	16000
Germany	DEU	Europe	Western Europe	1973	Female	75-79	14904
Germany	DEU	Europe	Western Europe	1973	Female	80-84	10223
Germany	DEU	Europe	Western Europe	1973	Female	85+	5574
Germany	DEU	Europe	Western Europe	1973	Male	0-4	221
Germany	DEU	Europe	Western Europe	1973	Male	10-14	173
Germany	DEU	Europe	Western Europe	1973	Male	15-19	234
Germany	DEU	Europe	Western Europe	1973	Male	20-24	310
Germany	DEU	Europe	Western Europe	1973	Male	25-29	354
Germany	DEU	Europe	Western Europe	1973	Male	30-34	653
Germany	DEU	Europe	Western Europe	1973	Male	35-39	973
Germany	DEU	Europe	Western Europe	1973	Male	40-44	1601
Germany	DEU	Europe	Western Europe	1973	Male	45-49	2524
Germany	DEU	Europe	Western Europe	1973	Male	5-9	236
Germany	DEU	Europe	Western Europe	1973	Male	50-54	3762
Germany	DEU	Europe	Western Europe	1973	Male	55-59	5212
Germany	DEU	Europe	Western Europe	1973	Male	60-64	12308
Germany	DEU	Europe	Western Europe	1973	Male	65-69	18545
Germany	DEU	Europe	Western Europe	1973	Male	70-74	19767
Germany	DEU	Europe	Western Europe	1973	Male	75-79	13735
Germany	DEU	Europe	Western Europe	1973	Male	80-84	7812
Germany	DEU	Europe	Western Europe	1973	Male	85+	3818
Germany	DEU	Europe	Western Europe	1974	Female	0-4	139
Germany	DEU	Europe	Western Europe	1974	Female	10-14	122
Germany	DEU	Europe	Western Europe	1974	Female	15-19	126
Germany	DEU	Europe	Western Europe	1974	Female	20-24	174
Germany	DEU	Europe	Western Europe	1974	Female	25-29	257
Germany	DEU	Europe	Western Europe	1974	Female	30-34	682
Germany	DEU	Europe	Western Europe	1974	Female	35-39	1169
Germany	DEU	Europe	Western Europe	1974	Female	40-44	1875
Germany	DEU	Europe	Western Europe	1974	Female	45-49	3569
Germany	DEU	Europe	Western Europe	1974	Female	5-9	161
Germany	DEU	Europe	Western Europe	1974	Female	50-54	5930
Germany	DEU	Europe	Western Europe	1974	Female	55-59	5314
Germany	DEU	Europe	Western Europe	1974	Female	60-64	11134
Germany	DEU	Europe	Western Europe	1974	Female	65-69	14582
Germany	DEU	Europe	Western Europe	1974	Female	70-74	15946
Germany	DEU	Europe	Western Europe	1974	Female	75-79	15259
Germany	DEU	Europe	Western Europe	1974	Female	80-84	10669
Germany	DEU	Europe	Western Europe	1974	Female	85+	6055
Germany	DEU	Europe	Western Europe	1974	Male	0-4	170
Germany	DEU	Europe	Western Europe	1974	Male	10-14	180
Germany	DEU	Europe	Western Europe	1974	Male	15-19	260
Germany	DEU	Europe	Western Europe	1974	Male	20-24	315
Germany	DEU	Europe	Western Europe	1974	Male	25-29	340
Germany	DEU	Europe	Western Europe	1974	Male	30-34	598
Germany	DEU	Europe	Western Europe	1974	Male	35-39	1047
Germany	DEU	Europe	Western Europe	1974	Male	40-44	1569
Germany	DEU	Europe	Western Europe	1974	Male	45-49	2738
Germany	DEU	Europe	Western Europe	1974	Male	5-9	246
Germany	DEU	Europe	Western Europe	1974	Male	50-54	4246
Germany	DEU	Europe	Western Europe	1974	Male	55-59	4755
Germany	DEU	Europe	Western Europe	1974	Male	60-64	11832
Germany	DEU	Europe	Western Europe	1974	Male	65-69	18228
Germany	DEU	Europe	Western Europe	1974	Male	70-74	20467
Germany	DEU	Europe	Western Europe	1974	Male	75-79	14248
Germany	DEU	Europe	Western Europe	1974	Male	80-84	7868
Germany	DEU	Europe	Western Europe	1974	Male	85+	3978
Germany	DEU	Europe	Western Europe	1975	Female	0-4	134
Germany	DEU	Europe	Western Europe	1975	Female	10-14	129
Germany	DEU	Europe	Western Europe	1975	Female	15-19	149
Germany	DEU	Europe	Western Europe	1975	Female	20-24	168
Germany	DEU	Europe	Western Europe	1975	Female	25-29	236
Germany	DEU	Europe	Western Europe	1975	Female	30-34	578
Germany	DEU	Europe	Western Europe	1975	Female	35-39	1184
Germany	DEU	Europe	Western Europe	1975	Female	40-44	1864
Germany	DEU	Europe	Western Europe	1975	Female	45-49	3266
Germany	DEU	Europe	Western Europe	1975	Female	5-9	152
Germany	DEU	Europe	Western Europe	1975	Female	50-54	5839
Germany	DEU	Europe	Western Europe	1975	Female	55-59	5411
Germany	DEU	Europe	Western Europe	1975	Female	60-64	10912
Germany	DEU	Europe	Western Europe	1975	Female	65-69	14554
Germany	DEU	Europe	Western Europe	1975	Female	70-74	16399
Germany	DEU	Europe	Western Europe	1975	Female	75-79	15831
Germany	DEU	Europe	Western Europe	1975	Female	80-84	11269
Germany	DEU	Europe	Western Europe	1975	Female	85+	6456
Germany	DEU	Europe	Western Europe	1975	Male	0-4	166
Germany	DEU	Europe	Western Europe	1975	Male	10-14	184
Germany	DEU	Europe	Western Europe	1975	Male	15-19	246
Germany	DEU	Europe	Western Europe	1975	Male	20-24	310
Germany	DEU	Europe	Western Europe	1975	Male	25-29	333
Germany	DEU	Europe	Western Europe	1975	Male	30-34	552
Germany	DEU	Europe	Western Europe	1975	Male	35-39	998
Germany	DEU	Europe	Western Europe	1975	Male	40-44	1622
Germany	DEU	Europe	Western Europe	1975	Male	45-49	2920
Germany	DEU	Europe	Western Europe	1975	Male	5-9	206
Germany	DEU	Europe	Western Europe	1975	Male	50-54	4204
Germany	DEU	Europe	Western Europe	1975	Male	55-59	4748
Germany	DEU	Europe	Western Europe	1975	Male	60-64	11682
Germany	DEU	Europe	Western Europe	1975	Male	65-69	17889
Germany	DEU	Europe	Western Europe	1975	Male	70-74	21111
Germany	DEU	Europe	Western Europe	1975	Male	75-79	15396
Germany	DEU	Europe	Western Europe	1975	Male	80-84	8348
Germany	DEU	Europe	Western Europe	1975	Male	85+	4146
Germany	DEU	Europe	Western Europe	1976	Female	0-4	128
Germany	DEU	Europe	Western Europe	1976	Female	10-14	145
Germany	DEU	Europe	Western Europe	1976	Female	15-19	164
Germany	DEU	Europe	Western Europe	1976	Female	20-24	146
Germany	DEU	Europe	Western Europe	1976	Female	25-29	278
Germany	DEU	Europe	Western Europe	1976	Female	30-34	500
Germany	DEU	Europe	Western Europe	1976	Female	35-39	1190
Germany	DEU	Europe	Western Europe	1976	Female	40-44	1859
Germany	DEU	Europe	Western Europe	1976	Female	45-49	3233
Germany	DEU	Europe	Western Europe	1976	Female	5-9	117
Germany	DEU	Europe	Western Europe	1976	Female	50-54	5473
Germany	DEU	Europe	Western Europe	1976	Female	55-59	6010
Germany	DEU	Europe	Western Europe	1976	Female	60-64	10155
Germany	DEU	Europe	Western Europe	1976	Female	65-69	14645
Germany	DEU	Europe	Western Europe	1976	Female	70-74	16649
Germany	DEU	Europe	Western Europe	1976	Female	75-79	16115
Germany	DEU	Europe	Western Europe	1976	Female	80-84	11411
Germany	DEU	Europe	Western Europe	1976	Female	85+	6786
Germany	DEU	Europe	Western Europe	1976	Male	0-4	136
Germany	DEU	Europe	Western Europe	1976	Male	10-14	179
Germany	DEU	Europe	Western Europe	1976	Male	15-19	237
Germany	DEU	Europe	Western Europe	1976	Male	20-24	307
Germany	DEU	Europe	Western Europe	1976	Male	25-29	389
Germany	DEU	Europe	Western Europe	1976	Male	30-34	493
Germany	DEU	Europe	Western Europe	1976	Male	35-39	1053
Germany	DEU	Europe	Western Europe	1976	Male	40-44	1590
Germany	DEU	Europe	Western Europe	1976	Male	45-49	3045
Germany	DEU	Europe	Western Europe	1976	Male	5-9	174
Germany	DEU	Europe	Western Europe	1976	Male	50-54	4131
Germany	DEU	Europe	Western Europe	1976	Male	55-59	5041
Germany	DEU	Europe	Western Europe	1976	Male	60-64	10436
Germany	DEU	Europe	Western Europe	1976	Male	65-69	17368
Germany	DEU	Europe	Western Europe	1976	Male	70-74	21161
Germany	DEU	Europe	Western Europe	1976	Male	75-79	16123
Germany	DEU	Europe	Western Europe	1976	Male	80-84	8470
Germany	DEU	Europe	Western Europe	1976	Male	85+	4382
Germany	DEU	Europe	Western Europe	1977	Female	0-4	110
Germany	DEU	Europe	Western Europe	1977	Female	10-14	117
Germany	DEU	Europe	Western Europe	1977	Female	15-19	179
Germany	DEU	Europe	Western Europe	1977	Female	20-24	174
Germany	DEU	Europe	Western Europe	1977	Female	25-29	267
Germany	DEU	Europe	Western Europe	1977	Female	30-34	486
Germany	DEU	Europe	Western Europe	1977	Female	35-39	1190
Germany	DEU	Europe	Western Europe	1977	Female	40-44	1882
Germany	DEU	Europe	Western Europe	1977	Female	45-49	2981
Germany	DEU	Europe	Western Europe	1977	Female	5-9	120
Germany	DEU	Europe	Western Europe	1977	Female	50-54	5187
Germany	DEU	Europe	Western Europe	1977	Female	55-59	6643
Germany	DEU	Europe	Western Europe	1977	Female	60-64	9044
Germany	DEU	Europe	Western Europe	1977	Female	65-69	14264
Germany	DEU	Europe	Western Europe	1977	Female	70-74	16695
Germany	DEU	Europe	Western Europe	1977	Female	75-79	16415
Germany	DEU	Europe	Western Europe	1977	Female	80-84	11980
Germany	DEU	Europe	Western Europe	1977	Female	85+	7124
Germany	DEU	Europe	Western Europe	1977	Male	0-4	122
Germany	DEU	Europe	Western Europe	1977	Male	10-14	176
Germany	DEU	Europe	Western Europe	1977	Male	15-19	232
Germany	DEU	Europe	Western Europe	1977	Male	20-24	309
Germany	DEU	Europe	Western Europe	1977	Male	25-29	369
Germany	DEU	Europe	Western Europe	1977	Male	30-34	487
Germany	DEU	Europe	Western Europe	1977	Male	35-39	1086
Germany	DEU	Europe	Western Europe	1977	Male	40-44	1658
Germany	DEU	Europe	Western Europe	1977	Male	45-49	3080
Germany	DEU	Europe	Western Europe	1977	Male	5-9	219
Germany	DEU	Europe	Western Europe	1977	Male	50-54	4280
Germany	DEU	Europe	Western Europe	1977	Male	55-59	5861
Germany	DEU	Europe	Western Europe	1977	Male	60-64	9572
Germany	DEU	Europe	Western Europe	1977	Male	65-69	16880
Germany	DEU	Europe	Western Europe	1977	Male	70-74	21050
Germany	DEU	Europe	Western Europe	1977	Male	75-79	17028
Germany	DEU	Europe	Western Europe	1977	Male	80-84	8646
Germany	DEU	Europe	Western Europe	1977	Male	85+	4413
Germany	DEU	Europe	Western Europe	1978	Female	0-4	98
Germany	DEU	Europe	Western Europe	1978	Female	10-14	131
Germany	DEU	Europe	Western Europe	1978	Female	15-19	173
Germany	DEU	Europe	Western Europe	1978	Female	20-24	166
Germany	DEU	Europe	Western Europe	1978	Female	25-29	294
Germany	DEU	Europe	Western Europe	1978	Female	30-34	530
Germany	DEU	Europe	Western Europe	1978	Female	35-39	1073
Germany	DEU	Europe	Western Europe	1978	Female	40-44	1918
Germany	DEU	Europe	Western Europe	1978	Female	45-49	3044
Germany	DEU	Europe	Western Europe	1978	Female	5-9	122
Germany	DEU	Europe	Western Europe	1978	Female	50-54	4917
Germany	DEU	Europe	Western Europe	1978	Female	55-59	7326
Germany	DEU	Europe	Western Europe	1978	Female	60-64	8023
Germany	DEU	Europe	Western Europe	1978	Female	65-69	14149
Germany	DEU	Europe	Western Europe	1978	Female	70-74	16958
Germany	DEU	Europe	Western Europe	1978	Female	75-79	16732
Germany	DEU	Europe	Western Europe	1978	Female	80-84	12658
Germany	DEU	Europe	Western Europe	1978	Female	85+	7647
Germany	DEU	Europe	Western Europe	1978	Male	0-4	96
Germany	DEU	Europe	Western Europe	1978	Male	10-14	167
Germany	DEU	Europe	Western Europe	1978	Male	15-19	282
Germany	DEU	Europe	Western Europe	1978	Male	20-24	334
Germany	DEU	Europe	Western Europe	1978	Male	25-29	365
Germany	DEU	Europe	Western Europe	1978	Male	30-34	460
Germany	DEU	Europe	Western Europe	1978	Male	35-39	1106
Germany	DEU	Europe	Western Europe	1978	Male	40-44	1775
Germany	DEU	Europe	Western Europe	1978	Male	45-49	3307
Germany	DEU	Europe	Western Europe	1978	Male	5-9	169
Germany	DEU	Europe	Western Europe	1978	Male	50-54	4538
Germany	DEU	Europe	Western Europe	1978	Male	55-59	6455
Germany	DEU	Europe	Western Europe	1978	Male	60-64	8174
Germany	DEU	Europe	Western Europe	1978	Male	65-69	16281
Germany	DEU	Europe	Western Europe	1978	Male	70-74	20835
Germany	DEU	Europe	Western Europe	1978	Male	75-79	17944
Germany	DEU	Europe	Western Europe	1978	Male	80-84	9224
