country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Greece	GRC	Europe	Southern Europe	1961	Female	0-4	52
Greece	GRC	Europe	Southern Europe	1961	Female	10-14	20
Greece	GRC	Europe	Southern Europe	1961	Female	15-19	15
Greece	GRC	Europe	Southern Europe	1961	Female	20-24	20
Greece	GRC	Europe	Southern Europe	1961	Female	25-29	29
Greece	GRC	Europe	Southern Europe	1961	Female	30-34	68
Greece	GRC	Europe	Southern Europe	1961	Female	35-39	93
Greece	GRC	Europe	Southern Europe	1961	Female	40-44	155
Greece	GRC	Europe	Southern Europe	1961	Female	45-49	285
Greece	GRC	Europe	Southern Europe	1961	Female	5-9	22
Greece	GRC	Europe	Southern Europe	1961	Female	50-54	333
Greece	GRC	Europe	Southern Europe	1961	Female	55-59	367
Greece	GRC	Europe	Southern Europe	1961	Female	60-64	499
Greece	GRC	Europe	Southern Europe	1961	Female	65-69	449
Greece	GRC	Europe	Southern Europe	1961	Female	70-74	503
Greece	GRC	Europe	Southern Europe	1961	Female	75-79	406
Greece	GRC	Europe	Southern Europe	1961	Female	80-84	307
Greece	GRC	Europe	Southern Europe	1961	Female	85+	225
Greece	GRC	Europe	Southern Europe	1961	Male	0-4	60
Greece	GRC	Europe	Southern Europe	1961	Male	10-14	20
Greece	GRC	Europe	Southern Europe	1961	Male	15-19	30
Greece	GRC	Europe	Southern Europe	1961	Male	20-24	37
Greece	GRC	Europe	Southern Europe	1961	Male	25-29	37
Greece	GRC	Europe	Southern Europe	1961	Male	30-34	48
Greece	GRC	Europe	Southern Europe	1961	Male	35-39	60
Greece	GRC	Europe	Southern Europe	1961	Male	40-44	125
Greece	GRC	Europe	Southern Europe	1961	Male	45-49	226
Greece	GRC	Europe	Southern Europe	1961	Male	5-9	31
Greece	GRC	Europe	Southern Europe	1961	Male	50-54	390
Greece	GRC	Europe	Southern Europe	1961	Male	55-59	574
Greece	GRC	Europe	Southern Europe	1961	Male	60-64	783
Greece	GRC	Europe	Southern Europe	1961	Male	65-69	752
Greece	GRC	Europe	Southern Europe	1961	Male	70-74	705
Greece	GRC	Europe	Southern Europe	1961	Male	75-79	553
Greece	GRC	Europe	Southern Europe	1961	Male	80-84	400
Greece	GRC	Europe	Southern Europe	1961	Male	85+	191
Greece	GRC	Europe	Southern Europe	1962	Female	0-4	39
Greece	GRC	Europe	Southern Europe	1962	Female	10-14	22
Greece	GRC	Europe	Southern Europe	1962	Female	15-19	17
Greece	GRC	Europe	Southern Europe	1962	Female	20-24	33
Greece	GRC	Europe	Southern Europe	1962	Female	25-29	41
Greece	GRC	Europe	Southern Europe	1962	Female	30-34	65
Greece	GRC	Europe	Southern Europe	1962	Female	35-39	108
Greece	GRC	Europe	Southern Europe	1962	Female	40-44	166
Greece	GRC	Europe	Southern Europe	1962	Female	45-49	262
Greece	GRC	Europe	Southern Europe	1962	Female	5-9	24
Greece	GRC	Europe	Southern Europe	1962	Female	50-54	334
Greece	GRC	Europe	Southern Europe	1962	Female	55-59	392
Greece	GRC	Europe	Southern Europe	1962	Female	60-64	457
Greece	GRC	Europe	Southern Europe	1962	Female	65-69	533
Greece	GRC	Europe	Southern Europe	1962	Female	70-74	505
Greece	GRC	Europe	Southern Europe	1962	Female	75-79	403
Greece	GRC	Europe	Southern Europe	1962	Female	80-84	299
Greece	GRC	Europe	Southern Europe	1962	Female	85+	185
Greece	GRC	Europe	Southern Europe	1962	Male	0-4	40
Greece	GRC	Europe	Southern Europe	1962	Male	10-14	29
Greece	GRC	Europe	Southern Europe	1962	Male	15-19	26
Greece	GRC	Europe	Southern Europe	1962	Male	20-24	33
Greece	GRC	Europe	Southern Europe	1962	Male	25-29	42
Greece	GRC	Europe	Southern Europe	1962	Male	30-34	51
Greece	GRC	Europe	Southern Europe	1962	Male	35-39	77
Greece	GRC	Europe	Southern Europe	1962	Male	40-44	107
Greece	GRC	Europe	Southern Europe	1962	Male	45-49	209
Greece	GRC	Europe	Southern Europe	1962	Male	5-9	21
Greece	GRC	Europe	Southern Europe	1962	Male	50-54	402
Greece	GRC	Europe	Southern Europe	1962	Male	55-59	619
Greece	GRC	Europe	Southern Europe	1962	Male	60-64	869
Greece	GRC	Europe	Southern Europe	1962	Male	65-69	804
Greece	GRC	Europe	Southern Europe	1962	Male	70-74	763
Greece	GRC	Europe	Southern Europe	1962	Male	75-79	552
Greece	GRC	Europe	Southern Europe	1962	Male	80-84	383
Greece	GRC	Europe	Southern Europe	1962	Male	85+	195
Greece	GRC	Europe	Southern Europe	1963	Female	0-4	40
Greece	GRC	Europe	Southern Europe	1963	Female	10-14	17
Greece	GRC	Europe	Southern Europe	1963	Female	15-19	18
Greece	GRC	Europe	Southern Europe	1963	Female	20-24	27
Greece	GRC	Europe	Southern Europe	1963	Female	25-29	44
Greece	GRC	Europe	Southern Europe	1963	Female	30-34	60
Greece	GRC	Europe	Southern Europe	1963	Female	35-39	116
Greece	GRC	Europe	Southern Europe	1963	Female	40-44	178
Greece	GRC	Europe	Southern Europe	1963	Female	45-49	255
Greece	GRC	Europe	Southern Europe	1963	Female	5-9	16
Greece	GRC	Europe	Southern Europe	1963	Female	50-54	333
Greece	GRC	Europe	Southern Europe	1963	Female	55-59	430
Greece	GRC	Europe	Southern Europe	1963	Female	60-64	464
Greece	GRC	Europe	Southern Europe	1963	Female	65-69	517
Greece	GRC	Europe	Southern Europe	1963	Female	70-74	568
Greece	GRC	Europe	Southern Europe	1963	Female	75-79	443
Greece	GRC	Europe	Southern Europe	1963	Female	80-84	259
Greece	GRC	Europe	Southern Europe	1963	Female	85+	186
Greece	GRC	Europe	Southern Europe	1963	Male	0-4	44
Greece	GRC	Europe	Southern Europe	1963	Male	10-14	30
Greece	GRC	Europe	Southern Europe	1963	Male	15-19	23
Greece	GRC	Europe	Southern Europe	1963	Male	20-24	26
Greece	GRC	Europe	Southern Europe	1963	Male	25-29	40
Greece	GRC	Europe	Southern Europe	1963	Male	30-34	51
Greece	GRC	Europe	Southern Europe	1963	Male	35-39	76
Greece	GRC	Europe	Southern Europe	1963	Male	40-44	115
Greece	GRC	Europe	Southern Europe	1963	Male	45-49	217
Greece	GRC	Europe	Southern Europe	1963	Male	5-9	33
Greece	GRC	Europe	Southern Europe	1963	Male	50-54	416
Greece	GRC	Europe	Southern Europe	1963	Male	55-59	667
Greece	GRC	Europe	Southern Europe	1963	Male	60-64	834
Greece	GRC	Europe	Southern Europe	1963	Male	65-69	838
Greece	GRC	Europe	Southern Europe	1963	Male	70-74	785
Greece	GRC	Europe	Southern Europe	1963	Male	75-79	633
Greece	GRC	Europe	Southern Europe	1963	Male	80-84	415
Greece	GRC	Europe	Southern Europe	1963	Male	85+	222
Greece	GRC	Europe	Southern Europe	1964	Female	0-4	44
Greece	GRC	Europe	Southern Europe	1964	Female	10-14	13
Greece	GRC	Europe	Southern Europe	1964	Female	15-19	17
Greece	GRC	Europe	Southern Europe	1964	Female	20-24	24
Greece	GRC	Europe	Southern Europe	1964	Female	25-29	42
Greece	GRC	Europe	Southern Europe	1964	Female	30-34	64
Greece	GRC	Europe	Southern Europe	1964	Female	35-39	132
