country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Guatemala	GTM	North America	Central America	1963	Female	0-4	9
Guatemala	GTM	North America	Central America	1963	Female	10-14	6
Guatemala	GTM	North America	Central America	1963	Female	15-19	9
Guatemala	GTM	North America	Central America	1963	Female	20-24	8
Guatemala	GTM	North America	Central America	1963	Female	25-29	12
Guatemala	GTM	North America	Central America	1963	Female	30-34	25
Guatemala	GTM	North America	Central America	1963	Female	35-39	37
Guatemala	GTM	North America	Central America	1963	Female	40-44	51
Guatemala	GTM	North America	Central America	1963	Female	45-49	64
Guatemala	GTM	North America	Central America	1963	Female	5-9	4
Guatemala	GTM	North America	Central America	1963	Female	50-54	61
Guatemala	GTM	North America	Central America	1963	Female	55-59	78
Guatemala	GTM	North America	Central America	1963	Female	60-64	83
Guatemala	GTM	North America	Central America	1963	Female	65-69	69
Guatemala	GTM	North America	Central America	1963	Female	70-74	63
Guatemala	GTM	North America	Central America	1963	Female	75-79	39
Guatemala	GTM	North America	Central America	1963	Female	80-84	24
Guatemala	GTM	North America	Central America	1963	Female	85+	18
Guatemala	GTM	North America	Central America	1963	Male	0-4	10
Guatemala	GTM	North America	Central America	1963	Male	10-14	7
Guatemala	GTM	North America	Central America	1963	Male	15-19	11
Guatemala	GTM	North America	Central America	1963	Male	20-24	3
Guatemala	GTM	North America	Central America	1963	Male	25-29	4
Guatemala	GTM	North America	Central America	1963	Male	30-34	14
Guatemala	GTM	North America	Central America	1963	Male	35-39	22
Guatemala	GTM	North America	Central America	1963	Male	40-44	20
Guatemala	GTM	North America	Central America	1963	Male	45-49	37
Guatemala	GTM	North America	Central America	1963	Male	5-9	7
Guatemala	GTM	North America	Central America	1963	Male	50-54	42
Guatemala	GTM	North America	Central America	1963	Male	55-59	50
Guatemala	GTM	North America	Central America	1963	Male	60-64	62
Guatemala	GTM	North America	Central America	1963	Male	65-69	58
Guatemala	GTM	North America	Central America	1963	Male	70-74	52
Guatemala	GTM	North America	Central America	1963	Male	75-79	36
Guatemala	GTM	North America	Central America	1963	Male	80-84	25
Guatemala	GTM	North America	Central America	1963	Male	85+	17
Guatemala	GTM	North America	Central America	1964	Female	0-4	9
Guatemala	GTM	North America	Central America	1964	Female	10-14	5
Guatemala	GTM	North America	Central America	1964	Female	15-19	9
Guatemala	GTM	North America	Central America	1964	Female	20-24	12
Guatemala	GTM	North America	Central America	1964	Female	25-29	19
Guatemala	GTM	North America	Central America	1964	Female	30-34	24
Guatemala	GTM	North America	Central America	1964	Female	35-39	37
Guatemala	GTM	North America	Central America	1964	Female	40-44	46
Guatemala	GTM	North America	Central America	1964	Female	45-49	49
Guatemala	GTM	North America	Central America	1964	Female	5-9	2
Guatemala	GTM	North America	Central America	1964	Female	50-54	58
Guatemala	GTM	North America	Central America	1964	Female	55-59	76
Guatemala	GTM	North America	Central America	1964	Female	60-64	86
Guatemala	GTM	North America	Central America	1964	Female	65-69	85
Guatemala	GTM	North America	Central America	1964	Female	70-74	72
Guatemala	GTM	North America	Central America	1964	Female	75-79	38
Guatemala	GTM	North America	Central America	1964	Female	80-84	31
Guatemala	GTM	North America	Central America	1964	Female	85+	29
Guatemala	GTM	North America	Central America	1964	Male	0-4	13
Guatemala	GTM	North America	Central America	1964	Male	10-14	9
Guatemala	GTM	North America	Central America	1964	Male	15-19	5
Guatemala	GTM	North America	Central America	1964	Male	20-24	11
Guatemala	GTM	North America	Central America	1964	Male	25-29	14
Guatemala	GTM	North America	Central America	1964	Male	30-34	7
Guatemala	GTM	North America	Central America	1964	Male	35-39	21
Guatemala	GTM	North America	Central America	1964	Male	40-44	29
Guatemala	GTM	North America	Central America	1964	Male	45-49	31
Guatemala	GTM	North America	Central America	1964	Male	5-9	6
Guatemala	GTM	North America	Central America	1964	Male	50-54	46
Guatemala	GTM	North America	Central America	1964	Male	55-59	50
Guatemala	GTM	North America	Central America	1964	Male	60-64	71
Guatemala	GTM	North America	Central America	1964	Male	65-69	46
Guatemala	GTM	North America	Central America	1964	Male	70-74	46
Guatemala	GTM	North America	Central America	1964	Male	75-79	27
Guatemala	GTM	North America	Central America	1964	Male	80-84	20
Guatemala	GTM	North America	Central America	1964	Male	85+	20
Guatemala	GTM	North America	Central America	1965	Female	0-4	5
Guatemala	GTM	North America	Central America	1965	Female	10-14	7
Guatemala	GTM	North America	Central America	1965	Female	15-19	7
Guatemala	GTM	North America	Central America	1965	Female	20-24	4
Guatemala	GTM	North America	Central America	1965	Female	25-29	12
Guatemala	GTM	North America	Central America	1965	Female	30-34	23
