country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Hungary	HUN	Europe	Eastern Europe	1955	Female	0-4	27
Hungary	HUN	Europe	Eastern Europe	1955	Female	10-14	18
Hungary	HUN	Europe	Eastern Europe	1955	Female	15-19	20
Hungary	HUN	Europe	Eastern Europe	1955	Female	20-24	24
Hungary	HUN	Europe	Eastern Europe	1955	Female	25-29	44
Hungary	HUN	Europe	Eastern Europe	1955	Female	30-34	119
Hungary	HUN	Europe	Eastern Europe	1955	Female	35-39	132
Hungary	HUN	Europe	Eastern Europe	1955	Female	40-44	349
Hungary	HUN	Europe	Eastern Europe	1955	Female	45-49	477
Hungary	HUN	Europe	Eastern Europe	1955	Female	5-9	12
Hungary	HUN	Europe	Eastern Europe	1955	Female	50-54	638
Hungary	HUN	Europe	Eastern Europe	1955	Female	55-59	929
Hungary	HUN	Europe	Eastern Europe	1955	Female	60-64	1082
Hungary	HUN	Europe	Eastern Europe	1955	Female	65-69	1090
Hungary	HUN	Europe	Eastern Europe	1955	Female	70-74	1100
Hungary	HUN	Europe	Eastern Europe	1955	Female	75-79	729
Hungary	HUN	Europe	Eastern Europe	1955	Female	80-84	318
Hungary	HUN	Europe	Eastern Europe	1955	Female	85+	140
Hungary	HUN	Europe	Eastern Europe	1955	Male	0-4	42
Hungary	HUN	Europe	Eastern Europe	1955	Male	10-14	26
Hungary	HUN	Europe	Eastern Europe	1955	Male	15-19	19
Hungary	HUN	Europe	Eastern Europe	1955	Male	20-24	25
Hungary	HUN	Europe	Eastern Europe	1955	Male	25-29	52
Hungary	HUN	Europe	Eastern Europe	1955	Male	30-34	59
Hungary	HUN	Europe	Eastern Europe	1955	Male	35-39	62
Hungary	HUN	Europe	Eastern Europe	1955	Male	40-44	185
Hungary	HUN	Europe	Eastern Europe	1955	Male	45-49	352
Hungary	HUN	Europe	Eastern Europe	1955	Male	5-9	30
Hungary	HUN	Europe	Eastern Europe	1955	Male	50-54	614
Hungary	HUN	Europe	Eastern Europe	1955	Male	55-59	888
Hungary	HUN	Europe	Eastern Europe	1955	Male	60-64	1022
Hungary	HUN	Europe	Eastern Europe	1955	Male	65-69	1147
Hungary	HUN	Europe	Eastern Europe	1955	Male	70-74	1074
Hungary	HUN	Europe	Eastern Europe	1955	Male	75-79	684
Hungary	HUN	Europe	Eastern Europe	1955	Male	80-84	305
Hungary	HUN	Europe	Eastern Europe	1955	Male	85+	102
Hungary	HUN	Europe	Eastern Europe	1956	Female	0-4	28
Hungary	HUN	Europe	Eastern Europe	1956	Female	10-14	22
Hungary	HUN	Europe	Eastern Europe	1956	Female	15-19	14
Hungary	HUN	Europe	Eastern Europe	1956	Female	20-24	27
Hungary	HUN	Europe	Eastern Europe	1956	Female	25-29	47
Hungary	HUN	Europe	Eastern Europe	1956	Female	30-34	111
Hungary	HUN	Europe	Eastern Europe	1956	Female	35-39	165
Hungary	HUN	Europe	Eastern Europe	1956	Female	40-44	328
Hungary	HUN	Europe	Eastern Europe	1956	Female	45-49	520
Hungary	HUN	Europe	Eastern Europe	1956	Female	5-9	13
Hungary	HUN	Europe	Eastern Europe	1956	Female	50-54	658
Hungary	HUN	Europe	Eastern Europe	1956	Female	55-59	882
Hungary	HUN	Europe	Eastern Europe	1956	Female	60-64	1006
Hungary	HUN	Europe	Eastern Europe	1956	Female	65-69	1139
Hungary	HUN	Europe	Eastern Europe	1956	Female	70-74	1217
Hungary	HUN	Europe	Eastern Europe	1956	Female	75-79	826
Hungary	HUN	Europe	Eastern Europe	1956	Female	80-84	391
Hungary	HUN	Europe	Eastern Europe	1956	Female	85+	152
Hungary	HUN	Europe	Eastern Europe	1956	Male	0-4	48
Hungary	HUN	Europe	Eastern Europe	1956	Male	10-14	20
Hungary	HUN	Europe	Eastern Europe	1956	Male	15-19	27
Hungary	HUN	Europe	Eastern Europe	1956	Male	20-24	33
Hungary	HUN	Europe	Eastern Europe	1956	Male	25-29	49
Hungary	HUN	Europe	Eastern Europe	1956	Male	30-34	64
Hungary	HUN	Europe	Eastern Europe	1956	Male	35-39	66
Hungary	HUN	Europe	Eastern Europe	1956	Male	40-44	191
Hungary	HUN	Europe	Eastern Europe	1956	Male	45-49	382
Hungary	HUN	Europe	Eastern Europe	1956	Male	5-9	32
Hungary	HUN	Europe	Eastern Europe	1956	Male	50-54	662
Hungary	HUN	Europe	Eastern Europe	1956	Male	55-59	1035
Hungary	HUN	Europe	Eastern Europe	1956	Male	60-64	1163
Hungary	HUN	Europe	Eastern Europe	1956	Male	65-69	1137
Hungary	HUN	Europe	Eastern Europe	1956	Male	70-74	1187
Hungary	HUN	Europe	Eastern Europe	1956	Male	75-79	786
Hungary	HUN	Europe	Eastern Europe	1956	Male	80-84	314
Hungary	HUN	Europe	Eastern Europe	1956	Male	85+	133
Hungary	HUN	Europe	Eastern Europe	1957	Female	0-4	31
Hungary	HUN	Europe	Eastern Europe	1957	Female	10-14	18
Hungary	HUN	Europe	Eastern Europe	1957	Female	15-19	28
Hungary	HUN	Europe	Eastern Europe	1957	Female	20-24	25
Hungary	HUN	Europe	Eastern Europe	1957	Female	25-29	51
Hungary	HUN	Europe	Eastern Europe	1957	Female	30-34	129
Hungary	HUN	Europe	Eastern Europe	1957	Female	35-39	170
Hungary	HUN	Europe	Eastern Europe	1957	Female	40-44	290
Hungary	HUN	Europe	Eastern Europe	1957	Female	45-49	524
Hungary	HUN	Europe	Eastern Europe	1957	Female	5-9	17
Hungary	HUN	Europe	Eastern Europe	1957	Female	50-54	666
Hungary	HUN	Europe	Eastern Europe	1957	Female	55-59	940
Hungary	HUN	Europe	Eastern Europe	1957	Female	60-64	1133
Hungary	HUN	Europe	Eastern Europe	1957	Female	65-69	1093
Hungary	HUN	Europe	Eastern Europe	1957	Female	70-74	1270
Hungary	HUN	Europe	Eastern Europe	1957	Female	75-79	919
