country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Iceland	ISL	Europe	Northern Europe	1951	Female	0-4	0
Iceland	ISL	Europe	Northern Europe	1951	Female	10-14	0
Iceland	ISL	Europe	Northern Europe	1951	Female	15-19	0
Iceland	ISL	Europe	Northern Europe	1951	Female	20-24	1
Iceland	ISL	Europe	Northern Europe	1951	Female	25-29	0
Iceland	ISL	Europe	Northern Europe	1951	Female	30-34	3
Iceland	ISL	Europe	Northern Europe	1951	Female	35-39	5
Iceland	ISL	Europe	Northern Europe	1951	Female	40-44	5
Iceland	ISL	Europe	Northern Europe	1951	Female	45-49	13
Iceland	ISL	Europe	Northern Europe	1951	Female	5-9	3
Iceland	ISL	Europe	Northern Europe	1951	Female	50-54	4
Iceland	ISL	Europe	Northern Europe	1951	Female	55-59	11
Iceland	ISL	Europe	Northern Europe	1951	Female	60-64	23
Iceland	ISL	Europe	Northern Europe	1951	Female	65-69	14
Iceland	ISL	Europe	Northern Europe	1951	Female	70-74	12
Iceland	ISL	Europe	Northern Europe	1951	Female	75-79	13
Iceland	ISL	Europe	Northern Europe	1951	Female	80-84	6
Iceland	ISL	Europe	Northern Europe	1951	Female	85+	3
Iceland	ISL	Europe	Northern Europe	1951	Male	0-4	1
Iceland	ISL	Europe	Northern Europe	1951	Male	10-14	0
Iceland	ISL	Europe	Northern Europe	1951	Male	15-19	1
Iceland	ISL	Europe	Northern Europe	1951	Male	20-24	2
Iceland	ISL	Europe	Northern Europe	1951	Male	25-29	0
Iceland	ISL	Europe	Northern Europe	1951	Male	30-34	1
Iceland	ISL	Europe	Northern Europe	1951	Male	35-39	3
Iceland	ISL	Europe	Northern Europe	1951	Male	40-44	3
Iceland	ISL	Europe	Northern Europe	1951	Male	45-49	5
Iceland	ISL	Europe	Northern Europe	1951	Male	5-9	0
Iceland	ISL	Europe	Northern Europe	1951	Male	50-54	8
Iceland	ISL	Europe	Northern Europe	1951	Male	55-59	10
Iceland	ISL	Europe	Northern Europe	1951	Male	60-64	15
Iceland	ISL	Europe	Northern Europe	1951	Male	65-69	11
Iceland	ISL	Europe	Northern Europe	1951	Male	70-74	11
Iceland	ISL	Europe	Northern Europe	1951	Male	75-79	13
Iceland	ISL	Europe	Northern Europe	1951	Male	80-84	11
Iceland	ISL	Europe	Northern Europe	1951	Male	85+	2
Iceland	ISL	Europe	Northern Europe	1952	Female	0-4	2
Iceland	ISL	Europe	Northern Europe	1952	Female	10-14	0
Iceland	ISL	Europe	Northern Europe	1952	Female	15-19	1
Iceland	ISL	Europe	Northern Europe	1952	Female	20-24	0
Iceland	ISL	Europe	Northern Europe	1952	Female	25-29	1
Iceland	ISL	Europe	Northern Europe	1952	Female	30-34	0
Iceland	ISL	Europe	Northern Europe	1952	Female	35-39	3
Iceland	ISL	Europe	Northern Europe	1952	Female	40-44	8
Iceland	ISL	Europe	Northern Europe	1952	Female	45-49	7
Iceland	ISL	Europe	Northern Europe	1952	Female	5-9	1
Iceland	ISL	Europe	Northern Europe	1952	Female	50-54	8
