country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Ireland	IRL	Europe	Northern Europe	1950	Female	0-4	10
Ireland	IRL	Europe	Northern Europe	1950	Female	10-14	6
Ireland	IRL	Europe	Northern Europe	1950	Female	15-19	6
Ireland	IRL	Europe	Northern Europe	1950	Female	20-24	6
Ireland	IRL	Europe	Northern Europe	1950	Female	25-29	13
Ireland	IRL	Europe	Northern Europe	1950	Female	30-34	27
Ireland	IRL	Europe	Northern Europe	1950	Female	35-39	45
Ireland	IRL	Europe	Northern Europe	1950	Female	40-44	70
Ireland	IRL	Europe	Northern Europe	1950	Female	45-49	114
Ireland	IRL	Europe	Northern Europe	1950	Female	5-9	6
Ireland	IRL	Europe	Northern Europe	1950	Female	50-54	168
Ireland	IRL	Europe	Northern Europe	1950	Female	55-59	187
Ireland	IRL	Europe	Northern Europe	1950	Female	60-64	268
Ireland	IRL	Europe	Northern Europe	1950	Female	65-69	303
Ireland	IRL	Europe	Northern Europe	1950	Female	70-74	328
Ireland	IRL	Europe	Northern Europe	1950	Female	75-79	236
Ireland	IRL	Europe	Northern Europe	1950	Female	80-84	127
Ireland	IRL	Europe	Northern Europe	1950	Female	85+	50
Ireland	IRL	Europe	Northern Europe	1950	Male	0-4	11
Ireland	IRL	Europe	Northern Europe	1950	Male	10-14	7
Ireland	IRL	Europe	Northern Europe	1950	Male	15-19	7
Ireland	IRL	Europe	Northern Europe	1950	Male	20-24	5
Ireland	IRL	Europe	Northern Europe	1950	Male	25-29	13
Ireland	IRL	Europe	Northern Europe	1950	Male	30-34	19
Ireland	IRL	Europe	Northern Europe	1950	Male	35-39	30
Ireland	IRL	Europe	Northern Europe	1950	Male	40-44	56
Ireland	IRL	Europe	Northern Europe	1950	Male	45-49	96
Ireland	IRL	Europe	Northern Europe	1950	Male	5-9	10
Ireland	IRL	Europe	Northern Europe	1950	Male	50-54	134
Ireland	IRL	Europe	Northern Europe	1950	Male	55-59	212
Ireland	IRL	Europe	Northern Europe	1950	Male	60-64	286
Ireland	IRL	Europe	Northern Europe	1950	Male	65-69	434
Ireland	IRL	Europe	Northern Europe	1950	Male	70-74	411
Ireland	IRL	Europe	Northern Europe	1950	Male	75-79	338
Ireland	IRL	Europe	Northern Europe	1950	Male	80-84	132
Ireland	IRL	Europe	Northern Europe	1950	Male	85+	42
Ireland	IRL	Europe	Northern Europe	1951	Female	0-4	6
Ireland	IRL	Europe	Northern Europe	1951	Female	10-14	7
Ireland	IRL	Europe	Northern Europe	1951	Female	15-19	6
Ireland	IRL	Europe	Northern Europe	1951	Female	20-24	8
Ireland	IRL	Europe	Northern Europe	1951	Female	25-29	16
Ireland	IRL	Europe	Northern Europe	1951	Female	30-34	17
Ireland	IRL	Europe	Northern Europe	1951	Female	35-39	44
Ireland	IRL	Europe	Northern Europe	1951	Female	40-44	73
Ireland	IRL	Europe	Northern Europe	1951	Female	45-49	111
Ireland	IRL	Europe	Northern Europe	1951	Female	5-9	2
Ireland	IRL	Europe	Northern Europe	1951	Female	50-54	177
Ireland	IRL	Europe	Northern Europe	1951	Female	55-59	217
Ireland	IRL	Europe	Northern Europe	1951	Female	60-64	257
Ireland	IRL	Europe	Northern Europe	1951	Female	65-69	306
Ireland	IRL	Europe	Northern Europe	1951	Female	70-74	325
Ireland	IRL	Europe	Northern Europe	1951	Female	75-79	247
Ireland	IRL	Europe	Northern Europe	1951	Female	80-84	135
Ireland	IRL	Europe	Northern Europe	1951	Female	85+	45
Ireland	IRL	Europe	Northern Europe	1951	Male	0-4	19
Ireland	IRL	Europe	Northern Europe	1951	Male	10-14	8
Ireland	IRL	Europe	Northern Europe	1951	Male	15-19	7
Ireland	IRL	Europe	Northern Europe	1951	Male	20-24	12
Ireland	IRL	Europe	Northern Europe	1951	Male	25-29	20
Ireland	IRL	Europe	Northern Europe	1951	Male	30-34	23
Ireland	IRL	Europe	Northern Europe	1951	Male	35-39	36
Ireland	IRL	Europe	Northern Europe	1951	Male	40-44	69
Ireland	IRL	Europe	Northern Europe	1951	Male	45-49	98
Ireland	IRL	Europe	Northern Europe	1951	Male	5-9	7
Ireland	IRL	Europe	Northern Europe	1951	Male	50-54	197
Ireland	IRL	Europe	Northern Europe	1951	Male	55-59	209
Ireland	IRL	Europe	Northern Europe	1951	Male	60-64	316
Ireland	IRL	Europe	Northern Europe	1951	Male	65-69	379
Ireland	IRL	Europe	Northern Europe	1951	Male	70-74	477
Ireland	IRL	Europe	Northern Europe	1951	Male	75-79	336
Ireland	IRL	Europe	Northern Europe	1951	Male	80-84	162
Ireland	IRL	Europe	Northern Europe	1951	Male	85+	50
Ireland	IRL	Europe	Northern Europe	1952	Female	0-4	13
Ireland	IRL	Europe	Northern Europe	1952	Female	10-14	1
Ireland	IRL	Europe	Northern Europe	1952	Female	15-19	8
Ireland	IRL	Europe	Northern Europe	1952	Female	20-24	5
Ireland	IRL	Europe	Northern Europe	1952	Female	25-29	12
Ireland	IRL	Europe	Northern Europe	1952	Female	30-34	22
Ireland	IRL	Europe	Northern Europe	1952	Female	35-39	49
Ireland	IRL	Europe	Northern Europe	1952	Female	40-44	89
Ireland	IRL	Europe	Northern Europe	1952	Female	45-49	129
Ireland	IRL	Europe	Northern Europe	1952	Female	5-9	5
Ireland	IRL	Europe	Northern Europe	1952	Female	50-54	162
Ireland	IRL	Europe	Northern Europe	1952	Female	55-59	189
Ireland	IRL	Europe	Northern Europe	1952	Female	60-64	242
Ireland	IRL	Europe	Northern Europe	1952	Female	65-69	275
Ireland	IRL	Europe	Northern Europe	1952	Female	70-74	311
Ireland	IRL	Europe	Northern Europe	1952	Female	75-79	237
Ireland	IRL	Europe	Northern Europe	1952	Female	80-84	147
Ireland	IRL	Europe	Northern Europe	1952	Female	85+	62
Ireland	IRL	Europe	Northern Europe	1952	Male	0-4	14
Ireland	IRL	Europe	Northern Europe	1952	Male	10-14	6
Ireland	IRL	Europe	Northern Europe	1952	Male	15-19	12
Ireland	IRL	Europe	Northern Europe	1952	Male	20-24	15
Ireland	IRL	Europe	Northern Europe	1952	Male	25-29	17
Ireland	IRL	Europe	Northern Europe	1952	Male	30-34	23
Ireland	IRL	Europe	Northern Europe	1952	Male	35-39	39
Ireland	IRL	Europe	Northern Europe	1952	Male	40-44	55
Ireland	IRL	Europe	Northern Europe	1952	Male	45-49	97
Ireland	IRL	Europe	Northern Europe	1952	Male	5-9	11
Ireland	IRL	Europe	Northern Europe	1952	Male	50-54	167
Ireland	IRL	Europe	Northern Europe	1952	Male	55-59	194
Ireland	IRL	Europe	Northern Europe	1952	Male	60-64	280
Ireland	IRL	Europe	Northern Europe	1952	Male	65-69	403
Ireland	IRL	Europe	Northern Europe	1952	Male	70-74	457
Ireland	IRL	Europe	Northern Europe	1952	Male	75-79	380
Ireland	IRL	Europe	Northern Europe	1952	Male	80-84	167
Ireland	IRL	Europe	Northern Europe	1952	Male	85+	62
Ireland	IRL	Europe	Northern Europe	1953	Female	0-4	11
Ireland	IRL	Europe	Northern Europe	1953	Female	10-14	7
Ireland	IRL	Europe	Northern Europe	1953	Female	15-19	7
Ireland	IRL	Europe	Northern Europe	1953	Female	20-24	5
Ireland	IRL	Europe	Northern Europe	1953	Female	25-29	16
Ireland	IRL	Europe	Northern Europe	1953	Female	30-34	28
Ireland	IRL	Europe	Northern Europe	1953	Female	35-39	56
Ireland	IRL	Europe	Northern Europe	1953	Female	40-44	85
Ireland	IRL	Europe	Northern Europe	1953	Female	45-49	129
Ireland	IRL	Europe	Northern Europe	1953	Female	5-9	12
Ireland	IRL	Europe	Northern Europe	1953	Female	50-54	194
Ireland	IRL	Europe	Northern Europe	1953	Female	55-59	193
Ireland	IRL	Europe	Northern Europe	1953	Female	60-64	242
Ireland	IRL	Europe	Northern Europe	1953	Female	65-69	248
Ireland	IRL	Europe	Northern Europe	1953	Female	70-74	353
Ireland	IRL	Europe	Northern Europe	1953	Female	75-79	244
Ireland	IRL	Europe	Northern Europe	1953	Female	80-84	127
Ireland	IRL	Europe	Northern Europe	1953	Female	85+	67
Ireland	IRL	Europe	Northern Europe	1953	Male	0-4	14
Ireland	IRL	Europe	Northern Europe	1953	Male	10-14	2
Ireland	IRL	Europe	Northern Europe	1953	Male	15-19	13
Ireland	IRL	Europe	Northern Europe	1953	Male	20-24	10
Ireland	IRL	Europe	Northern Europe	1953	Male	25-29	11
Ireland	IRL	Europe	Northern Europe	1953	Male	30-34	25
Ireland	IRL	Europe	Northern Europe	1953	Male	35-39	43
Ireland	IRL	Europe	Northern Europe	1953	Male	40-44	63
Ireland	IRL	Europe	Northern Europe	1953	Male	45-49	108
Ireland	IRL	Europe	Northern Europe	1953	Male	5-9	14
Ireland	IRL	Europe	Northern Europe	1953	Male	50-54	176
Ireland	IRL	Europe	Northern Europe	1953	Male	55-59	252
Ireland	IRL	Europe	Northern Europe	1953	Male	60-64	282
Ireland	IRL	Europe	Northern Europe	1953	Male	65-69	388
Ireland	IRL	Europe	Northern Europe	1953	Male	70-74	421
Ireland	IRL	Europe	Northern Europe	1953	Male	75-79	386
Ireland	IRL	Europe	Northern Europe	1953	Male	80-84	186
Ireland	IRL	Europe	Northern Europe	1953	Male	85+	59
Ireland	IRL	Europe	Northern Europe	1954	Female	0-4	10
Ireland	IRL	Europe	Northern Europe	1954	Female	10-14	5
Ireland	IRL	Europe	Northern Europe	1954	Female	15-19	5
Ireland	IRL	Europe	Northern Europe	1954	Female	20-24	11
Ireland	IRL	Europe	Northern Europe	1954	Female	25-29	9
Ireland	IRL	Europe	Northern Europe	1954	Female	30-34	26
Ireland	IRL	Europe	Northern Europe	1954	Female	35-39	43
Ireland	IRL	Europe	Northern Europe	1954	Female	40-44	69
Ireland	IRL	Europe	Northern Europe	1954	Female	45-49	115
Ireland	IRL	Europe	Northern Europe	1954	Female	5-9	5
Ireland	IRL	Europe	Northern Europe	1954	Female	50-54	197
Ireland	IRL	Europe	Northern Europe	1954	Female	55-59	215
Ireland	IRL	Europe	Northern Europe	1954	Female	60-64	267
Ireland	IRL	Europe	Northern Europe	1954	Female	65-69	295
Ireland	IRL	Europe	Northern Europe	1954	Female	70-74	352
Ireland	IRL	Europe	Northern Europe	1954	Female	75-79	289
Ireland	IRL	Europe	Northern Europe	1954	Female	80-84	161
Ireland	IRL	Europe	Northern Europe	1954	Female	85+	62
Ireland	IRL	Europe	Northern Europe	1954	Male	0-4	15
Ireland	IRL	Europe	Northern Europe	1954	Male	10-14	3
Ireland	IRL	Europe	Northern Europe	1954	Male	15-19	9
Ireland	IRL	Europe	Northern Europe	1954	Male	20-24	15
Ireland	IRL	Europe	Northern Europe	1954	Male	25-29	19
Ireland	IRL	Europe	Northern Europe	1954	Male	30-34	19
Ireland	IRL	Europe	Northern Europe	1954	Male	35-39	34
Ireland	IRL	Europe	Northern Europe	1954	Male	40-44	59
Ireland	IRL	Europe	Northern Europe	1954	Male	45-49	96
Ireland	IRL	Europe	Northern Europe	1954	Male	5-9	10
Ireland	IRL	Europe	Northern Europe	1954	Male	50-54	181
Ireland	IRL	Europe	Northern Europe	1954	Male	55-59	233
Ireland	IRL	Europe	Northern Europe	1954	Male	60-64	295
Ireland	IRL	Europe	Northern Europe	1954	Male	65-69	383
Ireland	IRL	Europe	Northern Europe	1954	Male	70-74	471
Ireland	IRL	Europe	Northern Europe	1954	Male	75-79	343
Ireland	IRL	Europe	Northern Europe	1954	Male	80-84	203
Ireland	IRL	Europe	Northern Europe	1954	Male	85+	70
Ireland	IRL	Europe	Northern Europe	1955	Female	0-4	10
Ireland	IRL	Europe	Northern Europe	1955	Female	10-14	4
Ireland	IRL	Europe	Northern Europe	1955	Female	15-19	5
Ireland	IRL	Europe	Northern Europe	1955	Female	20-24	5
