country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Italy	ITA	Europe	Southern Europe	1951	Female	0-4	161
Italy	ITA	Europe	Southern Europe	1951	Female	10-14	70
Italy	ITA	Europe	Southern Europe	1951	Female	15-19	110
Italy	ITA	Europe	Southern Europe	1951	Female	20-24	134
Italy	ITA	Europe	Southern Europe	1951	Female	25-29	223
Italy	ITA	Europe	Southern Europe	1951	Female	30-34	323
Italy	ITA	Europe	Southern Europe	1951	Female	35-39	741
Italy	ITA	Europe	Southern Europe	1951	Female	40-44	1239
Italy	ITA	Europe	Southern Europe	1951	Female	45-49	1681
Italy	ITA	Europe	Southern Europe	1951	Female	5-9	86
Italy	ITA	Europe	Southern Europe	1951	Female	50-54	2245
Italy	ITA	Europe	Southern Europe	1951	Female	55-59	2904
Italy	ITA	Europe	Southern Europe	1951	Female	60-64	3420
Italy	ITA	Europe	Southern Europe	1951	Female	65-69	4002
Italy	ITA	Europe	Southern Europe	1951	Female	70-74	3652
Italy	ITA	Europe	Southern Europe	1951	Female	75-79	3096
Italy	ITA	Europe	Southern Europe	1951	Female	80-84	1499
Italy	ITA	Europe	Southern Europe	1951	Female	85+	624
Italy	ITA	Europe	Southern Europe	1951	Male	0-4	229
Italy	ITA	Europe	Southern Europe	1951	Male	10-14	120
Italy	ITA	Europe	Southern Europe	1951	Male	15-19	152
Italy	ITA	Europe	Southern Europe	1951	Male	20-24	173
Italy	ITA	Europe	Southern Europe	1951	Male	25-29	223
Italy	ITA	Europe	Southern Europe	1951	Male	30-34	214
Italy	ITA	Europe	Southern Europe	1951	Male	35-39	459
Italy	ITA	Europe	Southern Europe	1951	Male	40-44	982
Italy	ITA	Europe	Southern Europe	1951	Male	45-49	1607
Italy	ITA	Europe	Southern Europe	1951	Male	5-9	124
Italy	ITA	Europe	Southern Europe	1951	Male	50-54	2409
Italy	ITA	Europe	Southern Europe	1951	Male	55-59	3028
Italy	ITA	Europe	Southern Europe	1951	Male	60-64	3719
Italy	ITA	Europe	Southern Europe	1951	Male	65-69	4253
Italy	ITA	Europe	Southern Europe	1951	Male	70-74	4266
Italy	ITA	Europe	Southern Europe	1951	Male	75-79	3142
Italy	ITA	Europe	Southern Europe	1951	Male	80-84	1405
Italy	ITA	Europe	Southern Europe	1951	Male	85+	474
Italy	ITA	Europe	Southern Europe	1952	Female	0-4	161
Italy	ITA	Europe	Southern Europe	1952	Female	10-14	84
Italy	ITA	Europe	Southern Europe	1952	Female	15-19	91
Italy	ITA	Europe	Southern Europe	1952	Female	20-24	141
Italy	ITA	Europe	Southern Europe	1952	Female	25-29	227
Italy	ITA	Europe	Southern Europe	1952	Female	30-34	315
Italy	ITA	Europe	Southern Europe	1952	Female	35-39	691
Italy	ITA	Europe	Southern Europe	1952	Female	40-44	1226
Italy	ITA	Europe	Southern Europe	1952	Female	45-49	1778
Italy	ITA	Europe	Southern Europe	1952	Female	5-9	103
Italy	ITA	Europe	Southern Europe	1952	Female	50-54	2339
Italy	ITA	Europe	Southern Europe	1952	Female	55-59	3050
Italy	ITA	Europe	Southern Europe	1952	Female	60-64	3546
Italy	ITA	Europe	Southern Europe	1952	Female	65-69	4039
Italy	ITA	Europe	Southern Europe	1952	Female	70-74	3859
Italy	ITA	Europe	Southern Europe	1952	Female	75-79	3140
