country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Japan	JPN	Asia	Eastern Asia	1950	Female	0-4	230
Japan	JPN	Asia	Eastern Asia	1950	Female	10-14	87
Japan	JPN	Asia	Eastern Asia	1950	Female	15-19	140
Japan	JPN	Asia	Eastern Asia	1950	Female	20-24	189
Japan	JPN	Asia	Eastern Asia	1950	Female	25-29	391
Japan	JPN	Asia	Eastern Asia	1950	Female	30-34	749
Japan	JPN	Asia	Eastern Asia	1950	Female	35-39	1495
Japan	JPN	Asia	Eastern Asia	1950	Female	40-44	2393
Japan	JPN	Asia	Eastern Asia	1950	Female	45-49	3026
Japan	JPN	Asia	Eastern Asia	1950	Female	5-9	91
Japan	JPN	Asia	Eastern Asia	1950	Female	50-54	3597
Japan	JPN	Asia	Eastern Asia	1950	Female	55-59	3887
Japan	JPN	Asia	Eastern Asia	1950	Female	60-64	4484
Japan	JPN	Asia	Eastern Asia	1950	Female	65-69	4587
Japan	JPN	Asia	Eastern Asia	1950	Female	70-74	3590
Japan	JPN	Asia	Eastern Asia	1950	Female	75-79	1937
Japan	JPN	Asia	Eastern Asia	1950	Female	80-84	684
Japan	JPN	Asia	Eastern Asia	1950	Female	85+	197
Japan	JPN	Asia	Eastern Asia	1950	Male	0-4	323
Japan	JPN	Asia	Eastern Asia	1950	Male	10-14	128
Japan	JPN	Asia	Eastern Asia	1950	Male	15-19	176
Japan	JPN	Asia	Eastern Asia	1950	Male	20-24	177
Japan	JPN	Asia	Eastern Asia	1950	Male	25-29	217
Japan	JPN	Asia	Eastern Asia	1950	Male	30-34	355
Japan	JPN	Asia	Eastern Asia	1950	Male	35-39	692
Japan	JPN	Asia	Eastern Asia	1950	Male	40-44	1395
Japan	JPN	Asia	Eastern Asia	1950	Male	45-49	2350
Japan	JPN	Asia	Eastern Asia	1950	Male	5-9	128
Japan	JPN	Asia	Eastern Asia	1950	Male	50-54	3642
Japan	JPN	Asia	Eastern Asia	1950	Male	55-59	4880
Japan	JPN	Asia	Eastern Asia	1950	Male	60-64	5804
Japan	JPN	Asia	Eastern Asia	1950	Male	65-69	5676
Japan	JPN	Asia	Eastern Asia	1950	Male	70-74	4188
Japan	JPN	Asia	Eastern Asia	1950	Male	75-79	1910
Japan	JPN	Asia	Eastern Asia	1950	Male	80-84	497
Japan	JPN	Asia	Eastern Asia	1950	Male	85+	128
Japan	JPN	Asia	Eastern Asia	1951	Female	0-4	243
Japan	JPN	Asia	Eastern Asia	1951	Female	10-14	100
Japan	JPN	Asia	Eastern Asia	1951	Female	15-19	130
Japan	JPN	Asia	Eastern Asia	1951	Female	20-24	189
Japan	JPN	Asia	Eastern Asia	1951	Female	25-29	389
Japan	JPN	Asia	Eastern Asia	1951	Female	30-34	747
Japan	JPN	Asia	Eastern Asia	1951	Female	35-39	1538
Japan	JPN	Asia	Eastern Asia	1951	Female	40-44	2297
Japan	JPN	Asia	Eastern Asia	1951	Female	45-49	3072
Japan	JPN	Asia	Eastern Asia	1951	Female	5-9	79
Japan	JPN	Asia	Eastern Asia	1951	Female	50-54	3668
Japan	JPN	Asia	Eastern Asia	1951	Female	55-59	3935
Japan	JPN	Asia	Eastern Asia	1951	Female	60-64	4487
Japan	JPN	Asia	Eastern Asia	1951	Female	65-69	4512
Japan	JPN	Asia	Eastern Asia	1951	Female	70-74	3840
Japan	JPN	Asia	Eastern Asia	1951	Female	75-79	2239
Japan	JPN	Asia	Eastern Asia	1951	Female	80-84	778
Japan	JPN	Asia	Eastern Asia	1951	Female	85+	239
Japan	JPN	Asia	Eastern Asia	1951	Male	0-4	327
Japan	JPN	Asia	Eastern Asia	1951	Male	10-14	122
Japan	JPN	Asia	Eastern Asia	1951	Male	15-19	164
Japan	JPN	Asia	Eastern Asia	1951	Male	20-24	178
Japan	JPN	Asia	Eastern Asia	1951	Male	25-29	248
Japan	JPN	Asia	Eastern Asia	1951	Male	30-34	359
Japan	JPN	Asia	Eastern Asia	1951	Male	35-39	738
Japan	JPN	Asia	Eastern Asia	1951	Male	40-44	1362
Japan	JPN	Asia	Eastern Asia	1951	Male	45-49	2447
Japan	JPN	Asia	Eastern Asia	1951	Male	5-9	132
Japan	JPN	Asia	Eastern Asia	1951	Male	50-54	3679
Japan	JPN	Asia	Eastern Asia	1951	Male	55-59	5070
Japan	JPN	Asia	Eastern Asia	1951	Male	60-64	5985
Japan	JPN	Asia	Eastern Asia	1951	Male	65-69	5817
Japan	JPN	Asia	Eastern Asia	1951	Male	70-74	4517
Japan	JPN	Asia	Eastern Asia	1951	Male	75-79	2086
Japan	JPN	Asia	Eastern Asia	1951	Male	80-84	516
Japan	JPN	Asia	Eastern Asia	1951	Male	85+	123
Japan	JPN	Asia	Eastern Asia	1952	Female	0-4	243
Japan	JPN	Asia	Eastern Asia	1952	Female	10-14	119
Japan	JPN	Asia	Eastern Asia	1952	Female	15-19	138
Japan	JPN	Asia	Eastern Asia	1952	Female	20-24	205
Japan	JPN	Asia	Eastern Asia	1952	Female	25-29	405
Japan	JPN	Asia	Eastern Asia	1952	Female	30-34	769
Japan	JPN	Asia	Eastern Asia	1952	Female	35-39	1490
Japan	JPN	Asia	Eastern Asia	1952	Female	40-44	2435
Japan	JPN	Asia	Eastern Asia	1952	Female	45-49	2845
Japan	JPN	Asia	Eastern Asia	1952	Female	5-9	104
Japan	JPN	Asia	Eastern Asia	1952	Female	50-54	3732
Japan	JPN	Asia	Eastern Asia	1952	Female	55-59	4126
Japan	JPN	Asia	Eastern Asia	1952	Female	60-64	4540
Japan	JPN	Asia	Eastern Asia	1952	Female	65-69	4700
Japan	JPN	Asia	Eastern Asia	1952	Female	70-74	4129
Japan	JPN	Asia	Eastern Asia	1952	Female	75-79	2535
Japan	JPN	Asia	Eastern Asia	1952	Female	80-84	873
Japan	JPN	Asia	Eastern Asia	1952	Female	85+	252
Japan	JPN	Asia	Eastern Asia	1952	Male	0-4	337
Japan	JPN	Asia	Eastern Asia	1952	Male	10-14	170
Japan	JPN	Asia	Eastern Asia	1952	Male	15-19	190
Japan	JPN	Asia	Eastern Asia	1952	Male	20-24	184
Japan	JPN	Asia	Eastern Asia	1952	Male	25-29	267
Japan	JPN	Asia	Eastern Asia	1952	Male	30-34	360
Japan	JPN	Asia	Eastern Asia	1952	Male	35-39	752
Japan	JPN	Asia	Eastern Asia	1952	Male	40-44	1434
Japan	JPN	Asia	Eastern Asia	1952	Male	45-49	2406
