country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Korea	KOR	Asia	Eastern Asia	1985	Female	0-4	96
Korea	KOR	Asia	Eastern Asia	1985	Female	10-14	90
Korea	KOR	Asia	Eastern Asia	1985	Female	15-19	157
Korea	KOR	Asia	Eastern Asia	1985	Female	20-24	202
Korea	KOR	Asia	Eastern Asia	1985	Female	25-29	337
Korea	KOR	Asia	Eastern Asia	1985	Female	30-34	384
Korea	KOR	Asia	Eastern Asia	1985	Female	35-39	477
Korea	KOR	Asia	Eastern Asia	1985	Female	40-44	789
Korea	KOR	Asia	Eastern Asia	1985	Female	45-49	1078
Korea	KOR	Asia	Eastern Asia	1985	Female	5-9	86
Korea	KOR	Asia	Eastern Asia	1985	Female	50-54	1297
Korea	KOR	Asia	Eastern Asia	1985	Female	55-59	1269
Korea	KOR	Asia	Eastern Asia	1985	Female	60-64	1380
Korea	KOR	Asia	Eastern Asia	1985	Female	65-69	1165
Korea	KOR	Asia	Eastern Asia	1985	Female	70-74	988
Korea	KOR	Asia	Eastern Asia	1985	Female	75-79	650
Korea	KOR	Asia	Eastern Asia	1985	Female	80-84	304
Korea	KOR	Asia	Eastern Asia	1985	Female	85+	277
Korea	KOR	Asia	Eastern Asia	1985	Male	0-4	141
Korea	KOR	Asia	Eastern Asia	1985	Male	10-14	126
Korea	KOR	Asia	Eastern Asia	1985	Male	15-19	242
Korea	KOR	Asia	Eastern Asia	1985	Male	20-24	221
Korea	KOR	Asia	Eastern Asia	1985	Male	25-29	311
Korea	KOR	Asia	Eastern Asia	1985	Male	30-34	392
Korea	KOR	Asia	Eastern Asia	1985	Male	35-39	694
Korea	KOR	Asia	Eastern Asia	1985	Male	40-44	1302
Korea	KOR	Asia	Eastern Asia	1985	Male	45-49	2105
Korea	KOR	Asia	Eastern Asia	1985	Male	5-9	97
Korea	KOR	Asia	Eastern Asia	1985	Male	50-54	2462
Korea	KOR	Asia	Eastern Asia	1985	Male	55-59	2852
Korea	KOR	Asia	Eastern Asia	1985	Male	60-64	3067
Korea	KOR	Asia	Eastern Asia	1985	Male	65-69	2314
Korea	KOR	Asia	Eastern Asia	1985	Male	70-74	1619
Korea	KOR	Asia	Eastern Asia	1985	Male	75-79	861
Korea	KOR	Asia	Eastern Asia	1985	Male	80-84	283
Korea	KOR	Asia	Eastern Asia	1985	Male	85+	157
Korea	KOR	Asia	Eastern Asia	1986	Female	0-4	89
Korea	KOR	Asia	Eastern Asia	1986	Female	10-14	79
Korea	KOR	Asia	Eastern Asia	1986	Female	15-19	131
Korea	KOR	Asia	Eastern Asia	1986	Female	20-24	205
Korea	KOR	Asia	Eastern Asia	1986	Female	25-29	318
Korea	KOR	Asia	Eastern Asia	1986	Female	30-34	420
Korea	KOR	Asia	Eastern Asia	1986	Female	35-39	521
Korea	KOR	Asia	Eastern Asia	1986	Female	40-44	771
Korea	KOR	Asia	Eastern Asia	1986	Female	45-49	1072
Korea	KOR	Asia	Eastern Asia	1986	Female	5-9	70
Korea	KOR	Asia	Eastern Asia	1986	Female	50-54	1306
Korea	KOR	Asia	Eastern Asia	1986	Female	55-59	1434
Korea	KOR	Asia	Eastern Asia	1986	Female	60-64	1367
Korea	KOR	Asia	Eastern Asia	1986	Female	65-69	1267
Korea	KOR	Asia	Eastern Asia	1986	Female	70-74	1000
Korea	KOR	Asia	Eastern Asia	1986	Female	75-79	699
Korea	KOR	Asia	Eastern Asia	1986	Female	80-84	362
Korea	KOR	Asia	Eastern Asia	1986	Female	85+	267
Korea	KOR	Asia	Eastern Asia	1986	Male	0-4	101
Korea	KOR	Asia	Eastern Asia	1986	Male	10-14	98
Korea	KOR	Asia	Eastern Asia	1986	Male	15-19	199
Korea	KOR	Asia	Eastern Asia	1986	Male	20-24	182
Korea	KOR	Asia	Eastern Asia	1986	Male	25-29	345
Korea	KOR	Asia	Eastern Asia	1986	Male	30-34	429
Korea	KOR	Asia	Eastern Asia	1986	Male	35-39	716
Korea	KOR	Asia	Eastern Asia	1986	Male	40-44	1213
Korea	KOR	Asia	Eastern Asia	1986	Male	45-49	2259
Korea	KOR	Asia	Eastern Asia	1986	Male	5-9	101
Korea	KOR	Asia	Eastern Asia	1986	Male	50-54	2860
Korea	KOR	Asia	Eastern Asia	1986	Male	55-59	2865
Korea	KOR	Asia	Eastern Asia	1986	Male	60-64	3026
Korea	KOR	Asia	Eastern Asia	1986	Male	65-69	2607
Korea	KOR	Asia	Eastern Asia	1986	Male	70-74	1655
Korea	KOR	Asia	Eastern Asia	1986	Male	75-79	866
Korea	KOR	Asia	Eastern Asia	1986	Male	80-84	305
Korea	KOR	Asia	Eastern Asia	1986	Male	85+	169
Korea	KOR	Asia	Eastern Asia	1987	Female	0-4	99
Korea	KOR	Asia	Eastern Asia	1987	Female	10-14	75
Korea	KOR	Asia	Eastern Asia	1987	Female	15-19	119
Korea	KOR	Asia	Eastern Asia	1987	Female	20-24	194
Korea	KOR	Asia	Eastern Asia	1987	Female	25-29	315
Korea	KOR	Asia	Eastern Asia	1987	Female	30-34	412
Korea	KOR	Asia	Eastern Asia	1987	Female	35-39	490
Korea	KOR	Asia	Eastern Asia	1987	Female	40-44	707
Korea	KOR	Asia	Eastern Asia	1987	Female	45-49	1137
Korea	KOR	Asia	Eastern Asia	1987	Female	5-9	55
Korea	KOR	Asia	Eastern Asia	1987	Female	50-54	1365
