country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Female	0-4	11
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Female	10-14	3
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Female	15-19	12
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Female	20-24	24
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Female	25-29	12
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Female	30-34	25
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Female	35-39	29
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Female	40-44	62
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Female	45-49	80
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Female	5-9	7
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Female	50-54	138
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Female	55-59	179
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Female	60-64	138
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Female	65-69	156
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Female	70-74	147
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Female	75-79	111
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Female	80-84	52
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Female	85+	27
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Male	0-4	9
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Male	10-14	8
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Male	15-19	14
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Male	20-24	9
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Male	25-29	15
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Male	30-34	22
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Male	35-39	28
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Male	40-44	78
Kyrgyzstan	KGZ	Asia	Central Asia	1981	Male	45-49	122
