country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Latvia	LVA	Europe	Northern Europe	1980	Female	0-4	5
Latvia	LVA	Europe	Northern Europe	1980	Female	10-14	8
Latvia	LVA	Europe	Northern Europe	1980	Female	15-19	4
Latvia	LVA	Europe	Northern Europe	1980	Female	20-24	9
Latvia	LVA	Europe	Northern Europe	1980	Female	25-29	14
Latvia	LVA	Europe	Northern Europe	1980	Female	30-34	18
Latvia	LVA	Europe	Northern Europe	1980	Female	35-39	53
Latvia	LVA	Europe	Northern Europe	1980	Female	40-44	75
Latvia	LVA	Europe	Northern Europe	1980	Female	45-49	118
Latvia	LVA	Europe	Northern Europe	1980	Female	5-9	6
Latvia	LVA	Europe	Northern Europe	1980	Female	50-54	188
Latvia	LVA	Europe	Northern Europe	1980	Female	55-59	264
Latvia	LVA	Europe	Northern Europe	1980	Female	60-64	188
Latvia	LVA	Europe	Northern Europe	1980	Female	65-69	338
Latvia	LVA	Europe	Northern Europe	1980	Female	70-74	351
Latvia	LVA	Europe	Northern Europe	1980	Female	75-79	308
Latvia	LVA	Europe	Northern Europe	1980	Female	80-84	157
Latvia	LVA	Europe	Northern Europe	1980	Female	85+	93
Latvia	LVA	Europe	Northern Europe	1980	Male	0-4	14
Latvia	LVA	Europe	Northern Europe	1980	Male	10-14	6
Latvia	LVA	Europe	Northern Europe	1980	Male	15-19	4
Latvia	LVA	Europe	Northern Europe	1980	Male	20-24	12
Latvia	LVA	Europe	Northern Europe	1980	Male	25-29	19
Latvia	LVA	Europe	Northern Europe	1980	Male	30-34	27
Latvia	LVA	Europe	Northern Europe	1980	Male	35-39	41
Latvia	LVA	Europe	Northern Europe	1980	Male	40-44	74
Latvia	LVA	Europe	Northern Europe	1980	Male	45-49	150
Latvia	LVA	Europe	Northern Europe	1980	Male	5-9	5
Latvia	LVA	Europe	Northern Europe	1980	Male	50-54	223
Latvia	LVA	Europe	Northern Europe	1980	Male	55-59	276
Latvia	LVA	Europe	Northern Europe	1980	Male	60-64	269
Latvia	LVA	Europe	Northern Europe	1980	Male	65-69	396
Latvia	LVA	Europe	Northern Europe	1980	Male	70-74	355
Latvia	LVA	Europe	Northern Europe	1980	Male	75-79	286
Latvia	LVA	Europe	Northern Europe	1980	Male	80-84	90
Latvia	LVA	Europe	Northern Europe	1980	Male	85+	57
Latvia	LVA	Europe	Northern Europe	1981	Female	0-4	7
Latvia	LVA	Europe	Northern Europe	1981	Female	10-14	4
Latvia	LVA	Europe	Northern Europe	1981	Female	15-19	5
Latvia	LVA	Europe	Northern Europe	1981	Female	20-24	16
Latvia	LVA	Europe	Northern Europe	1981	Female	25-29	7
Latvia	LVA	Europe	Northern Europe	1981	Female	30-34	20
Latvia	LVA	Europe	Northern Europe	1981	Female	35-39	36
Latvia	LVA	Europe	Northern Europe	1981	Female	40-44	70
Latvia	LVA	Europe	Northern Europe	1981	Female	45-49	127
Latvia	LVA	Europe	Northern Europe	1981	Female	5-9	3
Latvia	LVA	Europe	Northern Europe	1981	Female	50-54	191
Latvia	LVA	Europe	Northern Europe	1981	Female	55-59	263
Latvia	LVA	Europe	Northern Europe	1981	Female	60-64	200
Latvia	LVA	Europe	Northern Europe	1981	Female	65-69	307
Latvia	LVA	Europe	Northern Europe	1981	Female	70-74	344
Latvia	LVA	Europe	Northern Europe	1981	Female	75-79	321
Latvia	LVA	Europe	Northern Europe	1981	Female	80-84	173
Latvia	LVA	Europe	Northern Europe	1981	Female	85+	90
Latvia	LVA	Europe	Northern Europe	1981	Male	0-4	6
Latvia	LVA	Europe	Northern Europe	1981	Male	10-14	6
