country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Lithuania	LTU	Europe	Northern Europe	1981	Female	0-4	18
Lithuania	LTU	Europe	Northern Europe	1981	Female	10-14	9
Lithuania	LTU	Europe	Northern Europe	1981	Female	15-19	11
Lithuania	LTU	Europe	Northern Europe	1981	Female	20-24	7
Lithuania	LTU	Europe	Northern Europe	1981	Female	25-29	14
Lithuania	LTU	Europe	Northern Europe	1981	Female	30-34	23
Lithuania	LTU	Europe	Northern Europe	1981	Female	35-39	65
Lithuania	LTU	Europe	Northern Europe	1981	Female	40-44	90
Lithuania	LTU	Europe	Northern Europe	1981	Female	45-49	169
Lithuania	LTU	Europe	Northern Europe	1981	Female	5-9	9
Lithuania	LTU	Europe	Northern Europe	1981	Female	50-54	219
Lithuania	LTU	Europe	Northern Europe	1981	Female	55-59	298
Lithuania	LTU	Europe	Northern Europe	1981	Female	60-64	229
Lithuania	LTU	Europe	Northern Europe	1981	Female	65-69	275
Lithuania	LTU	Europe	Northern Europe	1981	Female	70-74	400
Lithuania	LTU	Europe	Northern Europe	1981	Female	75-79	341
Lithuania	LTU	Europe	Northern Europe	1981	Female	80-84	209
Lithuania	LTU	Europe	Northern Europe	1981	Female	85+	119
Lithuania	LTU	Europe	Northern Europe	1981	Male	0-4	7
Lithuania	LTU	Europe	Northern Europe	1981	Male	10-14	7
Lithuania	LTU	Europe	Northern Europe	1981	Male	15-19	16
Lithuania	LTU	Europe	Northern Europe	1981	Male	20-24	14
Lithuania	LTU	Europe	Northern Europe	1981	Male	25-29	13
Lithuania	LTU	Europe	Northern Europe	1981	Male	30-34	22
Lithuania	LTU	Europe	Northern Europe	1981	Male	35-39	39
Lithuania	LTU	Europe	Northern Europe	1981	Male	40-44	123
Lithuania	LTU	Europe	Northern Europe	1981	Male	45-49	180
Lithuania	LTU	Europe	Northern Europe	1981	Male	5-9	9
Lithuania	LTU	Europe	Northern Europe	1981	Male	50-54	323
Lithuania	LTU	Europe	Northern Europe	1981	Male	55-59	329
Lithuania	LTU	Europe	Northern Europe	1981	Male	60-64	326
Lithuania	LTU	Europe	Northern Europe	1981	Male	65-69	403
Lithuania	LTU	Europe	Northern Europe	1981	Male	70-74	524
Lithuania	LTU	Europe	Northern Europe	1981	Male	75-79	391
Lithuania	LTU	Europe	Northern Europe	1981	Male	80-84	198
Lithuania	LTU	Europe	Northern Europe	1981	Male	85+	128
Lithuania	LTU	Europe	Northern Europe	1982	Female	0-4	13
Lithuania	LTU	Europe	Northern Europe	1982	Female	10-14	11
Lithuania	LTU	Europe	Northern Europe	1982	Female	15-19	11
Lithuania	LTU	Europe	Northern Europe	1982	Female	20-24	7
Lithuania	LTU	Europe	Northern Europe	1982	Female	25-29	23
Lithuania	LTU	Europe	Northern Europe	1982	Female	30-34	27
Lithuania	LTU	Europe	Northern Europe	1982	Female	35-39	61
Lithuania	LTU	Europe	Northern Europe	1982	Female	40-44	107
Lithuania	LTU	Europe	Northern Europe	1982	Female	45-49	162
Lithuania	LTU	Europe	Northern Europe	1982	Female	5-9	16
Lithuania	LTU	Europe	Northern Europe	1982	Female	50-54	215
Lithuania	LTU	Europe	Northern Europe	1982	Female	55-59	308
Lithuania	LTU	Europe	Northern Europe	1982	Female	60-64	276
Lithuania	LTU	Europe	Northern Europe	1982	Female	65-69	302
Lithuania	LTU	Europe	Northern Europe	1982	Female	70-74	358
Lithuania	LTU	Europe	Northern Europe	1982	Female	75-79	339
Lithuania	LTU	Europe	Northern Europe	1982	Female	80-84	205
Lithuania	LTU	Europe	Northern Europe	1982	Female	85+	126
Lithuania	LTU	Europe	Northern Europe	1982	Male	0-4	16
Lithuania	LTU	Europe	Northern Europe	1982	Male	10-14	9
Lithuania	LTU	Europe	Northern Europe	1982	Male	15-19	21
Lithuania	LTU	Europe	Northern Europe	1982	Male	20-24	14
Lithuania	LTU	Europe	Northern Europe	1982	Male	25-29	14
Lithuania	LTU	Europe	Northern Europe	1982	Male	30-34	26
Lithuania	LTU	Europe	Northern Europe	1982	Male	35-39	40
Lithuania	LTU	Europe	Northern Europe	1982	Male	40-44	98
Lithuania	LTU	Europe	Northern Europe	1982	Male	45-49	164
Lithuania	LTU	Europe	Northern Europe	1982	Male	5-9	11
Lithuania	LTU	Europe	Northern Europe	1982	Male	50-54	365
Lithuania	LTU	Europe	Northern Europe	1982	Male	55-59	344
Lithuania	LTU	Europe	Northern Europe	1982	Male	60-64	364
Lithuania	LTU	Europe	Northern Europe	1982	Male	65-69	368
Lithuania	LTU	Europe	Northern Europe	1982	Male	70-74	500
Lithuania	LTU	Europe	Northern Europe	1982	Male	75-79	445
Lithuania	LTU	Europe	Northern Europe	1982	Male	80-84	180
