country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Luxembourg	LUX	Europe	Western Europe	1967	Female	0-4	0
Luxembourg	LUX	Europe	Western Europe	1967	Female	10-14	2
Luxembourg	LUX	Europe	Western Europe	1967	Female	15-19	0
Luxembourg	LUX	Europe	Western Europe	1967	Female	20-24	1
Luxembourg	LUX	Europe	Western Europe	1967	Female	25-29	1
Luxembourg	LUX	Europe	Western Europe	1967	Female	30-34	2
Luxembourg	LUX	Europe	Western Europe	1967	Female	35-39	8
Luxembourg	LUX	Europe	Western Europe	1967	Female	40-44	13
Luxembourg	LUX	Europe	Western Europe	1967	Female	45-49	23
Luxembourg	LUX	Europe	Western Europe	1967	Female	5-9	0
Luxembourg	LUX	Europe	Western Europe	1967	Female	50-54	27
Luxembourg	LUX	Europe	Western Europe	1967	Female	55-59	30
Luxembourg	LUX	Europe	Western Europe	1967	Female	60-64	49
Luxembourg	LUX	Europe	Western Europe	1967	Female	65-69	57
Luxembourg	LUX	Europe	Western Europe	1967	Female	70-74	44
Luxembourg	LUX	Europe	Western Europe	1967	Female	75-79	49
Luxembourg	LUX	Europe	Western Europe	1967	Female	80-84	29
Luxembourg	LUX	Europe	Western Europe	1967	Female	85+	30
Luxembourg	LUX	Europe	Western Europe	1967	Male	0-4	0
Luxembourg	LUX	Europe	Western Europe	1967	Male	10-14	1
Luxembourg	LUX	Europe	Western Europe	1967	Male	15-19	0
Luxembourg	LUX	Europe	Western Europe	1967	Male	20-24	2
Luxembourg	LUX	Europe	Western Europe	1967	Male	25-29	1
Luxembourg	LUX	Europe	Western Europe	1967	Male	30-34	3
Luxembourg	LUX	Europe	Western Europe	1967	Male	35-39	7
Luxembourg	LUX	Europe	Western Europe	1967	Male	40-44	3
Luxembourg	LUX	Europe	Western Europe	1967	Male	45-49	13
Luxembourg	LUX	Europe	Western Europe	1967	Male	5-9	0
Luxembourg	LUX	Europe	Western Europe	1967	Male	50-54	30
Luxembourg	LUX	Europe	Western Europe	1967	Male	55-59	51
Luxembourg	LUX	Europe	Western Europe	1967	Male	60-64	92
Luxembourg	LUX	Europe	Western Europe	1967	Male	65-69	80
Luxembourg	LUX	Europe	Western Europe	1967	Male	70-74	81
Luxembourg	LUX	Europe	Western Europe	1967	Male	75-79	52
Luxembourg	LUX	Europe	Western Europe	1967	Male	80-84	25
Luxembourg	LUX	Europe	Western Europe	1967	Male	85+	18
Luxembourg	LUX	Europe	Western Europe	1968	Female	0-4	0
Luxembourg	LUX	Europe	Western Europe	1968	Female	10-14	0
Luxembourg	LUX	Europe	Western Europe	1968	Female	15-19	0
Luxembourg	LUX	Europe	Western Europe	1968	Female	20-24	3
Luxembourg	LUX	Europe	Western Europe	1968	Female	25-29	0
Luxembourg	LUX	Europe	Western Europe	1968	Female	30-34	4
Luxembourg	LUX	Europe	Western Europe	1968	Female	35-39	2
Luxembourg	LUX	Europe	Western Europe	1968	Female	40-44	9
Luxembourg	LUX	Europe	Western Europe	1968	Female	45-49	13
Luxembourg	LUX	Europe	Western Europe	1968	Female	5-9	1
Luxembourg	LUX	Europe	Western Europe	1968	Female	50-54	13
Luxembourg	LUX	Europe	Western Europe	1968	Female	55-59	31
Luxembourg	LUX	Europe	Western Europe	1968	Female	60-64	56
Luxembourg	LUX	Europe	Western Europe	1968	Female	65-69	48
Luxembourg	LUX	Europe	Western Europe	1968	Female	70-74	54
Luxembourg	LUX	Europe	Western Europe	1968	Female	75-79	57
Luxembourg	LUX	Europe	Western Europe	1968	Female	80-84	25
Luxembourg	LUX	Europe	Western Europe	1968	Female	85+	25
Luxembourg	LUX	Europe	Western Europe	1968	Male	0-4	1
Luxembourg	LUX	Europe	Western Europe	1968	Male	10-14	0
Luxembourg	LUX	Europe	Western Europe	1968	Male	15-19	1
Luxembourg	LUX	Europe	Western Europe	1968	Male	20-24	1
Luxembourg	LUX	Europe	Western Europe	1968	Male	25-29	0
Luxembourg	LUX	Europe	Western Europe	1968	Male	30-34	1
Luxembourg	LUX	Europe	Western Europe	1968	Male	35-39	1
Luxembourg	LUX	Europe	Western Europe	1968	Male	40-44	10
Luxembourg	LUX	Europe	Western Europe	1968	Male	45-49	11
Luxembourg	LUX	Europe	Western Europe	1968	Male	5-9	0
Luxembourg	LUX	Europe	Western Europe	1968	Male	50-54	35
Luxembourg	LUX	Europe	Western Europe	1968	Male	55-59	55
Luxembourg	LUX	Europe	Western Europe	1968	Male	60-64	97
Luxembourg	LUX	Europe	Western Europe	1968	Male	65-69	86
Luxembourg	LUX	Europe	Western Europe	1968	Male	70-74	77
Luxembourg	LUX	Europe	Western Europe	1968	Male	75-79	61
Luxembourg	LUX	Europe	Western Europe	1968	Male	80-84	29
Luxembourg	LUX	Europe	Western Europe	1968	Male	85+	17
Luxembourg	LUX	Europe	Western Europe	1969	Female	0-4	0
Luxembourg	LUX	Europe	Western Europe	1969	Female	10-14	0
Luxembourg	LUX	Europe	Western Europe	1969	Female	15-19	1
Luxembourg	LUX	Europe	Western Europe	1969	Female	20-24	1
Luxembourg	LUX	Europe	Western Europe	1969	Female	25-29	2
Luxembourg	LUX	Europe	Western Europe	1969	Female	30-34	3
Luxembourg	LUX	Europe	Western Europe	1969	Female	35-39	7
