country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Mexico	MEX	North America	Central America	1955	Female	0-4	48
Mexico	MEX	North America	Central America	1955	Female	10-14	35
Mexico	MEX	North America	Central America	1955	Female	15-19	31
Mexico	MEX	North America	Central America	1955	Female	20-24	40
Mexico	MEX	North America	Central America	1955	Female	25-29	112
Mexico	MEX	North America	Central America	1955	Female	30-34	150
Mexico	MEX	North America	Central America	1955	Female	35-39	305
Mexico	MEX	North America	Central America	1955	Female	40-44	431
Mexico	MEX	North America	Central America	1955	Female	45-49	579
Mexico	MEX	North America	Central America	1955	Female	5-9	43
Mexico	MEX	North America	Central America	1955	Female	50-54	586
Mexico	MEX	North America	Central America	1955	Female	55-59	613
Mexico	MEX	North America	Central America	1955	Female	60-64	600
Mexico	MEX	North America	Central America	1955	Female	65-69	609
Mexico	MEX	North America	Central America	1955	Female	70-74	523
Mexico	MEX	North America	Central America	1955	Female	75-79	365
Mexico	MEX	North America	Central America	1955	Female	80-84	238
Mexico	MEX	North America	Central America	1955	Female	85+	241
Mexico	MEX	North America	Central America	1955	Male	0-4	55
Mexico	MEX	North America	Central America	1955	Male	10-14	40
Mexico	MEX	North America	Central America	1955	Male	15-19	47
Mexico	MEX	North America	Central America	1955	Male	20-24	46
Mexico	MEX	North America	Central America	1955	Male	25-29	67
Mexico	MEX	North America	Central America	1955	Male	30-34	56
Mexico	MEX	North America	Central America	1955	Male	35-39	108
Mexico	MEX	North America	Central America	1955	Male	40-44	136
Mexico	MEX	North America	Central America	1955	Male	45-49	209
Mexico	MEX	North America	Central America	1955	Male	5-9	33
Mexico	MEX	North America	Central America	1955	Male	50-54	244
Mexico	MEX	North America	Central America	1955	Male	55-59	371
Mexico	MEX	North America	Central America	1955	Male	60-64	352
Mexico	MEX	North America	Central America	1955	Male	65-69	399
Mexico	MEX	North America	Central America	1955	Male	70-74	371
Mexico	MEX	North America	Central America	1955	Male	75-79	294
Mexico	MEX	North America	Central America	1955	Male	80-84	158
Mexico	MEX	North America	Central America	1955	Male	85+	142
Mexico	MEX	North America	Central America	1956	Female	0-4	65
Mexico	MEX	North America	Central America	1956	Female	10-14	39
Mexico	MEX	North America	Central America	1956	Female	15-19	39
Mexico	MEX	North America	Central America	1956	Female	20-24	72
Mexico	MEX	North America	Central America	1956	Female	25-29	150
Mexico	MEX	North America	Central America	1956	Female	30-34	228
Mexico	MEX	North America	Central America	1956	Female	35-39	360
Mexico	MEX	North America	Central America	1956	Female	40-44	442
Mexico	MEX	North America	Central America	1956	Female	45-49	630
Mexico	MEX	North America	Central America	1956	Female	5-9	43
Mexico	MEX	North America	Central America	1956	Female	50-54	629
Mexico	MEX	North America	Central America	1956	Female	55-59	713
Mexico	MEX	North America	Central America	1956	Female	60-64	593
Mexico	MEX	North America	Central America	1956	Female	65-69	633
Mexico	MEX	North America	Central America	1956	Female	70-74	570
Mexico	MEX	North America	Central America	1956	Female	75-79	421
