country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Moldova	MDA	Europe	Eastern Europe	1981	Female	0-4	9
Moldova	MDA	Europe	Eastern Europe	1981	Female	10-14	14
Moldova	MDA	Europe	Eastern Europe	1981	Female	15-19	15
Moldova	MDA	Europe	Eastern Europe	1981	Female	20-24	16
Moldova	MDA	Europe	Eastern Europe	1981	Female	25-29	14
Moldova	MDA	Europe	Eastern Europe	1981	Female	30-34	32
Moldova	MDA	Europe	Eastern Europe	1981	Female	35-39	45
Moldova	MDA	Europe	Eastern Europe	1981	Female	40-44	118
Moldova	MDA	Europe	Eastern Europe	1981	Female	45-49	167
Moldova	MDA	Europe	Eastern Europe	1981	Female	5-9	25
Moldova	MDA	Europe	Eastern Europe	1981	Female	50-54	215
Moldova	MDA	Europe	Eastern Europe	1981	Female	55-59	302
Moldova	MDA	Europe	Eastern Europe	1981	Female	60-64	261
Moldova	MDA	Europe	Eastern Europe	1981	Female	65-69	239
Moldova	MDA	Europe	Eastern Europe	1981	Female	70-74	191
Moldova	MDA	Europe	Eastern Europe	1981	Female	75-79	150
Moldova	MDA	Europe	Eastern Europe	1981	Female	80-84	59
Moldova	MDA	Europe	Eastern Europe	1981	Female	85+	40
Moldova	MDA	Europe	Eastern Europe	1981	Male	0-4	19
Moldova	MDA	Europe	Eastern Europe	1981	Male	10-14	12
Moldova	MDA	Europe	Eastern Europe	1981	Male	15-19	15
Moldova	MDA	Europe	Eastern Europe	1981	Male	20-24	23
Moldova	MDA	Europe	Eastern Europe	1981	Male	25-29	20
Moldova	MDA	Europe	Eastern Europe	1981	Male	30-34	31
Moldova	MDA	Europe	Eastern Europe	1981	Male	35-39	37
Moldova	MDA	Europe	Eastern Europe	1981	Male	40-44	100
Moldova	MDA	Europe	Eastern Europe	1981	Male	45-49	179
Moldova	MDA	Europe	Eastern Europe	1981	Male	5-9	18
Moldova	MDA	Europe	Eastern Europe	1981	Male	50-54	283
