country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Netherlands	NLD	Europe	Western Europe	1950	Female	0-4	56
Netherlands	NLD	Europe	Western Europe	1950	Female	10-14	18
Netherlands	NLD	Europe	Western Europe	1950	Female	15-19	30
Netherlands	NLD	Europe	Western Europe	1950	Female	20-24	31
Netherlands	NLD	Europe	Western Europe	1950	Female	25-29	69
Netherlands	NLD	Europe	Western Europe	1950	Female	30-34	74
Netherlands	NLD	Europe	Western Europe	1950	Female	35-39	149
Netherlands	NLD	Europe	Western Europe	1950	Female	40-44	257
Netherlands	NLD	Europe	Western Europe	1950	Female	45-49	424
Netherlands	NLD	Europe	Western Europe	1950	Female	5-9	26
Netherlands	NLD	Europe	Western Europe	1950	Female	50-54	562
Netherlands	NLD	Europe	Western Europe	1950	Female	55-59	742
Netherlands	NLD	Europe	Western Europe	1950	Female	60-64	865
Netherlands	NLD	Europe	Western Europe	1950	Female	65-69	1020
Netherlands	NLD	Europe	Western Europe	1950	Female	70-74	1103
Netherlands	NLD	Europe	Western Europe	1950	Female	75-79	977
Netherlands	NLD	Europe	Western Europe	1950	Female	80-84	601
Netherlands	NLD	Europe	Western Europe	1950	Female	85+	308
Netherlands	NLD	Europe	Western Europe	1950	Male	0-4	56
Netherlands	NLD	Europe	Western Europe	1950	Male	10-14	20
Netherlands	NLD	Europe	Western Europe	1950	Male	15-19	40
Netherlands	NLD	Europe	Western Europe	1950	Male	20-24	51
Netherlands	NLD	Europe	Western Europe	1950	Male	25-29	56
Netherlands	NLD	Europe	Western Europe	1950	Male	30-34	87
Netherlands	NLD	Europe	Western Europe	1950	Male	35-39	113
Netherlands	NLD	Europe	Western Europe	1950	Male	40-44	198
Netherlands	NLD	Europe	Western Europe	1950	Male	45-49	308
Netherlands	NLD	Europe	Western Europe	1950	Male	5-9	36
Netherlands	NLD	Europe	Western Europe	1950	Male	50-54	544
Netherlands	NLD	Europe	Western Europe	1950	Male	55-59	714
Netherlands	NLD	Europe	Western Europe	1950	Male	60-64	927
Netherlands	NLD	Europe	Western Europe	1950	Male	65-69	1108
Netherlands	NLD	Europe	Western Europe	1950	Male	70-74	1241
Netherlands	NLD	Europe	Western Europe	1950	Male	75-79	1097
Netherlands	NLD	Europe	Western Europe	1950	Male	80-84	651
Netherlands	NLD	Europe	Western Europe	1950	Male	85+	295
Netherlands	NLD	Europe	Western Europe	1951	Female	0-4	64
Netherlands	NLD	Europe	Western Europe	1951	Female	10-14	17
Netherlands	NLD	Europe	Western Europe	1951	Female	15-19	23
Netherlands	NLD	Europe	Western Europe	1951	Female	20-24	48
Netherlands	NLD	Europe	Western Europe	1951	Female	25-29	69
Netherlands	NLD	Europe	Western Europe	1951	Female	30-34	95
Netherlands	NLD	Europe	Western Europe	1951	Female	35-39	173
Netherlands	NLD	Europe	Western Europe	1951	Female	40-44	276
Netherlands	NLD	Europe	Western Europe	1951	Female	45-49	430
Netherlands	NLD	Europe	Western Europe	1951	Female	5-9	33
Netherlands	NLD	Europe	Western Europe	1951	Female	50-54	602
Netherlands	NLD	Europe	Western Europe	1951	Female	55-59	762
Netherlands	NLD	Europe	Western Europe	1951	Female	60-64	884
Netherlands	NLD	Europe	Western Europe	1951	Female	65-69	1074
Netherlands	NLD	Europe	Western Europe	1951	Female	70-74	1087
Netherlands	NLD	Europe	Western Europe	1951	Female	75-79	983
Netherlands	NLD	Europe	Western Europe	1951	Female	80-84	638
Netherlands	NLD	Europe	Western Europe	1951	Female	85+	322
Netherlands	NLD	Europe	Western Europe	1951	Male	0-4	58
Netherlands	NLD	Europe	Western Europe	1951	Male	10-14	29
Netherlands	NLD	Europe	Western Europe	1951	Male	15-19	40
Netherlands	NLD	Europe	Western Europe	1951	Male	20-24	54
Netherlands	NLD	Europe	Western Europe	1951	Male	25-29	73
Netherlands	NLD	Europe	Western Europe	1951	Male	30-34	77
Netherlands	NLD	Europe	Western Europe	1951	Male	35-39	123
Netherlands	NLD	Europe	Western Europe	1951	Male	40-44	208
Netherlands	NLD	Europe	Western Europe	1951	Male	45-49	358
Netherlands	NLD	Europe	Western Europe	1951	Male	5-9	35
Netherlands	NLD	Europe	Western Europe	1951	Male	50-54	524
Netherlands	NLD	Europe	Western Europe	1951	Male	55-59	738
Netherlands	NLD	Europe	Western Europe	1951	Male	60-64	947
Netherlands	NLD	Europe	Western Europe	1951	Male	65-69	1151
Netherlands	NLD	Europe	Western Europe	1951	Male	70-74	1253
Netherlands	NLD	Europe	Western Europe	1951	Male	75-79	1128
Netherlands	NLD	Europe	Western Europe	1951	Male	80-84	669
Netherlands	NLD	Europe	Western Europe	1951	Male	85+	282
Netherlands	NLD	Europe	Western Europe	1952	Female	0-4	54
Netherlands	NLD	Europe	Western Europe	1952	Female	10-14	21
Netherlands	NLD	Europe	Western Europe	1952	Female	15-19	22
Netherlands	NLD	Europe	Western Europe	1952	Female	20-24	44
Netherlands	NLD	Europe	Western Europe	1952	Female	25-29	51
Netherlands	NLD	Europe	Western Europe	1952	Female	30-34	105
Netherlands	NLD	Europe	Western Europe	1952	Female	35-39	187
Netherlands	NLD	Europe	Western Europe	1952	Female	40-44	304
Netherlands	NLD	Europe	Western Europe	1952	Female	45-49	449
Netherlands	NLD	Europe	Western Europe	1952	Female	5-9	27
Netherlands	NLD	Europe	Western Europe	1952	Female	50-54	626
Netherlands	NLD	Europe	Western Europe	1952	Female	55-59	739
Netherlands	NLD	Europe	Western Europe	1952	Female	60-64	897
Netherlands	NLD	Europe	Western Europe	1952	Female	65-69	1026
Netherlands	NLD	Europe	Western Europe	1952	Female	70-74	1111
Netherlands	NLD	Europe	Western Europe	1952	Female	75-79	1022
Netherlands	NLD	Europe	Western Europe	1952	Female	80-84	648
Netherlands	NLD	Europe	Western Europe	1952	Female	85+	361
Netherlands	NLD	Europe	Western Europe	1952	Male	0-4	79
Netherlands	NLD	Europe	Western Europe	1952	Male	10-14	31
Netherlands	NLD	Europe	Western Europe	1952	Male	15-19	32
Netherlands	NLD	Europe	Western Europe	1952	Male	20-24	45
Netherlands	NLD	Europe	Western Europe	1952	Male	25-29	57
Netherlands	NLD	Europe	Western Europe	1952	Male	30-34	90
Netherlands	NLD	Europe	Western Europe	1952	Male	35-39	142
Netherlands	NLD	Europe	Western Europe	1952	Male	40-44	204
Netherlands	NLD	Europe	Western Europe	1952	Male	45-49	322
Netherlands	NLD	Europe	Western Europe	1952	Male	5-9	40
Netherlands	NLD	Europe	Western Europe	1952	Male	50-54	515
Netherlands	NLD	Europe	Western Europe	1952	Male	55-59	781
Netherlands	NLD	Europe	Western Europe	1952	Male	60-64	953
Netherlands	NLD	Europe	Western Europe	1952	Male	65-69	1180
Netherlands	NLD	Europe	Western Europe	1952	Male	70-74	1342
Netherlands	NLD	Europe	Western Europe	1952	Male	75-79	1117
Netherlands	NLD	Europe	Western Europe	1952	Male	80-84	709
Netherlands	NLD	Europe	Western Europe	1952	Male	85+	342
Netherlands	NLD	Europe	Western Europe	1953	Female	0-4	60
Netherlands	NLD	Europe	Western Europe	1953	Female	10-14	18
Netherlands	NLD	Europe	Western Europe	1953	Female	15-19	27
Netherlands	NLD	Europe	Western Europe	1953	Female	20-24	35
Netherlands	NLD	Europe	Western Europe	1953	Female	25-29	44
Netherlands	NLD	Europe	Western Europe	1953	Female	30-34	105
Netherlands	NLD	Europe	Western Europe	1953	Female	35-39	186
Netherlands	NLD	Europe	Western Europe	1953	Female	40-44	283
Netherlands	NLD	Europe	Western Europe	1953	Female	45-49	452
Netherlands	NLD	Europe	Western Europe	1953	Female	5-9	31
Netherlands	NLD	Europe	Western Europe	1953	Female	50-54	612
Netherlands	NLD	Europe	Western Europe	1953	Female	55-59	764
Netherlands	NLD	Europe	Western Europe	1953	Female	60-64	894
Netherlands	NLD	Europe	Western Europe	1953	Female	65-69	1022
Netherlands	NLD	Europe	Western Europe	1953	Female	70-74	1078
Netherlands	NLD	Europe	Western Europe	1953	Female	75-79	1051
Netherlands	NLD	Europe	Western Europe	1953	Female	80-84	666
Netherlands	NLD	Europe	Western Europe	1953	Female	85+	358
Netherlands	NLD	Europe	Western Europe	1953	Male	0-4	58
Netherlands	NLD	Europe	Western Europe	1953	Male	10-14	21
Netherlands	NLD	Europe	Western Europe	1953	Male	15-19	44
Netherlands	NLD	Europe	Western Europe	1953	Male	20-24	57
Netherlands	NLD	Europe	Western Europe	1953	Male	25-29	55
Netherlands	NLD	Europe	Western Europe	1953	Male	30-34	82
Netherlands	NLD	Europe	Western Europe	1953	Male	35-39	109
Netherlands	NLD	Europe	Western Europe	1953	Male	40-44	194
Netherlands	NLD	Europe	Western Europe	1953	Male	45-49	365
Netherlands	NLD	Europe	Western Europe	1953	Male	5-9	38
Netherlands	NLD	Europe	Western Europe	1953	Male	50-54	569
Netherlands	NLD	Europe	Western Europe	1953	Male	55-59	817
Netherlands	NLD	Europe	Western Europe	1953	Male	60-64	987
Netherlands	NLD	Europe	Western Europe	1953	Male	65-69	1201
