country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Female	0-4	12
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Female	10-14	4
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Female	15-19	4
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Female	20-24	3
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Female	25-29	7
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Female	30-34	20
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Female	35-39	31
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Female	40-44	53
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Female	45-49	83
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Female	5-9	4
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Female	50-54	100
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Female	55-59	150
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Female	60-64	134
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Female	65-69	200
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Female	70-74	191
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Female	75-79	147
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Female	80-84	79
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Female	85+	63
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Male	0-4	10
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Male	10-14	8
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Male	15-19	4
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Male	20-24	9
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Male	25-29	10
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Male	30-34	4
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Male	35-39	26
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Male	40-44	28
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Male	45-49	53
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Male	5-9	11
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Male	50-54	88
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Male	55-59	126
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Male	60-64	157
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Male	65-69	259
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Male	70-74	263
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Male	75-79	211
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Male	80-84	107
New Zealand	NZL	Oceania	Australia and New Zealand	1950	Male	85+	58
New Zealand	NZL	Oceania	Australia and New Zealand	1951	Female	0-4	13
New Zealand	NZL	Oceania	Australia and New Zealand	1951	Female	10-14	6
New Zealand	NZL	Oceania	Australia and New Zealand	1951	Female	15-19	4
