country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Norway	NOR	Europe	Northern Europe	1951	Female	0-4	17
Norway	NOR	Europe	Northern Europe	1951	Female	10-14	7
Norway	NOR	Europe	Northern Europe	1951	Female	15-19	3
Norway	NOR	Europe	Northern Europe	1951	Female	20-24	8
Norway	NOR	Europe	Northern Europe	1951	Female	25-29	20
Norway	NOR	Europe	Northern Europe	1951	Female	30-34	22
Norway	NOR	Europe	Northern Europe	1951	Female	35-39	49
Norway	NOR	Europe	Northern Europe	1951	Female	40-44	99
Norway	NOR	Europe	Northern Europe	1951	Female	45-49	151
Norway	NOR	Europe	Northern Europe	1951	Female	5-9	8
Norway	NOR	Europe	Northern Europe	1951	Female	50-54	207
Norway	NOR	Europe	Northern Europe	1951	Female	55-59	243
Norway	NOR	Europe	Northern Europe	1951	Female	60-64	285
Norway	NOR	Europe	Northern Europe	1951	Female	65-69	310
Norway	NOR	Europe	Northern Europe	1951	Female	70-74	396
Norway	NOR	Europe	Northern Europe	1951	Female	75-79	373
Norway	NOR	Europe	Northern Europe	1951	Female	80-84	266
Norway	NOR	Europe	Northern Europe	1951	Female	85+	226
Norway	NOR	Europe	Northern Europe	1951	Male	0-4	30
Norway	NOR	Europe	Northern Europe	1951	Male	10-14	7
Norway	NOR	Europe	Northern Europe	1951	Male	15-19	11
Norway	NOR	Europe	Northern Europe	1951	Male	20-24	15
Norway	NOR	Europe	Northern Europe	1951	Male	25-29	23
Norway	NOR	Europe	Northern Europe	1951	Male	30-34	32
Norway	NOR	Europe	Northern Europe	1951	Male	35-39	40
Norway	NOR	Europe	Northern Europe	1951	Male	40-44	52
Norway	NOR	Europe	Northern Europe	1951	Male	45-49	112
Norway	NOR	Europe	Northern Europe	1951	Male	5-9	13
Norway	NOR	Europe	Northern Europe	1951	Male	50-54	157
Norway	NOR	Europe	Northern Europe	1951	Male	55-59	230
Norway	NOR	Europe	Northern Europe	1951	Male	60-64	267
Norway	NOR	Europe	Northern Europe	1951	Male	65-69	313
Norway	NOR	Europe	Northern Europe	1951	Male	70-74	393
Norway	NOR	Europe	Northern Europe	1951	Male	75-79	395
Norway	NOR	Europe	Northern Europe	1951	Male	80-84	273
Norway	NOR	Europe	Northern Europe	1951	Male	85+	168
Norway	NOR	Europe	Northern Europe	1952	Female	0-4	15
Norway	NOR	Europe	Northern Europe	1952	Female	10-14	8
Norway	NOR	Europe	Northern Europe	1952	Female	15-19	5
Norway	NOR	Europe	Northern Europe	1952	Female	20-24	7
Norway	NOR	Europe	Northern Europe	1952	Female	25-29	18
Norway	NOR	Europe	Northern Europe	1952	Female	30-34	32
Norway	NOR	Europe	Northern Europe	1952	Female	35-39	44
Norway	NOR	Europe	Northern Europe	1952	Female	40-44	100
Norway	NOR	Europe	Northern Europe	1952	Female	45-49	133
Norway	NOR	Europe	Northern Europe	1952	Female	5-9	12
Norway	NOR	Europe	Northern Europe	1952	Female	50-54	188
Norway	NOR	Europe	Northern Europe	1952	Female	55-59	266
Norway	NOR	Europe	Northern Europe	1952	Female	60-64	296
Norway	NOR	Europe	Northern Europe	1952	Female	65-69	326
Norway	NOR	Europe	Northern Europe	1952	Female	70-74	382
Norway	NOR	Europe	Northern Europe	1952	Female	75-79	355
Norway	NOR	Europe	Northern Europe	1952	Female	80-84	274
Norway	NOR	Europe	Northern Europe	1952	Female	85+	190
Norway	NOR	Europe	Northern Europe	1952	Male	0-4	14
Norway	NOR	Europe	Northern Europe	1952	Male	10-14	16
Norway	NOR	Europe	Northern Europe	1952	Male	15-19	5
Norway	NOR	Europe	Northern Europe	1952	Male	20-24	16
Norway	NOR	Europe	Northern Europe	1952	Male	25-29	15
Norway	NOR	Europe	Northern Europe	1952	Male	30-34	20
Norway	NOR	Europe	Northern Europe	1952	Male	35-39	30
Norway	NOR	Europe	Northern Europe	1952	Male	40-44	57
Norway	NOR	Europe	Northern Europe	1952	Male	45-49	113
