country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Panama	PAN	North America	Central America	1955	Female	0-4	3
Panama	PAN	North America	Central America	1955	Female	10-14	2
Panama	PAN	North America	Central America	1955	Female	15-19	0
Panama	PAN	North America	Central America	1955	Female	20-24	3
Panama	PAN	North America	Central America	1955	Female	25-29	3
Panama	PAN	North America	Central America	1955	Female	30-34	6
Panama	PAN	North America	Central America	1955	Female	35-39	8
Panama	PAN	North America	Central America	1955	Female	40-44	14
Panama	PAN	North America	Central America	1955	Female	45-49	9
Panama	PAN	North America	Central America	1955	Female	5-9	3
Panama	PAN	North America	Central America	1955	Female	50-54	19
Panama	PAN	North America	Central America	1955	Female	55-59	19
Panama	PAN	North America	Central America	1955	Female	60-64	29
Panama	PAN	North America	Central America	1955	Female	65-69	28
Panama	PAN	North America	Central America	1955	Female	70-74	22
Panama	PAN	North America	Central America	1955	Female	75-79	11
Panama	PAN	North America	Central America	1955	Female	80-84	6
Panama	PAN	North America	Central America	1955	Female	85+	10
Panama	PAN	North America	Central America	1955	Male	0-4	1
Panama	PAN	North America	Central America	1955	Male	10-14	0
Panama	PAN	North America	Central America	1955	Male	15-19	0
Panama	PAN	North America	Central America	1955	Male	20-24	5
Panama	PAN	North America	Central America	1955	Male	25-29	4
Panama	PAN	North America	Central America	1955	Male	30-34	5
Panama	PAN	North America	Central America	1955	Male	35-39	5
Panama	PAN	North America	Central America	1955	Male	40-44	7
Panama	PAN	North America	Central America	1955	Male	45-49	6
Panama	PAN	North America	Central America	1955	Male	5-9	4
Panama	PAN	North America	Central America	1955	Male	50-54	13
Panama	PAN	North America	Central America	1955	Male	55-59	13
Panama	PAN	North America	Central America	1955	Male	60-64	28
Panama	PAN	North America	Central America	1955	Male	65-69	37
Panama	PAN	North America	Central America	1955	Male	70-74	21
Panama	PAN	North America	Central America	1955	Male	75-79	19
Panama	PAN	North America	Central America	1955	Male	80-84	8
Panama	PAN	North America	Central America	1955	Male	85+	7
Panama	PAN	North America	Central America	1956	Female	0-4	4
Panama	PAN	North America	Central America	1956	Female	10-14	1
Panama	PAN	North America	Central America	1956	Female	15-19	5
Panama	PAN	North America	Central America	1956	Female	20-24	1
Panama	PAN	North America	Central America	1956	Female	25-29	3
Panama	PAN	North America	Central America	1956	Female	30-34	6
Panama	PAN	North America	Central America	1956	Female	35-39	19
Panama	PAN	North America	Central America	1956	Female	40-44	17
Panama	PAN	North America	Central America	1956	Female	45-49	18
Panama	PAN	North America	Central America	1956	Female	5-9	2
Panama	PAN	North America	Central America	1956	Female	50-54	20
Panama	PAN	North America	Central America	1956	Female	55-59	22
Panama	PAN	North America	Central America	1956	Female	60-64	27
Panama	PAN	North America	Central America	1956	Female	65-69	23
Panama	PAN	North America	Central America	1956	Female	70-74	16
Panama	PAN	North America	Central America	1956	Female	75-79	18
Panama	PAN	North America	Central America	1956	Female	80-84	10
Panama	PAN	North America	Central America	1956	Female	85+	7
Panama	PAN	North America	Central America	1956	Male	0-4	4
Panama	PAN	North America	Central America	1956	Male	10-14	3
Panama	PAN	North America	Central America	1956	Male	15-19	0
Panama	PAN	North America	Central America	1956	Male	20-24	1
Panama	PAN	North America	Central America	1956	Male	25-29	5
Panama	PAN	North America	Central America	1956	Male	30-34	2
Panama	PAN	North America	Central America	1956	Male	35-39	4
Panama	PAN	North America	Central America	1956	Male	40-44	10
Panama	PAN	North America	Central America	1956	Male	45-49	14
Panama	PAN	North America	Central America	1956	Male	5-9	4
Panama	PAN	North America	Central America	1956	Male	50-54	13
Panama	PAN	North America	Central America	1956	Male	55-59	25
Panama	PAN	North America	Central America	1956	Male	60-64	26
Panama	PAN	North America	Central America	1956	Male	65-69	29
Panama	PAN	North America	Central America	1956	Male	70-74	33
Panama	PAN	North America	Central America	1956	Male	75-79	14
Panama	PAN	North America	Central America	1956	Male	80-84	11
Panama	PAN	North America	Central America	1956	Male	85+	3
Panama	PAN	North America	Central America	1957	Female	0-4	4
Panama	PAN	North America	Central America	1957	Female	10-14	3
Panama	PAN	North America	Central America	1957	Female	15-19	4
Panama	PAN	North America	Central America	1957	Female	20-24	3
Panama	PAN	North America	Central America	1957	Female	25-29	4
Panama	PAN	North America	Central America	1957	Female	30-34	10
Panama	PAN	North America	Central America	1957	Female	35-39	17
Panama	PAN	North America	Central America	1957	Female	40-44	15
Panama	PAN	North America	Central America	1957	Female	45-49	16
Panama	PAN	North America	Central America	1957	Female	5-9	3
Panama	PAN	North America	Central America	1957	Female	50-54	15
Panama	PAN	North America	Central America	1957	Female	55-59	21
Panama	PAN	North America	Central America	1957	Female	60-64	26
Panama	PAN	North America	Central America	1957	Female	65-69	28
Panama	PAN	North America	Central America	1957	Female	70-74	30
Panama	PAN	North America	Central America	1957	Female	75-79	11
Panama	PAN	North America	Central America	1957	Female	80-84	3
Panama	PAN	North America	Central America	1957	Female	85+	11
Panama	PAN	North America	Central America	1957	Male	0-4	3
Panama	PAN	North America	Central America	1957	Male	10-14	3
Panama	PAN	North America	Central America	1957	Male	15-19	2
Panama	PAN	North America	Central America	1957	Male	20-24	1
Panama	PAN	North America	Central America	1957	Male	25-29	0
Panama	PAN	North America	Central America	1957	Male	30-34	3
Panama	PAN	North America	Central America	1957	Male	35-39	7
Panama	PAN	North America	Central America	1957	Male	40-44	2
Panama	PAN	North America	Central America	1957	Male	45-49	7
Panama	PAN	North America	Central America	1957	Male	5-9	5
Panama	PAN	North America	Central America	1957	Male	50-54	10
Panama	PAN	North America	Central America	1957	Male	55-59	21
Panama	PAN	North America	Central America	1957	Male	60-64	32
Panama	PAN	North America	Central America	1957	Male	65-69	33
Panama	PAN	North America	Central America	1957	Male	70-74	29
Panama	PAN	North America	Central America	1957	Male	75-79	20
Panama	PAN	North America	Central America	1957	Male	80-84	9
Panama	PAN	North America	Central America	1957	Male	85+	10
Panama	PAN	North America	Central America	1958	Female	0-4	0
Panama	PAN	North America	Central America	1958	Female	10-14	1
Panama	PAN	North America	Central America	1958	Female	15-19	1
Panama	PAN	North America	Central America	1958	Female	20-24	1
Panama	PAN	North America	Central America	1958	Female	25-29	2
Panama	PAN	North America	Central America	1958	Female	30-34	3
Panama	PAN	North America	Central America	1958	Female	35-39	15
Panama	PAN	North America	Central America	1958	Female	40-44	28
Panama	PAN	North America	Central America	1958	Female	45-49	20
Panama	PAN	North America	Central America	1958	Female	5-9	2
Panama	PAN	North America	Central America	1958	Female	50-54	20
Panama	PAN	North America	Central America	1958	Female	55-59	29
Panama	PAN	North America	Central America	1958	Female	60-64	29
Panama	PAN	North America	Central America	1958	Female	65-69	23
Panama	PAN	North America	Central America	1958	Female	70-74	19
Panama	PAN	North America	Central America	1958	Female	75-79	15
Panama	PAN	North America	Central America	1958	Female	80-84	19
Panama	PAN	North America	Central America	1958	Female	85+	10
Panama	PAN	North America	Central America	1958	Male	0-4	5
Panama	PAN	North America	Central America	1958	Male	10-14	1
Panama	PAN	North America	Central America	1958	Male	15-19	2
Panama	PAN	North America	Central America	1958	Male	20-24	1
