country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Peru	PER	South America	South America	1966	Female	0-4	37
Peru	PER	South America	South America	1966	Female	10-14	14
Peru	PER	South America	South America	1966	Female	15-19	27
Peru	PER	South America	South America	1966	Female	20-24	36
Peru	PER	South America	South America	1966	Female	25-29	45
Peru	PER	South America	South America	1966	Female	30-34	84
Peru	PER	South America	South America	1966	Female	35-39	140
Peru	PER	South America	South America	1966	Female	40-44	157
Peru	PER	South America	South America	1966	Female	45-49	238
Peru	PER	South America	South America	1966	Female	5-9	25
Peru	PER	South America	South America	1966	Female	50-54	212
Peru	PER	South America	South America	1966	Female	55-59	222
Peru	PER	South America	South America	1966	Female	60-64	270
Peru	PER	South America	South America	1966	Female	65-69	295
Peru	PER	South America	South America	1966	Female	70-74	207
Peru	PER	South America	South America	1966	Female	75-79	201
Peru	PER	South America	South America	1966	Female	80-84	125
Peru	PER	South America	South America	1966	Female	85+	136
Peru	PER	South America	South America	1966	Male	0-4	44
Peru	PER	South America	South America	1966	Male	10-14	33
Peru	PER	South America	South America	1966	Male	15-19	34
Peru	PER	South America	South America	1966	Male	20-24	38
Peru	PER	South America	South America	1966	Male	25-29	28
Peru	PER	South America	South America	1966	Male	30-34	49
Peru	PER	South America	South America	1966	Male	35-39	52
Peru	PER	South America	South America	1966	Male	40-44	75
Peru	PER	South America	South America	1966	Male	45-49	121
Peru	PER	South America	South America	1966	Male	5-9	27
Peru	PER	South America	South America	1966	Male	50-54	132
Peru	PER	South America	South America	1966	Male	55-59	197
Peru	PER	South America	South America	1966	Male	60-64	243
Peru	PER	South America	South America	1966	Male	65-69	233
Peru	PER	South America	South America	1966	Male	70-74	211
Peru	PER	South America	South America	1966	Male	75-79	157
Peru	PER	South America	South America	1966	Male	80-84	113
Peru	PER	South America	South America	1966	Male	85+	98
Peru	PER	South America	South America	1967	Female	0-4	35
Peru	PER	South America	South America	1967	Female	10-14	34
Peru	PER	South America	South America	1967	Female	15-19	26
Peru	PER	South America	South America	1967	Female	20-24	33
Peru	PER	South America	South America	1967	Female	25-29	43
Peru	PER	South America	South America	1967	Female	30-34	63
Peru	PER	South America	South America	1967	Female	35-39	115
Peru	PER	South America	South America	1967	Female	40-44	154
Peru	PER	South America	South America	1967	Female	45-49	219
Peru	PER	South America	South America	1967	Female	5-9	28
Peru	PER	South America	South America	1967	Female	50-54	229
Peru	PER	South America	South America	1967	Female	55-59	241
Peru	PER	South America	South America	1967	Female	60-64	270
Peru	PER	South America	South America	1967	Female	65-69	278
Peru	PER	South America	South America	1967	Female	70-74	202
Peru	PER	South America	South America	1967	Female	75-79	180
Peru	PER	South America	South America	1967	Female	80-84	128
Peru	PER	South America	South America	1967	Female	85+	121
Peru	PER	South America	South America	1967	Male	0-4	38
Peru	PER	South America	South America	1967	Male	10-14	26
Peru	PER	South America	South America	1967	Male	15-19	37
Peru	PER	South America	South America	1967	Male	20-24	36
Peru	PER	South America	South America	1967	Male	25-29	37
Peru	PER	South America	South America	1967	Male	30-34	43
Peru	PER	South America	South America	1967	Male	35-39	65
Peru	PER	South America	South America	1967	Male	40-44	76
Peru	PER	South America	South America	1967	Male	45-49	111
Peru	PER	South America	South America	1967	Male	5-9	19
Peru	PER	South America	South America	1967	Male	50-54	135
Peru	PER	South America	South America	1967	Male	55-59	220
Peru	PER	South America	South America	1967	Male	60-64	270
Peru	PER	South America	South America	1967	Male	65-69	268
Peru	PER	South America	South America	1967	Male	70-74	210
Peru	PER	South America	South America	1967	Male	75-79	221
Peru	PER	South America	South America	1967	Male	80-84	105
Peru	PER	South America	South America	1967	Male	85+	105
Peru	PER	South America	South America	1968	Female	0-4	19
Peru	PER	South America	South America	1968	Female	10-14	17
Peru	PER	South America	South America	1968	Female	15-19	20
Peru	PER	South America	South America	1968	Female	20-24	19
Peru	PER	South America	South America	1968	Female	25-29	39
Peru	PER	South America	South America	1968	Female	30-34	50
Peru	PER	South America	South America	1968	Female	35-39	110
Peru	PER	South America	South America	1968	Female	40-44	163
Peru	PER	South America	South America	1968	Female	45-49	207
Peru	PER	South America	South America	1968	Female	5-9	22
Peru	PER	South America	South America	1968	Female	50-54	207
Peru	PER	South America	South America	1968	Female	55-59	224
Peru	PER	South America	South America	1968	Female	60-64	281
Peru	PER	South America	South America	1968	Female	65-69	319
Peru	PER	South America	South America	1968	Female	70-74	179
Peru	PER	South America	South America	1968	Female	75-79	207
Peru	PER	South America	South America	1968	Female	80-84	119
Peru	PER	South America	South America	1968	Female	85+	156
Peru	PER	South America	South America	1968	Male	0-4	31
Peru	PER	South America	South America	1968	Male	10-14	29
Peru	PER	South America	South America	1968	Male	15-19	39
Peru	PER	South America	South America	1968	Male	20-24	37
Peru	PER	South America	South America	1968	Male	25-29	33
Peru	PER	South America	South America	1968	Male	30-34	40
Peru	PER	South America	South America	1968	Male	35-39	57
Peru	PER	South America	South America	1968	Male	40-44	82
Peru	PER	South America	South America	1968	Male	45-49	112
Peru	PER	South America	South America	1968	Male	5-9	31
Peru	PER	South America	South America	1968	Male	50-54	155
Peru	PER	South America	South America	1968	Male	55-59	195
Peru	PER	South America	South America	1968	Male	60-64	254
Peru	PER	South America	South America	1968	Male	65-69	302
Peru	PER	South America	South America	1968	Male	70-74	229
Peru	PER	South America	South America	1968	Male	75-79	200
Peru	PER	South America	South America	1968	Male	80-84	116
Peru	PER	South America	South America	1968	Male	85+	107
Peru	PER	South America	South America	1969	Female	0-4	32
Peru	PER	South America	South America	1969	Female	10-14	21
Peru	PER	South America	South America	1969	Female	15-19	31
Peru	PER	South America	South America	1969	Female	20-24	36
Peru	PER	South America	South America	1969	Female	25-29	45
Peru	PER	South America	South America	1969	Female	30-34	71
Peru	PER	South America	South America	1969	Female	35-39	116
Peru	PER	South America	South America	1969	Female	40-44	158
Peru	PER	South America	South America	1969	Female	45-49	230
Peru	PER	South America	South America	1969	Female	5-9	19
Peru	PER	South America	South America	1969	Female	50-54	225
Peru	PER	South America	South America	1969	Female	55-59	250
Peru	PER	South America	South America	1969	Female	60-64	284
Peru	PER	South America	South America	1969	Female	65-69	301
Peru	PER	South America	South America	1969	Female	70-74	227
Peru	PER	South America	South America	1969	Female	75-79	214
Peru	PER	South America	South America	1969	Female	80-84	136
Peru	PER	South America	South America	1969	Female	85+	187
Peru	PER	South America	South America	1969	Male	0-4	26
Peru	PER	South America	South America	1969	Male	10-14	25
Peru	PER	South America	South America	1969	Male	15-19	37
Peru	PER	South America	South America	1969	Male	20-24	30
Peru	PER	South America	South America	1969	Male	25-29	21
Peru	PER	South America	South America	1969	Male	30-34	46
Peru	PER	South America	South America	1969	Male	35-39	52
Peru	PER	South America	South America	1969	Male	40-44	94
Peru	PER	South America	South America	1969	Male	45-49	107
Peru	PER	South America	South America	1969	Male	5-9	31
Peru	PER	South America	South America	1969	Male	50-54	158
Peru	PER	South America	South America	1969	Male	55-59	224
Peru	PER	South America	South America	1969	Male	60-64	257
Peru	PER	South America	South America	1969	Male	65-69	318
Peru	PER	South America	South America	1969	Male	70-74	198
Peru	PER	South America	South America	1969	Male	75-79	203
Peru	PER	South America	South America	1969	Male	80-84	119
Peru	PER	South America	South America	1969	Male	85+	105
Peru	PER	South America	South America	1970	Female	0-4	30
Peru	PER	South America	South America	1970	Female	10-14	22
