country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Portugal	PRT	Europe	Southern Europe	1955	Female	0-4	31
Portugal	PRT	Europe	Southern Europe	1955	Female	10-14	10
Portugal	PRT	Europe	Southern Europe	1955	Female	15-19	17
Portugal	PRT	Europe	Southern Europe	1955	Female	20-24	35
Portugal	PRT	Europe	Southern Europe	1955	Female	25-29	44
Portugal	PRT	Europe	Southern Europe	1955	Female	30-34	55
Portugal	PRT	Europe	Southern Europe	1955	Female	35-39	101
Portugal	PRT	Europe	Southern Europe	1955	Female	40-44	202
Portugal	PRT	Europe	Southern Europe	1955	Female	45-49	297
Portugal	PRT	Europe	Southern Europe	1955	Female	5-9	22
Portugal	PRT	Europe	Southern Europe	1955	Female	50-54	377
Portugal	PRT	Europe	Southern Europe	1955	Female	55-59	366
Portugal	PRT	Europe	Southern Europe	1955	Female	60-64	509
Portugal	PRT	Europe	Southern Europe	1955	Female	65-69	547
Portugal	PRT	Europe	Southern Europe	1955	Female	70-74	504
Portugal	PRT	Europe	Southern Europe	1955	Female	75-79	417
Portugal	PRT	Europe	Southern Europe	1955	Female	80-84	248
Portugal	PRT	Europe	Southern Europe	1955	Female	85+	151
Portugal	PRT	Europe	Southern Europe	1955	Male	0-4	27
Portugal	PRT	Europe	Southern Europe	1955	Male	10-14	13
Portugal	PRT	Europe	Southern Europe	1955	Male	15-19	34
Portugal	PRT	Europe	Southern Europe	1955	Male	20-24	27
Portugal	PRT	Europe	Southern Europe	1955	Male	25-29	38
Portugal	PRT	Europe	Southern Europe	1955	Male	30-34	54
Portugal	PRT	Europe	Southern Europe	1955	Male	35-39	62
Portugal	PRT	Europe	Southern Europe	1955	Male	40-44	132
Portugal	PRT	Europe	Southern Europe	1955	Male	45-49	196
Portugal	PRT	Europe	Southern Europe	1955	Male	5-9	21
Portugal	PRT	Europe	Southern Europe	1955	Male	50-54	321
Portugal	PRT	Europe	Southern Europe	1955	Male	55-59	375
Portugal	PRT	Europe	Southern Europe	1955	Male	60-64	485
Portugal	PRT	Europe	Southern Europe	1955	Male	65-69	573
Portugal	PRT	Europe	Southern Europe	1955	Male	70-74	483
Portugal	PRT	Europe	Southern Europe	1955	Male	75-79	369
Portugal	PRT	Europe	Southern Europe	1955	Male	80-84	156
Portugal	PRT	Europe	Southern Europe	1955	Male	85+	70
Portugal	PRT	Europe	Southern Europe	1956	Female	0-4	25
Portugal	PRT	Europe	Southern Europe	1956	Female	10-14	21
Portugal	PRT	Europe	Southern Europe	1956	Female	15-19	23
Portugal	PRT	Europe	Southern Europe	1956	Female	20-24	30
Portugal	PRT	Europe	Southern Europe	1956	Female	25-29	37
Portugal	PRT	Europe	Southern Europe	1956	Female	30-34	68
Portugal	PRT	Europe	Southern Europe	1956	Female	35-39	101
Portugal	PRT	Europe	Southern Europe	1956	Female	40-44	214
Portugal	PRT	Europe	Southern Europe	1956	Female	45-49	282
Portugal	PRT	Europe	Southern Europe	1956	Female	5-9	16
Portugal	PRT	Europe	Southern Europe	1956	Female	50-54	379
Portugal	PRT	Europe	Southern Europe	1956	Female	55-59	479
Portugal	PRT	Europe	Southern Europe	1956	Female	60-64	506
Portugal	PRT	Europe	Southern Europe	1956	Female	65-69	506
Portugal	PRT	Europe	Southern Europe	1956	Female	70-74	524
Portugal	PRT	Europe	Southern Europe	1956	Female	75-79	407
Portugal	PRT	Europe	Southern Europe	1956	Female	80-84	242
Portugal	PRT	Europe	Southern Europe	1956	Female	85+	131
Portugal	PRT	Europe	Southern Europe	1956	Male	0-4	28
Portugal	PRT	Europe	Southern Europe	1956	Male	10-14	21
Portugal	PRT	Europe	Southern Europe	1956	Male	15-19	14
Portugal	PRT	Europe	Southern Europe	1956	Male	20-24	25
Portugal	PRT	Europe	Southern Europe	1956	Male	25-29	30
Portugal	PRT	Europe	Southern Europe	1956	Male	30-34	58
Portugal	PRT	Europe	Southern Europe	1956	Male	35-39	80
Portugal	PRT	Europe	Southern Europe	1956	Male	40-44	118
Portugal	PRT	Europe	Southern Europe	1956	Male	45-49	189
Portugal	PRT	Europe	Southern Europe	1956	Male	5-9	25
Portugal	PRT	Europe	Southern Europe	1956	Male	50-54	295
Portugal	PRT	Europe	Southern Europe	1956	Male	55-59	431
Portugal	PRT	Europe	Southern Europe	1956	Male	60-64	500
Portugal	PRT	Europe	Southern Europe	1956	Male	65-69	565
Portugal	PRT	Europe	Southern Europe	1956	Male	70-74	453
Portugal	PRT	Europe	Southern Europe	1956	Male	75-79	373
Portugal	PRT	Europe	Southern Europe	1956	Male	80-84	172
Portugal	PRT	Europe	Southern Europe	1956	Male	85+	56
Portugal	PRT	Europe	Southern Europe	1957	Female	0-4	43
Portugal	PRT	Europe	Southern Europe	1957	Female	10-14	14
Portugal	PRT	Europe	Southern Europe	1957	Female	15-19	25
Portugal	PRT	Europe	Southern Europe	1957	Female	20-24	21
Portugal	PRT	Europe	Southern Europe	1957	Female	25-29	35
Portugal	PRT	Europe	Southern Europe	1957	Female	30-34	64
Portugal	PRT	Europe	Southern Europe	1957	Female	35-39	108
Portugal	PRT	Europe	Southern Europe	1957	Female	40-44	203
Portugal	PRT	Europe	Southern Europe	1957	Female	45-49	282
Portugal	PRT	Europe	Southern Europe	1957	Female	5-9	17
Portugal	PRT	Europe	Southern Europe	1957	Female	50-54	362
Portugal	PRT	Europe	Southern Europe	1957	Female	55-59	447
Portugal	PRT	Europe	Southern Europe	1957	Female	60-64	465
Portugal	PRT	Europe	Southern Europe	1957	Female	65-69	572
Portugal	PRT	Europe	Southern Europe	1957	Female	70-74	505
Portugal	PRT	Europe	Southern Europe	1957	Female	75-79	452
Portugal	PRT	Europe	Southern Europe	1957	Female	80-84	238
Portugal	PRT	Europe	Southern Europe	1957	Female	85+	112
Portugal	PRT	Europe	Southern Europe	1957	Male	0-4	46
Portugal	PRT	Europe	Southern Europe	1957	Male	10-14	22
Portugal	PRT	Europe	Southern Europe	1957	Male	15-19	22
Portugal	PRT	Europe	Southern Europe	1957	Male	20-24	43
Portugal	PRT	Europe	Southern Europe	1957	Male	25-29	30
Portugal	PRT	Europe	Southern Europe	1957	Male	30-34	54
Portugal	PRT	Europe	Southern Europe	1957	Male	35-39	62
Portugal	PRT	Europe	Southern Europe	1957	Male	40-44	141
Portugal	PRT	Europe	Southern Europe	1957	Male	45-49	248
Portugal	PRT	Europe	Southern Europe	1957	Male	5-9	27
Portugal	PRT	Europe	Southern Europe	1957	Male	50-54	345
Portugal	PRT	Europe	Southern Europe	1957	Male	55-59	449
