country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Romania	ROU	Europe	Eastern Europe	1963	Female	0-4	56
Romania	ROU	Europe	Eastern Europe	1963	Female	10-14	40
Romania	ROU	Europe	Eastern Europe	1963	Female	15-19	42
Romania	ROU	Europe	Eastern Europe	1963	Female	20-24	50
Romania	ROU	Europe	Eastern Europe	1963	Female	25-29	103
Romania	ROU	Europe	Eastern Europe	1963	Female	30-34	196
Romania	ROU	Europe	Eastern Europe	1963	Female	35-39	366
Romania	ROU	Europe	Eastern Europe	1963	Female	40-44	520
Romania	ROU	Europe	Eastern Europe	1963	Female	45-49	686
Romania	ROU	Europe	Eastern Europe	1963	Female	5-9	69
Romania	ROU	Europe	Eastern Europe	1963	Female	50-54	1172
Romania	ROU	Europe	Eastern Europe	1963	Female	55-59	1326
Romania	ROU	Europe	Eastern Europe	1963	Female	60-64	1498
Romania	ROU	Europe	Eastern Europe	1963	Female	65-69	1566
Romania	ROU	Europe	Eastern Europe	1963	Female	70-74	1387
Romania	ROU	Europe	Eastern Europe	1963	Female	75-79	1125
Romania	ROU	Europe	Eastern Europe	1963	Female	80-84	489
Romania	ROU	Europe	Eastern Europe	1963	Female	85+	192
Romania	ROU	Europe	Eastern Europe	1963	Male	0-4	84
Romania	ROU	Europe	Eastern Europe	1963	Male	10-14	68
Romania	ROU	Europe	Eastern Europe	1963	Male	15-19	72
Romania	ROU	Europe	Eastern Europe	1963	Male	20-24	81
Romania	ROU	Europe	Eastern Europe	1963	Male	25-29	85
Romania	ROU	Europe	Eastern Europe	1963	Male	30-34	156
Romania	ROU	Europe	Eastern Europe	1963	Male	35-39	255
Romania	ROU	Europe	Eastern Europe	1963	Male	40-44	307
Romania	ROU	Europe	Eastern Europe	1963	Male	45-49	452
Romania	ROU	Europe	Eastern Europe	1963	Male	5-9	72
Romania	ROU	Europe	Eastern Europe	1963	Male	50-54	1146
Romania	ROU	Europe	Eastern Europe	1963	Male	55-59	1735
Romania	ROU	Europe	Eastern Europe	1963	Male	60-64	2087
Romania	ROU	Europe	Eastern Europe	1963	Male	65-69	1936
Romania	ROU	Europe	Eastern Europe	1963	Male	70-74	1530
Romania	ROU	Europe	Eastern Europe	1963	Male	75-79	1051
Romania	ROU	Europe	Eastern Europe	1963	Male	80-84	455
Romania	ROU	Europe	Eastern Europe	1963	Male	85+	139
