country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Russia	RUS	Europe	Eastern Europe	1980	Female	0-4	453
Russia	RUS	Europe	Eastern Europe	1980	Female	10-14	212
Russia	RUS	Europe	Eastern Europe	1980	Female	15-19	372
Russia	RUS	Europe	Eastern Europe	1980	Female	20-24	523
Russia	RUS	Europe	Eastern Europe	1980	Female	25-29	849
Russia	RUS	Europe	Eastern Europe	1980	Female	30-34	1214
Russia	RUS	Europe	Eastern Europe	1980	Female	35-39	1536
Russia	RUS	Europe	Eastern Europe	1980	Female	40-44	4303
Russia	RUS	Europe	Eastern Europe	1980	Female	45-49	5448
Russia	RUS	Europe	Eastern Europe	1980	Female	5-9	311
Russia	RUS	Europe	Eastern Europe	1980	Female	50-54	10763
Russia	RUS	Europe	Eastern Europe	1980	Female	55-59	11804
Russia	RUS	Europe	Eastern Europe	1980	Female	60-64	11376
Russia	RUS	Europe	Eastern Europe	1980	Female	65-69	18771
Russia	RUS	Europe	Eastern Europe	1980	Female	70-74	17870
Russia	RUS	Europe	Eastern Europe	1980	Female	75-79	13023
Russia	RUS	Europe	Eastern Europe	1980	Female	80-84	6291
Russia	RUS	Europe	Eastern Europe	1980	Female	85+	2990
Russia	RUS	Europe	Eastern Europe	1980	Male	0-4	553
Russia	RUS	Europe	Eastern Europe	1980	Male	10-14	328
Russia	RUS	Europe	Eastern Europe	1980	Male	15-19	526
Russia	RUS	Europe	Eastern Europe	1980	Male	20-24	698
Russia	RUS	Europe	Eastern Europe	1980	Male	25-29	865
Russia	RUS	Europe	Eastern Europe	1980	Male	30-34	1195
Russia	RUS	Europe	Eastern Europe	1980	Male	35-39	1684
Russia	RUS	Europe	Eastern Europe	1980	Male	40-44	5686
Russia	RUS	Europe	Eastern Europe	1980	Male	45-49	8868
Russia	RUS	Europe	Eastern Europe	1980	Male	5-9	392
Russia	RUS	Europe	Eastern Europe	1980	Male	50-54	18229
Russia	RUS	Europe	Eastern Europe	1980	Male	55-59	14094
Russia	RUS	Europe	Eastern Europe	1980	Male	60-64	13692
Russia	RUS	Europe	Eastern Europe	1980	Male	65-69	19926
Russia	RUS	Europe	Eastern Europe	1980	Male	70-74	15695
Russia	RUS	Europe	Eastern Europe	1980	Male	75-79	8402
Russia	RUS	Europe	Eastern Europe	1980	Male	80-84	3177
Russia	RUS	Europe	Eastern Europe	1980	Male	85+	1292
Russia	RUS	Europe	Eastern Europe	1981	Female	0-4	405
Russia	RUS	Europe	Eastern Europe	1981	Female	10-14	214
Russia	RUS	Europe	Eastern Europe	1981	Female	15-19	320
Russia	RUS	Europe	Eastern Europe	1981	Female	20-24	536
Russia	RUS	Europe	Eastern Europe	1981	Female	25-29	775
Russia	RUS	Europe	Eastern Europe	1981	Female	30-34	1363
Russia	RUS	Europe	Eastern Europe	1981	Female	35-39	1351
Russia	RUS	Europe	Eastern Europe	1981	Female	40-44	4354
Russia	RUS	Europe	Eastern Europe	1981	Female	45-49	5371
Russia	RUS	Europe	Eastern Europe	1981	Female	5-9	324
Russia	RUS	Europe	Eastern Europe	1981	Female	50-54	10581
Russia	RUS	Europe	Eastern Europe	1981	Female	55-59	12855
Russia	RUS	Europe	Eastern Europe	1981	Female	60-64	11286
Russia	RUS	Europe	Eastern Europe	1981	Female	65-69	18361
Russia	RUS	Europe	Eastern Europe	1981	Female	70-74	18498
Russia	RUS	Europe	Eastern Europe	1981	Female	75-79	13447
Russia	RUS	Europe	Eastern Europe	1981	Female	80-84	6611
Russia	RUS	Europe	Eastern Europe	1981	Female	85+	2917
Russia	RUS	Europe	Eastern Europe	1981	Male	0-4	513
Russia	RUS	Europe	Eastern Europe	1981	Male	10-14	282
Russia	RUS	Europe	Eastern Europe	1981	Male	15-19	478
Russia	RUS	Europe	Eastern Europe	1981	Male	20-24	696
Russia	RUS	Europe	Eastern Europe	1981	Male	25-29	786
Russia	RUS	Europe	Eastern Europe	1981	Male	30-34	1322
Russia	RUS	Europe	Eastern Europe	1981	Male	35-39	1447
Russia	RUS	Europe	Eastern Europe	1981	Male	40-44	5764
Russia	RUS	Europe	Eastern Europe	1981	Male	45-49	8555
Russia	RUS	Europe	Eastern Europe	1981	Male	5-9	453
Russia	RUS	Europe	Eastern Europe	1981	Male	50-54	18967
Russia	RUS	Europe	Eastern Europe	1981	Male	55-59	16555
Russia	RUS	Europe	Eastern Europe	1981	Male	60-64	13429
