country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Serbia	SRB	Europe	Southern Europe	1998	Female	0-4	6
Serbia	SRB	Europe	Southern Europe	1998	Female	10-14	6
Serbia	SRB	Europe	Southern Europe	1998	Female	15-19	14
Serbia	SRB	Europe	Southern Europe	1998	Female	20-24	21
Serbia	SRB	Europe	Southern Europe	1998	Female	25-29	17
Serbia	SRB	Europe	Southern Europe	1998	Female	30-34	46
Serbia	SRB	Europe	Southern Europe	1998	Female	35-39	129
Serbia	SRB	Europe	Southern Europe	1998	Female	40-44	288
Serbia	SRB	Europe	Southern Europe	1998	Female	45-49	443
Serbia	SRB	Europe	Southern Europe	1998	Female	5-9	8
Serbia	SRB	Europe	Southern Europe	1998	Female	50-54	475
Serbia	SRB	Europe	Southern Europe	1998	Female	55-59	670
Serbia	SRB	Europe	Southern Europe	1998	Female	60-64	1067
Serbia	SRB	Europe	Southern Europe	1998	Female	65-69	1298
Serbia	SRB	Europe	Southern Europe	1998	Female	70-74	1338
Serbia	SRB	Europe	Southern Europe	1998	Female	75-79	1000
Serbia	SRB	Europe	Southern Europe	1998	Female	80-84	312
Serbia	SRB	Europe	Southern Europe	1998	Female	85+	285
Serbia	SRB	Europe	Southern Europe	1998	Male	0-4	11
Serbia	SRB	Europe	Southern Europe	1998	Male	10-14	14
Serbia	SRB	Europe	Southern Europe	1998	Male	15-19	19
Serbia	SRB	Europe	Southern Europe	1998	Male	20-24	27
Serbia	SRB	Europe	Southern Europe	1998	Male	25-29	37
Serbia	SRB	Europe	Southern Europe	1998	Male	30-34	45
Serbia	SRB	Europe	Southern Europe	1998	Male	35-39	72
Serbia	SRB	Europe	Southern Europe	1998	Male	40-44	248
Serbia	SRB	Europe	Southern Europe	1998	Male	45-49	576
Serbia	SRB	Europe	Southern Europe	1998	Male	5-9	14
Serbia	SRB	Europe	Southern Europe	1998	Male	50-54	648
Serbia	SRB	Europe	Southern Europe	1998	Male	55-59	981
Serbia	SRB	Europe	Southern Europe	1998	Male	60-64	1656
Serbia	SRB	Europe	Southern Europe	1998	Male	65-69	2062
Serbia	SRB	Europe	Southern Europe	1998	Male	70-74	1742
Serbia	SRB	Europe	Southern Europe	1998	Male	75-79	1070
Serbia	SRB	Europe	Southern Europe	1998	Male	80-84	331
Serbia	SRB	Europe	Southern Europe	1998	Male	85+	203
Serbia	SRB	Europe	Southern Europe	1999	Female	0-4	9
Serbia	SRB	Europe	Southern Europe	1999	Female	10-14	3
Serbia	SRB	Europe	Southern Europe	1999	Female	15-19	11
Serbia	SRB	Europe	Southern Europe	1999	Female	20-24	14
Serbia	SRB	Europe	Southern Europe	1999	Female	25-29	28
Serbia	SRB	Europe	Southern Europe	1999	Female	30-34	44
Serbia	SRB	Europe	Southern Europe	1999	Female	35-39	126
Serbia	SRB	Europe	Southern Europe	1999	Female	40-44	234
Serbia	SRB	Europe	Southern Europe	1999	Female	45-49	468
Serbia	SRB	Europe	Southern Europe	1999	Female	5-9	8
Serbia	SRB	Europe	Southern Europe	1999	Female	50-54	533
Serbia	SRB	Europe	Southern Europe	1999	Female	55-59	651
Serbia	SRB	Europe	Southern Europe	1999	Female	60-64	999
Serbia	SRB	Europe	Southern Europe	1999	Female	65-69	1282
Serbia	SRB	Europe	Southern Europe	1999	Female	70-74	1428
Serbia	SRB	Europe	Southern Europe	1999	Female	75-79	1106
Serbia	SRB	Europe	Southern Europe	1999	Female	80-84	295
Serbia	SRB	Europe	Southern Europe	1999	Female	85+	269
Serbia	SRB	Europe	Southern Europe	1999	Male	0-4	10
Serbia	SRB	Europe	Southern Europe	1999	Male	10-14	11
Serbia	SRB	Europe	Southern Europe	1999	Male	15-19	24
Serbia	SRB	Europe	Southern Europe	1999	Male	20-24	27
Serbia	SRB	Europe	Southern Europe	1999	Male	25-29	28
Serbia	SRB	Europe	Southern Europe	1999	Male	30-34	40
Serbia	SRB	Europe	Southern Europe	1999	Male	35-39	86
Serbia	SRB	Europe	Southern Europe	1999	Male	40-44	254
Serbia	SRB	Europe	Southern Europe	1999	Male	45-49	566
Serbia	SRB	Europe	Southern Europe	1999	Male	5-9	10
Serbia	SRB	Europe	Southern Europe	1999	Male	50-54	711
Serbia	SRB	Europe	Southern Europe	1999	Male	55-59	1003
Serbia	SRB	Europe	Southern Europe	1999	Male	60-64	1538
Serbia	SRB	Europe	Southern Europe	1999	Male	65-69	2055
Serbia	SRB	Europe	Southern Europe	1999	Male	70-74	1802
Serbia	SRB	Europe	Southern Europe	1999	Male	75-79	1151
Serbia	SRB	Europe	Southern Europe	1999	Male	80-84	301
Serbia	SRB	Europe	Southern Europe	1999	Male	85+	255
Serbia	SRB	Europe	Southern Europe	2000	Female	0-4	8
Serbia	SRB	Europe	Southern Europe	2000	Female	10-14	5
Serbia	SRB	Europe	Southern Europe	2000	Female	15-19	7
Serbia	SRB	Europe	Southern Europe	2000	Female	20-24	18
Serbia	SRB	Europe	Southern Europe	2000	Female	25-29	23
Serbia	SRB	Europe	Southern Europe	2000	Female	30-34	62
Serbia	SRB	Europe	Southern Europe	2000	Female	35-39	115
Serbia	SRB	Europe	Southern Europe	2000	Female	40-44	237
Serbia	SRB	Europe	Southern Europe	2000	Female	45-49	459
Serbia	SRB	Europe	Southern Europe	2000	Female	5-9	5
Serbia	SRB	Europe	Southern Europe	2000	Female	50-54	565
Serbia	SRB	Europe	Southern Europe	2000	Female	55-59	637
Serbia	SRB	Europe	Southern Europe	2000	Female	60-64	988
Serbia	SRB	Europe	Southern Europe	2000	Female	65-69	1325
Serbia	SRB	Europe	Southern Europe	2000	Female	70-74	1387
Serbia	SRB	Europe	Southern Europe	2000	Female	75-79	1129
Serbia	SRB	Europe	Southern Europe	2000	Female	80-84	432
Serbia	SRB	Europe	Southern Europe	2000	Female	85+	292
Serbia	SRB	Europe	Southern Europe	2000	Male	0-4	5
Serbia	SRB	Europe	Southern Europe	2000	Male	10-14	18
Serbia	SRB	Europe	Southern Europe	2000	Male	15-19	13
Serbia	SRB	Europe	Southern Europe	2000	Male	20-24	31
Serbia	SRB	Europe	Southern Europe	2000	Male	25-29	25
Serbia	SRB	Europe	Southern Europe	2000	Male	30-34	49
Serbia	SRB	Europe	Southern Europe	2000	Male	35-39	88
Serbia	SRB	Europe	Southern Europe	2000	Male	40-44	222
Serbia	SRB	Europe	Southern Europe	2000	Male	45-49	567
Serbia	SRB	Europe	Southern Europe	2000	Male	5-9	8
Serbia	SRB	Europe	Southern Europe	2000	Male	50-54	851
Serbia	SRB	Europe	Southern Europe	2000	Male	55-59	927
Serbia	SRB	Europe	Southern Europe	2000	Male	60-64	1527
Serbia	SRB	Europe	Southern Europe	2000	Male	65-69	2140
Serbia	SRB	Europe	Southern Europe	2000	Male	70-74	1931
Serbia	SRB	Europe	Southern Europe	2000	Male	75-79	1213
Serbia	SRB	Europe	Southern Europe	2000	Male	80-84	343
Serbia	SRB	Europe	Southern Europe	2000	Male	85+	220
Serbia	SRB	Europe	Southern Europe	2001	Female	0-4	6
Serbia	SRB	Europe	Southern Europe	2001	Female	10-14	7
Serbia	SRB	Europe	Southern Europe	2001	Female	15-19	9
Serbia	SRB	Europe	Southern Europe	2001	Female	20-24	16
Serbia	SRB	Europe	Southern Europe	2001	Female	25-29	25
Serbia	SRB	Europe	Southern Europe	2001	Female	30-34	54
Serbia	SRB	Europe	Southern Europe	2001	Female	35-39	111
Serbia	SRB	Europe	Southern Europe	2001	Female	40-44	227
Serbia	SRB	Europe	Southern Europe	2001	Female	45-49	471
Serbia	SRB	Europe	Southern Europe	2001	Female	5-9	4
Serbia	SRB	Europe	Southern Europe	2001	Female	50-54	676
Serbia	SRB	Europe	Southern Europe	2001	Female	55-59	589
Serbia	SRB	Europe	Southern Europe	2001	Female	60-64	930
Serbia	SRB	Europe	Southern Europe	2001	Female	65-69	1259
Serbia	SRB	Europe	Southern Europe	2001	Female	70-74	1370
Serbia	SRB	Europe	Southern Europe	2001	Female	75-79	1262
Serbia	SRB	Europe	Southern Europe	2001	Female	80-84	472
Serbia	SRB	Europe	Southern Europe	2001	Female	85+	255
Serbia	SRB	Europe	Southern Europe	2001	Male	0-4	13
Serbia	SRB	Europe	Southern Europe	2001	Male	10-14	7
Serbia	SRB	Europe	Southern Europe	2001	Male	15-19	16
Serbia	SRB	Europe	Southern Europe	2001	Male	20-24	23
Serbia	SRB	Europe	Southern Europe	2001	Male	25-29	37
Serbia	SRB	Europe	Southern Europe	2001	Male	30-34	51
Serbia	SRB	Europe	Southern Europe	2001	Male	35-39	83
Serbia	SRB	Europe	Southern Europe	2001	Male	40-44	209
Serbia	SRB	Europe	Southern Europe	2001	Male	45-49	541
Serbia	SRB	Europe	Southern Europe	2001	Male	5-9	12
Serbia	SRB	Europe	Southern Europe	2001	Male	50-54	902
Serbia	SRB	Europe	Southern Europe	2001	Male	55-59	867
Serbia	SRB	Europe	Southern Europe	2001	Male	60-64	1425
Serbia	SRB	Europe	Southern Europe	2001	Male	65-69	2051
Serbia	SRB	Europe	Southern Europe	2001	Male	70-74	1956
Serbia	SRB	Europe	Southern Europe	2001	Male	75-79	1303
Serbia	SRB	Europe	Southern Europe	2001	Male	80-84	455
Serbia	SRB	Europe	Southern Europe	2001	Male	85+	223
Serbia	SRB	Europe	Southern Europe	2002	Female	0-4	10
Serbia	SRB	Europe	Southern Europe	2002	Female	10-14	4
Serbia	SRB	Europe	Southern Europe	2002	Female	15-19	13
Serbia	SRB	Europe	Southern Europe	2002	Female	20-24	19
Serbia	SRB	Europe	Southern Europe	2002	Female	25-29	26
Serbia	SRB	Europe	Southern Europe	2002	Female	30-34	48
Serbia	SRB	Europe	Southern Europe	2002	Female	35-39	107
Serbia	SRB	Europe	Southern Europe	2002	Female	40-44	216
Serbia	SRB	Europe	Southern Europe	2002	Female	45-49	496
Serbia	SRB	Europe	Southern Europe	2002	Female	5-9	5
Serbia	SRB	Europe	Southern Europe	2002	Female	50-54	615
Serbia	SRB	Europe	Southern Europe	2002	Female	55-59	582
Serbia	SRB	Europe	Southern Europe	2002	Female	60-64	989
Serbia	SRB	Europe	Southern Europe	2002	Female	65-69	1295
Serbia	SRB	Europe	Southern Europe	2002	Female	70-74	1405
Serbia	SRB	Europe	Southern Europe	2002	Female	75-79	1245
Serbia	SRB	Europe	Southern Europe	2002	Female	80-84	582
Serbia	SRB	Europe	Southern Europe	2002	Female	85+	256
Serbia	SRB	Europe	Southern Europe	2002	Male	0-4	10
Serbia	SRB	Europe	Southern Europe	2002	Male	10-14	11
Serbia	SRB	Europe	Southern Europe	2002	Male	15-19	22
Serbia	SRB	Europe	Southern Europe	2002	Male	20-24	19
Serbia	SRB	Europe	Southern Europe	2002	Male	25-29	37
Serbia	SRB	Europe	Southern Europe	2002	Male	30-34	51
Serbia	SRB	Europe	Southern Europe	2002	Male	35-39	56
Serbia	SRB	Europe	Southern Europe	2002	Male	40-44	202
Serbia	SRB	Europe	Southern Europe	2002	Male	45-49	537
Serbia	SRB	Europe	Southern Europe	2002	Male	5-9	8
Serbia	SRB	Europe	Southern Europe	2002	Male	50-54	938
Serbia	SRB	Europe	Southern Europe	2002	Male	55-59	927
Serbia	SRB	Europe	Southern Europe	2002	Male	60-64	1438
Serbia	SRB	Europe	Southern Europe	2002	Male	65-69	2037
Serbia	SRB	Europe	Southern Europe	2002	Male	70-74	2079
Serbia	SRB	Europe	Southern Europe	2002	Male	75-79	1471
Serbia	SRB	Europe	Southern Europe	2002	Male	80-84	585
Serbia	SRB	Europe	Southern Europe	2002	Male	85+	208
Serbia	SRB	Europe	Southern Europe	2003	Female	0-4	5
Serbia	SRB	Europe	Southern Europe	2003	Female	10-14	3
Serbia	SRB	Europe	Southern Europe	2003	Female	15-19	8
Serbia	SRB	Europe	Southern Europe	2003	Female	20-24	12
Serbia	SRB	Europe	Southern Europe	2003	Female	25-29	22
Serbia	SRB	Europe	Southern Europe	2003	Female	30-34	49
Serbia	SRB	Europe	Southern Europe	2003	Female	35-39	97
Serbia	SRB	Europe	Southern Europe	2003	Female	40-44	214
Serbia	SRB	Europe	Southern Europe	2003	Female	45-49	452
Serbia	SRB	Europe	Southern Europe	2003	Female	5-9	3
Serbia	SRB	Europe	Southern Europe	2003	Female	50-54	730
Serbia	SRB	Europe	Southern Europe	2003	Female	55-59	639
Serbia	SRB	Europe	Southern Europe	2003	Female	60-64	936
Serbia	SRB	Europe	Southern Europe	2003	Female	65-69	1262
Serbia	SRB	Europe	Southern Europe	2003	Female	70-74	1476
Serbia	SRB	Europe	Southern Europe	2003	Female	75-79	1305
Serbia	SRB	Europe	Southern Europe	2003	Female	80-84	726
Serbia	SRB	Europe	Southern Europe	2003	Female	85+	231
Serbia	SRB	Europe	Southern Europe	2003	Male	0-4	9
Serbia	SRB	Europe	Southern Europe	2003	Male	10-14	8
Serbia	SRB	Europe	Southern Europe	2003	Male	15-19	16
Serbia	SRB	Europe	Southern Europe	2003	Male	20-24	30
Serbia	SRB	Europe	Southern Europe	2003	Male	25-29	29
Serbia	SRB	Europe	Southern Europe	2003	Male	30-34	42
Serbia	SRB	Europe	Southern Europe	2003	Male	35-39	93
Serbia	SRB	Europe	Southern Europe	2003	Male	40-44	165
Serbia	SRB	Europe	Southern Europe	2003	Male	45-49	530
Serbia	SRB	Europe	Southern Europe	2003	Male	5-9	13
Serbia	SRB	Europe	Southern Europe	2003	Male	50-54	915
Serbia	SRB	Europe	Southern Europe	2003	Male	55-59	1014
Serbia	SRB	Europe	Southern Europe	2003	Male	60-64	1386
Serbia	SRB	Europe	Southern Europe	2003	Male	65-69	2036
Serbia	SRB	Europe	Southern Europe	2003	Male	70-74	2147
Serbia	SRB	Europe	Southern Europe	2003	Male	75-79	1441
Serbia	SRB	Europe	Southern Europe	2003	Male	80-84	626
Serbia	SRB	Europe	Southern Europe	2003	Male	85+	192
Serbia	SRB	Europe	Southern Europe	2004	Female	0-4	3
Serbia	SRB	Europe	Southern Europe	2004	Female	10-14	8
Serbia	SRB	Europe	Southern Europe	2004	Female	15-19	10
Serbia	SRB	Europe	Southern Europe	2004	Female	20-24	17
Serbia	SRB	Europe	Southern Europe	2004	Female	25-29	32
Serbia	SRB	Europe	Southern Europe	2004	Female	30-34	50
Serbia	SRB	Europe	Southern Europe	2004	Female	35-39	106
Serbia	SRB	Europe	Southern Europe	2004	Female	40-44	211
Serbia	SRB	Europe	Southern Europe	2004	Female	45-49	452
Serbia	SRB	Europe	Southern Europe	2004	Female	5-9	3
Serbia	SRB	Europe	Southern Europe	2004	Female	50-54	651
Serbia	SRB	Europe	Southern Europe	2004	Female	55-59	718
Serbia	SRB	Europe	Southern Europe	2004	Female	60-64	869
Serbia	SRB	Europe	Southern Europe	2004	Female	65-69	1310
Serbia	SRB	Europe	Southern Europe	2004	Female	70-74	1512
Serbia	SRB	Europe	Southern Europe	2004	Female	75-79	1356
Serbia	SRB	Europe	Southern Europe	2004	Female	80-84	850
Serbia	SRB	Europe	Southern Europe	2004	Female	85+	221
Serbia	SRB	Europe	Southern Europe	2004	Male	0-4	5
Serbia	SRB	Europe	Southern Europe	2004	Male	10-14	6
Serbia	SRB	Europe	Southern Europe	2004	Male	15-19	14
Serbia	SRB	Europe	Southern Europe	2004	Male	20-24	23
Serbia	SRB	Europe	Southern Europe	2004	Male	25-29	36
Serbia	SRB	Europe	Southern Europe	2004	Male	30-34	41
Serbia	SRB	Europe	Southern Europe	2004	Male	35-39	77
Serbia	SRB	Europe	Southern Europe	2004	Male	40-44	179
Serbia	SRB	Europe	Southern Europe	2004	Male	45-49	495
Serbia	SRB	Europe	Southern Europe	2004	Male	5-9	13
Serbia	SRB	Europe	Southern Europe	2004	Male	50-54	1005
Serbia	SRB	Europe	Southern Europe	2004	Male	55-59	1119
Serbia	SRB	Europe	Southern Europe	2004	Male	60-64	1345
Serbia	SRB	Europe	Southern Europe	2004	Male	65-69	1916
Serbia	SRB	Europe	Southern Europe	2004	Male	70-74	2196
Serbia	SRB	Europe	Southern Europe	2004	Male	75-79	1591
Serbia	SRB	Europe	Southern Europe	2004	Male	80-84	736
Serbia	SRB	Europe	Southern Europe	2004	Male	85+	187
Serbia	SRB	Europe	Southern Europe	2005	Female	0-4	4
Serbia	SRB	Europe	Southern Europe	2005	Female	10-14	5
Serbia	SRB	Europe	Southern Europe	2005	Female	15-19	9
Serbia	SRB	Europe	Southern Europe	2005	Female	20-24	11
Serbia	SRB	Europe	Southern Europe	2005	Female	25-29	28
Serbia	SRB	Europe	Southern Europe	2005	Female	30-34	63
Serbia	SRB	Europe	Southern Europe	2005	Female	35-39	80
Serbia	SRB	Europe	Southern Europe	2005	Female	40-44	224
Serbia	SRB	Europe	Southern Europe	2005	Female	45-49	390
Serbia	SRB	Europe	Southern Europe	2005	Female	5-9	4
Serbia	SRB	Europe	Southern Europe	2005	Female	50-54	752
Serbia	SRB	Europe	Southern Europe	2005	Female	55-59	840
Serbia	SRB	Europe	Southern Europe	2005	Female	60-64	798
Serbia	SRB	Europe	Southern Europe	2005	Female	65-69	1205
Serbia	SRB	Europe	Southern Europe	2005	Female	70-74	1540
Serbia	SRB	Europe	Southern Europe	2005	Female	75-79	1443
Serbia	SRB	Europe	Southern Europe	2005	Female	80-84	892
Serbia	SRB	Europe	Southern Europe	2005	Female	85+	284
Serbia	SRB	Europe	Southern Europe	2005	Male	0-4	11
Serbia	SRB	Europe	Southern Europe	2005	Male	10-14	5
Serbia	SRB	Europe	Southern Europe	2005	Male	15-19	11
Serbia	SRB	Europe	Southern Europe	2005	Male	20-24	32
Serbia	SRB	Europe	Southern Europe	2005	Male	25-29	40
Serbia	SRB	Europe	Southern Europe	2005	Male	30-34	49
Serbia	SRB	Europe	Southern Europe	2005	Male	35-39	88
Serbia	SRB	Europe	Southern Europe	2005	Male	40-44	163
Serbia	SRB	Europe	Southern Europe	2005	Male	45-49	457
Serbia	SRB	Europe	Southern Europe	2005	Male	5-9	6
Serbia	SRB	Europe	Southern Europe	2005	Male	50-54	1040
Serbia	SRB	Europe	Southern Europe	2005	Male	55-59	1279
Serbia	SRB	Europe	Southern Europe	2005	Male	60-64	1298
Serbia	SRB	Europe	Southern Europe	2005	Male	65-69	1839
Serbia	SRB	Europe	Southern Europe	2005	Male	70-74	2186
Serbia	SRB	Europe	Southern Europe	2005	Male	75-79	1624
Serbia	SRB	Europe	Southern Europe	2005	Male	80-84	796
Serbia	SRB	Europe	Southern Europe	2005	Male	85+	245
Serbia	SRB	Europe	Southern Europe	2006	Female	0-4	10
Serbia	SRB	Europe	Southern Europe	2006	Female	10-14	5
Serbia	SRB	Europe	Southern Europe	2006	Female	15-19	10
Serbia	SRB	Europe	Southern Europe	2006	Female	20-24	12
Serbia	SRB	Europe	Southern Europe	2006	Female	25-29	23
Serbia	SRB	Europe	Southern Europe	2006	Female	30-34	40
Serbia	SRB	Europe	Southern Europe	2006	Female	35-39	90
Serbia	SRB	Europe	Southern Europe	2006	Female	40-44	211
Serbia	SRB	Europe	Southern Europe	2006	Female	45-49	368
Serbia	SRB	Europe	Southern Europe	2006	Female	5-9	3
Serbia	SRB	Europe	Southern Europe	2006	Female	50-54	749
Serbia	SRB	Europe	Southern Europe	2006	Female	55-59	909
Serbia	SRB	Europe	Southern Europe	2006	Female	60-64	800
Serbia	SRB	Europe	Southern Europe	2006	Female	65-69	1264
Serbia	SRB	Europe	Southern Europe	2006	Female	70-74	1539
Serbia	SRB	Europe	Southern Europe	2006	Female	75-79	1427
Serbia	SRB	Europe	Southern Europe	2006	Female	80-84	920
Serbia	SRB	Europe	Southern Europe	2006	Female	85+	342
Serbia	SRB	Europe	Southern Europe	2006	Male	0-4	8
Serbia	SRB	Europe	Southern Europe	2006	Male	10-14	5
Serbia	SRB	Europe	Southern Europe	2006	Male	15-19	14
Serbia	SRB	Europe	Southern Europe	2006	Male	20-24	26
