country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Slovakia	SVK	Europe	Eastern Europe	1992	Female	0-4	14
Slovakia	SVK	Europe	Eastern Europe	1992	Female	10-14	5
Slovakia	SVK	Europe	Eastern Europe	1992	Female	15-19	10
Slovakia	SVK	Europe	Eastern Europe	1992	Female	20-24	19
Slovakia	SVK	Europe	Eastern Europe	1992	Female	25-29	16
Slovakia	SVK	Europe	Eastern Europe	1992	Female	30-34	33
Slovakia	SVK	Europe	Eastern Europe	1992	Female	35-39	92
Slovakia	SVK	Europe	Eastern Europe	1992	Female	40-44	130
Slovakia	SVK	Europe	Eastern Europe	1992	Female	45-49	191
Slovakia	SVK	Europe	Eastern Europe	1992	Female	5-9	14
Slovakia	SVK	Europe	Eastern Europe	1992	Female	50-54	232
Slovakia	SVK	Europe	Eastern Europe	1992	Female	55-59	354
Slovakia	SVK	Europe	Eastern Europe	1992	Female	60-64	469
Slovakia	SVK	Europe	Eastern Europe	1992	Female	65-69	716
Slovakia	SVK	Europe	Eastern Europe	1992	Female	70-74	551
Slovakia	SVK	Europe	Eastern Europe	1992	Female	75-79	512
Slovakia	SVK	Europe	Eastern Europe	1992	Female	80-84	498
Slovakia	SVK	Europe	Eastern Europe	1992	Female	85+	327
Slovakia	SVK	Europe	Eastern Europe	1992	Male	0-4	15
Slovakia	SVK	Europe	Eastern Europe	1992	Male	10-14	16
Slovakia	SVK	Europe	Eastern Europe	1992	Male	15-19	12
Slovakia	SVK	Europe	Eastern Europe	1992	Male	20-24	11
Slovakia	SVK	Europe	Eastern Europe	1992	Male	25-29	34
Slovakia	SVK	Europe	Eastern Europe	1992	Male	30-34	31
Slovakia	SVK	Europe	Eastern Europe	1992	Male	35-39	95
Slovakia	SVK	Europe	Eastern Europe	1992	Male	40-44	197
Slovakia	SVK	Europe	Eastern Europe	1992	Male	45-49	317
Slovakia	SVK	Europe	Eastern Europe	1992	Male	5-9	12
Slovakia	SVK	Europe	Eastern Europe	1992	Male	50-54	509
Slovakia	SVK	Europe	Eastern Europe	1992	Male	55-59	729
Slovakia	SVK	Europe	Eastern Europe	1992	Male	60-64	1016
Slovakia	SVK	Europe	Eastern Europe	1992	Male	65-69	1101
