country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Slovenia	SVN	Europe	Southern Europe	1985	Female	0-4	2
Slovenia	SVN	Europe	Southern Europe	1985	Female	10-14	2
Slovenia	SVN	Europe	Southern Europe	1985	Female	15-19	0
Slovenia	SVN	Europe	Southern Europe	1985	Female	20-24	6
Slovenia	SVN	Europe	Southern Europe	1985	Female	25-29	8
Slovenia	SVN	Europe	Southern Europe	1985	Female	30-34	14
Slovenia	SVN	Europe	Southern Europe	1985	Female	35-39	26
Slovenia	SVN	Europe	Southern Europe	1985	Female	40-44	38
Slovenia	SVN	Europe	Southern Europe	1985	Female	45-49	61
Slovenia	SVN	Europe	Southern Europe	1985	Female	5-9	2
Slovenia	SVN	Europe	Southern Europe	1985	Female	50-54	104
Slovenia	SVN	Europe	Southern Europe	1985	Female	55-59	169
Slovenia	SVN	Europe	Southern Europe	1985	Female	60-64	234
Slovenia	SVN	Europe	Southern Europe	1985	Female	65-69	177
Slovenia	SVN	Europe	Southern Europe	1985	Female	70-74	292
Slovenia	SVN	Europe	Southern Europe	1985	Female	75-79	299
Slovenia	SVN	Europe	Southern Europe	1985	Female	80-84	199
Slovenia	SVN	Europe	Southern Europe	1985	Female	85+	115
Slovenia	SVN	Europe	Southern Europe	1985	Male	0-4	1
Slovenia	SVN	Europe	Southern Europe	1985	Male	10-14	7
Slovenia	SVN	Europe	Southern Europe	1985	Male	15-19	5
Slovenia	SVN	Europe	Southern Europe	1985	Male	20-24	5
Slovenia	SVN	Europe	Southern Europe	1985	Male	25-29	9
Slovenia	SVN	Europe	Southern Europe	1985	Male	30-34	23
Slovenia	SVN	Europe	Southern Europe	1985	Male	35-39	30
Slovenia	SVN	Europe	Southern Europe	1985	Male	40-44	58
Slovenia	SVN	Europe	Southern Europe	1985	Male	45-49	108
Slovenia	SVN	Europe	Southern Europe	1985	Male	5-9	5
Slovenia	SVN	Europe	Southern Europe	1985	Male	50-54	211
Slovenia	SVN	Europe	Southern Europe	1985	Male	55-59	300
Slovenia	SVN	Europe	Southern Europe	1985	Male	60-64	280
Slovenia	SVN	Europe	Southern Europe	1985	Male	65-69	220
Slovenia	SVN	Europe	Southern Europe	1985	Male	70-74	326
Slovenia	SVN	Europe	Southern Europe	1985	Male	75-79	355
Slovenia	SVN	Europe	Southern Europe	1985	Male	80-84	183
Slovenia	SVN	Europe	Southern Europe	1985	Male	85+	73
Slovenia	SVN	Europe	Southern Europe	1986	Female	0-4	3
Slovenia	SVN	Europe	Southern Europe	1986	Female	10-14	2
Slovenia	SVN	Europe	Southern Europe	1986	Female	15-19	1
Slovenia	SVN	Europe	Southern Europe	1986	Female	20-24	7
Slovenia	SVN	Europe	Southern Europe	1986	Female	25-29	11
Slovenia	SVN	Europe	Southern Europe	1986	Female	30-34	15
Slovenia	SVN	Europe	Southern Europe	1986	Female	35-39	25
Slovenia	SVN	Europe	Southern Europe	1986	Female	40-44	49
Slovenia	SVN	Europe	Southern Europe	1986	Female	45-49	63
Slovenia	SVN	Europe	Southern Europe	1986	Female	5-9	0
Slovenia	SVN	Europe	Southern Europe	1986	Female	50-54	119
Slovenia	SVN	Europe	Southern Europe	1986	Female	55-59	175
Slovenia	SVN	Europe	Southern Europe	1986	Female	60-64	221
Slovenia	SVN	Europe	Southern Europe	1986	Female	65-69	186
Slovenia	SVN	Europe	Southern Europe	1986	Female	70-74	248
Slovenia	SVN	Europe	Southern Europe	1986	Female	75-79	296
Slovenia	SVN	Europe	Southern Europe	1986	Female	80-84	233
Slovenia	SVN	Europe	Southern Europe	1986	Female	85+	115
Slovenia	SVN	Europe	Southern Europe	1986	Male	0-4	5
Slovenia	SVN	Europe	Southern Europe	1986	Male	10-14	3
Slovenia	SVN	Europe	Southern Europe	1986	Male	15-19	4
Slovenia	SVN	Europe	Southern Europe	1986	Male	20-24	4
Slovenia	SVN	Europe	Southern Europe	1986	Male	25-29	6
Slovenia	SVN	Europe	Southern Europe	1986	Male	30-34	20
Slovenia	SVN	Europe	Southern Europe	1986	Male	35-39	24
Slovenia	SVN	Europe	Southern Europe	1986	Male	40-44	55
Slovenia	SVN	Europe	Southern Europe	1986	Male	45-49	92
Slovenia	SVN	Europe	Southern Europe	1986	Male	5-9	2
Slovenia	SVN	Europe	Southern Europe	1986	Male	50-54	187
Slovenia	SVN	Europe	Southern Europe	1986	Male	55-59	303
Slovenia	SVN	Europe	Southern Europe	1986	Male	60-64	293
Slovenia	SVN	Europe	Southern Europe	1986	Male	65-69	214
Slovenia	SVN	Europe	Southern Europe	1986	Male	70-74	324
Slovenia	SVN	Europe	Southern Europe	1986	Male	75-79	307
Slovenia	SVN	Europe	Southern Europe	1986	Male	80-84	201
Slovenia	SVN	Europe	Southern Europe	1986	Male	85+	72
Slovenia	SVN	Europe	Southern Europe	1987	Female	0-4	1
Slovenia	SVN	Europe	Southern Europe	1987	Female	10-14	0
Slovenia	SVN	Europe	Southern Europe	1987	Female	15-19	2
Slovenia	SVN	Europe	Southern Europe	1987	Female	20-24	3
Slovenia	SVN	Europe	Southern Europe	1987	Female	25-29	16
Slovenia	SVN	Europe	Southern Europe	1987	Female	30-34	19
Slovenia	SVN	Europe	Southern Europe	1987	Female	35-39	30
Slovenia	SVN	Europe	Southern Europe	1987	Female	40-44	34
Slovenia	SVN	Europe	Southern Europe	1987	Female	45-49	82
Slovenia	SVN	Europe	Southern Europe	1987	Female	5-9	1
Slovenia	SVN	Europe	Southern Europe	1987	Female	50-54	114
Slovenia	SVN	Europe	Southern Europe	1987	Female	55-59	168
Slovenia	SVN	Europe	Southern Europe	1987	Female	60-64	221
Slovenia	SVN	Europe	Southern Europe	1987	Female	65-69	181
Slovenia	SVN	Europe	Southern Europe	1987	Female	70-74	229
Slovenia	SVN	Europe	Southern Europe	1987	Female	75-79	277
Slovenia	SVN	Europe	Southern Europe	1987	Female	80-84	233
Slovenia	SVN	Europe	Southern Europe	1987	Female	85+	153
Slovenia	SVN	Europe	Southern Europe	1987	Male	0-4	1
Slovenia	SVN	Europe	Southern Europe	1987	Male	10-14	1
Slovenia	SVN	Europe	Southern Europe	1987	Male	15-19	5
Slovenia	SVN	Europe	Southern Europe	1987	Male	20-24	6
Slovenia	SVN	Europe	Southern Europe	1987	Male	25-29	9
Slovenia	SVN	Europe	Southern Europe	1987	Male	30-34	8
Slovenia	SVN	Europe	Southern Europe	1987	Male	35-39	24
Slovenia	SVN	Europe	Southern Europe	1987	Male	40-44	45
Slovenia	SVN	Europe	Southern Europe	1987	Male	45-49	93
Slovenia	SVN	Europe	Southern Europe	1987	Male	5-9	3
Slovenia	SVN	Europe	Southern Europe	1987	Male	50-54	240
Slovenia	SVN	Europe	Southern Europe	1987	Male	55-59	347
Slovenia	SVN	Europe	Southern Europe	1987	Male	60-64	287
Slovenia	SVN	Europe	Southern Europe	1987	Male	65-69	231
Slovenia	SVN	Europe	Southern Europe	1987	Male	70-74	264
Slovenia	SVN	Europe	Southern Europe	1987	Male	75-79	338
Slovenia	SVN	Europe	Southern Europe	1987	Male	80-84	170
Slovenia	SVN	Europe	Southern Europe	1987	Male	85+	91
Slovenia	SVN	Europe	Southern Europe	1988	Female	0-4	1
Slovenia	SVN	Europe	Southern Europe	1988	Female	10-14	2
Slovenia	SVN	Europe	Southern Europe	1988	Female	15-19	1
Slovenia	SVN	Europe	Southern Europe	1988	Female	20-24	5
Slovenia	SVN	Europe	Southern Europe	1988	Female	25-29	11
