country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
South Africa	ZAF	Africa	Southern Africa	1993	Female	0-4	40
South Africa	ZAF	Africa	Southern Africa	1993	Female	10-14	37
South Africa	ZAF	Africa	Southern Africa	1993	Female	15-19	52
South Africa	ZAF	Africa	Southern Africa	1993	Female	20-24	63
South Africa	ZAF	Africa	Southern Africa	1993	Female	25-29	111
South Africa	ZAF	Africa	Southern Africa	1993	Female	30-34	215
South Africa	ZAF	Africa	Southern Africa	1993	Female	35-39	322
South Africa	ZAF	Africa	Southern Africa	1993	Female	40-44	531
South Africa	ZAF	Africa	Southern Africa	1993	Female	45-49	645
South Africa	ZAF	Africa	Southern Africa	1993	Female	5-9	26
South Africa	ZAF	Africa	Southern Africa	1993	Female	50-54	893
South Africa	ZAF	Africa	Southern Africa	1993	Female	55-59	909
South Africa	ZAF	Africa	Southern Africa	1993	Female	60-64	1174
South Africa	ZAF	Africa	Southern Africa	1993	Female	65-69	1008
South Africa	ZAF	Africa	Southern Africa	1993	Female	70-74	1073
South Africa	ZAF	Africa	Southern Africa	1993	Female	75-79	840
South Africa	ZAF	Africa	Southern Africa	1993	Female	80-84	606
South Africa	ZAF	Africa	Southern Africa	1993	Female	85+	443
South Africa	ZAF	Africa	Southern Africa	1993	Male	0-4	48
South Africa	ZAF	Africa	Southern Africa	1993	Male	10-14	42
South Africa	ZAF	Africa	Southern Africa	1993	Male	15-19	65
South Africa	ZAF	Africa	Southern Africa	1993	Male	20-24	89
South Africa	ZAF	Africa	Southern Africa	1993	Male	25-29	119
South Africa	ZAF	Africa	Southern Africa	1993	Male	30-34	176
South Africa	ZAF	Africa	Southern Africa	1993	Male	35-39	289
South Africa	ZAF	Africa	Southern Africa	1993	Male	40-44	510
South Africa	ZAF	Africa	Southern Africa	1993	Male	45-49	769
South Africa	ZAF	Africa	Southern Africa	1993	Male	5-9	40
South Africa	ZAF	Africa	Southern Africa	1993	Male	50-54	1217
South Africa	ZAF	Africa	Southern Africa	1993	Male	55-59	1353
South Africa	ZAF	Africa	Southern Africa	1993	Male	60-64	1544
South Africa	ZAF	Africa	Southern Africa	1993	Male	65-69	1600
South Africa	ZAF	Africa	Southern Africa	1993	Male	70-74	1511
South Africa	ZAF	Africa	Southern Africa	1993	Male	75-79	1058
South Africa	ZAF	Africa	Southern Africa	1993	Male	80-84	711
South Africa	ZAF	Africa	Southern Africa	1993	Male	85+	404
South Africa	ZAF	Africa	Southern Africa	1994	Female	0-4	40
South Africa	ZAF	Africa	Southern Africa	1994	Female	10-14	40
South Africa	ZAF	Africa	Southern Africa	1994	Female	15-19	61
South Africa	ZAF	Africa	Southern Africa	1994	Female	20-24	86
South Africa	ZAF	Africa	Southern Africa	1994	Female	25-29	137
South Africa	ZAF	Africa	Southern Africa	1994	Female	30-34	221
South Africa	ZAF	Africa	Southern Africa	1994	Female	35-39	480
South Africa	ZAF	Africa	Southern Africa	1994	Female	40-44	685
South Africa	ZAF	Africa	Southern Africa	1994	Female	45-49	826
South Africa	ZAF	Africa	Southern Africa	1994	Female	5-9	38
South Africa	ZAF	Africa	Southern Africa	1994	Female	50-54	1012
South Africa	ZAF	Africa	Southern Africa	1994	Female	55-59	1054
South Africa	ZAF	Africa	Southern Africa	1994	Female	60-64	1287
South Africa	ZAF	Africa	Southern Africa	1994	Female	65-69	1308
South Africa	ZAF	Africa	Southern Africa	1994	Female	70-74	1123
South Africa	ZAF	Africa	Southern Africa	1994	Female	75-79	940
South Africa	ZAF	Africa	Southern Africa	1994	Female	80-84	701
South Africa	ZAF	Africa	Southern Africa	1994	Female	85+	575
South Africa	ZAF	Africa	Southern Africa	1994	Male	0-4	52
South Africa	ZAF	Africa	Southern Africa	1994	Male	10-14	49
South Africa	ZAF	Africa	Southern Africa	1994	Male	15-19	64
South Africa	ZAF	Africa	Southern Africa	1994	Male	20-24	79
South Africa	ZAF	Africa	Southern Africa	1994	Male	25-29	119
South Africa	ZAF	Africa	Southern Africa	1994	Male	30-34	190
South Africa	ZAF	Africa	Southern Africa	1994	Male	35-39	332
South Africa	ZAF	Africa	Southern Africa	1994	Male	40-44	638
South Africa	ZAF	Africa	Southern Africa	1994	Male	45-49	902
South Africa	ZAF	Africa	Southern Africa	1994	Male	5-9	39
South Africa	ZAF	Africa	Southern Africa	1994	Male	50-54	1315
South Africa	ZAF	Africa	Southern Africa	1994	Male	55-59	1575
South Africa	ZAF	Africa	Southern Africa	1994	Male	60-64	1678
South Africa	ZAF	Africa	Southern Africa	1994	Male	65-69	1840
South Africa	ZAF	Africa	Southern Africa	1994	Male	70-74	1681
South Africa	ZAF	Africa	Southern Africa	1994	Male	75-79	1257
South Africa	ZAF	Africa	Southern Africa	1994	Male	80-84	802
South Africa	ZAF	Africa	Southern Africa	1994	Male	85+	466
South Africa	ZAF	Africa	Southern Africa	1995	Female	0-4	47
South Africa	ZAF	Africa	Southern Africa	1995	Female	10-14	27
South Africa	ZAF	Africa	Southern Africa	1995	Female	15-19	52
South Africa	ZAF	Africa	Southern Africa	1995	Female	20-24	103
South Africa	ZAF	Africa	Southern Africa	1995	Female	25-29	110
South Africa	ZAF	Africa	Southern Africa	1995	Female	30-34	254
