country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Suriname	SUR	South America	South America	1963	Female	0-4	1
Suriname	SUR	South America	South America	1963	Female	10-14	1
Suriname	SUR	South America	South America	1963	Female	15-19	0
Suriname	SUR	South America	South America	1963	Female	20-24	1
Suriname	SUR	South America	South America	1963	Female	25-29	0
Suriname	SUR	South America	South America	1963	Female	30-34	2
Suriname	SUR	South America	South America	1963	Female	35-39	4
Suriname	SUR	South America	South America	1963	Female	40-44	4
Suriname	SUR	South America	South America	1963	Female	45-49	3
Suriname	SUR	South America	South America	1963	Female	5-9	1
Suriname	SUR	South America	South America	1963	Female	50-54	8
Suriname	SUR	South America	South America	1963	Female	55-59	6
Suriname	SUR	South America	South America	1963	Female	60-64	6
Suriname	SUR	South America	South America	1963	Female	65-69	3
Suriname	SUR	South America	South America	1963	Female	70-74	3
Suriname	SUR	South America	South America	1963	Female	75-79	7
Suriname	SUR	South America	South America	1963	Female	80-84	6
Suriname	SUR	South America	South America	1963	Female	85+	2
Suriname	SUR	South America	South America	1963	Male	0-4	0
Suriname	SUR	South America	South America	1963	Male	10-14	2
Suriname	SUR	South America	South America	1963	Male	15-19	1
Suriname	SUR	South America	South America	1963	Male	20-24	2
Suriname	SUR	South America	South America	1963	Male	25-29	0
Suriname	SUR	South America	South America	1963	Male	30-34	0
Suriname	SUR	South America	South America	1963	Male	35-39	2
Suriname	SUR	South America	South America	1963	Male	40-44	3
Suriname	SUR	South America	South America	1963	Male	45-49	5
Suriname	SUR	South America	South America	1963	Male	5-9	1
Suriname	SUR	South America	South America	1963	Male	50-54	9
Suriname	SUR	South America	South America	1963	Male	55-59	4
Suriname	SUR	South America	South America	1963	Male	60-64	15
Suriname	SUR	South America	South America	1963	Male	65-69	9
Suriname	SUR	South America	South America	1963	Male	70-74	10
Suriname	SUR	South America	South America	1963	Male	75-79	7
Suriname	SUR	South America	South America	1963	Male	80-84	5
Suriname	SUR	South America	South America	1963	Male	85+	3
Suriname	SUR	South America	South America	1964	Female	0-4	2
Suriname	SUR	South America	South America	1964	Female	10-14	1
Suriname	SUR	South America	South America	1964	Female	15-19	0
Suriname	SUR	South America	South America	1964	Female	20-24	0
Suriname	SUR	South America	South America	1964	Female	25-29	1
Suriname	SUR	South America	South America	1964	Female	30-34	2
Suriname	SUR	South America	South America	1964	Female	35-39	3
Suriname	SUR	South America	South America	1964	Female	40-44	4
Suriname	SUR	South America	South America	1964	Female	45-49	2
Suriname	SUR	South America	South America	1964	Female	5-9	0
Suriname	SUR	South America	South America	1964	Female	50-54	7
Suriname	SUR	South America	South America	1964	Female	55-59	8
Suriname	SUR	South America	South America	1964	Female	60-64	13
Suriname	SUR	South America	South America	1964	Female	65-69	15
Suriname	SUR	South America	South America	1964	Female	70-74	4
Suriname	SUR	South America	South America	1964	Female	75-79	4
Suriname	SUR	South America	South America	1964	Female	80-84	5
Suriname	SUR	South America	South America	1964	Female	85+	0
Suriname	SUR	South America	South America	1964	Male	0-4	3
Suriname	SUR	South America	South America	1964	Male	10-14	1
Suriname	SUR	South America	South America	1964	Male	15-19	1
Suriname	SUR	South America	South America	1964	Male	20-24	1
Suriname	SUR	South America	South America	1964	Male	25-29	1
Suriname	SUR	South America	South America	1964	Male	30-34	1
Suriname	SUR	South America	South America	1964	Male	35-39	3
Suriname	SUR	South America	South America	1964	Male	40-44	6
Suriname	SUR	South America	South America	1964	Male	45-49	7
Suriname	SUR	South America	South America	1964	Male	5-9	0
Suriname	SUR	South America	South America	1964	Male	50-54	4
Suriname	SUR	South America	South America	1964	Male	55-59	3
Suriname	SUR	South America	South America	1964	Male	60-64	6
Suriname	SUR	South America	South America	1964	Male	65-69	10
Suriname	SUR	South America	South America	1964	Male	70-74	13
Suriname	SUR	South America	South America	1964	Male	75-79	9
Suriname	SUR	South America	South America	1964	Male	80-84	6
Suriname	SUR	South America	South America	1964	Male	85+	0
Suriname	SUR	South America	South America	1965	Female	0-4	2
Suriname	SUR	South America	South America	1965	Female	10-14	0
Suriname	SUR	South America	South America	1965	Female	15-19	1
Suriname	SUR	South America	South America	1965	Female	20-24	1
Suriname	SUR	South America	South America	1965	Female	25-29	1
Suriname	SUR	South America	South America	1965	Female	30-34	0
Suriname	SUR	South America	South America	1965	Female	35-39	2
Suriname	SUR	South America	South America	1965	Female	40-44	5
Suriname	SUR	South America	South America	1965	Female	45-49	5
Suriname	SUR	South America	South America	1965	Female	5-9	2
Suriname	SUR	South America	South America	1965	Female	50-54	9
Suriname	SUR	South America	South America	1965	Female	55-59	10
Suriname	SUR	South America	South America	1965	Female	60-64	8
Suriname	SUR	South America	South America	1965	Female	65-69	7
Suriname	SUR	South America	South America	1965	Female	70-74	4
Suriname	SUR	South America	South America	1965	Female	75-79	9
Suriname	SUR	South America	South America	1965	Female	80-84	3
Suriname	SUR	South America	South America	1965	Female	85+	3
Suriname	SUR	South America	South America	1965	Male	0-4	3
Suriname	SUR	South America	South America	1965	Male	10-14	0
Suriname	SUR	South America	South America	1965	Male	15-19	1
Suriname	SUR	South America	South America	1965	Male	20-24	0
Suriname	SUR	South America	South America	1965	Male	25-29	0
Suriname	SUR	South America	South America	1965	Male	30-34	2
Suriname	SUR	South America	South America	1965	Male	35-39	0
Suriname	SUR	South America	South America	1965	Male	40-44	2
Suriname	SUR	South America	South America	1965	Male	45-49	4
Suriname	SUR	South America	South America	1965	Male	5-9	0
Suriname	SUR	South America	South America	1965	Male	50-54	6
Suriname	SUR	South America	South America	1965	Male	55-59	6
Suriname	SUR	South America	South America	1965	Male	60-64	10
Suriname	SUR	South America	South America	1965	Male	65-69	10
Suriname	SUR	South America	South America	1965	Male	70-74	8
Suriname	SUR	South America	South America	1965	Male	75-79	2
Suriname	SUR	South America	South America	1965	Male	80-84	7
Suriname	SUR	South America	South America	1965	Male	85+	1
Suriname	SUR	South America	South America	1966	Female	0-4	4
Suriname	SUR	South America	South America	1966	Female	10-14	0
Suriname	SUR	South America	South America	1966	Female	15-19	0
Suriname	SUR	South America	South America	1966	Female	20-24	0
Suriname	SUR	South America	South America	1966	Female	25-29	0
Suriname	SUR	South America	South America	1966	Female	30-34	3
Suriname	SUR	South America	South America	1966	Female	35-39	5
Suriname	SUR	South America	South America	1966	Female	40-44	5
Suriname	SUR	South America	South America	1966	Female	45-49	5
Suriname	SUR	South America	South America	1966	Female	5-9	1
Suriname	SUR	South America	South America	1966	Female	50-54	7
Suriname	SUR	South America	South America	1966	Female	55-59	4
Suriname	SUR	South America	South America	1966	Female	60-64	7
