country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Sweden	SWE	Europe	Northern Europe	1951	Female	0-4	34
Sweden	SWE	Europe	Northern Europe	1951	Female	10-14	11
Sweden	SWE	Europe	Northern Europe	1951	Female	15-19	11
Sweden	SWE	Europe	Northern Europe	1951	Female	20-24	26
Sweden	SWE	Europe	Northern Europe	1951	Female	25-29	31
Sweden	SWE	Europe	Northern Europe	1951	Female	30-34	58
Sweden	SWE	Europe	Northern Europe	1951	Female	35-39	114
Sweden	SWE	Europe	Northern Europe	1951	Female	40-44	200
Sweden	SWE	Europe	Northern Europe	1951	Female	45-49	326
Sweden	SWE	Europe	Northern Europe	1951	Female	5-9	20
Sweden	SWE	Europe	Northern Europe	1951	Female	50-54	427
Sweden	SWE	Europe	Northern Europe	1951	Female	55-59	615
Sweden	SWE	Europe	Northern Europe	1951	Female	60-64	653
Sweden	SWE	Europe	Northern Europe	1951	Female	65-69	754
Sweden	SWE	Europe	Northern Europe	1951	Female	70-74	804
Sweden	SWE	Europe	Northern Europe	1951	Female	75-79	715
Sweden	SWE	Europe	Northern Europe	1951	Female	80-84	473
Sweden	SWE	Europe	Northern Europe	1951	Female	85+	263
Sweden	SWE	Europe	Northern Europe	1951	Male	0-4	39
Sweden	SWE	Europe	Northern Europe	1951	Male	10-14	11
Sweden	SWE	Europe	Northern Europe	1951	Male	15-19	14
Sweden	SWE	Europe	Northern Europe	1951	Male	20-24	26
Sweden	SWE	Europe	Northern Europe	1951	Male	25-29	26
Sweden	SWE	Europe	Northern Europe	1951	Male	30-34	39
Sweden	SWE	Europe	Northern Europe	1951	Male	35-39	71
Sweden	SWE	Europe	Northern Europe	1951	Male	40-44	133
Sweden	SWE	Europe	Northern Europe	1951	Male	45-49	205
Sweden	SWE	Europe	Northern Europe	1951	Male	5-9	25
Sweden	SWE	Europe	Northern Europe	1951	Male	50-54	328
Sweden	SWE	Europe	Northern Europe	1951	Male	55-59	500
Sweden	SWE	Europe	Northern Europe	1951	Male	60-64	697
Sweden	SWE	Europe	Northern Europe	1951	Male	65-69	830
Sweden	SWE	Europe	Northern Europe	1951	Male	70-74	945
Sweden	SWE	Europe	Northern Europe	1951	Male	75-79	797
Sweden	SWE	Europe	Northern Europe	1951	Male	80-84	466
Sweden	SWE	Europe	Northern Europe	1951	Male	85+	246
Sweden	SWE	Europe	Northern Europe	1952	Female	0-4	32
Sweden	SWE	Europe	Northern Europe	1952	Female	10-14	12
Sweden	SWE	Europe	Northern Europe	1952	Female	15-19	12
Sweden	SWE	Europe	Northern Europe	1952	Female	20-24	20
Sweden	SWE	Europe	Northern Europe	1952	Female	25-29	34
Sweden	SWE	Europe	Northern Europe	1952	Female	30-34	73
Sweden	SWE	Europe	Northern Europe	1952	Female	35-39	110
Sweden	SWE	Europe	Northern Europe	1952	Female	40-44	219
Sweden	SWE	Europe	Northern Europe	1952	Female	45-49	326
Sweden	SWE	Europe	Northern Europe	1952	Female	5-9	16
Sweden	SWE	Europe	Northern Europe	1952	Female	50-54	503
Sweden	SWE	Europe	Northern Europe	1952	Female	55-59	587
Sweden	SWE	Europe	Northern Europe	1952	Female	60-64	757
Sweden	SWE	Europe	Northern Europe	1952	Female	65-69	839
Sweden	SWE	Europe	Northern Europe	1952	Female	70-74	851
Sweden	SWE	Europe	Northern Europe	1952	Female	75-79	762
Sweden	SWE	Europe	Northern Europe	1952	Female	80-84	470
Sweden	SWE	Europe	Northern Europe	1952	Female	85+	305
Sweden	SWE	Europe	Northern Europe	1952	Male	0-4	31
Sweden	SWE	Europe	Northern Europe	1952	Male	10-14	13
Sweden	SWE	Europe	Northern Europe	1952	Male	15-19	19
Sweden	SWE	Europe	Northern Europe	1952	Male	20-24	22
Sweden	SWE	Europe	Northern Europe	1952	Male	25-29	20
Sweden	SWE	Europe	Northern Europe	1952	Male	30-34	44
Sweden	SWE	Europe	Northern Europe	1952	Male	35-39	65
Sweden	SWE	Europe	Northern Europe	1952	Male	40-44	122
Sweden	SWE	Europe	Northern Europe	1952	Male	45-49	209
Sweden	SWE	Europe	Northern Europe	1952	Male	5-9	29
Sweden	SWE	Europe	Northern Europe	1952	Male	50-54	357
Sweden	SWE	Europe	Northern Europe	1952	Male	55-59	500
Sweden	SWE	Europe	Northern Europe	1952	Male	60-64	646
Sweden	SWE	Europe	Northern Europe	1952	Male	65-69	843
Sweden	SWE	Europe	Northern Europe	1952	Male	70-74	966
Sweden	SWE	Europe	Northern Europe	1952	Male	75-79	885
Sweden	SWE	Europe	Northern Europe	1952	Male	80-84	509
Sweden	SWE	Europe	Northern Europe	1952	Male	85+	277
Sweden	SWE	Europe	Northern Europe	1953	Female	0-4	26
Sweden	SWE	Europe	Northern Europe	1953	Female	10-14	5
Sweden	SWE	Europe	Northern Europe	1953	Female	15-19	16
Sweden	SWE	Europe	Northern Europe	1953	Female	20-24	10
Sweden	SWE	Europe	Northern Europe	1953	Female	25-29	27
Sweden	SWE	Europe	Northern Europe	1953	Female	30-34	76
Sweden	SWE	Europe	Northern Europe	1953	Female	35-39	115
Sweden	SWE	Europe	Northern Europe	1953	Female	40-44	221
Sweden	SWE	Europe	Northern Europe	1953	Female	45-49	308
Sweden	SWE	Europe	Northern Europe	1953	Female	5-9	22
Sweden	SWE	Europe	Northern Europe	1953	Female	50-54	459
Sweden	SWE	Europe	Northern Europe	1953	Female	55-59	630
Sweden	SWE	Europe	Northern Europe	1953	Female	60-64	756
Sweden	SWE	Europe	Northern Europe	1953	Female	65-69	888
Sweden	SWE	Europe	Northern Europe	1953	Female	70-74	904
Sweden	SWE	Europe	Northern Europe	1953	Female	75-79	790
Sweden	SWE	Europe	Northern Europe	1953	Female	80-84	494
Sweden	SWE	Europe	Northern Europe	1953	Female	85+	267
Sweden	SWE	Europe	Northern Europe	1953	Male	0-4	29
Sweden	SWE	Europe	Northern Europe	1953	Male	10-14	26
Sweden	SWE	Europe	Northern Europe	1953	Male	15-19	23
Sweden	SWE	Europe	Northern Europe	1953	Male	20-24	29
Sweden	SWE	Europe	Northern Europe	1953	Male	25-29	28
Sweden	SWE	Europe	Northern Europe	1953	Male	30-34	45
Sweden	SWE	Europe	Northern Europe	1953	Male	35-39	60
Sweden	SWE	Europe	Northern Europe	1953	Male	40-44	122
Sweden	SWE	Europe	Northern Europe	1953	Male	45-49	207
Sweden	SWE	Europe	Northern Europe	1953	Male	5-9	28
Sweden	SWE	Europe	Northern Europe	1953	Male	50-54	339
Sweden	SWE	Europe	Northern Europe	1953	Male	55-59	533
Sweden	SWE	Europe	Northern Europe	1953	Male	60-64	709
Sweden	SWE	Europe	Northern Europe	1953	Male	65-69	882
Sweden	SWE	Europe	Northern Europe	1953	Male	70-74	938
Sweden	SWE	Europe	Northern Europe	1953	Male	75-79	947
Sweden	SWE	Europe	Northern Europe	1953	Male	80-84	554
Sweden	SWE	Europe	Northern Europe	1953	Male	85+	223
Sweden	SWE	Europe	Northern Europe	1954	Female	0-4	26
Sweden	SWE	Europe	Northern Europe	1954	Female	10-14	15
Sweden	SWE	Europe	Northern Europe	1954	Female	15-19	13
Sweden	SWE	Europe	Northern Europe	1954	Female	20-24	17
Sweden	SWE	Europe	Northern Europe	1954	Female	25-29	34
Sweden	SWE	Europe	Northern Europe	1954	Female	30-34	77
Sweden	SWE	Europe	Northern Europe	1954	Female	35-39	127
Sweden	SWE	Europe	Northern Europe	1954	Female	40-44	204
Sweden	SWE	Europe	Northern Europe	1954	Female	45-49	331
Sweden	SWE	Europe	Northern Europe	1954	Female	5-9	25
Sweden	SWE	Europe	Northern Europe	1954	Female	50-54	462
Sweden	SWE	Europe	Northern Europe	1954	Female	55-59	564
Sweden	SWE	Europe	Northern Europe	1954	Female	60-64	658
Sweden	SWE	Europe	Northern Europe	1954	Female	65-69	825
Sweden	SWE	Europe	Northern Europe	1954	Female	70-74	887
Sweden	SWE	Europe	Northern Europe	1954	Female	75-79	793
Sweden	SWE	Europe	Northern Europe	1954	Female	80-84	475
Sweden	SWE	Europe	Northern Europe	1954	Female	85+	307
Sweden	SWE	Europe	Northern Europe	1954	Male	0-4	27
Sweden	SWE	Europe	Northern Europe	1954	Male	10-14	13
Sweden	SWE	Europe	Northern Europe	1954	Male	15-19	16
Sweden	SWE	Europe	Northern Europe	1954	Male	20-24	22
Sweden	SWE	Europe	Northern Europe	1954	Male	25-29	25
Sweden	SWE	Europe	Northern Europe	1954	Male	30-34	45
Sweden	SWE	Europe	Northern Europe	1954	Male	35-39	70
Sweden	SWE	Europe	Northern Europe	1954	Male	40-44	119
Sweden	SWE	Europe	Northern Europe	1954	Male	45-49	215
Sweden	SWE	Europe	Northern Europe	1954	Male	5-9	18
Sweden	SWE	Europe	Northern Europe	1954	Male	50-54	308
Sweden	SWE	Europe	Northern Europe	1954	Male	55-59	500
Sweden	SWE	Europe	Northern Europe	1954	Male	60-64	652
Sweden	SWE	Europe	Northern Europe	1954	Male	65-69	966
Sweden	SWE	Europe	Northern Europe	1954	Male	70-74	978
Sweden	SWE	Europe	Northern Europe	1954	Male	75-79	890
Sweden	SWE	Europe	Northern Europe	1954	Male	80-84	533
Sweden	SWE	Europe	Northern Europe	1954	Male	85+	227
Sweden	SWE	Europe	Northern Europe	1955	Female	0-4	35
Sweden	SWE	Europe	Northern Europe	1955	Female	10-14	8
Sweden	SWE	Europe	Northern Europe	1955	Female	15-19	16
Sweden	SWE	Europe	Northern Europe	1955	Female	20-24	20
Sweden	SWE	Europe	Northern Europe	1955	Female	25-29	33
Sweden	SWE	Europe	Northern Europe	1955	Female	30-34	62
Sweden	SWE	Europe	Northern Europe	1955	Female	35-39	125
Sweden	SWE	Europe	Northern Europe	1955	Female	40-44	219
Sweden	SWE	Europe	Northern Europe	1955	Female	45-49	347
Sweden	SWE	Europe	Northern Europe	1955	Female	5-9	24
Sweden	SWE	Europe	Northern Europe	1955	Female	50-54	462
Sweden	SWE	Europe	Northern Europe	1955	Female	55-59	608
Sweden	SWE	Europe	Northern Europe	1955	Female	60-64	735
Sweden	SWE	Europe	Northern Europe	1955	Female	65-69	843
Sweden	SWE	Europe	Northern Europe	1955	Female	70-74	893
Sweden	SWE	Europe	Northern Europe	1955	Female	75-79	773
Sweden	SWE	Europe	Northern Europe	1955	Female	80-84	513
Sweden	SWE	Europe	Northern Europe	1955	Female	85+	315
Sweden	SWE	Europe	Northern Europe	1955	Male	0-4	23
Sweden	SWE	Europe	Northern Europe	1955	Male	10-14	20
Sweden	SWE	Europe	Northern Europe	1955	Male	15-19	27
Sweden	SWE	Europe	Northern Europe	1955	Male	20-24	25
Sweden	SWE	Europe	Northern Europe	1955	Male	25-29	26
Sweden	SWE	Europe	Northern Europe	1955	Male	30-34	57
Sweden	SWE	Europe	Northern Europe	1955	Male	35-39	67
Sweden	SWE	Europe	Northern Europe	1955	Male	40-44	117
Sweden	SWE	Europe	Northern Europe	1955	Male	45-49	186
Sweden	SWE	Europe	Northern Europe	1955	Male	5-9	16
Sweden	SWE	Europe	Northern Europe	1955	Male	50-54	327
Sweden	SWE	Europe	Northern Europe	1955	Male	55-59	530
Sweden	SWE	Europe	Northern Europe	1955	Male	60-64	725
Sweden	SWE	Europe	Northern Europe	1955	Male	65-69	871
Sweden	SWE	Europe	Northern Europe	1955	Male	70-74	1010
Sweden	SWE	Europe	Northern Europe	1955	Male	75-79	963
Sweden	SWE	Europe	Northern Europe	1955	Male	80-84	639
Sweden	SWE	Europe	Northern Europe	1955	Male	85+	256
Sweden	SWE	Europe	Northern Europe	1956	Female	0-4	23
Sweden	SWE	Europe	Northern Europe	1956	Female	10-14	13
Sweden	SWE	Europe	Northern Europe	1956	Female	15-19	15
Sweden	SWE	Europe	Northern Europe	1956	Female	20-24	18
Sweden	SWE	Europe	Northern Europe	1956	Female	25-29	34
Sweden	SWE	Europe	Northern Europe	1956	Female	30-34	76
Sweden	SWE	Europe	Northern Europe	1956	Female	35-39	115
Sweden	SWE	Europe	Northern Europe	1956	Female	40-44	223
Sweden	SWE	Europe	Northern Europe	1956	Female	45-49	320
Sweden	SWE	Europe	Northern Europe	1956	Female	5-9	17
Sweden	SWE	Europe	Northern Europe	1956	Female	50-54	464
Sweden	SWE	Europe	Northern Europe	1956	Female	55-59	580
Sweden	SWE	Europe	Northern Europe	1956	Female	60-64	753
Sweden	SWE	Europe	Northern Europe	1956	Female	65-69	879
Sweden	SWE	Europe	Northern Europe	1956	Female	70-74	918
Sweden	SWE	Europe	Northern Europe	1956	Female	75-79	841
Sweden	SWE	Europe	Northern Europe	1956	Female	80-84	569
