country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Tajikistan	TJK	Asia	Central Asia	1981	Female	0-4	6
Tajikistan	TJK	Asia	Central Asia	1981	Female	10-14	8
Tajikistan	TJK	Asia	Central Asia	1981	Female	15-19	6
Tajikistan	TJK	Asia	Central Asia	1981	Female	20-24	13
Tajikistan	TJK	Asia	Central Asia	1981	Female	25-29	21
Tajikistan	TJK	Asia	Central Asia	1981	Female	30-34	27
Tajikistan	TJK	Asia	Central Asia	1981	Female	35-39	15
Tajikistan	TJK	Asia	Central Asia	1981	Female	40-44	51
Tajikistan	TJK	Asia	Central Asia	1981	Female	45-49	67
Tajikistan	TJK	Asia	Central Asia	1981	Female	5-9	11
Tajikistan	TJK	Asia	Central Asia	1981	Female	50-54	101
Tajikistan	TJK	Asia	Central Asia	1981	Female	55-59	109
Tajikistan	TJK	Asia	Central Asia	1981	Female	60-64	79
Tajikistan	TJK	Asia	Central Asia	1981	Female	65-69	123
Tajikistan	TJK	Asia	Central Asia	1981	Female	70-74	111
Tajikistan	TJK	Asia	Central Asia	1981	Female	75-79	78
Tajikistan	TJK	Asia	Central Asia	1981	Female	80-84	42
Tajikistan	TJK	Asia	Central Asia	1981	Female	85+	14
Tajikistan	TJK	Asia	Central Asia	1981	Male	0-4	23
Tajikistan	TJK	Asia	Central Asia	1981	Male	10-14	10
Tajikistan	TJK	Asia	Central Asia	1981	Male	15-19	18
Tajikistan	TJK	Asia	Central Asia	1981	Male	20-24	24
Tajikistan	TJK	Asia	Central Asia	1981	Male	25-29	21
Tajikistan	TJK	Asia	Central Asia	1981	Male	30-34	23
Tajikistan	TJK	Asia	Central Asia	1981	Male	35-39	23
Tajikistan	TJK	Asia	Central Asia	1981	Male	40-44	80
Tajikistan	TJK	Asia	Central Asia	1981	Male	45-49	95
Tajikistan	TJK	Asia	Central Asia	1981	Male	5-9	16
Tajikistan	TJK	Asia	Central Asia	1981	Male	50-54	171
Tajikistan	TJK	Asia	Central Asia	1981	Male	55-59	126
Tajikistan	TJK	Asia	Central Asia	1981	Male	60-64	98
Tajikistan	TJK	Asia	Central Asia	1981	Male	65-69	138
Tajikistan	TJK	Asia	Central Asia	1981	Male	70-74	153
Tajikistan	TJK	Asia	Central Asia	1981	Male	75-79	101
Tajikistan	TJK	Asia	Central Asia	1981	Male	80-84	52
Tajikistan	TJK	Asia	Central Asia	1981	Male	85+	24
Tajikistan	TJK	Asia	Central Asia	1982	Female	0-4	10
Tajikistan	TJK	Asia	Central Asia	1982	Female	10-14	6
Tajikistan	TJK	Asia	Central Asia	1982	Female	15-19	4
Tajikistan	TJK	Asia	Central Asia	1982	Female	20-24	13
