country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Thailand	THA	Asia	South-Eastern Asia	1957	Female	0-4	21
Thailand	THA	Asia	South-Eastern Asia	1957	Female	10-14	9
Thailand	THA	Asia	South-Eastern Asia	1957	Female	15-19	14
Thailand	THA	Asia	South-Eastern Asia	1957	Female	20-24	18
Thailand	THA	Asia	South-Eastern Asia	1957	Female	25-29	23
Thailand	THA	Asia	South-Eastern Asia	1957	Female	30-34	29
Thailand	THA	Asia	South-Eastern Asia	1957	Female	35-39	39
Thailand	THA	Asia	South-Eastern Asia	1957	Female	40-44	52
Thailand	THA	Asia	South-Eastern Asia	1957	Female	45-49	75
Thailand	THA	Asia	South-Eastern Asia	1957	Female	5-9	5
Thailand	THA	Asia	South-Eastern Asia	1957	Female	50-54	94
Thailand	THA	Asia	South-Eastern Asia	1957	Female	55-59	74
Thailand	THA	Asia	South-Eastern Asia	1957	Female	60-64	70
Thailand	THA	Asia	South-Eastern Asia	1957	Female	65-69	47
Thailand	THA	Asia	South-Eastern Asia	1957	Female	70-74	36
Thailand	THA	Asia	South-Eastern Asia	1957	Female	75-79	16
Thailand	THA	Asia	South-Eastern Asia	1957	Female	80-84	11
Thailand	THA	Asia	South-Eastern Asia	1957	Female	85+	6
Thailand	THA	Asia	South-Eastern Asia	1957	Male	0-4	23
Thailand	THA	Asia	South-Eastern Asia	1957	Male	10-14	7
Thailand	THA	Asia	South-Eastern Asia	1957	Male	15-19	11
Thailand	THA	Asia	South-Eastern Asia	1957	Male	20-24	19
Thailand	THA	Asia	South-Eastern Asia	1957	Male	25-29	14
Thailand	THA	Asia	South-Eastern Asia	1957	Male	30-34	38
Thailand	THA	Asia	South-Eastern Asia	1957	Male	35-39	39
Thailand	THA	Asia	South-Eastern Asia	1957	Male	40-44	76
Thailand	THA	Asia	South-Eastern Asia	1957	Male	45-49	84
Thailand	THA	Asia	South-Eastern Asia	1957	Male	5-9	9
Thailand	THA	Asia	South-Eastern Asia	1957	Male	50-54	92
Thailand	THA	Asia	South-Eastern Asia	1957	Male	55-59	105
Thailand	THA	Asia	South-Eastern Asia	1957	Male	60-64	103
Thailand	THA	Asia	South-Eastern Asia	1957	Male	65-69	65
Thailand	THA	Asia	South-Eastern Asia	1957	Male	70-74	42
Thailand	THA	Asia	South-Eastern Asia	1957	Male	75-79	20
Thailand	THA	Asia	South-Eastern Asia	1957	Male	80-84	4
Thailand	THA	Asia	South-Eastern Asia	1957	Male	85+	2
Thailand	THA	Asia	South-Eastern Asia	1958	Female	0-4	16
Thailand	THA	Asia	South-Eastern Asia	1958	Female	10-14	5
Thailand	THA	Asia	South-Eastern Asia	1958	Female	15-19	12
Thailand	THA	Asia	South-Eastern Asia	1958	Female	20-24	22
Thailand	THA	Asia	South-Eastern Asia	1958	Female	25-29	17
Thailand	THA	Asia	South-Eastern Asia	1958	Female	30-34	43
Thailand	THA	Asia	South-Eastern Asia	1958	Female	35-39	47
Thailand	THA	Asia	South-Eastern Asia	1958	Female	40-44	73
Thailand	THA	Asia	South-Eastern Asia	1958	Female	45-49	84
Thailand	THA	Asia	South-Eastern Asia	1958	Female	5-9	9
Thailand	THA	Asia	South-Eastern Asia	1958	Female	50-54	118
Thailand	THA	Asia	South-Eastern Asia	1958	Female	55-59	100
Thailand	THA	Asia	South-Eastern Asia	1958	Female	60-64	94
Thailand	THA	Asia	South-Eastern Asia	1958	Female	65-69	48
Thailand	THA	Asia	South-Eastern Asia	1958	Female	70-74	27
Thailand	THA	Asia	South-Eastern Asia	1958	Female	75-79	14
Thailand	THA	Asia	South-Eastern Asia	1958	Female	80-84	9
Thailand	THA	Asia	South-Eastern Asia	1958	Female	85+	6
Thailand	THA	Asia	South-Eastern Asia	1958	Male	0-4	15
Thailand	THA	Asia	South-Eastern Asia	1958	Male	10-14	13
Thailand	THA	Asia	South-Eastern Asia	1958	Male	15-19	17
Thailand	THA	Asia	South-Eastern Asia	1958	Male	20-24	27
Thailand	THA	Asia	South-Eastern Asia	1958	Male	25-29	26
Thailand	THA	Asia	South-Eastern Asia	1958	Male	30-34	27
Thailand	THA	Asia	South-Eastern Asia	1958	Male	35-39	41
Thailand	THA	Asia	South-Eastern Asia	1958	Male	40-44	69
Thailand	THA	Asia	South-Eastern Asia	1958	Male	45-49	99
Thailand	THA	Asia	South-Eastern Asia	1958	Male	5-9	5
Thailand	THA	Asia	South-Eastern Asia	1958	Male	50-54	107
Thailand	THA	Asia	South-Eastern Asia	1958	Male	55-59	108
Thailand	THA	Asia	South-Eastern Asia	1958	Male	60-64	117
Thailand	THA	Asia	South-Eastern Asia	1958	Male	65-69	82
Thailand	THA	Asia	South-Eastern Asia	1958	Male	70-74	43
Thailand	THA	Asia	South-Eastern Asia	1958	Male	75-79	30
Thailand	THA	Asia	South-Eastern Asia	1958	Male	80-84	10
Thailand	THA	Asia	South-Eastern Asia	1958	Male	85+	6
Thailand	THA	Asia	South-Eastern Asia	1959	Female	0-4	18
Thailand	THA	Asia	South-Eastern Asia	1959	Female	10-14	7
Thailand	THA	Asia	South-Eastern Asia	1959	Female	15-19	8
Thailand	THA	Asia	South-Eastern Asia	1959	Female	20-24	26
Thailand	THA	Asia	South-Eastern Asia	1959	Female	25-29	45
Thailand	THA	Asia	South-Eastern Asia	1959	Female	30-34	44
Thailand	THA	Asia	South-Eastern Asia	1959	Female	35-39	61
Thailand	THA	Asia	South-Eastern Asia	1959	Female	40-44	92
Thailand	THA	Asia	South-Eastern Asia	1959	Female	45-49	113
Thailand	THA	Asia	South-Eastern Asia	1959	Female	5-9	12
Thailand	THA	Asia	South-Eastern Asia	1959	Female	50-54	122
Thailand	THA	Asia	South-Eastern Asia	1959	Female	55-59	106
Thailand	THA	Asia	South-Eastern Asia	1959	Female	60-64	88
Thailand	THA	Asia	South-Eastern Asia	1959	Female	65-69	59
Thailand	THA	Asia	South-Eastern Asia	1959	Female	70-74	57
Thailand	THA	Asia	South-Eastern Asia	1959	Female	75-79	33
Thailand	THA	Asia	South-Eastern Asia	1959	Female	80-84	16
Thailand	THA	Asia	South-Eastern Asia	1959	Female	85+	9
Thailand	THA	Asia	South-Eastern Asia	1959	Male	0-4	23
Thailand	THA	Asia	South-Eastern Asia	1959	Male	10-14	11
Thailand	THA	Asia	South-Eastern Asia	1959	Male	15-19	13
Thailand	THA	Asia	South-Eastern Asia	1959	Male	20-24	22
Thailand	THA	Asia	South-Eastern Asia	1959	Male	25-29	27
Thailand	THA	Asia	South-Eastern Asia	1959	Male	30-34	53
Thailand	THA	Asia	South-Eastern Asia	1959	Male	35-39	66
Thailand	THA	Asia	South-Eastern Asia	1959	Male	40-44	83
Thailand	THA	Asia	South-Eastern Asia	1959	Male	45-49	139
Thailand	THA	Asia	South-Eastern Asia	1959	Male	5-9	19
Thailand	THA	Asia	South-Eastern Asia	1959	Male	50-54	146
Thailand	THA	Asia	South-Eastern Asia	1959	Male	55-59	146
Thailand	THA	Asia	South-Eastern Asia	1959	Male	60-64	121
Thailand	THA	Asia	South-Eastern Asia	1959	Male	65-69	102
Thailand	THA	Asia	South-Eastern Asia	1959	Male	70-74	44
Thailand	THA	Asia	South-Eastern Asia	1959	Male	75-79	33
Thailand	THA	Asia	South-Eastern Asia	1959	Male	80-84	2
Thailand	THA	Asia	South-Eastern Asia	1959	Male	85+	1
Thailand	THA	Asia	South-Eastern Asia	1960	Female	0-4	16
Thailand	THA	Asia	South-Eastern Asia	1960	Female	10-14	9
Thailand	THA	Asia	South-Eastern Asia	1960	Female	15-19	15
Thailand	THA	Asia	South-Eastern Asia	1960	Female	20-24	25
Thailand	THA	Asia	South-Eastern Asia	1960	Female	25-29	34
Thailand	THA	Asia	South-Eastern Asia	1960	Female	30-34	60
Thailand	THA	Asia	South-Eastern Asia	1960	Female	35-39	69
Thailand	THA	Asia	South-Eastern Asia	1960	Female	40-44	83
Thailand	THA	Asia	South-Eastern Asia	1960	Female	45-49	117
Thailand	THA	Asia	South-Eastern Asia	1960	Female	5-9	11
Thailand	THA	Asia	South-Eastern Asia	1960	Female	50-54	136
Thailand	THA	Asia	South-Eastern Asia	1960	Female	55-59	123
Thailand	THA	Asia	South-Eastern Asia	1960	Female	60-64	113
Thailand	THA	Asia	South-Eastern Asia	1960	Female	65-69	82
Thailand	THA	Asia	South-Eastern Asia	1960	Female	70-74	55
Thailand	THA	Asia	South-Eastern Asia	1960	Female	75-79	21
Thailand	THA	Asia	South-Eastern Asia	1960	Female	80-84	11
Thailand	THA	Asia	South-Eastern Asia	1960	Female	85+	6
Thailand	THA	Asia	South-Eastern Asia	1960	Male	0-4	36
Thailand	THA	Asia	South-Eastern Asia	1960	Male	10-14	11
Thailand	THA	Asia	South-Eastern Asia	1960	Male	15-19	16
Thailand	THA	Asia	South-Eastern Asia	1960	Male	20-24	23
Thailand	THA	Asia	South-Eastern Asia	1960	Male	25-29	32
Thailand	THA	Asia	South-Eastern Asia	1960	Male	30-34	35
Thailand	THA	Asia	South-Eastern Asia	1960	Male	35-39	62
Thailand	THA	Asia	South-Eastern Asia	1960	Male	40-44	92
Thailand	THA	Asia	South-Eastern Asia	1960	Male	45-49	122
Thailand	THA	Asia	South-Eastern Asia	1960	Male	5-9	14
Thailand	THA	Asia	South-Eastern Asia	1960	Male	50-54	159
Thailand	THA	Asia	South-Eastern Asia	1960	Male	55-59	184
Thailand	THA	Asia	South-Eastern Asia	1960	Male	60-64	161
Thailand	THA	Asia	South-Eastern Asia	1960	Male	65-69	109
Thailand	THA	Asia	South-Eastern Asia	1960	Male	70-74	52
Thailand	THA	Asia	South-Eastern Asia	1960	Male	75-79	37
Thailand	THA	Asia	South-Eastern Asia	1960	Male	80-84	14
Thailand	THA	Asia	South-Eastern Asia	1960	Male	85+	6
Thailand	THA	Asia	South-Eastern Asia	1961	Female	0-4	32
Thailand	THA	Asia	South-Eastern Asia	1961	Female	10-14	10
Thailand	THA	Asia	South-Eastern Asia	1961	Female	15-19	14
Thailand	THA	Asia	South-Eastern Asia	1961	Female	20-24	29
Thailand	THA	Asia	South-Eastern Asia	1961	Female	25-29	27
Thailand	THA	Asia	South-Eastern Asia	1961	Female	30-34	43
Thailand	THA	Asia	South-Eastern Asia	1961	Female	35-39	73
Thailand	THA	Asia	South-Eastern Asia	1961	Female	40-44	88
