country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Trinidad and Tobago	TTO	North America	Caribbean	1951	Female	0-4	2
Trinidad and Tobago	TTO	North America	Caribbean	1951	Female	10-14	1
Trinidad and Tobago	TTO	North America	Caribbean	1951	Female	15-19	0
Trinidad and Tobago	TTO	North America	Caribbean	1951	Female	20-24	1
Trinidad and Tobago	TTO	North America	Caribbean	1951	Female	25-29	5
Trinidad and Tobago	TTO	North America	Caribbean	1951	Female	30-34	11
Trinidad and Tobago	TTO	North America	Caribbean	1951	Female	35-39	15
Trinidad and Tobago	TTO	North America	Caribbean	1951	Female	40-44	26
Trinidad and Tobago	TTO	North America	Caribbean	1951	Female	45-49	18
Trinidad and Tobago	TTO	North America	Caribbean	1951	Female	5-9	1
Trinidad and Tobago	TTO	North America	Caribbean	1951	Female	50-54	32
Trinidad and Tobago	TTO	North America	Caribbean	1951	Female	55-59	22
Trinidad and Tobago	TTO	North America	Caribbean	1951	Female	60-64	26
Trinidad and Tobago	TTO	North America	Caribbean	1951	Female	65-69	33
Trinidad and Tobago	TTO	North America	Caribbean	1951	Female	70-74	25
Trinidad and Tobago	TTO	North America	Caribbean	1951	Female	75-79	17
Trinidad and Tobago	TTO	North America	Caribbean	1951	Female	80-84	5
Trinidad and Tobago	TTO	North America	Caribbean	1951	Female	85+	8
Trinidad and Tobago	TTO	North America	Caribbean	1951	Male	0-4	1
Trinidad and Tobago	TTO	North America	Caribbean	1951	Male	10-14	0
Trinidad and Tobago	TTO	North America	Caribbean	1951	Male	15-19	3
Trinidad and Tobago	TTO	North America	Caribbean	1951	Male	20-24	1
Trinidad and Tobago	TTO	North America	Caribbean	1951	Male	25-29	1
Trinidad and Tobago	TTO	North America	Caribbean	1951	Male	30-34	7
Trinidad and Tobago	TTO	North America	Caribbean	1951	Male	35-39	9
Trinidad and Tobago	TTO	North America	Caribbean	1951	Male	40-44	5
Trinidad and Tobago	TTO	North America	Caribbean	1951	Male	45-49	16
Trinidad and Tobago	TTO	North America	Caribbean	1951	Male	5-9	2
Trinidad and Tobago	TTO	North America	Caribbean	1951	Male	50-54	17
Trinidad and Tobago	TTO	North America	Caribbean	1951	Male	55-59	16
Trinidad and Tobago	TTO	North America	Caribbean	1951	Male	60-64	24
Trinidad and Tobago	TTO	North America	Caribbean	1951	Male	65-69	16
Trinidad and Tobago	TTO	North America	Caribbean	1951	Male	70-74	12
Trinidad and Tobago	TTO	North America	Caribbean	1951	Male	75-79	13
Trinidad and Tobago	TTO	North America	Caribbean	1951	Male	80-84	2
Trinidad and Tobago	TTO	North America	Caribbean	1951	Male	85+	4
Trinidad and Tobago	TTO	North America	Caribbean	1952	Female	0-4	3
Trinidad and Tobago	TTO	North America	Caribbean	1952	Female	10-14	3
Trinidad and Tobago	TTO	North America	Caribbean	1952	Female	15-19	2
Trinidad and Tobago	TTO	North America	Caribbean	1952	Female	20-24	3
Trinidad and Tobago	TTO	North America	Caribbean	1952	Female	25-29	3
Trinidad and Tobago	TTO	North America	Caribbean	1952	Female	30-34	10
Trinidad and Tobago	TTO	North America	Caribbean	1952	Female	35-39	9
Trinidad and Tobago	TTO	North America	Caribbean	1952	Female	40-44	24
Trinidad and Tobago	TTO	North America	Caribbean	1952	Female	45-49	35
Trinidad and Tobago	TTO	North America	Caribbean	1952	Female	5-9	2
Trinidad and Tobago	TTO	North America	Caribbean	1952	Female	50-54	30
Trinidad and Tobago	TTO	North America	Caribbean	1952	Female	55-59	34
Trinidad and Tobago	TTO	North America	Caribbean	1952	Female	60-64	40
Trinidad and Tobago	TTO	North America	Caribbean	1952	Female	65-69	38
Trinidad and Tobago	TTO	North America	Caribbean	1952	Female	70-74	24
Trinidad and Tobago	TTO	North America	Caribbean	1952	Female	75-79	14
Trinidad and Tobago	TTO	North America	Caribbean	1952	Female	80-84	8
Trinidad and Tobago	TTO	North America	Caribbean	1952	Female	85+	5
Trinidad and Tobago	TTO	North America	Caribbean	1952	Male	0-4	1
Trinidad and Tobago	TTO	North America	Caribbean	1952	Male	10-14	0
Trinidad and Tobago	TTO	North America	Caribbean	1952	Male	15-19	1
Trinidad and Tobago	TTO	North America	Caribbean	1952	Male	20-24	0
Trinidad and Tobago	TTO	North America	Caribbean	1952	Male	25-29	3
Trinidad and Tobago	TTO	North America	Caribbean	1952	Male	30-34	3
Trinidad and Tobago	TTO	North America	Caribbean	1952	Male	35-39	4
Trinidad and Tobago	TTO	North America	Caribbean	1952	Male	40-44	9
Trinidad and Tobago	TTO	North America	Caribbean	1952	Male	45-49	11
Trinidad and Tobago	TTO	North America	Caribbean	1952	Male	5-9	1
Trinidad and Tobago	TTO	North America	Caribbean	1952	Male	50-54	13
Trinidad and Tobago	TTO	North America	Caribbean	1952	Male	55-59	18
Trinidad and Tobago	TTO	North America	Caribbean	1952	Male	60-64	16
Trinidad and Tobago	TTO	North America	Caribbean	1952	Male	65-69	19
Trinidad and Tobago	TTO	North America	Caribbean	1952	Male	70-74	12
Trinidad and Tobago	TTO	North America	Caribbean	1952	Male	75-79	9
Trinidad and Tobago	TTO	North America	Caribbean	1952	Male	80-84	7
Trinidad and Tobago	TTO	North America	Caribbean	1952	Male	85+	5
Trinidad and Tobago	TTO	North America	Caribbean	1953	Female	0-4	6
Trinidad and Tobago	TTO	North America	Caribbean	1953	Female	10-14	2
Trinidad and Tobago	TTO	North America	Caribbean	1953	Female	15-19	0
Trinidad and Tobago	TTO	North America	Caribbean	1953	Female	20-24	2
Trinidad and Tobago	TTO	North America	Caribbean	1953	Female	25-29	5
Trinidad and Tobago	TTO	North America	Caribbean	1953	Female	30-34	11
Trinidad and Tobago	TTO	North America	Caribbean	1953	Female	35-39	16
Trinidad and Tobago	TTO	North America	Caribbean	1953	Female	40-44	23
Trinidad and Tobago	TTO	North America	Caribbean	1953	Female	45-49	23
Trinidad and Tobago	TTO	North America	Caribbean	1953	Female	5-9	4
Trinidad and Tobago	TTO	North America	Caribbean	1953	Female	50-54	33
Trinidad and Tobago	TTO	North America	Caribbean	1953	Female	55-59	21
Trinidad and Tobago	TTO	North America	Caribbean	1953	Female	60-64	26
Trinidad and Tobago	TTO	North America	Caribbean	1953	Female	65-69	34
Trinidad and Tobago	TTO	North America	Caribbean	1953	Female	70-74	21
Trinidad and Tobago	TTO	North America	Caribbean	1953	Female	75-79	11
Trinidad and Tobago	TTO	North America	Caribbean	1953	Female	80-84	9
Trinidad and Tobago	TTO	North America	Caribbean	1953	Female	85+	7
Trinidad and Tobago	TTO	North America	Caribbean	1953	Male	0-4	1
Trinidad and Tobago	TTO	North America	Caribbean	1953	Male	10-14	2
Trinidad and Tobago	TTO	North America	Caribbean	1953	Male	15-19	3
Trinidad and Tobago	TTO	North America	Caribbean	1953	Male	20-24	1
Trinidad and Tobago	TTO	North America	Caribbean	1953	Male	25-29	2
Trinidad and Tobago	TTO	North America	Caribbean	1953	Male	30-34	6
Trinidad and Tobago	TTO	North America	Caribbean	1953	Male	35-39	5
Trinidad and Tobago	TTO	North America	Caribbean	1953	Male	40-44	6
Trinidad and Tobago	TTO	North America	Caribbean	1953	Male	45-49	12
Trinidad and Tobago	TTO	North America	Caribbean	1953	Male	5-9	2
Trinidad and Tobago	TTO	North America	Caribbean	1953	Male	50-54	17
Trinidad and Tobago	TTO	North America	Caribbean	1953	Male	55-59	8
Trinidad and Tobago	TTO	North America	Caribbean	1953	Male	60-64	21
Trinidad and Tobago	TTO	North America	Caribbean	1953	Male	65-69	27
Trinidad and Tobago	TTO	North America	Caribbean	1953	Male	70-74	19
Trinidad and Tobago	TTO	North America	Caribbean	1953	Male	75-79	7
Trinidad and Tobago	TTO	North America	Caribbean	1953	Male	80-84	8
Trinidad and Tobago	TTO	North America	Caribbean	1953	Male	85+	7
Trinidad and Tobago	TTO	North America	Caribbean	1954	Female	0-4	0
Trinidad and Tobago	TTO	North America	Caribbean	1954	Female	10-14	1
Trinidad and Tobago	TTO	North America	Caribbean	1954	Female	15-19	0
Trinidad and Tobago	TTO	North America	Caribbean	1954	Female	20-24	5
Trinidad and Tobago	TTO	North America	Caribbean	1954	Female	25-29	4
Trinidad and Tobago	TTO	North America	Caribbean	1954	Female	30-34	15
Trinidad and Tobago	TTO	North America	Caribbean	1954	Female	35-39	11
Trinidad and Tobago	TTO	North America	Caribbean	1954	Female	40-44	20
