country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Turkmenistan	TKM	Asia	Central Asia	1981	Female	0-4	14
Turkmenistan	TKM	Asia	Central Asia	1981	Female	10-14	12
Turkmenistan	TKM	Asia	Central Asia	1981	Female	15-19	9
Turkmenistan	TKM	Asia	Central Asia	1981	Female	20-24	15
Turkmenistan	TKM	Asia	Central Asia	1981	Female	25-29	22
Turkmenistan	TKM	Asia	Central Asia	1981	Female	30-34	21
Turkmenistan	TKM	Asia	Central Asia	1981	Female	35-39	20
Turkmenistan	TKM	Asia	Central Asia	1981	Female	40-44	56
Turkmenistan	TKM	Asia	Central Asia	1981	Female	45-49	72
Turkmenistan	TKM	Asia	Central Asia	1981	Female	5-9	7
Turkmenistan	TKM	Asia	Central Asia	1981	Female	50-54	104
Turkmenistan	TKM	Asia	Central Asia	1981	Female	55-59	125
Turkmenistan	TKM	Asia	Central Asia	1981	Female	60-64	149
Turkmenistan	TKM	Asia	Central Asia	1981	Female	65-69	155
Turkmenistan	TKM	Asia	Central Asia	1981	Female	70-74	128
Turkmenistan	TKM	Asia	Central Asia	1981	Female	75-79	102
Turkmenistan	TKM	Asia	Central Asia	1981	Female	80-84	44
Turkmenistan	TKM	Asia	Central Asia	1981	Female	85+	38
Turkmenistan	TKM	Asia	Central Asia	1981	Male	0-4	18
Turkmenistan	TKM	Asia	Central Asia	1981	Male	10-14	8
Turkmenistan	TKM	Asia	Central Asia	1981	Male	15-19	20
Turkmenistan	TKM	Asia	Central Asia	1981	Male	20-24	15
Turkmenistan	TKM	Asia	Central Asia	1981	Male	25-29	19
Turkmenistan	TKM	Asia	Central Asia	1981	Male	30-34	15
Turkmenistan	TKM	Asia	Central Asia	1981	Male	35-39	19
Turkmenistan	TKM	Asia	Central Asia	1981	Male	40-44	64
Turkmenistan	TKM	Asia	Central Asia	1981	Male	45-49	105
Turkmenistan	TKM	Asia	Central Asia	1981	Male	5-9	7
Turkmenistan	TKM	Asia	Central Asia	1981	Male	50-54	205
Turkmenistan	TKM	Asia	Central Asia	1981	Male	55-59	143
Turkmenistan	TKM	Asia	Central Asia	1981	Male	60-64	125
Turkmenistan	TKM	Asia	Central Asia	1981	Male	65-69	182
Turkmenistan	TKM	Asia	Central Asia	1981	Male	70-74	149
Turkmenistan	TKM	Asia	Central Asia	1981	Male	75-79	91
Turkmenistan	TKM	Asia	Central Asia	1981	Male	80-84	38
Turkmenistan	TKM	Asia	Central Asia	1981	Male	85+	26
Turkmenistan	TKM	Asia	Central Asia	1982	Female	0-4	14
Turkmenistan	TKM	Asia	Central Asia	1982	Female	10-14	9
Turkmenistan	TKM	Asia	Central Asia	1982	Female	15-19	6
Turkmenistan	TKM	Asia	Central Asia	1982	Female	20-24	16
Turkmenistan	TKM	Asia	Central Asia	1982	Female	25-29	13
Turkmenistan	TKM	Asia	Central Asia	1982	Female	30-34	16
Turkmenistan	TKM	Asia	Central Asia	1982	Female	35-39	13
Turkmenistan	TKM	Asia	Central Asia	1982	Female	40-44	52
Turkmenistan	TKM	Asia	Central Asia	1982	Female	45-49	60
Turkmenistan	TKM	Asia	Central Asia	1982	Female	5-9	16
Turkmenistan	TKM	Asia	Central Asia	1982	Female	50-54	98
Turkmenistan	TKM	Asia	Central Asia	1982	Female	55-59	134
Turkmenistan	TKM	Asia	Central Asia	1982	Female	60-64	131
Turkmenistan	TKM	Asia	Central Asia	1982	Female	65-69	146
Turkmenistan	TKM	Asia	Central Asia	1982	Female	70-74	119
Turkmenistan	TKM	Asia	Central Asia	1982	Female	75-79	91
Turkmenistan	TKM	Asia	Central Asia	1982	Female	80-84	43
Turkmenistan	TKM	Asia	Central Asia	1982	Female	85+	34
Turkmenistan	TKM	Asia	Central Asia	1982	Male	0-4	15
Turkmenistan	TKM	Asia	Central Asia	1982	Male	10-14	7
Turkmenistan	TKM	Asia	Central Asia	1982	Male	15-19	9
Turkmenistan	TKM	Asia	Central Asia	1982	Male	20-24	13
Turkmenistan	TKM	Asia	Central Asia	1982	Male	25-29	10
Turkmenistan	TKM	Asia	Central Asia	1982	Male	30-34	15
Turkmenistan	TKM	Asia	Central Asia	1982	Male	35-39	26
Turkmenistan	TKM	Asia	Central Asia	1982	Male	40-44	52
Turkmenistan	TKM	Asia	Central Asia	1982	Male	45-49	86
Turkmenistan	TKM	Asia	Central Asia	1982	Male	5-9	13
Turkmenistan	TKM	Asia	Central Asia	1982	Male	50-54	185
Turkmenistan	TKM	Asia	Central Asia	1982	Male	55-59	185
Turkmenistan	TKM	Asia	Central Asia	1982	Male	60-64	117
Turkmenistan	TKM	Asia	Central Asia	1982	Male	65-69	125
Turkmenistan	TKM	Asia	Central Asia	1982	Male	70-74	133
Turkmenistan	TKM	Asia	Central Asia	1982	Male	75-79	85
Turkmenistan	TKM	Asia	Central Asia	1982	Male	80-84	47
Turkmenistan	TKM	Asia	Central Asia	1982	Male	85+	13
Turkmenistan	TKM	Asia	Central Asia	1985	Female	0-4	23
Turkmenistan	TKM	Asia	Central Asia	1985	Female	10-14	12
Turkmenistan	TKM	Asia	Central Asia	1985	Female	15-19	8
Turkmenistan	TKM	Asia	Central Asia	1985	Female	20-24	8
Turkmenistan	TKM	Asia	Central Asia	1985	Female	25-29	18
Turkmenistan	TKM	Asia	Central Asia	1985	Female	30-34	14
Turkmenistan	TKM	Asia	Central Asia	1985	Female	35-39	18
Turkmenistan	TKM	Asia	Central Asia	1985	Female	40-44	29
Turkmenistan	TKM	Asia	Central Asia	1985	Female	45-49	61
Turkmenistan	TKM	Asia	Central Asia	1985	Female	5-9	7
Turkmenistan	TKM	Asia	Central Asia	1985	Female	50-54	93
Turkmenistan	TKM	Asia	Central Asia	1985	Female	55-59	162
Turkmenistan	TKM	Asia	Central Asia	1985	Female	60-64	161
Turkmenistan	TKM	Asia	Central Asia	1985	Female	65-69	133
Turkmenistan	TKM	Asia	Central Asia	1985	Female	70-74	140
Turkmenistan	TKM	Asia	Central Asia	1985	Female	75-79	97
Turkmenistan	TKM	Asia	Central Asia	1985	Female	80-84	50
Turkmenistan	TKM	Asia	Central Asia	1985	Female	85+	23
Turkmenistan	TKM	Asia	Central Asia	1985	Male	0-4	31
Turkmenistan	TKM	Asia	Central Asia	1985	Male	10-14	14
Turkmenistan	TKM	Asia	Central Asia	1985	Male	15-19	15
Turkmenistan	TKM	Asia	Central Asia	1985	Male	20-24	23
Turkmenistan	TKM	Asia	Central Asia	1985	Male	25-29	12
Turkmenistan	TKM	Asia	Central Asia	1985	Male	30-34	36
Turkmenistan	TKM	Asia	Central Asia	1985	Male	35-39	22
Turkmenistan	TKM	Asia	Central Asia	1985	Male	40-44	34
Turkmenistan	TKM	Asia	Central Asia	1985	Male	45-49	103
Turkmenistan	TKM	Asia	Central Asia	1985	Male	5-9	19
Turkmenistan	TKM	Asia	Central Asia	1985	Male	50-54	141
Turkmenistan	TKM	Asia	Central Asia	1985	Male	55-59	238
Turkmenistan	TKM	Asia	Central Asia	1985	Male	60-64	155
Turkmenistan	TKM	Asia	Central Asia	1985	Male	65-69	139
Turkmenistan	TKM	Asia	Central Asia	1985	Male	70-74	158
Turkmenistan	TKM	Asia	Central Asia	1985	Male	75-79	76
Turkmenistan	TKM	Asia	Central Asia	1985	Male	80-84	37
Turkmenistan	TKM	Asia	Central Asia	1985	Male	85+	25
Turkmenistan	TKM	Asia	Central Asia	1986	Female	0-4	19
Turkmenistan	TKM	Asia	Central Asia	1986	Female	10-14	9
Turkmenistan	TKM	Asia	Central Asia	1986	Female	15-19	9
Turkmenistan	TKM	Asia	Central Asia	1986	Female	20-24	16
Turkmenistan	TKM	Asia	Central Asia	1986	Female	25-29	24
Turkmenistan	TKM	Asia	Central Asia	1986	Female	30-34	26
Turkmenistan	TKM	Asia	Central Asia	1986	Female	35-39	30
Turkmenistan	TKM	Asia	Central Asia	1986	Female	40-44	32
Turkmenistan	TKM	Asia	Central Asia	1986	Female	45-49	77
Turkmenistan	TKM	Asia	Central Asia	1986	Female	5-9	9
Turkmenistan	TKM	Asia	Central Asia	1986	Female	50-54	101
Turkmenistan	TKM	Asia	Central Asia	1986	Female	55-59	140
Turkmenistan	TKM	Asia	Central Asia	1986	Female	60-64	175
Turkmenistan	TKM	Asia	Central Asia	1986	Female	65-69	160
Turkmenistan	TKM	Asia	Central Asia	1986	Female	70-74	142
Turkmenistan	TKM	Asia	Central Asia	1986	Female	75-79	90
Turkmenistan	TKM	Asia	Central Asia	1986	Female	80-84	52
Turkmenistan	TKM	Asia	Central Asia	1986	Female	85+	30
Turkmenistan	TKM	Asia	Central Asia	1986	Male	0-4	30
Turkmenistan	TKM	Asia	Central Asia	1986	Male	10-14	7
Turkmenistan	TKM	Asia	Central Asia	1986	Male	15-19	12
Turkmenistan	TKM	Asia	Central Asia	1986	Male	20-24	10
Turkmenistan	TKM	Asia	Central Asia	1986	Male	25-29	20
Turkmenistan	TKM	Asia	Central Asia	1986	Male	30-34	21
Turkmenistan	TKM	Asia	Central Asia	1986	Male	35-39	30
Turkmenistan	TKM	Asia	Central Asia	1986	Male	40-44	28
Turkmenistan	TKM	Asia	Central Asia	1986	Male	45-49	91
Turkmenistan	TKM	Asia	Central Asia	1986	Male	5-9	15
Turkmenistan	TKM	Asia	Central Asia	1986	Male	50-54	131
Turkmenistan	TKM	Asia	Central Asia	1986	Male	55-59	241
