country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
United Kingdom	GBR	Europe	Northern Europe	1950	Female	0-4	198
United Kingdom	GBR	Europe	Northern Europe	1950	Female	10-14	68
United Kingdom	GBR	Europe	Northern Europe	1950	Female	15-19	105
United Kingdom	GBR	Europe	Northern Europe	1950	Female	20-24	101
United Kingdom	GBR	Europe	Northern Europe	1950	Female	25-29	271
United Kingdom	GBR	Europe	Northern Europe	1950	Female	30-34	459
United Kingdom	GBR	Europe	Northern Europe	1950	Female	35-39	961
United Kingdom	GBR	Europe	Northern Europe	1950	Female	40-44	1782
United Kingdom	GBR	Europe	Northern Europe	1950	Female	45-49	2781
United Kingdom	GBR	Europe	Northern Europe	1950	Female	5-9	113
United Kingdom	GBR	Europe	Northern Europe	1950	Female	50-54	3826
United Kingdom	GBR	Europe	Northern Europe	1950	Female	55-59	4805
United Kingdom	GBR	Europe	Northern Europe	1950	Female	60-64	5879
United Kingdom	GBR	Europe	Northern Europe	1950	Female	65-69	6802
United Kingdom	GBR	Europe	Northern Europe	1950	Female	70-74	7314
United Kingdom	GBR	Europe	Northern Europe	1950	Female	75-79	6383
United Kingdom	GBR	Europe	Northern Europe	1950	Female	80-84	3776
United Kingdom	GBR	Europe	Northern Europe	1950	Female	85+	2149
United Kingdom	GBR	Europe	Northern Europe	1950	Male	0-4	227
United Kingdom	GBR	Europe	Northern Europe	1950	Male	10-14	91
United Kingdom	GBR	Europe	Northern Europe	1950	Male	15-19	143
United Kingdom	GBR	Europe	Northern Europe	1950	Male	20-24	194
United Kingdom	GBR	Europe	Northern Europe	1950	Male	25-29	300
United Kingdom	GBR	Europe	Northern Europe	1950	Male	30-34	365
United Kingdom	GBR	Europe	Northern Europe	1950	Male	35-39	735
United Kingdom	GBR	Europe	Northern Europe	1950	Male	40-44	1420
United Kingdom	GBR	Europe	Northern Europe	1950	Male	45-49	2697
United Kingdom	GBR	Europe	Northern Europe	1950	Male	5-9	130
United Kingdom	GBR	Europe	Northern Europe	1950	Male	50-54	3954
United Kingdom	GBR	Europe	Northern Europe	1950	Male	55-59	5348
United Kingdom	GBR	Europe	Northern Europe	1950	Male	60-64	6866
United Kingdom	GBR	Europe	Northern Europe	1950	Male	65-69	7937
United Kingdom	GBR	Europe	Northern Europe	1950	Male	70-74	8294
United Kingdom	GBR	Europe	Northern Europe	1950	Male	75-79	6626
United Kingdom	GBR	Europe	Northern Europe	1950	Male	80-84	3195
United Kingdom	GBR	Europe	Northern Europe	1950	Male	85+	1170
United Kingdom	GBR	Europe	Northern Europe	1951	Female	0-4	210
United Kingdom	GBR	Europe	Northern Europe	1951	Female	10-14	64
United Kingdom	GBR	Europe	Northern Europe	1951	Female	15-19	77
United Kingdom	GBR	Europe	Northern Europe	1951	Female	20-24	147
United Kingdom	GBR	Europe	Northern Europe	1951	Female	25-29	247
United Kingdom	GBR	Europe	Northern Europe	1951	Female	30-34	469
United Kingdom	GBR	Europe	Northern Europe	1951	Female	35-39	1016
United Kingdom	GBR	Europe	Northern Europe	1951	Female	40-44	1768
United Kingdom	GBR	Europe	Northern Europe	1951	Female	45-49	2715
United Kingdom	GBR	Europe	Northern Europe	1951	Female	5-9	95
United Kingdom	GBR	Europe	Northern Europe	1951	Female	50-54	3770
United Kingdom	GBR	Europe	Northern Europe	1951	Female	55-59	4749
United Kingdom	GBR	Europe	Northern Europe	1951	Female	60-64	5749
United Kingdom	GBR	Europe	Northern Europe	1951	Female	65-69	6768
United Kingdom	GBR	Europe	Northern Europe	1951	Female	70-74	7274
United Kingdom	GBR	Europe	Northern Europe	1951	Female	75-79	6322
United Kingdom	GBR	Europe	Northern Europe	1951	Female	80-84	3886
United Kingdom	GBR	Europe	Northern Europe	1951	Female	85+	2058
United Kingdom	GBR	Europe	Northern Europe	1951	Male	0-4	234
United Kingdom	GBR	Europe	Northern Europe	1951	Male	10-14	118
United Kingdom	GBR	Europe	Northern Europe	1951	Male	15-19	125
United Kingdom	GBR	Europe	Northern Europe	1951	Male	20-24	172
United Kingdom	GBR	Europe	Northern Europe	1951	Male	25-29	279
United Kingdom	GBR	Europe	Northern Europe	1951	Male	30-34	392
United Kingdom	GBR	Europe	Northern Europe	1951	Male	35-39	806
United Kingdom	GBR	Europe	Northern Europe	1951	Male	40-44	1448
United Kingdom	GBR	Europe	Northern Europe	1951	Male	45-49	2625
United Kingdom	GBR	Europe	Northern Europe	1951	Male	5-9	151
United Kingdom	GBR	Europe	Northern Europe	1951	Male	50-54	4166
United Kingdom	GBR	Europe	Northern Europe	1951	Male	55-59	5489
United Kingdom	GBR	Europe	Northern Europe	1951	Male	60-64	6963
United Kingdom	GBR	Europe	Northern Europe	1951	Male	65-69	8188
United Kingdom	GBR	Europe	Northern Europe	1951	Male	70-74	8239
United Kingdom	GBR	Europe	Northern Europe	1951	Male	75-79	6761
United Kingdom	GBR	Europe	Northern Europe	1951	Male	80-84	3306
United Kingdom	GBR	Europe	Northern Europe	1951	Male	85+	1174
United Kingdom	GBR	Europe	Northern Europe	1952	Female	0-4	202
United Kingdom	GBR	Europe	Northern Europe	1952	Female	10-14	74
United Kingdom	GBR	Europe	Northern Europe	1952	Female	15-19	103
United Kingdom	GBR	Europe	Northern Europe	1952	Female	20-24	120
United Kingdom	GBR	Europe	Northern Europe	1952	Female	25-29	242
United Kingdom	GBR	Europe	Northern Europe	1952	Female	30-34	407
United Kingdom	GBR	Europe	Northern Europe	1952	Female	35-39	881
United Kingdom	GBR	Europe	Northern Europe	1952	Female	40-44	1857
United Kingdom	GBR	Europe	Northern Europe	1952	Female	45-49	2781
United Kingdom	GBR	Europe	Northern Europe	1952	Female	5-9	122
United Kingdom	GBR	Europe	Northern Europe	1952	Female	50-54	3869
United Kingdom	GBR	Europe	Northern Europe	1952	Female	55-59	4869
United Kingdom	GBR	Europe	Northern Europe	1952	Female	60-64	5904
United Kingdom	GBR	Europe	Northern Europe	1952	Female	65-69	6753
United Kingdom	GBR	Europe	Northern Europe	1952	Female	70-74	7292
United Kingdom	GBR	Europe	Northern Europe	1952	Female	75-79	6495
United Kingdom	GBR	Europe	Northern Europe	1952	Female	80-84	4050
United Kingdom	GBR	Europe	Northern Europe	1952	Female	85+	2181
United Kingdom	GBR	Europe	Northern Europe	1952	Male	0-4	268
United Kingdom	GBR	Europe	Northern Europe	1952	Male	10-14	99
United Kingdom	GBR	Europe	Northern Europe	1952	Male	15-19	132
United Kingdom	GBR	Europe	Northern Europe	1952	Male	20-24	185
United Kingdom	GBR	Europe	Northern Europe	1952	Male	25-29	285
United Kingdom	GBR	Europe	Northern Europe	1952	Male	30-34	386
United Kingdom	GBR	Europe	Northern Europe	1952	Male	35-39	711
United Kingdom	GBR	Europe	Northern Europe	1952	Male	40-44	1411
United Kingdom	GBR	Europe	Northern Europe	1952	Male	45-49	2646
United Kingdom	GBR	Europe	Northern Europe	1952	Male	5-9	163
United Kingdom	GBR	Europe	Northern Europe	1952	Male	50-54	4375
United Kingdom	GBR	Europe	Northern Europe	1952	Male	55-59	5779
United Kingdom	GBR	Europe	Northern Europe	1952	Male	60-64	7063
United Kingdom	GBR	Europe	Northern Europe	1952	Male	65-69	8290
United Kingdom	GBR	Europe	Northern Europe	1952	Male	70-74	8147
United Kingdom	GBR	Europe	Northern Europe	1952	Male	75-79	6914
United Kingdom	GBR	Europe	Northern Europe	1952	Male	80-84	3557
United Kingdom	GBR	Europe	Northern Europe	1952	Male	85+	1249
United Kingdom	GBR	Europe	Northern Europe	1953	Female	0-4	190
United Kingdom	GBR	Europe	Northern Europe	1953	Female	10-14	86
United Kingdom	GBR	Europe	Northern Europe	1953	Female	15-19	80
United Kingdom	GBR	Europe	Northern Europe	1953	Female	20-24	112
United Kingdom	GBR	Europe	Northern Europe	1953	Female	25-29	230
United Kingdom	GBR	Europe	Northern Europe	1953	Female	30-34	526
United Kingdom	GBR	Europe	Northern Europe	1953	Female	35-39	849
United Kingdom	GBR	Europe	Northern Europe	1953	Female	40-44	1759
United Kingdom	GBR	Europe	Northern Europe	1953	Female	45-49	2888
United Kingdom	GBR	Europe	Northern Europe	1953	Female	5-9	111
United Kingdom	GBR	Europe	Northern Europe	1953	Female	50-54	3803
United Kingdom	GBR	Europe	Northern Europe	1953	Female	55-59	4803
United Kingdom	GBR	Europe	Northern Europe	1953	Female	60-64	5788
United Kingdom	GBR	Europe	Northern Europe	1953	Female	65-69	6688
