country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
United States	USA	North America	Northern America	1950	Female	0-4	808
United States	USA	North America	Northern America	1950	Female	10-14	281
United States	USA	North America	Northern America	1950	Female	15-19	357
United States	USA	North America	Northern America	1950	Female	20-24	496
United States	USA	North America	Northern America	1950	Female	25-29	962
United States	USA	North America	Northern America	1950	Female	30-34	1744
United States	USA	North America	Northern America	1950	Female	35-39	3307
United States	USA	North America	Northern America	1950	Female	40-44	5302
United States	USA	North America	Northern America	1950	Female	45-49	7278
United States	USA	North America	Northern America	1950	Female	5-9	438
United States	USA	North America	Northern America	1950	Female	50-54	9579
United States	USA	North America	Northern America	1950	Female	55-59	11681
United States	USA	North America	Northern America	1950	Female	60-64	12886
United States	USA	North America	Northern America	1950	Female	65-69	13550
United States	USA	North America	Northern America	1950	Female	70-74	12878
United States	USA	North America	Northern America	1950	Female	75-79	10652
United States	USA	North America	Northern America	1950	Female	80-84	7071
United States	USA	North America	Northern America	1950	Female	85+	4420
United States	USA	North America	Northern America	1950	Male	0-4	987
United States	USA	North America	Northern America	1950	Male	10-14	371
United States	USA	North America	Northern America	1950	Male	15-19	483
United States	USA	North America	Northern America	1950	Male	20-24	571
United States	USA	North America	Northern America	1950	Male	25-29	892
United States	USA	North America	Northern America	1950	Male	30-34	1165
United States	USA	North America	Northern America	1950	Male	35-39	1844
United States	USA	North America	Northern America	1950	Male	40-44	2987
United States	USA	North America	Northern America	1950	Male	45-49	5148
United States	USA	North America	Northern America	1950	Male	5-9	545
United States	USA	North America	Northern America	1950	Male	50-54	8367
United States	USA	North America	Northern America	1950	Male	55-59	12162
United States	USA	North America	Northern America	1950	Male	60-64	15503
United States	USA	North America	Northern America	1950	Male	65-69	16409
United States	USA	North America	Northern America	1950	Male	70-74	15440
United States	USA	North America	Northern America	1950	Male	75-79	12280
United States	USA	North America	Northern America	1950	Male	80-84	7799
United States	USA	North America	Northern America	1950	Male	85+	3951
United States	USA	North America	Northern America	1951	Female	0-4	835
United States	USA	North America	Northern America	1951	Female	10-14	284
United States	USA	North America	Northern America	1951	Female	15-19	325
United States	USA	North America	Northern America	1951	Female	20-24	489
United States	USA	North America	Northern America	1951	Female	25-29	926
United States	USA	North America	Northern America	1951	Female	30-34	1758
United States	USA	North America	Northern America	1951	Female	35-39	3272
United States	USA	North America	Northern America	1951	Female	40-44	5330
United States	USA	North America	Northern America	1951	Female	45-49	7281
United States	USA	North America	Northern America	1951	Female	5-9	435
United States	USA	North America	Northern America	1951	Female	50-54	9821
United States	USA	North America	Northern America	1951	Female	55-59	11744
United States	USA	North America	Northern America	1951	Female	60-64	13017
United States	USA	North America	Northern America	1951	Female	65-69	13810
United States	USA	North America	Northern America	1951	Female	70-74	13061
United States	USA	North America	Northern America	1951	Female	75-79	11117
United States	USA	North America	Northern America	1951	Female	80-84	7291
United States	USA	North America	Northern America	1951	Female	85+	4623
United States	USA	North America	Northern America	1951	Male	0-4	1079
United States	USA	North America	Northern America	1951	Male	10-14	377
United States	USA	North America	Northern America	1951	Male	15-19	518
United States	USA	North America	Northern America	1951	Male	20-24	664
United States	USA	North America	Northern America	1951	Male	25-29	869
United States	USA	North America	Northern America	1951	Male	30-34	1143
United States	USA	North America	Northern America	1951	Male	35-39	1784
United States	USA	North America	Northern America	1951	Male	40-44	3033
United States	USA	North America	Northern America	1951	Male	45-49	5205
United States	USA	North America	Northern America	1951	Male	5-9	529
United States	USA	North America	Northern America	1951	Male	50-54	8674
United States	USA	North America	Northern America	1951	Male	55-59	12681
United States	USA	North America	Northern America	1951	Male	60-64	15631
United States	USA	North America	Northern America	1951	Male	65-69	17347
United States	USA	North America	Northern America	1951	Male	70-74	15675
United States	USA	North America	Northern America	1951	Male	75-79	12705
United States	USA	North America	Northern America	1951	Male	80-84	7728
United States	USA	North America	Northern America	1951	Male	85+	4324
United States	USA	North America	Northern America	1952	Female	0-4	881
United States	USA	North America	Northern America	1952	Female	10-14	305
United States	USA	North America	Northern America	1952	Female	15-19	370
United States	USA	North America	Northern America	1952	Female	20-24	468
