country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Uruguay	URY	South America	South America	1955	Female	0-4	14
Uruguay	URY	South America	South America	1955	Female	10-14	4
Uruguay	URY	South America	South America	1955	Female	15-19	6
Uruguay	URY	South America	South America	1955	Female	20-24	6
Uruguay	URY	South America	South America	1955	Female	25-29	15
Uruguay	URY	South America	South America	1955	Female	30-34	37
Uruguay	URY	South America	South America	1955	Female	35-39	51
Uruguay	URY	South America	South America	1955	Female	40-44	81
Uruguay	URY	South America	South America	1955	Female	45-49	112
Uruguay	URY	South America	South America	1955	Female	5-9	3
Uruguay	URY	South America	South America	1955	Female	50-54	151
Uruguay	URY	South America	South America	1955	Female	55-59	159
Uruguay	URY	South America	South America	1955	Female	60-64	205
Uruguay	URY	South America	South America	1955	Female	65-69	227
Uruguay	URY	South America	South America	1955	Female	70-74	222
Uruguay	URY	South America	South America	1955	Female	75-79	202
Uruguay	URY	South America	South America	1955	Female	80-84	181
Uruguay	URY	South America	South America	1955	Female	85+	122
Uruguay	URY	South America	South America	1955	Male	0-4	4
Uruguay	URY	South America	South America	1955	Male	10-14	7
Uruguay	URY	South America	South America	1955	Male	15-19	8
Uruguay	URY	South America	South America	1955	Male	20-24	11
Uruguay	URY	South America	South America	1955	Male	25-29	7
Uruguay	URY	South America	South America	1955	Male	30-34	21
Uruguay	URY	South America	South America	1955	Male	35-39	33
Uruguay	URY	South America	South America	1955	Male	40-44	66
Uruguay	URY	South America	South America	1955	Male	45-49	104
Uruguay	URY	South America	South America	1955	Male	5-9	13
Uruguay	URY	South America	South America	1955	Male	50-54	191
Uruguay	URY	South America	South America	1955	Male	55-59	241
Uruguay	URY	South America	South America	1955	Male	60-64	330
Uruguay	URY	South America	South America	1955	Male	65-69	315
Uruguay	URY	South America	South America	1955	Male	70-74	302
Uruguay	URY	South America	South America	1955	Male	75-79	234
Uruguay	URY	South America	South America	1955	Male	80-84	125
Uruguay	URY	South America	South America	1955	Male	85+	93
Uruguay	URY	South America	South America	1956	Female	0-4	11
Uruguay	URY	South America	South America	1956	Female	10-14	4
Uruguay	URY	South America	South America	1956	Female	15-19	4
Uruguay	URY	South America	South America	1956	Female	20-24	7
Uruguay	URY	South America	South America	1956	Female	25-29	15
Uruguay	URY	South America	South America	1956	Female	30-34	29
Uruguay	URY	South America	South America	1956	Female	35-39	42
Uruguay	URY	South America	South America	1956	Female	40-44	80
Uruguay	URY	South America	South America	1956	Female	45-49	105
Uruguay	URY	South America	South America	1956	Female	5-9	9
Uruguay	URY	South America	South America	1956	Female	50-54	143
Uruguay	URY	South America	South America	1956	Female	55-59	178
Uruguay	URY	South America	South America	1956	Female	60-64	196
Uruguay	URY	South America	South America	1956	Female	65-69	219
Uruguay	URY	South America	South America	1956	Female	70-74	233
Uruguay	URY	South America	South America	1956	Female	75-79	189
Uruguay	URY	South America	South America	1956	Female	80-84	143
Uruguay	URY	South America	South America	1956	Female	85+	126
Uruguay	URY	South America	South America	1956	Male	0-4	13
Uruguay	URY	South America	South America	1956	Male	10-14	7
Uruguay	URY	South America	South America	1956	Male	15-19	6
Uruguay	URY	South America	South America	1956	Male	20-24	10
Uruguay	URY	South America	South America	1956	Male	25-29	8
Uruguay	URY	South America	South America	1956	Male	30-34	20
Uruguay	URY	South America	South America	1956	Male	35-39	32
Uruguay	URY	South America	South America	1956	Male	40-44	67
Uruguay	URY	South America	South America	1956	Male	45-49	108
Uruguay	URY	South America	South America	1956	Male	5-9	8
Uruguay	URY	South America	South America	1956	Male	50-54	198
Uruguay	URY	South America	South America	1956	Male	55-59	273
Uruguay	URY	South America	South America	1956	Male	60-64	334
Uruguay	URY	South America	South America	1956	Male	65-69	366
Uruguay	URY	South America	South America	1956	Male	70-74	315
Uruguay	URY	South America	South America	1956	Male	75-79	259
Uruguay	URY	South America	South America	1956	Male	80-84	133
Uruguay	URY	South America	South America	1956	Male	85+	108
Uruguay	URY	South America	South America	1957	Female	0-4	10
Uruguay	URY	South America	South America	1957	Female	10-14	7
Uruguay	URY	South America	South America	1957	Female	15-19	8
Uruguay	URY	South America	South America	1957	Female	20-24	8
Uruguay	URY	South America	South America	1957	Female	25-29	17
Uruguay	URY	South America	South America	1957	Female	30-34	35
Uruguay	URY	South America	South America	1957	Female	35-39	53
Uruguay	URY	South America	South America	1957	Female	40-44	77
Uruguay	URY	South America	South America	1957	Female	45-49	111
Uruguay	URY	South America	South America	1957	Female	5-9	5
Uruguay	URY	South America	South America	1957	Female	50-54	151
Uruguay	URY	South America	South America	1957	Female	55-59	186
Uruguay	URY	South America	South America	1957	Female	60-64	198
Uruguay	URY	South America	South America	1957	Female	65-69	226
Uruguay	URY	South America	South America	1957	Female	70-74	231
Uruguay	URY	South America	South America	1957	Female	75-79	221
Uruguay	URY	South America	South America	1957	Female	80-84	168
Uruguay	URY	South America	South America	1957	Female	85+	142
Uruguay	URY	South America	South America	1957	Male	0-4	13
Uruguay	URY	South America	South America	1957	Male	10-14	9
Uruguay	URY	South America	South America	1957	Male	15-19	3
Uruguay	URY	South America	South America	1957	Male	20-24	7
