country_name	country_iso_a3	continent	subregion	year	sex	age	deaths
Uzbekistan	UZB	Asia	Central Asia	1981	Female	0-4	71
Uzbekistan	UZB	Asia	Central Asia	1981	Female	10-14	41
Uzbekistan	UZB	Asia	Central Asia	1981	Female	15-19	45
Uzbekistan	UZB	Asia	Central Asia	1981	Female	20-24	74
Uzbekistan	UZB	Asia	Central Asia	1981	Female	25-29	89
Uzbekistan	UZB	Asia	Central Asia	1981	Female	30-34	82
Uzbekistan	UZB	Asia	Central Asia	1981	Female	35-39	99
Uzbekistan	UZB	Asia	Central Asia	1981	Female	40-44	272
Uzbekistan	UZB	Asia	Central Asia	1981	Female	45-49	271
Uzbekistan	UZB	Asia	Central Asia	1981	Female	5-9	49
Uzbekistan	UZB	Asia	Central Asia	1981	Female	50-54	502
Uzbekistan	UZB	Asia	Central Asia	1981	Female	55-59	520
Uzbekistan	UZB	Asia	Central Asia	1981	Female	60-64	449
Uzbekistan	UZB	Asia	Central Asia	1981	Female	65-69	581
Uzbekistan	UZB	Asia	Central Asia	1981	Female	70-74	526
Uzbekistan	UZB	Asia	Central Asia	1981	Female	75-79	376
Uzbekistan	UZB	Asia	Central Asia	1981	Female	80-84	196
Uzbekistan	UZB	Asia	Central Asia	1981	Female	85+	130
Uzbekistan	UZB	Asia	Central Asia	1981	Male	0-4	83
Uzbekistan	UZB	Asia	Central Asia	1981	Male	10-14	51
Uzbekistan	UZB	Asia	Central Asia	1981	Male	15-19	56
Uzbekistan	UZB	Asia	Central Asia	1981	Male	20-24	78
Uzbekistan	UZB	Asia	Central Asia	1981	Male	25-29	82
Uzbekistan	UZB	Asia	Central Asia	1981	Male	30-34	81
Uzbekistan	UZB	Asia	Central Asia	1981	Male	35-39	99
Uzbekistan	UZB	Asia	Central Asia	1981	Male	40-44	289
Uzbekistan	UZB	Asia	Central Asia	1981	Male	45-49	374
Uzbekistan	UZB	Asia	Central Asia	1981	Male	5-9	52
Uzbekistan	UZB	Asia	Central Asia	1981	Male	50-54	699
Uzbekistan	UZB	Asia	Central Asia	1981	Male	55-59	526
Uzbekistan	UZB	Asia	Central Asia	1981	Male	60-64	438
Uzbekistan	UZB	Asia	Central Asia	1981	Male	65-69	596
Uzbekistan	UZB	Asia	Central Asia	1981	Male	70-74	633
Uzbekistan	UZB	Asia	Central Asia	1981	Male	75-79	450
Uzbekistan	UZB	Asia	Central Asia	1981	Male	80-84	239
Uzbekistan	UZB	Asia	Central Asia	1981	Male	85+	112
Uzbekistan	UZB	Asia	Central Asia	1982	Female	0-4	52
Uzbekistan	UZB	Asia	Central Asia	1982	Female	10-14	34
Uzbekistan	UZB	Asia	Central Asia	1982	Female	15-19	48
Uzbekistan	UZB	Asia	Central Asia	1982	Female	20-24	63
Uzbekistan	UZB	Asia	Central Asia	1982	Female	25-29	71
Uzbekistan	UZB	Asia	Central Asia	1982	Female	30-34	124
Uzbekistan	UZB	Asia	Central Asia	1982	Female	35-39	100
Uzbekistan	UZB	Asia	Central Asia	1982	Female	40-44	263
Uzbekistan	UZB	Asia	Central Asia	1982	Female	45-49	301
Uzbekistan	UZB	Asia	Central Asia	1982	Female	5-9	53
Uzbekistan	UZB	Asia	Central Asia	1982	Female	50-54	524
Uzbekistan	UZB	Asia	Central Asia	1982	Female	55-59	475
Uzbekistan	UZB	Asia	Central Asia	1982	Female	60-64	458
Uzbekistan	UZB	Asia	Central Asia	1982	Female	65-69	565
Uzbekistan	UZB	Asia	Central Asia	1982	Female	70-74	567
Uzbekistan	UZB	Asia	Central Asia	1982	Female	75-79	381
Uzbekistan	UZB	Asia	Central Asia	1982	Female	80-84	222
Uzbekistan	UZB	Asia	Central Asia	1982	Female	85+	124
Uzbekistan	UZB	Asia	Central Asia	1982	Male	0-4	76
Uzbekistan	UZB	Asia	Central Asia	1982	Male	10-14	52
Uzbekistan	UZB	Asia	Central Asia	1982	Male	15-19	55
Uzbekistan	UZB	Asia	Central Asia	1982	Male	20-24	86
Uzbekistan	UZB	Asia	Central Asia	1982	Male	25-29	80
Uzbekistan	UZB	Asia	Central Asia	1982	Male	30-34	82
Uzbekistan	UZB	Asia	Central Asia	1982	Male	35-39	78
Uzbekistan	UZB	Asia	Central Asia	1982	Male	40-44	280
Uzbekistan	UZB	Asia	Central Asia	1982	Male	45-49	412
Uzbekistan	UZB	Asia	Central Asia	1982	Male	5-9	74
Uzbekistan	UZB	Asia	Central Asia	1982	Male	50-54	711
Uzbekistan	UZB	Asia	Central Asia	1982	Male	55-59	666
Uzbekistan	UZB	Asia	Central Asia	1982	Male	60-64	472
Uzbekistan	UZB	Asia	Central Asia	1982	Male	65-69	634
Uzbekistan	UZB	Asia	Central Asia	1982	Male	70-74	678
Uzbekistan	UZB	Asia	Central Asia	1982	Male	75-79	489
Uzbekistan	UZB	Asia	Central Asia	1982	Male	80-84	259
Uzbekistan	UZB	Asia	Central Asia	1982	Male	85+	134
Uzbekistan	UZB	Asia	Central Asia	1985	Female	0-4	78
Uzbekistan	UZB	Asia	Central Asia	1985	Female	10-14	53
Uzbekistan	UZB	Asia	Central Asia	1985	Female	15-19	53
Uzbekistan	UZB	Asia	Central Asia	1985	Female	20-24	55
Uzbekistan	UZB	Asia	Central Asia	1985	Female	25-29	79
Uzbekistan	UZB	Asia	Central Asia	1985	Female	30-34	121
Uzbekistan	UZB	Asia	Central Asia	1985	Female	35-39	156
Uzbekistan	UZB	Asia	Central Asia	1985	Female	40-44	172
Uzbekistan	UZB	Asia	Central Asia	1985	Female	45-49	353
Uzbekistan	UZB	Asia	Central Asia	1985	Female	5-9	48
Uzbekistan	UZB	Asia	Central Asia	1985	Female	50-54	414
Uzbekistan	UZB	Asia	Central Asia	1985	Female	55-59	602
Uzbekistan	UZB	Asia	Central Asia	1985	Female	60-64	613
Uzbekistan	UZB	Asia	Central Asia	1985	Female	65-69	503
Uzbekistan	UZB	Asia	Central Asia	1985	Female	70-74	569
Uzbekistan	UZB	Asia	Central Asia	1985	Female	75-79	405
Uzbekistan	UZB	Asia	Central Asia	1985	Female	80-84	274
Uzbekistan	UZB	Asia	Central Asia	1985	Female	85+	166
Uzbekistan	UZB	Asia	Central Asia	1985	Male	0-4	102
Uzbekistan	UZB	Asia	Central Asia	1985	Male	10-14	54
Uzbekistan	UZB	Asia	Central Asia	1985	Male	15-19	66
Uzbekistan	UZB	Asia	Central Asia	1985	Male	20-24	92
Uzbekistan	UZB	Asia	Central Asia	1985	Male	25-29	121
Uzbekistan	UZB	Asia	Central Asia	1985	Male	30-34	116
Uzbekistan	UZB	Asia	Central Asia	1985	Male	35-39	135
Uzbekistan	UZB	Asia	Central Asia	1985	Male	40-44	177
Uzbekistan	UZB	Asia	Central Asia	1985	Male	45-49	435
Uzbekistan	UZB	Asia	Central Asia	1985	Male	5-9	77
Uzbekistan	UZB	Asia	Central Asia	1985	Male	50-54	637
Uzbekistan	UZB	Asia	Central Asia	1985	Male	55-59	964
Uzbekistan	UZB	Asia	Central Asia	1985	Male	60-64	639
Uzbekistan	UZB	Asia	Central Asia	1985	Male	65-69	498
Uzbekistan	UZB	Asia	Central Asia	1985	Male	70-74	624
Uzbekistan	UZB	Asia	Central Asia	1985	Male	75-79	484
Uzbekistan	UZB	Asia	Central Asia	1985	Male	80-84	302
Uzbekistan	UZB	Asia	Central Asia	1985	Male	85+	140
Uzbekistan	UZB	Asia	Central Asia	1986	Female	0-4	84
Uzbekistan	UZB	Asia	Central Asia	1986	Female	10-14	58
Uzbekistan	UZB	Asia	Central Asia	1986	Female	15-19	62
Uzbekistan	UZB	Asia	Central Asia	1986	Female	20-24	74
Uzbekistan	UZB	Asia	Central Asia	1986	Female	25-29	109
Uzbekistan	UZB	Asia	Central Asia	1986	Female	30-34	130
Uzbekistan	UZB	Asia	Central Asia	1986	Female	35-39	149
Uzbekistan	UZB	Asia	Central Asia	1986	Female	40-44	175
Uzbekistan	UZB	Asia	Central Asia	1986	Female	45-49	396
Uzbekistan	UZB	Asia	Central Asia	1986	Female	5-9	69
Uzbekistan	UZB	Asia	Central Asia	1986	Female	50-54	488
Uzbekistan	UZB	Asia	Central Asia	1986	Female	55-59	693
Uzbekistan	UZB	Asia	Central Asia	1986	Female	60-64	695
Uzbekistan	UZB	Asia	Central Asia	1986	Female	65-69	555
Uzbekistan	UZB	Asia	Central Asia	1986	Female	70-74	654
Uzbekistan	UZB	Asia	Central Asia	1986	Female	75-79	470
Uzbekistan	UZB	Asia	Central Asia	1986	Female	80-84	268
Uzbekistan	UZB	Asia	Central Asia	1986	Female	85+	175
Uzbekistan	UZB	Asia	Central Asia	1986	Male	0-4	132
Uzbekistan	UZB	Asia	Central Asia	1986	Male	10-14	73
Uzbekistan	UZB	Asia	Central Asia	1986	Male	15-19	82
Uzbekistan	UZB	Asia	Central Asia	1986	Male	20-24	86
Uzbekistan	UZB	Asia	Central Asia	1986	Male	25-29	115
Uzbekistan	UZB	Asia	Central Asia	1986	Male	30-34	120
Uzbekistan	UZB	Asia	Central Asia	1986	Male	35-39	147
Uzbekistan	UZB	Asia	Central Asia	1986	Male	40-44	177
Uzbekistan	UZB	Asia	Central Asia	1986	Male	45-49	468
Uzbekistan	UZB	Asia	Central Asia	1986	Male	5-9	86
Uzbekistan	UZB	Asia	Central Asia	1986	Male	50-54	685
Uzbekistan	UZB	Asia	Central Asia	1986	Male	55-59	1008
Uzbekistan	UZB	Asia	Central Asia	1986	Male	60-64	836
Uzbekistan	UZB	Asia	Central Asia	1986	Male	65-69	509
Uzbekistan	UZB	Asia	Central Asia	1986	Male	70-74	648
Uzbekistan	UZB	Asia	Central Asia	1986	Male	75-79	480
Uzbekistan	UZB	Asia	Central Asia	1986	Male	80-84	289
Uzbekistan	UZB	Asia	Central Asia	1986	Male	85+	170
Uzbekistan	UZB	Asia	Central Asia	1987	Female	0-4	92
Uzbekistan	UZB	Asia	Central Asia	1987	Female	10-14	59
Uzbekistan	UZB	Asia	Central Asia	1987	Female	15-19	73
Uzbekistan	UZB	Asia	Central Asia	1987	Female	20-24	59
Uzbekistan	UZB	Asia	Central Asia	1987	Female	25-29	108
Uzbekistan	UZB	Asia	Central Asia	1987	Female	30-34	121
Uzbekistan	UZB	Asia	Central Asia	1987	Female	35-39	186
Uzbekistan	UZB	Asia	Central Asia	1987	Female	40-44	163
Uzbekistan	UZB	Asia	Central Asia	1987	Female	45-49	342
Uzbekistan	UZB	Asia	Central Asia	1987	Female	5-9	52
Uzbekistan	UZB	Asia	Central Asia	1987	Female	50-54	487
Uzbekistan	UZB	Asia	Central Asia	1987	Female	55-59	673
Uzbekistan	UZB	Asia	Central Asia	1987	Female	60-64	719
Uzbekistan	UZB	Asia	Central Asia	1987	Female	65-69	636
Uzbekistan	UZB	Asia	Central Asia	1987	Female	70-74	630
Uzbekistan	UZB	Asia	Central Asia	1987	Female	75-79	542
Uzbekistan	UZB	Asia	Central Asia	1987	Female	80-84	294
Uzbekistan	UZB	Asia	Central Asia	1987	Female	85+	195
Uzbekistan	UZB	Asia	Central Asia	1987	Male	0-4	105
Uzbekistan	UZB	Asia	Central Asia	1987	Male	10-14	77
Uzbekistan	UZB	Asia	Central Asia	1987	Male	15-19	78
Uzbekistan	UZB	Asia	Central Asia	1987	Male	20-24	106
Uzbekistan	UZB	Asia	Central Asia	1987	Male	25-29	126
Uzbekistan	UZB	Asia	Central Asia	1987	Male	30-34	127
Uzbekistan	UZB	Asia	Central Asia	1987	Male	35-39	155
Uzbekistan	UZB	Asia	Central Asia	1987	Male	40-44	145
Uzbekistan	UZB	Asia	Central Asia	1987	Male	45-49	474
Uzbekistan	UZB	Asia	Central Asia	1987	Male	5-9	92
Uzbekistan	UZB	Asia	Central Asia	1987	Male	50-54	656
