id.cancer	sex	age	country_name	year	cases.number
	Female		Albania	1987	1801
	Female		Albania	1988	2055
	Female		Albania	1989	1977
	Female		Albania	1992	1758
	Female		Albania	1993	1583
	Female		Albania	1994	1406
	Female		Albania	1995	1783
	Female		Albania	1996	2170
	Female		Albania	1997	2075
	Female		Albania	1998	2207
	Female		Albania	1999	2441
	Female		Albania	2000	2236
	Female		Albania	2001	2169
	Female		Albania	2002	2487
	Female		Albania	2003	2831
	Female		Albania	2004	2805
	Female		Albania	2005	2635
	Female		Albania	2006	2755
	Female		Albania	2007	2299
	Female		Albania	2008	2541
	Female		Albania	2009	2530
	Male		Albania	1987	3275
	Male		Albania	1988	3862
	Male		Albania	1989	3656
	Male		Albania	1992	3140
	Male		Albania	1993	2889
	Male		Albania	1994	2651
	Male		Albania	1995	3672
	Male		Albania	1996	3999
	Male		Albania	1997	3676
	Male		Albania	1998	3934
	Male		Albania	1999	4157
	Male		Albania	2000	4054
	Male		Albania	2001	3585
	Male		Albania	2002	4091
	Male		Albania	2003	4582
	Male		Albania	2004	4515
	Male		Albania	2005	4359
	Male		Albania	2006	4271
	Male		Albania	2007	3889
	Male		Albania	2008	4341
	Male		Albania	2009	4216
	Female		Argentina	1966	30235
	Female		Argentina	1967	35320
	Female		Argentina	1968	37430
	Female		Argentina	1969	38681
	Female		Argentina	1970	37876
	Female		Argentina	1977	41772
	Female		Argentina	1978	42944
	Female		Argentina	1979	46810
	Female		Argentina	1982	48747
	Female		Argentina	1983	49208
	Female		Argentina	1984	50881
	Female		Argentina	1985	51123
	Female		Argentina	1986	51724
	Female		Argentina	1987	52809
	Female		Argentina	1988	55026
	Female		Argentina	1989	55665
	Female		Argentina	1990	56052
	Female		Argentina	1991	57404
	Female		Argentina	1992	58309
	Female		Argentina	1993	59004
	Female		Argentina	1994	61026
	Female		Argentina	1995	60375
	Female		Argentina	1996	63876
	Female		Argentina	1997	71861
	Female		Argentina	1998	73827
	Female		Argentina	1999	74175
	Female		Argentina	2000	75245
	Female		Argentina	2001	76245
	Female		Argentina	2002	75813
	Female		Argentina	2003	79002
	Female		Argentina	2004	78737
	Female		Argentina	2005	80580
	Female		Argentina	2006	81181
	Female		Argentina	2007	81940
	Female		Argentina	2008	81402
	Female		Argentina	2009	83000
	Female		Argentina	2010	84222
	Male		Argentina	1950	58
	Male		Argentina	1951	57
	Male		Argentina	1966	44330
	Male		Argentina	1967	51936
	Male		Argentina	1968	54985
	Male		Argentina	1969	55777
	Male		Argentina	1970	54338
	Male		Argentina	1977	57126
